"","Open","High","Low","Close","Volume"
"2001-01-02",14.358682,14.358682,13.546182,13.889932,3285000
"2001-01-03",13.852424,14.039924,12.477424,13.946174,7564000
"2001-01-04",13.508492,15.070992,13.508492,14.602242,9149400
"2001-01-05",15.071219,15.071219,13.477469,13.758719,7057800
"2001-01-08",13.783734,13.846234,13.408734,13.721234,3752000
"2001-01-09",13.733735,13.733735,13.296235,13.702485,3836600
"2001-01-10",13.796291,13.796291,13.015041,13.515041,3655000
"2001-01-11",13.440008,13.627508,12.971258,13.627508,3371000
"2001-01-12",13.883905,13.883905,12.602655,13.102655,3494200
"2001-01-16",12.902572,13.402572,12.590072,13.402572,4239400
"2001-01-17",13.340042,13.808792,13.152542,13.496292,4460200
"2001-01-18",12.77314,12.77314,11.74189,12.61689,9166400
"2001-01-19",12.495662,12.495662,11.870662,12.276912,5502600
"2001-01-22",12.227468,12.633718,11.821218,12.352468,4659800
"2001-01-23",12.204115,12.766615,12.141615,12.579115,5792400
"2001-01-24",12.467849,13.092849,12.155349,12.749099,3670200
"2001-01-25",12.651584,13.464084,12.651584,13.089084,3517600
"2001-01-26",13.101437,13.320187,12.726437,13.070187,3094400
"2001-01-29",13.05486,13.37486,12.879861,13.024859,2439600
"2001-01-30",12.767717,13.467718,12.342718,13.417719,4675200
"2001-01-31",13.453322,13.753321,13.253321,13.363322,3889000
"2001-02-01",13.341573,13.531571,13.081572,13.396573,2737600
"2001-02-02",13.408439,13.703437,13.193439,13.378438,2387400
"2001-02-05",13.477334,13.532335,13.207334,13.227334,1823000
"2001-02-06",13.276783,13.421784,13.046784,13.151783,2298200
"2001-02-07",13.133984,13.318984,13.063985,13.178984,1773800
"2001-02-08",13.264039,13.334039,12.86404,13.049039,1954000
"2001-02-09",13.084637,13.119637,12.739638,12.994637,3121800
"2001-02-12",13.033923,13.393921,13.033923,13.033923,3180600
"2001-02-13",13.018214,13.518214,13.018214,13.073212,2898400
"2001-02-14",13.140464,13.760465,12.920465,12.970464,2694800
"2001-02-15",12.97811,13.77311,12.97811,13.333109,3487000
"2001-02-16",13.422111,13.702112,13.112112,13.197111,3326200
"2001-02-20",13.432004,13.432004,12.632003,12.632003,4236800
