"","Open","High","Low","Close","Volume"
"2005-12-05",23.281933,23.281933,19.981934,19.981934,1087800
"2005-12-06",20.368456,20.368456,19.268456,19.278456,1743800
"2005-12-07",19.571295,19.571295,18.821295,19.121294,1536400
"2005-12-08",19.141555,19.361554,18.711554,19.001553,2100700
"2005-12-09",18.951169,19.50117,18.50117,19.181168,2414700
"2005-12-12",19.297674,19.697673,19.297674,19.637674,898600
"2005-12-13",19.708057,19.718057,19.388057,19.458057,639700
"2005-12-14",19.533554,19.583553,19.183554,19.233555,672800
"2005-12-15",19.329164,19.329164,18.829164,18.949163,1948400
"2005-12-16",18.964201,19.134201,18.804201,18.9342,1023000
"2005-12-19",18.946708,19.036709,18.736709,18.92671,362700
"2005-12-20",18.982063,18.982063,18.432062,18.762062,385800
"2005-12-21",18.796776,18.946775,18.626776,18.896776,673000
"2005-12-22",18.931999,18.931999,18.681999,18.792,274300
"2005-12-23",18.683872,19.103872,18.683872,19.083872,667100
"2005-12-27",19.196135,19.476135,18.846134,19.196135,511400
"2005-12-28",19.447092,19.537092,18.697092,18.747091,821600
"2005-12-29",18.859679,18.959679,18.459679,18.709679,776100
"2005-12-30",18.583872,19.083872,18.433872,19.083872,3887900
"2006-01-03",19.007747,20.807747,19.007747,19.607748,6604500
"2006-01-04",19.728057,19.728057,19.298057,19.458057,8900000
"2006-01-05",19.367483,19.807484,19.197483,19.727484,8040500
"2006-01-06",19.648586,20.448585,19.608585,20.378586,7449100
"2006-01-09",20.198909,20.408908,20.048909,20.22891,7858700
"2006-01-10",20.417168,20.487168,19.747168,19.877167,9081400
"2006-01-11",20.072779,20.162779,19.462778,19.592779,6941200
"2006-01-12",19.32058,19.610579,18.950579,19.450579,7687400
"2006-01-13",19.5389,19.588899,19.068899,19.068899,4858900
"2006-01-17",18.844581,19.354581,18.704581,18.75458,6226600
"2006-01-18",18.541098,19.211098,18.371098,19.211098,5522800
"2006-01-19",19.206262,19.276262,18.906263,19.136263,5021500
"2006-01-20",19.064714,19.434713,18.634714,18.694714,5064800
"2006-01-23",18.803352,19.403353,18.553352,19.323353,6361700
"2006-01-24",19.231611,20.231611,19.03161,20.131611,8567000
"2006-01-25",20.357416,20.357416,19.447416,19.757416,5665700
"2006-01-26",19.804262,20.364264,19.734263,20.064262,7545300
"2006-01-27",20.006777,20.606777,19.686777,20.056776,7927600
"2006-01-30",19.988529,20.58853,19.83853,20.408529,5639100
"2006-01-31",20.595356,20.595356,19.455357,19.555355,6437100
"2006-02-01",19.432839,19.982838,19.382838,19.562838,4373800
"2006-02-02",19.666136,19.846134,19.016134,19.196135,6802800
"2006-02-03",19.143611,19.563611,18.92361,19.203611,5411600
"2006-02-06",19.15832,19.57832,19.138319,19.33832,3735500
"2006-02-07",19.526323,19.716321,19.106323,19.106323,3321300
"2006-02-08",18.983035,19.523034,18.983035,19.473034,3761800
"2006-02-09",19.351168,19.551169,19.09117,19.181168,3644000
"2006-02-10",19.173937,19.243937,18.883938,19.053936,3895200
"2006-02-13",18.823809,19.203808,18.723809,19.11381,2695600
"2006-02-14",19.008715,19.388714,18.838715,19.158714,4273900
"2006-02-15",19.276191,19.366191,19.106191,19.166193,1984200
"2006-02-16",19.221937,19.251938,18.771938,18.821938,4152400
"2006-02-17",18.545801,19.445803,18.525803,19.345802,5383800
"2006-02-21",19.634201,19.654201,18.794201,18.9342,4557900
"2006-02-22",19.101808,19.171807,18.821807,18.881807,7170900
"2006-02-23",18.889357,19.209356,18.519358,18.859358,5946200
"2006-02-24",18.985243,19.215242,18.475243,18.475243,7852800
"2006-02-27",18.40119,18.921188,18.40119,18.701189,7683400
"2006-02-28",18.622511,18.712511,18.34251,18.42251,4980000
"2006-03-01",18.415622,18.655622,18.125621,18.565622,4525500
"2006-03-02",18.301255,18.351256,17.971255,18.121254,8128400
"2006-03-03",18.140996,18.390996,17.930997,18.060997,4152400
"2006-03-06",18.080997,18.530998,17.980997,18.060997,4676300
"2006-03-07",17.977194,18.427195,17.967194,18.347195,4749900
"2006-03-08",18.401509,18.461508,18.061508,18.181507,4224300
"2006-03-09",18.185934,18.285935,18.005934,18.045933,3110400
"2006-03-10",18.228399,18.3184,17.968399,18.038401,3694600
"2006-03-13",18.121126,18.341127,18.081127,18.091127,3411600
"2006-03-14",18.105934,18.205935,18.035935,18.045933,3359300
"2006-03-15",18.042139,18.442141,17.882139,18.33214,3223200
