"","Open","High","Low","Close","Volume"
"2001-01-02",21.600475,21.600475,19.225475,19.662975,1676500
"2001-01-03",20.269203,20.581703,18.644203,18.769203,2158100
"2001-01-04",20.131268,20.756268,16.006268,17.756268,4562300
"2001-01-05",17.146486,18.896486,16.646486,18.083986,2589100
"2001-01-08",17.953157,18.765657,17.828157,18.203157,1717300
"2001-01-09",19.461266,19.898766,17.148766,17.398766,2219900
"2001-01-10",18.40168,18.40168,16.90168,17.33918,1467900
"2001-01-11",17.160425,17.222925,16.535425,17.160425,2176200
"2001-01-12",18.28186,18.40686,16.03186,16.59436,2987400
"2001-01-16",15.52668,17.65168,15.46418,17.33918,2162600
"2001-01-17",17.868324,17.993324,16.368324,16.743324,2158700
"2001-01-18",15.398766,17.398766,13.898766,17.398766,2922200
"2001-01-19",18.076868,18.076868,16.889368,16.951868,976000
"2001-01-22",16.253347,17.940847,16.128347,17.815847,958200
"2001-01-23",16.164619,18.789619,15.539619,18.352119,1612300
"2001-01-24",18.381901,19.006901,17.756901,18.381901,1119100
"2001-01-25",18.123171,18.748171,17.748171,18.560671,856500
"2001-01-26",18.822325,18.947325,18.009825,18.322325,784100
"2001-01-29",18.105015,18.855015,17.985016,18.395016,525200
"2001-01-30",19.246011,19.246011,17.27601,17.966009,1671100
"2001-01-31",18.427101,18.537102,17.037102,17.6371,865500
"2001-02-01",17.940634,18.410635,17.040632,17.360632,1908400
"2001-02-02",15.639944,18.179945,15.639944,18.089945,2652100
"2001-02-05",17.705583,18.675584,17.125581,18.485582,666400
"2001-02-06",18.956566,18.986568,17.406567,18.056568,446900
"2001-02-07",18.147454,18.747452,17.84745,18.447453,442400
"2001-02-08",19.059731,19.849732,17.10973,17.889729,1678200
"2001-02-09",17.545538,18.46554,16.755541,17.975538,1033300
"2001-02-12",17.941439,18.55144,17.561438,18.161436,637000
"2001-02-13",18.264907,18.70491,17.714908,18.29491,883900
"2001-02-14",18.285779,19.635782,17.885782,18.685781,1803300
"2001-02-15",19.266107,19.566111,18.066111,18.066111,1238100
"2001-02-16",18.094602,18.484606,17.644606,17.994604,1092900
"2001-02-20",18.398766,18.898766,17.398766,17.398766,3395000
"2001-02-21",17.250588,17.920586,16.510586,16.850586,833000
"2001-02-22",17.40342,17.453419,16.253418,17.303417,1093900
"2001-02-23",18.596428,18.596428,16.846428,17.446426,1056800
"2001-02-26",17.437099,18.3871,17.087101,17.6371,1073400
"2001-02-27",17.578339,18.178337,17.328339,17.918339,969500
"2001-02-28",18.546429,18.846428,16.99643,17.446426,864300
"2001-03-01",17.452793,17.652794,17.082794,17.622795,707800
"2001-03-02",16.773101,18.333098,16.773101,17.923098,1235400
"2001-03-05",18.258026,18.458027,17.358029,17.618027,651000
"2001-03-06",17.820253,17.820253,16.820253,17.470255,1154000
"2001-03-07",17.234767,17.784766,17.094763,17.684763,540200
"2001-03-08",17.615537,18.245539,17.55554,17.975538,474000
"2001-03-09",18.634712,18.634712,17.284714,18.094711,1118700
"2001-03-12",18.354504,19.154503,17.644505,17.894505,1136300
"2001-03-13",17.796932,18.046932,17.096931,17.946934,830300
"2001-03-14",17.6999,17.9499,17.249899,17.579901,994900
"2001-03-15",17.993786,18.613785,17.373783,18.113785,1316200
"2001-03-16",18.3702,18.3702,17.880198,17.880198,859200
"2001-03-19",18.302916,18.302916,15.492915,16.802916,2789500
"2001-03-20",18.067782,18.067782,16.517783,16.577785,1473500
"2001-03-21",15.2335,16.7335,15.2335,16.333498,1912600
"2001-03-22",16.754512,16.85451,14.754512,15.85451,1673500
"2001-03-23",16.400305,16.800307,15.300307,15.950304,1449500
"2001-03-26",16.207458,16.847457,16.007457,16.35746,1354300
"2001-03-27",16.467699,16.467699,15.7377,16.2377,1377400
"2001-03-28",15.816376,16.746377,15.646374,16.396374,1102800
"2001-03-29",15.993906,16.603902,15.893903,16.583906,1694900
"2001-03-30",15.175392,18.035393,15.175392,17.675392,995600
"2001-04-02",17.73746,18.037459,17.07746,17.247458,1247100
"2001-04-03",17.86446,17.86446,16.344459,16.444462,952800
"2001-04-04",17.057883,17.27788,15.757884,16.107882,1158400
"2001-04-05",16.000207,16.60021,16.000207,16.300211,1486900
"2001-04-06",17.292205,17.292205,15.202205,15.372205,2036800
"2001-04-09",15.460471,15.490472,15.080472,15.290471,1470700
"2001-04-10",14.824571,16.024569,14.674571,15.81457,2704300
"2001-04-11",17.193565,17.193565,15.453568,15.463566,1242600
"2001-04-12",15.781053,15.961053,15.131053,15.401052,902900
"2001-04-16",15.681998,15.801996,15.151997,15.251995,792100
"2001-04-17",14.759589,16.37959,14.589589,15.939592,1047500
"2001-04-18",15.617622,17.367622,15.617622,17.117622,4182700
"2001-04-19",16.595192,17.895191,16.255192,17.555191,2606000
"2001-04-20",18.189343,18.549339,15.489342,16.949341,1573200
"2001-04-23",16.361869,17.261871,16.271869,17.261871,1185200
"2001-04-24",17.900209,17.950208,15.830209,16.300211,2476900
"2001-04-25",15.50404,16.75404,15.454041,16.204041,2392300
"2001-04-26",15.682963,16.982962,15.682963,16.732962,1393400
"2001-04-27",17.120106,17.260105,16.620106,16.930103,928900
"2001-04-30",16.715711,17.565709,16.715711,17.165712,1849500
"2001-05-01",16.921702,18.121703,16.0217,17.391699,2135000
"2001-05-02",18.668981,18.668981,17.19898,17.208982,2536500
"2001-05-03",17.734314,17.734314,16.634311,16.824314,1473400
"2001-05-04",16.676236,17.036237,15.886235,16.776234,1494800
"2001-05-07",17.837361,17.837361,16.187359,16.49736,1931000
"2001-05-08",16.699341,17.399342,16.599343,16.949341,1944700
"2001-05-09",16.844146,17.944144,16.374144,16.954142,1279400
"2001-05-10",17.268924,17.348922,16.358925,16.708923,842600
"2001-05-11",16.699341,17.699341,16.49934,16.949341,838200
"2001-05-14",16.485918,17.535917,16.485918,17.285917,850700
"2001-05-15",17.018467,17.848465,16.898469,17.598465,878300
"2001-05-16",17.520586,17.870589,17.420588,17.670588,1311900
"2001-05-17",18.180969,19.080971,17.180969,17.660969,1445900
"2001-05-18",18.085038,18.535039,17.485035,17.935036,1123600
"2001-05-21",17.899502,19.349503,17.749505,18.199501,1732300
"2001-05-22",18.125203,18.475206,17.575204,17.805204,1146500
"2001-05-23",17.889085,18.009088,17.059087,17.959084,1797200
"2001-05-24",17.637201,19.087202,17.637201,18.257204,897100
"2001-05-25",18.594271,18.994272,17.82427,17.954271,573800
"2001-05-29",18.21991,19.489911,18.069909,18.439907,1236500
"2001-05-30",19.367062,19.367062,18.637058,18.637058,1155300
"2001-05-31",18.642246,18.832249,18.502247,18.632248,568500
"2001-06-01",19.419711,19.419711,17.939711,18.319708,494300
"2001-06-04",17.982246,18.672249,17.732246,18.632248,542800
"2001-06-05",18.433057,19.12306,18.28306,18.863058,1318700
"2001-06-06",18.872671,19.122671,18.58267,18.872671,1044700
"2001-06-07",18.590389,19.180389,18.590389,19.180389,937900
"2001-06-08",19.359804,19.379804,19.009801,19.069803,373300
"2001-06-11",18.534956,19.134959,17.934958,18.814959,846600
"2001-06-12",18.966508,18.966508,18.416505,18.776505,541500
"2001-06-13",18.817228,19.247229,18.757231,18.89723,749300
"2001-06-14",18.892075,18.962075,18.462075,18.902073,860100
"2001-06-15",19.147139,19.157137,18.467139,18.617136,770400
"2001-06-18",18.637663,18.877665,17.587664,18.177664,931700
"2001-06-19",18.404673,18.904673,17.204672,17.55467,1462100
"2001-06-20",17.396138,18.246136,17.396138,17.796135,2196600
"2001-06-21",17.77028,17.910284,17.320284,17.820284,1476800
"2001-06-22",17.765223,18.175222,17.435221,18.105223,469700
"2001-06-25",18.59785,18.697853,17.59785,17.747852,471400
"2001-06-26",16.779023,18.309022,16.629021,18.139023,695200
"2001-06-27",17.819049,19.169052,17.539051,18.619053,1047800
"2001-06-28",18.809679,19.559679,18.459681,19.239679,1645300
"2001-06-29",19.243614,19.423614,18.763615,18.953613,1289200
"2001-07-02",19.149351,19.379351,18.35935,18.76935,464900
"2001-07-03",18.879953,18.929952,18.429952,18.749952,136900
"2001-07-05",18.749635,18.879636,18.179635,18.279638,845900
"2001-07-06",18.128122,18.598124,17.928126,18.328123,577100
"2001-07-09",18.724775,18.814775,17.944776,17.954775,469500
"2001-07-10",17.672941,17.852942,16.872942,17.532942,1641800
"2001-07-11",17.785351,17.92535,17.225349,17.295349,1033300
"2001-07-12",17.279892,17.999893,17.279892,17.309895,1013200
"2001-07-13",17.437779,17.537777,16.937779,17.377777,1084900
"2001-07-16",17.470812,17.670813,17.220812,17.440813,362800
"2001-07-17",17.702916,17.712914,16.162915,17.212914,778900
"2001-07-18",17.897758,17.997761,16.787762,16.897758,1282900
"2001-07-19",17.078335,17.278336,16.078335,16.398335,3072500
"2001-07-20",16.559249,16.75925,16.209246,16.369246,1710300
"2001-07-23",16.391669,16.741667,16.09167,16.291666,1867400
"2001-07-24",16.794693,17.124695,15.794693,16.194695,3187100
"2001-07-25",16.334077,16.34408,15.674078,16.054079,1528600
"2001-07-26",16.485901,16.655899,15.835899,16.155899,1187700
"2001-07-27",15.418321,16.918321,15.418321,16.078321,1234100
"2001-07-30",15.915903,16.365904,15.835901,16.315905,1016800
"2001-07-31",15.816841,17.416844,15.816841,16.926842,2104900
"2001-08-01",17.176543,17.776541,16.726542,16.776541,1171800
"2001-08-02",16.702599,16.852596,16.202599,16.422596,806700
"2001-08-03",15.807758,17.04776,15.807758,16.897758,1068200
"2001-08-06",16.542606,17.032608,16.092605,16.902607,497600
"2001-08-07",16.555355,17.945359,16.555355,17.455357,1368900
"2001-08-08",17.662915,17.712914,16.912915,17.212914,1100200
"2001-08-09",17.212914,17.362916,16.812912,17.212914,547200
"2001-08-10",17.357774,17.407773,16.957772,17.21777,314100
"2001-08-13",16.888089,17.728089,16.878091,17.528093,1253500
"2001-08-14",17.301432,17.911428,17.301432,17.74143,1096500
"2001-08-15",17.662342,17.952342,17.412342,17.712341,886100
"2001-08-16",17.541126,17.841125,17.101123,17.751125,764000
"2001-08-17",18.062029,18.062029,17.26203,17.402029,716500
"2001-08-20",17.415952,17.415952,16.915952,17.115953,1142500
"2001-08-21",17.270483,17.280485,16.570482,16.970484,1431800
"2001-08-22",17.331082,17.331082,16.25108,16.631081,1056000
"2001-08-23",16.644415,17.004416,16.544413,16.844416,867700
"2001-08-24",16.910768,17.020769,16.320768,16.640768,1258900
"2001-08-27",16.814394,16.934393,15.814394,16.364393,1236100
"2001-08-28",16.503482,16.503482,15.703483,16.233482,1287800
"2001-08-29",16.261657,16.341655,15.851657,16.131655,784800
"2001-08-30",16.202255,16.202255,14.952253,15.952255,1490100
"2001-08-31",16.163166,16.863167,16.073166,16.083164,920000
"2001-09-04",16.341061,16.541062,15.89106,16.151062,776000
