"","Open","High","Low","Close","Volume"
"2001-01-02",22.464022,22.464022,20.339022,20.964022,416900
"2001-01-03",19.911287,23.270662,19.083162,22.958162,1885200
"2001-01-04",22.696697,24.196697,21.884197,24.134197,1067000
"2001-01-05",24.478193,24.509443,20.884443,21.321943,2291700
"2001-01-08",21.44264,22.145765,20.645765,21.833265,336800
"2001-01-09",22.037739,22.787739,21.787739,22.600239,623500
"2001-01-10",22.732355,22.74798,21.99798,22.49798,1060400
"2001-01-11",22.064581,24.736456,21.861456,24.236456,2675700
"2001-01-12",22.321899,22.759399,21.196899,21.884399,5842200
"2001-01-16",22.083319,22.145819,20.333319,21.270819,2417100
"2001-01-17",21.492371,22.179871,21.492371,21.679871,1561900
"2001-01-18",22.117371,22.179871,20.804871,21.679871,872800
"2001-01-19",21.75514,22.020765,21.333265,21.833265,742300
"2001-01-22",21.76511,22.20261,21.57761,21.57761,796800
"2001-01-23",21.668453,22.418453,21.418453,22.293453,1830600
"2001-01-24",22.526426,22.588926,21.838926,22.088926,1057000
"2001-01-25",22.077559,22.265059,21.640059,22.140059,2055200
"2001-01-26",21.321747,23.634247,21.259247,23.571747,2071500
"2001-01-29",23.446697,24.321697,23.259197,24.134197,2658500
"2001-01-30",24.458063,24.520563,23.708063,24.083063,1285400
"2001-01-31",24.543406,24.605906,22.168406,22.855906,1285300
"2001-02-01",22.98085,23.54335,22.48085,23.41835,1231100
"2001-02-02",23.480906,23.480906,22.480906,22.855906,1330500
"2001-02-05",23.117371,23.148621,21.554871,21.679871,1602700
"2001-02-06",21.506544,22.975294,21.350294,22.037794,1903000
"2001-02-07",21.549061,23.736561,21.486561,23.111561,1314000
"2001-02-08",23.225239,23.912739,22.287739,22.600239,957400
"2001-02-09",22.799259,22.861759,19.799259,20.861759,2839600
"2001-02-12",20.679871,21.992371,20.367371,21.679871,598800
"2001-02-13",21.725294,22.225294,21.662794,22.037794,1289300
"2001-02-14",22.168499,22.355999,21.418499,21.730999,949900
"2001-02-15",22.412891,22.412891,20.600391,20.912891,1831500
"2001-02-16",20.475346,21.975346,19.475346,21.475346,1834500
"2001-02-20",21.895966,22.270966,18.645966,19.583466,1390500
"2001-02-21",19.265259,19.952759,18.952759,19.890259,1180300
"2001-02-22",19.697046,20.384546,18.134546,20.197046,1152100
"2001-02-23",20.577759,20.765259,18.577759,19.890259,1337100
"2001-02-26",19.873133,20.810633,19.623133,20.810633,728500
"2001-02-27",20.858957,20.890207,19.765207,20.452707,670800
"2001-02-28",20.617474,20.867474,19.929974,20.554974,848600
"2001-03-01",20.464077,20.901577,19.839077,20.401577,957300
"2001-03-02",20.202707,20.952707,19.077707,20.452707,1486500
"2001-03-05",20.390207,20.640207,19.577707,20.452707,883000
"2001-03-06",20.645866,20.958366,20.333366,20.708366,887100
"2001-03-07",21.037941,21.037941,19.725441,20.350441,937900
"2001-03-08",20.293701,20.543701,19.481201,19.481201,549700
"2001-03-09",19.650276,19.759651,18.259651,19.072151,659000
"2001-03-12",19.06098,19.12348,16.68598,16.87348,2534500
"2001-03-13",16.754295,17.504295,14.379295,15.441795,4471600
"2001-03-14",15.48171,15.85671,13.23171,13.85671,4585900
"2001-03-15",14.34534,14.97034,13.56409,13.90784,2900700
"2001-03-16",14.038549,14.226049,13.226049,13.601049,1863900
"2001-03-19",13.527131,14.339631,12.839631,14.214631,1073100
"2001-03-20",14.413549,14.538549,13.351049,13.601049,1083000
"2001-03-21",13.959124,14.271624,12.271624,12.271624,1024300
"2001-03-22",12.538701,12.663701,11.226201,11.913701,1385000
"2001-03-23",12.061385,12.811385,11.811385,12.373885,1112400
"2001-03-26",12.944903,13.351153,12.226153,12.476153,532700
"2001-03-27",12.288502,14.351002,12.038502,14.163502,1279500
"2001-03-28",14.260206,14.447706,12.635206,12.885206,3041900
"2001-03-29",12.868179,13.680679,12.680679,12.680679,1229400
"2001-03-30",13.118228,13.118228,11.180728,12.118228,2698100
"2001-04-02",12.43078,12.43078,10.93078,11.55578,1319600
"2001-04-03",10.14117,11.20367,9.32867,9.76617,4335200
"2001-04-04",9.385459,10.572959,8.947959,10.072959,2280600
"2001-04-05",10.101201,11.913701,9.913701,11.913701,1665800
"2001-04-06",12.000392,12.016017,11.078517,11.453517,1013100
"2001-04-09",11.359806,12.329806,11.319806,12.279806,1086600
"2001-04-10",12.618665,15.098665,12.198665,14.848665,1228600
"2001-04-11",15.746764,17.246764,15.166764,15.756764,2603400
"2001-04-12",15.613983,16.483984,15.363983,16.353983,1735300
"2001-04-16",16.524059,16.544059,15.544059,15.544059,576200
"2001-04-17",15.6367,16.5567,15.1367,16.4767,1154400
"2001-04-18",16.440134,19.740134,16.300133,18.710135,2362900
"2001-04-19",18.232823,19.382823,18.132823,19.192822,993500
"2001-04-20",19.299253,19.359255,17.369253,18.399254,1158600
"2001-04-23",18.425707,18.575709,16.825709,17.425707,311600
"2001-04-24",17.783951,17.783951,16.693951,16.713951,624800
"2001-04-25",16.589331,17.589331,16.589331,17.589331,234100
"2001-04-26",17.296517,18.496517,17.296517,18.456516,420300
"2001-04-27",18.074634,19.464633,18.064633,19.274632,352900
"2001-04-30",19.355472,21.305473,19.195473,20.035473,951300
"2001-05-01",20.180075,20.180075,18.840075,19.430075,659800
"2001-05-02",19.681892,19.751892,19.381893,19.421892,826500
"2001-05-03",19.449231,19.449231,18.519231,18.669231,395200
"2001-05-04",18.325626,18.425626,17.435626,18.325626,688400
"2001-05-07",18.675664,18.775664,17.875664,17.875664,258900
"2001-05-08",17.725788,17.735788,15.875787,16.525789,1023300
"2001-05-09",16.577606,16.597606,15.927606,16.517607,463400
"2001-05-10",16.751297,16.861295,15.491296,15.871296,497100
"2001-05-11",15.947695,15.947695,15.147695,15.527695,632100
"2001-05-14",15.73953,15.73953,14.889529,15.33953,423400
"2001-05-15",15.406831,15.54683,14.656831,15.03683,394200
"2001-05-16",15.585006,15.615005,14.555005,15.135005,641900
"2001-05-17",15.413174,15.713175,15.223176,15.233176,2986600
"2001-05-18",15.521424,15.651423,14.371424,14.521424,1371200
"2001-05-21",14.825988,14.825988,13.925988,14.275989,1570000
"2001-05-22",14.248709,14.548708,14.098707,14.398708,840100
"2001-05-23",14.40784,14.40784,13.90784,13.90784,462800
"2001-05-24",13.862365,14.312366,13.862365,14.112365,503700
"2001-05-25",14.152385,14.402385,13.922385,13.932386,304800
"2001-05-29",14.126072,14.196072,13.376072,13.376072,288600
"2001-05-30",13.182457,13.322457,12.832457,13.122458,1492800
"2001-05-31",13.180598,13.620596,13.130597,13.580597,469500
