"","CCL.Open","CCL.High","CCL.Low","CCL.Close","CCL.Volume","CCL.Adjusted"
"2001-01-02",30,30.125,27.8125,28.3125,1731600,17.912527
"2001-01-03",27.875,30.25,27.5625,30.25,2633400,19.138329
"2001-01-04",30,31.75,29.875,30.25,2874200,19.138329
"2001-01-05",30.125,30.3125,29.625,30,1337100,18.980164
"2001-01-08",29.75,30.1875,29.4375,29.75,889000,18.821989
"2001-01-09",29,29.875,28.6875,29.75,1995200,18.821989
"2001-01-10",29.5625,29.6875,29,29.25,1247300,18.505663
"2001-01-11",29.375,29.625,28.625,29.3125,1296600,18.5452
"2001-01-12",28.625,30,28.625,29.8125,1778400,18.861538
"2001-01-16",29.6875,32.0625,29.5625,31.875,2995600,20.166424
"2001-01-17",32.875,34,32.1875,33.125,2946100,20.957268
"2001-01-18",33.25,33.3125,31.8125,32.875,2684100,20.799093
"2001-01-19",32.25,32.3125,30.5625,31,1671700,19.612835
"2001-01-22",31,33,30.375,33,1890500,20.87818
"2001-01-23",33,34.4375,32.3125,33.8125,2514900,21.392225
"2001-01-24",33.875,34.9375,33.75,33.75,2339600,21.352682
"2001-01-25",32.75,33.375,32.4375,32.75,2095300,20.720007
"2001-01-26",32.5,33.0625,32.4375,33.0625,1274700,20.917717
"2001-01-29",32.799999,33.610001,32,33.349998,1112800,21.099609
"2001-01-30",33.200001,33.400002,31.93,32.599998,1435700,20.625107
"2001-01-31",31.700001,32.599998,31.549999,32.259998,1198300,20.409998
"2001-02-01",32.700001,32.700001,31.49,31.66,965200,20.030394
"2001-02-02",31.67,31.82,30.719999,30.75,1471200,19.45467
"2001-02-05",30.4,33.09,30.32,32.700001,2318300,20.688383
"2001-02-06",32.700001,33.25,31.84,32.630001,1590500,20.644091
"2001-02-07",32.5,34.5,32.400002,33.740002,2283800,21.346355
"2001-02-08",33.900002,34.700001,33.34,33.450001,1757700,21.162886
"2001-02-09",33.099998,33.099998,32.450001,32.82,1381800,20.764299
"2001-02-12",32.82,33,32.400002,32.630001,957600,20.644091
"2001-02-13",32.200001,32.5,31.6,31.73,1181800,20.074684
"2001-02-14",31.85,31.99,30.639999,31.200001,1269300,19.739372
"2001-02-15",31.200001,32.459999,31.1,31.84,2197600,20.144283
"2001-02-16",31.84,32.810001,31.629999,32.43,1846200,20.517555
"2001-02-20",32.549999,34.900002,32.5,32.950001,2120300,20.846548
"2001-02-21",32.75,32.849998,32.009998,32.200001,816000,20.37204
"2001-02-22",32,32.099998,30.91,31.1,1124200,19.740477
"2001-02-23",31,31.09,28.85,30.01,1948400,19.048601
"2001-02-26",30.4,31,30.27,30.9,1344900,19.68239
"2001-02-27",31.75,33.5,31.75,32.75,2468500,20.860779
"2001-02-28",32.759998,33.509998,32.599998,33.34,2037500,21.236589
"2001-03-01",33.400002,33.400002,31.799999,32.259998,1387900,20.548664
"2001-03-02",31.299999,31.719999,30.700001,31.25,1783400,19.905327
"2001-03-05",31.6,31.82,30.299999,30.49,1222200,19.42123
"2001-03-06",32,32,30.959999,31.129999,875800,19.82889
"2001-03-07",31.15,31.200001,30.52,30.75,1589500,19.586842
"2001-03-08",30.75,30.940001,30.27,30.5,1916900,19.427605
"2001-03-09",30.299999,30.459999,29.959999,30.049999,1369400,19.140957
"2001-03-12",29.25,29.6,27.27,27.42,2667400,17.465734
"2001-03-13",27.41,28.5,27.41,28.32,1811300,18.039007
"2001-03-14",26,27.75,25.5,26.620001,3159400,16.956158
"2001-03-15",27.25,28.49,27.110001,27.959999,2498800,17.809696
"2001-03-16",27.25,28.370001,27.030001,27.59,2594300,17.574011
"2001-03-19",28.1,28.1,27.190001,27.370001,1427500,17.433878
"2001-03-20",27.4,28.93,27,27.040001,1481200,17.223688
"2001-03-21",27.049999,27.1,24.799999,25.23,3517500,16.070761
"2001-03-22",25.9,25.9,23.6,24.33,2470600,15.497492
"2001-03-23",24.1,25.07,23.780001,25,3004100,15.92426
"2001-03-26",26,26.389999,25.4,25.540001,1734500,16.268232
"2001-03-27",25.5,27.02,25.4,26.65,1855400,16.975267
"2001-03-28",26.65,27.15,26,26.950001,1451200,17.166357
"2001-03-29",26.9,28.23,26.75,27.629999,2110600,17.599503
"2001-03-30",27.620001,28.379999,27.129999,27.67,1317100,17.624969
"2001-04-02",27.75,28.43,27.120001,27.16,1263200,17.300116
