"","Open","High","Low","Close","Volume"
"2001-01-02",5.70727,5.720942,4.861567,5.377192,8998400
"2001-01-03",5.342534,6.795659,5.201909,6.740972,12247200
"2001-01-04",6.772553,7.13974,6.592865,6.60849,11200000
"2001-01-05",6.616926,6.622785,6.265363,6.359113,8832800
"2001-01-08",6.234152,6.406027,6.210715,6.343527,4528800
"2001-01-09",6.406007,6.734132,6.234132,6.35132,4586400
"2001-01-10",6.303492,6.819117,6.303492,6.733179,5391200
"2001-01-11",6.639195,6.959508,6.639195,6.826695,6556800
"2001-01-12",6.834041,7.095759,6.796931,7.013728,2507200
"2001-01-16",7.077552,7.147865,6.483802,6.483802,6224800
"2001-01-17",6.63972,7.092845,6.592845,6.616283,6340800
"2001-01-18",6.523332,6.523332,6.281144,6.296769,6368000
"2001-01-19",6.320908,6.375595,5.846298,6.01622,6488800
"2001-01-22",6.047548,6.094423,5.844423,5.985048,8278400
"2001-01-23",6.013099,6.530677,5.923255,6.483802,8128800
"2001-01-24",6.484015,6.734015,6.31214,6.398078,2623200
"2001-01-25",6.530735,6.82761,6.35886,6.460423,4326400
"2001-01-26",6.343839,6.437589,6.062589,6.218839,4635200
"2001-01-29",6.232472,6.31255,6.078175,6.234425,1992000
"2001-01-30",6.233977,6.733977,6.226165,6.413665,9504000
"2001-01-31",6.242763,6.352138,5.961513,6.024013,8433600
"2001-02-01",6.733958,6.733958,6.194896,6.421458,12155200
"2001-02-02",6.400031,6.648078,6.21839,6.398078,3016000
"2001-02-05",6.47634,6.482199,6.202902,6.343527,3188000
"2001-02-06",6.311089,6.889214,6.264214,6.818902,4463200
"2001-02-07",6.781501,7.045173,6.748298,6.935798,3999200
"2001-02-08",6.94365,7.076462,6.857712,6.920212,3047200
"2001-02-09",6.889273,6.967398,6.717398,6.795523,2747200
"2001-02-12",6.692539,7.372226,6.692539,7.364414,8256000
"2001-02-13",7.364357,7.442482,7.278419,7.387794,8799200
"2001-02-14",7.38756,7.48131,7.35631,7.48131,6192800
"2001-02-15",7.481271,7.668771,7.418771,7.496896,6276000
"2001-02-16",7.434804,7.481679,7.208242,7.333242,4160000
"2001-02-20",7.325935,7.333748,7.02906,7.130623,2969600
"2001-02-21",7.091848,7.169973,6.960989,7.015676,2673600
"2001-02-22",7.013918,7.092043,6.404543,6.937746,6741600
"2001-02-23",6.905423,6.905423,6.467923,6.585111,9003200
"2001-02-26",6.545269,6.982769,6.545269,6.896832,4923200
"2001-02-27",6.78882,6.921632,6.234132,6.35132,5729600
"2001-02-28",6.359055,6.515305,6.31218,6.382493,2315200
"2001-03-01",5.860087,5.985087,5.485087,5.969462,22754400
"2001-03-02",5.844267,6.125517,5.773955,6.047392,11807200
"2001-03-05",6.048171,6.055984,5.704421,5.735671,5524000
"2001-03-06",5.751598,5.985973,5.540661,5.614879,5950400
"2001-03-07",5.579557,5.860807,5.571745,5.68112,9779200
"2001-03-08",5.67561,5.720532,5.423657,5.540845,4222400
"2001-03-09",5.494691,5.525941,5.205628,5.252503,7196800
"2001-03-12",5.237014,5.242873,4.893264,5.197952,6922400
"2001-03-13",5.16166,5.190957,4.745645,4.870645,7133600
"2001-03-14",4.678868,5.2609,4.659337,5.018712,4400800
"2001-03-15",4.964103,5.26879,4.948478,4.98754,7306400
"2001-03-16",4.997501,5.12836,4.90961,4.90961,5792000
"2001-03-19",5.127833,5.237208,4.987208,5.120021,11744800
"2001-03-20",5.158286,5.548911,5.150474,5.439536,5699200
"2001-03-21",5.557288,5.619788,5.205725,5.213538,8258400
"2001-03-22",5.175001,5.182814,4.401564,5.003126,11143200
"2001-03-23",5.153472,5.161284,3.840972,4.239409,32608800
"2001-03-26",4.716263,4.724075,3.9272,4.122513,23624000
"2001-03-27",4.129956,4.301831,4.051831,4.270581,10514400
"2001-03-28",4.177083,4.239583,4.067708,4.169271,5504000
"2001-03-29",4.177454,4.193079,4.005579,4.021204,3616800
"2001-03-30",4.067456,4.348706,4.036206,4.270581,11369600
"2001-04-02",4.294564,4.294564,3.898079,4.052376,5180800
"2001-04-03",4.047452,4.147061,3.490811,3.678311,9012000
"2001-04-04",3.662237,4.091925,3.60755,3.85755,13890400
"2001-04-05",4.05222,4.263158,3.98972,4.11472,4611200
"2001-04-06",4.096909,4.2473,4.005112,4.208237,2420800
"2001-04-09",4.164331,4.270581,4.114331,4.270581,2177600
"2001-04-10",4.300959,4.655959,4.290959,4.619709,8046400
"2001-04-11",4.636857,4.988107,4.635607,4.760607,9993600
"2001-04-12",4.688832,4.723832,4.458832,4.470082,5016000
"2001-04-16",4.469709,4.650959,4.450959,4.619709,3593600
"2001-04-17",4.620978,4.834728,4.575978,4.612228,5488000
"2001-04-18",4.642945,4.860445,4.642945,4.825445,8789600
"2001-04-19",5.566282,5.636282,5.203782,5.491282,17494400
"2001-04-20",5.442824,5.554074,5.319074,5.374074,5187200
"2001-04-23",5.356873,5.363123,5.199373,5.254373,3729600
"2001-04-24",5.254059,5.457809,5.224059,5.380309,4502400
"2001-04-25",5.378613,5.577363,5.361113,5.558613,2088800
"2001-04-26",5.543676,5.731176,5.474926,5.533676,1877600
"2001-04-27",5.548514,5.649764,5.488514,5.598514,2540800
"2001-04-30",5.629723,5.760973,5.610973,5.614723,2759200
"2001-05-01",5.65492,5.75992,5.38117,5.53617,2793600
"2001-05-02",5.59506,5.63756,5.24256,5.48006,2687200
"2001-05-03",5.436793,5.436793,5.111793,5.286793,3026400
"2001-05-04",5.173931,5.530181,4.986431,5.431431,2468000
"2001-05-07",5.419594,5.474594,5.155844,5.165844,1521600
"2001-05-08",5.205642,5.260642,4.980642,5.246892,2276000
"2001-05-09",5.191066,5.192316,4.999816,5.077316,3684000
"2001-05-10",5.191842,5.328092,4.984342,5.266842,3436800
"2001-05-11",5.250947,5.252197,5.032197,5.124697,2080000
"2001-05-14",5.131056,5.149806,5.043556,5.081056,659200
"2001-05-15",5.083482,5.160982,5.062232,5.110982,976000
"2001-05-16",5.110779,5.237029,4.878279,5.192029,4044000
"2001-05-17",5.074704,5.237204,5.035954,5.122204,1565600
"2001-05-18",5.109619,5.224619,5.084619,5.155869,661600
"2001-05-21",5.186313,5.517563,5.145063,5.478813,2488800
"2001-05-22",5.485901,5.773401,5.460901,5.643401,7160800
"2001-05-23",5.594413,5.599413,5.231913,5.238163,2861600
"2001-05-24",5.273791,5.501291,5.256291,5.487541,1730400
"2001-05-25",5.465265,5.511515,5.377765,5.397765,841600
"2001-05-29",5.387659,5.475159,5.266409,5.440159,2660000
"2001-05-30",5.452235,5.487235,5.104735,5.109735,3228800
"2001-05-31",5.144442,5.464442,5.144442,5.226942,2283200
"2001-06-01",5.238129,5.423129,5.236879,5.251879,1487200
"2001-06-04",5.366901,5.374401,5.125651,5.243151,1412000
"2001-06-05",5.241419,5.498919,5.206419,5.436419,2381600
"2001-06-06",5.486241,5.654991,5.454991,5.507491,2334400
"2001-06-07",5.498862,5.520112,5.375112,5.458862,2010400
"2001-06-08",5.523884,5.542634,5.417634,5.450134,1939200
"2001-06-11",5.505196,5.518946,5.368946,5.425196,1572000
"2001-06-12",5.435135,5.972635,5.372635,5.950135,7884000
"2001-06-13",5.95568,6.17318,5.71318,5.73193,5297600
"2001-06-14",5.624015,5.674015,5.355265,5.397765,3114400
"2001-06-15",5.497594,5.540094,5.308844,5.466344,2550400
"2001-06-18",5.467662,5.598912,5.436412,5.438912,1502400
"2001-06-19",5.481216,5.642466,5.481216,5.517466,1250400
"2001-06-20",5.512045,5.712045,5.495795,5.685795,1704800
"2001-06-21",5.6917,5.84795,5.66045,5.8242,4656800
"2001-06-22",5.82242,5.82242,5.48867,5.53617,4677600
"2001-06-25",5.537681,5.631431,5.417681,5.431431,2400000
