"","Open","High","Low","Close","Volume"
"2005-08-11",1.893114,1.953114,1.843114,1.883114,76671500
"2005-08-12",1.748212,2.098212,1.748212,2.084212,29113500
"2005-08-15",2.100979,2.120979,2.002979,2.010979,10596500
"2005-08-16",1.943543,2.023543,1.943543,1.993543,5141000
"2005-08-17",2.018671,2.028671,1.948671,1.958671,6423500
"2005-08-18",2.020549,2.026549,1.880549,1.900549,12727000
"2005-08-19",1.90761,1.94761,1.85961,1.92961,3029500
"2005-08-22",1.906106,1.980106,1.858106,1.976106,2909500
"2005-08-23",2.029202,2.117202,1.989202,2.041202,13466000
"2005-08-24",2.034227,2.084227,2.000227,2.034227,3083000
"2005-08-25",2.077577,2.085577,2.017577,2.029577,4667000
"2005-08-26",2.04674,2.05874,2.01674,2.03074,2704000
"2005-08-29",1.956106,2.012106,1.944106,1.976106,5458000
"2005-08-30",1.995594,2.051594,1.963594,1.979594,2581000
"2005-08-31",2.005696,2.005696,1.915696,1.951696,3004500
"2005-09-01",2.008925,2.008925,1.744925,1.888925,12468500
"2005-09-02",1.936001,1.970001,1.856001,1.868001,5748500
"2005-09-06",1.866362,1.916362,1.860362,1.906362,2726500
"2005-09-07",1.925951,1.929951,1.847951,1.881951,3643500
"2005-09-08",1.883063,1.937063,1.883063,1.897063,2558500
"2005-09-09",1.922122,1.932122,1.896122,1.926122,2468500
"2005-09-12",1.942327,1.956327,1.854327,1.870327,3300500
"2005-09-13",1.893916,1.893916,1.809916,1.845916,3798500
"2005-09-14",1.833317,1.857317,1.813317,1.827317,2055500
"2005-09-15",1.885248,1.897248,1.741248,1.755248,6004000
"2005-09-16",1.72882,1.78482,1.62682,1.78082,9555000
"2005-09-19",1.751744,1.891744,1.739744,1.801744,5559000
"2005-09-20",1.776617,1.882617,1.766617,1.836617,4178000
"2005-09-21",1.883623,1.883623,1.683623,1.743623,8313500
"2005-09-22",1.784665,1.798665,1.684665,1.686665,7184000
"2005-09-23",1.594205,1.834205,1.590205,1.812205,4830500
"2005-09-26",1.821744,1.861744,1.751744,1.801744,7826500
"2005-09-27",1.795094,1.817094,1.773094,1.797094,4505000
"2005-09-28",1.80706,1.80706,1.72706,1.76106,3055000
"2005-09-29",1.781623,1.843623,1.707623,1.743623,6141000
"2005-09-30",1.769538,1.779538,1.691538,1.721538,12109000
"2005-10-03",1.755503,1.755503,1.655503,1.685503,4279000
"2005-10-04",1.711519,1.721519,1.627519,1.635519,2002000
"2005-10-05",1.698577,1.698577,1.464577,1.528577,10826000
"2005-10-06",1.516799,1.574799,1.496799,1.558799,4121000
"2005-10-07",1.629261,1.629261,1.561261,1.569261,2174500
"2005-10-10",1.662831,1.676831,1.436831,1.458831,2443000
"2005-10-11",1.512335,1.512335,1.384335,1.412335,3256500
"2005-10-12",1.423924,1.435924,1.359924,1.387924,2545500
"2005-10-13",1.43953,1.43953,1.29153,1.31353,3555000
"2005-10-14",1.232746,1.464746,1.228746,1.436746,7229500
"2005-10-17",1.450147,1.456147,1.398147,1.418147,3007000
"2005-10-18",1.434899,1.434899,1.382899,1.394899,2575000
"2005-10-19",1.401498,1.433498,1.369498,1.413498,5052000
"2005-10-20",1.366217,1.544217,1.364217,1.490217,7568500
"2005-10-21",1.48049,1.52849,1.46849,1.50649,4029500
"2005-10-24",1.492252,1.540252,1.492252,1.526252,2160000
"2005-10-25",1.540388,1.576388,1.510388,1.534388,2629500
"2005-10-26",1.533602,1.573602,1.493602,1.521602,2839500
"2005-10-27",1.52114,1.54714,1.50114,1.51114,810000
"2005-10-28",1.521825,1.573825,1.521825,1.551825,1664500
"2005-10-31",1.542458,1.640458,1.542458,1.606458,3915000
"2005-11-01",1.690886,1.710886,1.570886,1.580886,2830000
"2005-11-02",1.589911,1.615911,1.515911,1.573911,3455000
"2005-11-03",1.566013,1.586013,1.528013,1.546013,1815000
"2005-11-04",1.537637,1.633637,1.521637,1.557637,2600500
"2005-11-07",1.546748,1.628748,1.538748,1.572748,1783500
"2005-11-08",1.553586,1.577586,1.531586,1.571586,1599500
"2005-11-09",1.584468,1.634468,1.570468,1.584468,2294000
"2005-11-10",1.580232,1.738232,1.522232,1.610232,4019000
"2005-11-11",1.594192,1.666192,1.594192,1.644192,1347500
"2005-11-14",1.629706,1.673706,1.617706,1.647706,1282500
"2005-11-15",1.60651,1.78651,1.58851,1.72851,7032000
"2005-11-16",1.762524,1.842524,1.742524,1.776524,4794000
"2005-11-17",1.740302,1.866302,1.714302,1.850302,8077500
"2005-11-18",1.866052,1.866052,1.736052,1.828052,3764000
"2005-11-21",1.868645,1.878645,1.820645,1.852645,4266000
"2005-11-22",1.860104,1.876104,1.798104,1.842104,1920000
"2005-11-23",1.86517,1.86517,1.80917,1.81517,1068000
"2005-11-25",1.815223,1.839223,1.815223,1.829223,154000
"2005-11-28",1.847999,1.853999,1.785999,1.813999,1477000
"2005-11-29",1.83117,1.83117,1.80517,1.81517,792000
"2005-11-30",1.815314,1.835314,1.797314,1.809314,1513500
"2005-12-01",1.818235,1.834235,1.752235,1.788235,3586000
"2005-12-02",1.764683,1.822683,1.742683,1.818683,3127500
"2005-12-05",1.793565,1.863565,1.763565,1.831565,3232000
"2005-12-06",1.834645,1.858645,1.822645,1.852645,1503000
"2005-12-07",1.875223,1.903223,1.829223,1.829223,1762000
"2005-12-08",1.870669,1.870669,1.762669,1.770669,5745000
"2005-12-09",1.780524,1.802524,1.726524,1.776524,5531500
"2005-12-12",1.791498,1.821498,1.757498,1.769498,2333500
