"","Open","High","Low","Close","Volume"
"2001-01-02",21.773731,21.773731,20.773731,20.836231,1145400
"2001-01-03",21.769007,22.144007,20.081507,20.269007,1586300
"2001-01-04",20.861437,21.298937,18.798937,19.361437,2925600
"2001-01-05",20.012697,20.762697,19.450197,19.512697,1119300
"2001-01-08",19.454926,20.642426,19.454926,20.079926,1037400
"2001-01-09",19.805241,20.180241,19.180241,20.117741,813300
"2001-01-10",20.196533,20.884033,19.946533,20.571533,2109400
"2001-01-11",20.902403,21.027403,19.589903,19.777403,1535900
"2001-01-12",19.456507,20.456507,19.456507,20.269007,1618700
"2001-01-16",20.441788,20.691788,19.566788,20.004288,1128700
"2001-01-17",20.053665,20.366165,19.803665,19.928665,1473800
"2001-01-18",19.780558,20.655558,19.780558,20.155558,938300
"2001-01-19",20.269007,20.519007,20.206507,20.269007,2510300
"2001-01-22",20.120893,20.620893,20.120893,20.495893,1496700
"2001-01-23",20.545263,21.170263,20.295263,20.420263,1288400
"2001-01-24",20.167112,20.354612,19.667112,20.042112,1249700
"2001-01-25",20.005873,20.505873,19.193373,20.193373,1627600
"2001-01-26",20.415537,20.415537,19.603037,19.853037,1451500
"2001-01-29",19.919394,20.309393,19.429392,19.979395,1007100
"2001-01-30",19.746431,20.776434,19.336431,20.186434,1080600
"2001-01-31",20.401802,20.761803,20.101803,20.551804,1748100
"2001-02-01",19.769686,22.469687,19.769686,21.769686,4577300
"2001-02-02",22.402916,22.532917,21.002914,21.172916,1961400
"2001-02-05",21.388674,21.618673,20.988672,21.428671,1255100
"2001-02-06",20.995653,21.945654,20.995653,21.495653,1218900
"2001-02-07",21.54594,22.29594,20.745941,22.195942,1217700
"2001-02-08",22.207389,22.90739,21.90739,22.567389,1045800
"2001-02-09",22.553701,22.893701,21.893701,22.043703,1152100
"2001-02-12",22.216338,22.316336,21.496336,22.086336,884900
"2001-02-13",22.068502,22.578504,21.438505,22.098505,801300
"2001-02-14",22.229786,22.419789,21.879788,22.049786,1352000
