"","CMA.Open","CMA.High","CMA.Low","CMA.Close","CMA.Volume","CMA.Adjusted"
"2001-01-02",59.375,60.375,58.75,58.75,1102700,34.754391
"2001-01-03",58.75,60.9375,57.75,60.75,1252600,35.937519
"2001-01-04",60.75,63.625,60.6875,62.375,1193000,36.898815
"2001-01-05",62.375,62.375,60,60.8125,1132500,35.974506
"2001-01-08",61.3125,61.3125,58.875,60.25,767600,35.641727
"2001-01-09",60.375,60.9375,59.375,59.4375,933700,35.161095
"2001-01-10",58,60.6875,57.6875,59.6875,1408500,35.308975
"2001-01-11",59.5,60.9375,58.9375,59.375,965400,35.12413
"2001-01-12",59.375,59.375,56.875,57.5,948300,34.014935
"2001-01-16",57.5,59.125,56.75,58.3125,1169000,34.495583
"2001-01-17",58.625,59.0625,57.5625,57.6875,882500,34.125854
"2001-01-18",57.9375,57.9375,56.5625,56.6875,927500,33.534298
"2001-01-19",56.6875,57.125,55.75,56,1295100,33.12759
"2001-01-22",56,57.375,55.625,57.3125,1264100,33.90403
"2001-01-23",57.6875,58.8125,57.6875,58.3125,659700,34.495583
"2001-01-24",58.125,59.625,57.5,59.5,539200,35.198059
"2001-01-25",59.3125,60.625,59.0625,59.875,827400,35.419914
"2001-01-26",59.8125,61.875,59.6875,61,727500,36.08543
"2001-01-29",61.5,62.5,60.549999,60.709999,1879900,35.91386
"2001-01-30",60,61,59.049999,60.990002,922700,36.079498
"2001-01-31",60.990002,61,59.43,60.299999,760900,35.671318
"2001-02-01",60.450001,60.549999,59.110001,59.400002,885800,35.138912
"2001-02-02",59.599998,60.5,59.599998,59.84,745900,35.399189
"2001-02-05",60.599998,60.599998,59.650002,60.240002,554900,35.635834
"2001-02-06",59.5,59.5,58.130001,59.299999,1301100,35.079762
"2001-02-07",59.200001,59.400002,57.700001,58.900002,923100,34.843132
"2001-02-08",58.25,58.869999,57.09,58.240002,1126100,34.452702
"2001-02-09",60,60.41,58.599998,59.759998,1571700,35.351883
"2001-02-12",60.5,61.700001,60.400002,61,1055400,36.08543
"2001-02-13",61.25,61.349998,60.299999,60.84,860500,35.990768
"2001-02-14",60.849998,62.299999,60.849998,61.75,1615800,36.529087
"2001-02-15",62.25,62.25,61.360001,61.650002,1384300,36.469936
"2001-02-16",61.66,64.5,61.599998,64.050003,1802100,37.889679
"2001-02-20",64.029999,64.099998,62.5,63.099998,1283600,37.327702
"2001-02-21",63.049999,63.610001,62.900002,63.02,1551600,37.280376
"2001-02-22",63,63.400002,61.610001,62.950001,1461300,37.238964
"2001-02-23",62.75,63.25,60.650002,62.880001,1089800,37.197552
"2001-02-26",62.889999,64.370003,61.610001,64.349998,1033200,38.067165
"2001-02-27",64.349998,65.150002,63.209999,64.519997,1436100,38.167725
"2001-02-28",64.75,64.849998,62.810001,63.650002,735500,37.653076
"2001-03-01",63.400002,64.169998,62.790001,64.169998,706700,37.960674
"2001-03-02",63,64.5,63,64.279999,1058900,38.025742
"2001-03-05",64.279999,64.599998,62.900002,63.799999,751000,37.741798
"2001-03-06",63.950001,64,62,63.529999,811900,37.582073
