"","CMI.Open","CMI.High","CMI.Low","CMI.Close","CMI.Volume","CMI.Adjusted"
"2001-01-02",9.546875,9.640625,9.359375,9.4375,1896000,3.929736
"2001-01-03",9.4375,9.59375,9.21875,9.59375,1608000,3.994796
"2001-01-04",9.59375,10.109375,9.59375,9.953125,1417200,4.144438
"2001-01-05",10.015625,10.015625,9.625,9.671875,1198000,4.027329
"2001-01-08",9.5625,9.671875,9.359375,9.4375,784000,3.929736
"2001-01-09",9.578125,9.578125,9.328125,9.46875,802800,3.942748
"2001-01-10",9.484375,9.484375,8.921875,9.390625,1172800,3.910216
"2001-01-11",9.515625,9.515625,9.21875,9.3125,715600,3.877683
"2001-01-12",9.375,9.46875,9.265625,9.453125,975600,3.936242
"2001-01-16",9.453125,9.671875,9.28125,9.640625,844800,4.014317
"2001-01-17",9.75,9.75,9.359375,9.375,521200,3.903711
"2001-01-18",9.421875,9.484375,9.09375,9.46875,795600,3.942748
"2001-01-19",9.484375,9.484375,9.09375,9.21875,597200,3.838649
"2001-01-22",9.28125,9.3125,9.109375,9.25,540000,3.851661
"2001-01-23",9.25,9.5625,9.203125,9.4375,774000,3.929736
"2001-01-24",9.453125,9.484375,9.328125,9.328125,502400,3.884194
"2001-01-25",9.484375,9.484375,8.890625,9.328125,2572400,3.884194
"2001-01-26",9.046875,9.25,8.65625,9.171875,2597200,3.81913
"2001-01-29",9.2475,9.305,9.0475,9.2525,692000,3.852701
"2001-01-30",9.25,9.5,9.0225,9.5,664800,3.95576
"2001-01-31",9.405,9.625,9.375,9.38,1667600,3.905794
"2001-02-01",9.4425,9.4975,9.2,9.3525,898800,3.894341
"2001-02-02",9.455,9.4675,9.2075,9.295,931200,3.8704
"2001-02-05",9.3575,9.3575,9.0375,9.04,1100400,3.764217
"2001-02-06",9.0375,9.265,8.6,9.1875,1762400,3.825636
"2001-02-07",9.175,9.445,9.15,9.425,619600,3.924532
"2001-02-08",9.425,9.475,9.1375,9.215,1074800,3.837086
"2001-02-09",9.275,9.275,9,9.0725,1006800,3.777753
"2001-02-12",9.05,9.275,9.0375,9.1875,749200,3.825636
"2001-02-13",9.275,9.35,9.25,9.3275,964000,3.883931
"2001-02-14",9.35,9.3675,9.21,9.2625,880000,3.856868
"2001-02-15",9.3,9.66,9.2875,9.635,1487200,4.011975
"2001-02-16",9.635,9.8125,9.25,9.39,1411200,3.909959
"2001-02-20",9.4375,9.5875,9.26,9.2925,883600,3.869357
"2001-02-21",9.2925,9.325,9.0725,9.2875,843600,3.867277
"2001-02-22",9.2875,9.2875,9,9.16,864800,3.814186
"2001-02-23",9.1625,9.1625,8.88,9.1,1190800,3.789203
"2001-02-26",9.2,9.7375,9.125,9.5675,1046000,3.983869
"2001-02-27",9.3125,9.5525,9.3125,9.4,844800,4.040825
"2001-02-28",9.5,9.55,9.2,9.2375,943200,3.97097
"2001-03-01",9.5,9.5125,9.22,9.405,1135600,4.042974
"2001-03-02",9.4625,9.8075,9.435,9.6225,982000,4.136474
"2001-03-05",9.575,10.0875,9.575,10.015,1636800,4.3052
"2001-03-06",10.0775,10.3625,10,10.07,2025600,4.328842
"2001-03-07",10.1875,10.8175,10.155,10.6525,3219200,4.579243
"2001-03-08",10.655,10.7475,10.625,10.6575,1494000,4.581393
"2001-03-09",10.6875,10.69,10.5125,10.5175,1597200,4.521211
"2001-03-12",10.5175,10.625,10.25,10.25,1880400,4.406219
"2001-03-13",10.375,10.375,9.925,10.2625,2660800,4.411593
"2001-03-14",10.1,10.1675,9.8375,9.95,1452800,4.277257
"2001-03-15",10.2375,10.2375,9.9575,9.99,1293600,4.294451
"2001-03-16",9.925,9.95,9.65,9.69,1359600,4.16549
"2001-03-19",9.7375,10.0625,9.6375,9.995,1109200,4.296603
"2001-03-20",10.0875,10.0875,9.635,9.6525,921200,4.149368
"2001-03-21",9.6375,9.655,9.2625,9.345,1372400,4.017185
"2001-03-22",9.2875,9.4625,8.875,9.3275,1561600,4.009659
"2001-03-23",9.3625,9.3625,9.0125,9.145,1477200,3.931207
"2001-03-26",9.27,9.625,9.225,9.535,1024400,4.098858
"2001-03-27",9.445,9.61,9.4125,9.6,652400,4.126801
"2001-03-28",9.55,9.625,9.3125,9.43,633600,4.053721
"2001-03-29",9.4,9.6,9.275,9.425,1520400,4.051575
"2001-03-30",9.375,9.5275,9.26,9.385,687600,4.034377
"2001-04-02",9.335,9.6975,9.2475,9.305,1010000,3.999986
"2001-04-03",9.3375,9.3375,8.9425,9.0025,1190400,3.86995
"2001-04-04",8.95,9.375,8.9425,9.185,1106000,3.948404
"2001-04-05",9.175,9.3375,9.075,9.28,2403200,3.989239
"2001-04-06",9.2825,9.2825,8.975,9.08,762800,3.903265
"2001-04-09",9.125,9.25,9.125,9.205,801600,3.957001
"2001-04-10",9.2375,9.675,9.2025,9.595,1402400,4.124651
"2001-04-11",9.5375,9.57,9.2125,9.2375,610000,3.97097
"2001-04-12",9,9.6575,9,9.6275,923600,4.13862
"2001-04-16",9.3775,9.7875,9.2625,9.54,1624000,4.10101
"2001-04-17",9.5375,9.6525,9.525,9.6,610400,4.126801
"2001-04-18",9.725,10.3375,9.475,10.225,1714400,4.395474
"2001-04-19",10.1875,10.1875,9.9725,10.125,1093200,4.352487
"2001-04-20",10.0875,10.1075,9.79,9.97,1011600,4.285853
"2001-04-23",9.97,10.0375,9.7875,9.82,429600,4.221373
"2001-04-24",9.7575,9.9675,9.7575,9.8825,900800,4.24824
"2001-04-25",9.85,10.0925,9.6125,10.0725,866800,4.329916
"2001-04-26",10.025,10.2475,10.0125,10.135,546000,4.356785
"2001-04-27",10.15,10.3375,10.115,10.3125,496000,4.433086
"2001-04-30",10.315,10.625,10.25,10.35,1286000,4.449207
"2001-05-01",10.2875,10.515,10.2125,10.515,912400,4.520134
"2001-05-02",10.6875,10.7875,10.4125,10.5125,1212000,4.519063
"2001-05-03",10.475,10.555,10.1375,10.535,2276800,4.528735
"2001-05-04",10.475,10.7775,10.2,10.7775,1110800,4.632978
"2001-05-07",10.7025,10.8875,10.57,10.81,1041600,4.646949
"2001-05-08",10.7125,10.8425,10.585,10.7175,516000,4.607185
"2001-05-09",10.6625,10.875,10.5625,10.7775,1146400,4.632978
"2001-05-10",10.8375,11.025,10.6725,10.975,797200,4.717878
"2001-05-11",11.05,11.085,10.8125,10.9125,619200,4.691014
"2001-05-14",10.795,10.925,10.625,10.7575,916400,4.62438
"2001-05-15",10.8125,10.86,10.6725,10.7825,464400,4.635128
"2001-05-16",10.7825,11.2875,10.7775,11.2625,887200,4.841468
"2001-05-17",11.265,11.375,11.225,11.33,1040000,4.870485
"2001-05-18",11.375,11.375,11.19,11.205,619200,4.816751
"2001-05-21",11.205,11.205,10.92,11.185,1409600,4.80815
"2001-05-22",11.15,11.2875,11.05,11.2,908400,4.814601
"2001-05-23",11.2,11.2,10.86,10.88,1142000,4.677042
"2001-05-24",10.8775,10.9875,10.725,10.865,1413200,4.670592
"2001-05-25",10.865,11.01,10.82,10.905,454000,4.687788
"2001-05-29",10.95,10.95,10.64,10.705,936000,4.601814
"2001-05-30",10.6325,10.6325,10.4,10.4175,904000,4.607342
"2001-05-31",10.4175,10.765,10.4175,10.5875,886000,4.682528
"2001-06-01",10.5,10.91,10.35,10.875,1567200,4.80968
"2001-06-04",10.475,10.855,10.375,10.84,2483200,4.794198
"2001-06-05",10.84,10.875,10.745,10.86,835600,4.803044
"2001-06-06",10.75,11,10.7025,10.7525,1594800,4.7555
"2001-06-07",10.7625,10.8725,10.7325,10.7775,791600,4.766559
"2001-06-08",10.775,10.7875,10.5775,10.6225,1280800,4.698007
"2001-06-11",10.5,10.5125,10.155,10.185,3185600,4.504512
"2001-06-12",10.075,10.125,9.8225,9.9025,12328800,4.379572
"2001-06-13",9.845,9.8475,9.5725,9.7,9342400,4.290013
"2001-06-14",9.625,9.7575,9.5875,9.7475,5057600,4.311022
"2001-06-15",9.7625,9.9,9.75,9.795,3925200,4.332029
"2001-06-18",9.8125,10,9.6275,9.9125,3900400,4.383996
"2001-06-19",9.975,10.05,9.7775,10.005,2587200,4.424905
"2001-06-20",10.0075,10.2,9.9325,10.175,3149200,4.500091
"2001-06-21",10.125,10.245,10.0425,10.0625,1584400,4.450335
"2001-06-22",10.0625,10.0875,9.8225,9.825,730800,4.345298
"2001-06-25",9.85,9.9175,9.575,9.6025,1617600,4.246892
"2001-06-26",9.55,9.82,9.435,9.7775,1751600,4.324288
"2001-06-27",9.72,9.9475,9.6975,9.71,1408000,4.294436
"2001-06-28",9.7725,9.81,9.67,9.755,2172800,4.314337
"2001-06-29",9.765,9.87,9.6125,9.675,3392000,4.278956
"2001-07-02",9.875,10.0525,9.6125,10.035,1388400,4.438173
"2001-07-03",10.035,10.1325,9.9625,10.0725,669600,4.454758
"2001-07-05",10.025,10.0875,9.8775,10.045,436400,4.442595
"2001-07-06",10,10,9.575,9.6875,972800,4.284484
"2001-07-09",9.75,10.05,9.75,10.015,1128000,4.429328
"2001-07-10",10.015,10.125,9.8875,9.9575,1328400,4.403899
"2001-07-11",9.9575,10.1225,9.7875,9.8625,1092400,4.361882
"2001-07-12",10.3375,10.65,10.3125,10.4375,3004800,4.616187
"2001-07-13",10.4375,10.5375,10.3125,10.41,806400,4.604025
"2001-07-16",10.5,10.5375,10.2375,10.33,858000,4.56864
"2001-07-17",10.375,10.875,10.3375,10.6875,1764400,4.726754
"2001-07-18",10.6875,10.6875,10.375,10.58,722400,4.67921
"2001-07-19",10.6625,10.8625,10.4225,10.525,1042800,4.654884
"2001-07-20",10.5875,10.7575,10.4875,10.5825,638400,4.680316
"2001-07-23",10.575,10.575,10.25,10.37,895200,4.586332
"2001-07-24",10.375,10.375,10,10.1125,1036000,4.47245
"2001-07-25",10.0625,10.145,10,10.1425,1624800,4.485716
"2001-07-26",10.1925,10.2175,9.995,10.2125,577200,4.516676
"2001-07-27",10.25,10.2775,10.1525,10.255,460000,4.535475
"2001-07-30",10.3125,10.425,10.0625,10.1,1208800,4.46692
"2001-07-31",10.15,10.3375,10.075,10.1775,998400,4.501197
"2001-08-01",10.225,10.335,10.1,10.1725,497200,4.498985
"2001-08-02",10.2,10.325,10.1275,10.27,404800,4.542107
"2001-08-03",10.2875,10.3875,10.1125,10.35,856800,4.577487
"2001-08-06",10.3525,10.3675,10.1325,10.175,599200,4.500091
"2001-08-07",10.1625,10.2125,9.9375,10.0475,1280800,4.443702
"2001-08-08",10.0625,10.2475,9.96,9.975,491600,4.411635
"2001-08-09",9.9725,10.065,9.85,10.0375,528000,4.439281
"2001-08-10",10,10.3125,9.99,10.2575,690000,4.536577
"2001-08-13",10.3475,10.5,10.225,10.465,768000,4.628349
"2001-08-14",10.485,10.485,10.2875,10.4425,718000,4.618398
"2001-08-15",10.425,10.4975,10.3025,10.3225,396800,4.565324
"2001-08-16",10.3375,10.385,10.175,10.37,289600,4.586332
"2001-08-17",10.3075,10.3125,10.1125,10.26,868800,4.537685
"2001-08-20",10.2975,10.2975,9.9075,10.0275,1132000,4.434856
