"","Open","High","Low","Close","Volume"
"2001-01-02",4.039111,4.132861,3.851611,3.929736,1896000
"2001-01-03",3.838546,3.994796,3.619796,3.994796,1608000
"2001-01-04",3.785063,4.300688,3.785063,4.144438,1417200
"2001-01-05",4.371079,4.371079,3.980454,4.027329,1198000
"2001-01-08",4.054736,4.164111,3.851611,3.929736,784000
"2001-01-09",4.052123,4.052123,3.802123,3.942748,802800
"2001-01-10",4.003966,4.003966,3.441466,3.910216,1172800
"2001-01-11",4.080808,4.080808,3.783933,3.877683,715600
"2001-01-12",3.858117,3.951867,3.748742,3.936242,975600
"2001-01-16",3.826817,4.045567,3.654942,4.014317,844800
"2001-01-17",4.278711,4.278711,3.888086,3.903711,521200
"2001-01-18",3.895873,3.958373,3.567748,3.942748,795600
"2001-01-19",4.104274,4.104274,3.713649,3.838649,597200
"2001-01-22",3.882911,3.914161,3.711036,3.851661,540000
"2001-01-23",3.742236,4.054736,3.695361,3.929736,774000
"2001-01-24",4.009194,4.040444,3.884194,3.884194,502400
"2001-01-25",4.040444,4.040444,3.446694,3.884194,2572400
"2001-01-26",3.69413,3.897255,3.303505,3.81913,2597200
"2001-01-29",3.847701,3.905201,3.647701,3.852701,692000
"2001-01-30",3.70576,3.95576,3.47826,3.95576,664800
"2001-01-31",3.930794,4.150794,3.900794,3.905794,1667600
"2001-02-01",3.984341,4.039341,3.741841,3.894341,898800
"2001-02-02",4.0304,4.0429,3.7829,3.8704,931200
"2001-02-05",4.081717,4.081717,3.761717,3.764217,1100400
"2001-02-06",3.675636,3.903136,3.238136,3.825636,1762400
"2001-02-07",3.674532,3.944532,3.649532,3.924532,619600
"2001-02-08",4.047086,4.097086,3.759586,3.837086,1074800
"2001-02-09",3.980253,3.980253,3.705253,3.777753,1006800
"2001-02-12",3.688136,3.913136,3.675636,3.825636,749200
"2001-02-13",3.831431,3.906431,3.806431,3.883931,964000
"2001-02-14",3.944368,3.961868,3.804368,3.856868,880000
"2001-02-15",3.676975,4.036975,3.664475,4.011975,1487200
"2001-02-16",4.154959,4.332459,3.769959,3.909959,1411200
"2001-02-20",4.014357,4.164357,3.836857,3.869357,883600
"2001-02-21",3.872277,3.904777,3.652277,3.867277,843600
"2001-02-22",3.941686,3.941686,3.654186,3.814186,864800
"2001-02-23",3.851703,3.851703,3.569203,3.789203,1190800
"2001-02-26",3.616369,4.153869,3.541369,3.983869,1046000
"2001-02-27",3.953325,4.193325,3.953325,4.040825,844800
"2001-02-28",4.23347,4.28347,3.93347,3.97097,943200
"2001-03-01",4.137974,4.150474,3.857974,4.042974,1135600
"2001-03-02",3.976474,4.321474,3.948974,4.136474,982000
"2001-03-05",3.8652,4.3777,3.8652,4.3052,1636800
"2001-03-06",4.336342,4.621342,4.258842,4.328842,2025600
"2001-03-07",4.114243,4.744243,4.081743,4.579243,3219200
"2001-03-08",4.578893,4.671393,4.548893,4.581393,1494000
"2001-03-09",4.691211,4.693711,4.516211,4.521211,1597200
"2001-03-12",4.673719,4.781219,4.406219,4.406219,1880400
"2001-03-13",4.524093,4.524093,4.074093,4.411593,2660800
"2001-03-14",4.427257,4.494757,4.164757,4.277257,1452800
"2001-03-15",4.541951,4.541951,4.261951,4.294451,1293600
"2001-03-16",4.40049,4.42549,4.12549,4.16549,1359600
"2001-03-19",4.039103,4.364103,3.939103,4.296603,1109200
"2001-03-20",4.584368,4.584368,4.131868,4.149368,921200
"2001-03-21",4.309685,4.327185,3.934685,4.017185,1372400
"2001-03-22",3.969659,4.144659,3.557159,4.009659,1561600
"2001-03-23",4.148707,4.148707,3.798707,3.931207,1477200
"2001-03-26",3.833858,4.188858,3.788858,4.098858,1024400
"2001-03-27",3.971801,4.136801,3.939301,4.126801,652400
"2001-03-28",4.173721,4.248721,3.936221,4.053721,633600
"2001-03-29",4.026575,4.226575,3.901575,4.051575,1520400
"2001-03-30",4.024377,4.176877,3.909377,4.034377,687600
"2001-04-02",4.029986,4.392486,3.942486,3.999986,1010000
"2001-04-03",4.20495,4.20495,3.80995,3.86995,1190400
"2001-04-04",3.713404,4.138404,3.705904,3.948404,1106000
"2001-04-05",3.884239,4.046739,3.784239,3.989239,2403200
"2001-04-06",4.105765,4.105765,3.798265,3.903265,762800
"2001-04-09",3.877001,4.002001,3.877001,3.957001,801600
"2001-04-10",3.767151,4.204651,3.732151,4.124651,1402400
"2001-04-11",4.27097,4.30347,3.94597,3.97097,610000
"2001-04-12",3.51112,4.16862,3.51112,4.13862,923600
"2001-04-16",3.93851,4.34851,3.82351,4.10101,1624000
"2001-04-17",4.064301,4.179301,4.051801,4.126801,610400
"2001-04-18",3.895474,4.507974,3.645474,4.395474,1714400
"2001-04-19",4.414987,4.414987,4.199987,4.352487,1093200
"2001-04-20",4.403353,4.423353,4.105853,4.285853,1011600
"2001-04-23",4.371373,4.438873,4.188873,4.221373,429600
"2001-04-24",4.12324,4.33324,4.12324,4.24824,900800
"2001-04-25",4.107416,4.349916,3.869916,4.329916,866800
"2001-04-26",4.246785,4.469285,4.234285,4.356785,546000
"2001-04-27",4.270586,4.458086,4.235586,4.433086,496000
"2001-04-30",4.414207,4.724207,4.349207,4.449207,1286000
"2001-05-01",4.292634,4.520134,4.217634,4.520134,912400
"2001-05-02",4.694063,4.794063,4.419063,4.519063,1212000
"2001-05-03",4.468735,4.548735,4.131235,4.528735,2276800
"2001-05-04",4.330478,4.632978,4.055478,4.632978,1110800
"2001-05-07",4.539449,4.724449,4.406949,4.646949,1041600
"2001-05-08",4.602185,4.732185,4.474685,4.607185,516000
"2001-05-09",4.517978,4.730478,4.417978,4.632978,1146400
"2001-05-10",4.580378,4.767878,4.415378,4.717878,797200
"2001-05-11",4.828514,4.863514,4.591014,4.691014,619200
"2001-05-14",4.66188,4.79188,4.49188,4.62438,916400
"2001-05-15",4.665128,4.712628,4.525128,4.635128,464400
"2001-05-16",4.361468,4.866468,4.356468,4.841468,887200
"2001-05-17",4.805485,4.915485,4.765485,4.870485,1040000
"2001-05-18",4.986751,4.986751,4.801751,4.816751,619200
"2001-05-21",4.82815,4.82815,4.54315,4.80815,1409600
"2001-05-22",4.764601,4.902101,4.664601,4.814601,908400
"2001-05-23",4.997042,4.997042,4.657042,4.677042,1142000
"2001-05-24",4.683092,4.793092,4.530592,4.670592,1413200
"2001-05-25",4.647788,4.792788,4.602788,4.687788,454000
"2001-05-29",4.846814,4.846814,4.536814,4.601814,936000
"2001-05-30",4.822342,4.822342,4.589842,4.607342,904000
"2001-05-31",4.512528,4.860028,4.512528,4.682528,886000
"2001-06-01",4.43468,4.84468,4.28468,4.80968,1567200
"2001-06-04",4.429198,4.809198,4.329198,4.794198,2483200
"2001-06-05",4.783044,4.818044,4.688044,4.803044,835600
"2001-06-06",4.753,5.003,4.7055,4.7555,1594800
"2001-06-07",4.751559,4.861559,4.721559,4.766559,791600
"2001-06-08",4.850507,4.863007,4.653007,4.698007,1280800
"2001-06-11",4.819512,4.832012,4.474512,4.504512,3185600
"2001-06-12",4.552072,4.602072,4.299572,4.379572,12328800
"2001-06-13",4.435013,4.437513,4.162513,4.290013,9342400
"2001-06-14",4.188522,4.321022,4.151022,4.311022,5057600
"2001-06-15",4.299529,4.437029,4.287029,4.332029,3925200
"2001-06-18",4.283996,4.471496,4.098996,4.383996,3900400
