"","CNX.Open","CNX.High","CNX.Low","CNX.Close","CNX.Volume","CNX.Adjusted"
"2001-01-02",11.5625,11.588542,10.703125,11.458333,682300,8.99699
"2001-01-03",11.354167,11.354167,10.494792,10.963542,471600,8.608485
"2001-01-04",10.9375,11.328125,10.703125,11.145833,425000,8.75162
"2001-01-05",11.041667,11.640625,11.041667,11.09375,585800,8.710723
"2001-01-08",10.859375,10.859375,10.572917,10.677083,554400,8.38356
"2001-01-09",10.598958,11.432292,10.364583,11.067708,379400,8.690275
"2001-01-10",10.963542,11.848958,10.833333,11.848958,637400,9.303708
"2001-01-11",11.848958,12.96875,11.640625,12.265625,1194000,9.63087
"2001-01-12",12.265625,12.421875,11.354167,11.354167,477100,8.915201
"2001-01-16",11.197917,11.666667,10.911458,11.588542,907400,9.099227
"2001-01-17",11.614583,12.291667,11.614583,11.953125,457900,9.385498
"2001-01-18",11.979167,12.109375,11.302083,11.484375,542400,9.017438
"2001-01-19",11.484375,11.588542,11.25,11.328125,188400,8.894753
"2001-01-22",11.354167,11.354167,10.78125,11.223958,292800,8.812962
"2001-01-23",11.25,11.458333,11.145833,11.171875,396200,8.772066
"2001-01-24",11.171875,11.979167,11.171875,11.796875,304300,9.262812
"2001-01-25",11.770833,11.848958,11.510417,11.5625,192900,9.078784
"2001-01-26",11.666667,11.744792,11.458333,11.458333,243600,8.99699
"2001-01-29",11.458333,11.458333,11.166667,11.166667,178800,8.767978
"2001-01-30",11.166667,11.166667,10.808333,10.841666,261100,8.512792
"2001-01-31",10.925,11.354167,10.925,11.170834,461200,8.771248
"2001-02-01",11.208333,13.233334,11.041667,12.829166,614100,10.07336
"2001-02-02",12.829166,13.020833,12.541667,12.75,630400,10.011197
"2001-02-05",12.708333,12.725,12.470834,12.525,438400,9.834527
"2001-02-06",12.629167,12.9125,12.4375,12.520833,785500,9.831256
"2001-02-07",12.5,12.895833,12.395833,12.645833,428100,10.022799
"2001-02-08",12.645833,12.8125,12.541667,12.666667,405800,10.039312
"2001-02-09",12.645833,12.645833,12.0125,12.083333,290800,9.576973
"2001-02-12",11.979167,12.125,11.75,11.895833,208300,9.428367
"2001-02-13",11.958333,12.020833,11.583333,11.770833,199200,9.32929
"2001-02-14",11.729167,11.729167,11.591666,11.645833,103400,9.230222
"2001-02-15",11.625,11.908334,11.625,11.908334,488100,9.438272
"2001-02-16",11.875,11.979167,11.8125,11.9375,288000,9.461391
"2001-02-20",12.083333,12.166667,11.9375,11.941667,143200,9.464694
"2001-02-21",11.916667,11.920834,11.75,11.833333,187600,9.378832
"2001-02-22",11.833333,12.020833,11.716666,11.975,171100,9.491113
