"","COF.Open","COF.High","COF.Low","COF.Close","COF.Volume","COF.Adjusted"
"2001-01-02",64.625,64.625,61.0625,61.9375,1245400,49.293476
"2001-01-03",61.25,68.75,60.5,67,1958300,53.322491
"2001-01-04",66.25,70.4375,65.8125,67,3103600,53.322491
"2001-01-05",61.625,64.9375,61.625,64.5,2022300,51.332859
"2001-01-08",64.5,64.9375,62,62.6875,1577900,49.890396
"2001-01-09",63.1875,63.8125,60.3125,60.75,1276400,48.348412
"2001-01-10",60.5,63,60.1875,62.9375,1109300,50.089348
"2001-01-11",62.9375,66.3125,62.9375,63.625,1208000,50.636494
"2001-01-12",63.75,65,62.9375,63.5625,927100,50.586765
"2001-01-16",64.25,66.125,63.5,64.6875,1252200,51.48209
"2001-01-17",66,67.9375,65.625,66.125,2501700,52.626125
"2001-01-18",65.1875,66.5,62.0625,63.5,3926300,50.53701
"2001-01-19",61.75,62.25,60.3125,61.4375,3853800,48.895561
"2001-01-22",61,63.4375,60.5625,62.375,2856200,49.64167
"2001-01-23",62.625,63.6875,62.4375,63,1393400,50.13908
"2001-01-24",63.375,65.6875,62.9375,65.5625,1605100,52.178478
"2001-01-25",65.3125,65.5,63.875,64.4375,1081000,51.283123
"2001-01-26",64.4375,65.6875,63.3125,65.625,893100,52.228233
"2001-01-29",65.620003,67.970001,65.599998,67.25,1592800,53.521484
"2001-01-30",67.25,67.400002,65,65,3184500,51.730797
"2001-01-31",64.5,64.5,62.029999,63.02,2136000,50.154999
"2001-02-01",63.099998,63.099998,62,62.529999,1502500,49.765015
"2001-02-02",62.700001,63.990002,61.560001,61.830002,1098900,49.207943
"2001-02-05",61.759998,62,61.049999,61.75,876000,49.144253
"2001-02-06",61.720001,62.549999,60.560001,61.860001,1264800,49.253094
"2001-02-07",61.860001,63.669998,61.52,61.52,953000,48.982376
"2001-02-08",61.549999,63.349998,61.549999,61.709999,1192300,49.133663
"2001-02-09",61.66,63.299999,61.349998,62.240002,775900,49.55566
"2001-02-12",62,63.75,62,63.75,1054400,50.757927
"2001-02-13",63.849998,64.300003,62.5,62.5,792700,49.762669
"2001-02-14",62.509998,62.75,60,60.099998,1335400,47.851788
"2001-02-15",60.349998,61.349998,58.310001,61.02,2432700,48.584286
"2001-02-16",61.02,61.970001,60.400002,60.5,1276500,48.170261
"2001-02-20",59.849998,60.709999,57.549999,57.900002,1639100,46.10014
