"","Open","High","Low","Close","Volume"
"2001-01-02",1.695421,1.747504,1.518338,1.523546,4348800
"2001-01-03",1.507333,1.533375,1.293792,1.533375,7140000
"2001-01-04",1.614515,1.614515,1.343682,1.395765,4683200
"2001-01-05",1.36368,1.48868,1.36368,1.467846,2496800
"2001-01-08",1.507164,1.559248,1.460289,1.507164,3562400
"2001-01-09",1.523206,1.523206,1.408623,1.471123,2501600
"2001-01-10",1.461465,1.581256,1.456256,1.487506,2076000
"2001-01-11",1.488263,1.550763,1.477846,1.503888,1544000
"2001-01-12",1.518585,1.518585,1.393585,1.461294,3276000
"2001-01-16",1.40955,1.513717,1.40955,1.513717,1448000
"2001-01-17",1.552355,1.552355,1.432563,1.448188,2240000
"2001-01-18",1.523115,1.53874,1.309573,1.356448,6264000
"2001-01-19",1.338643,1.463643,1.333435,1.421977,1248800
"2001-01-22",1.423909,1.460367,1.4187,1.4187,843200
"2001-01-23",1.419287,1.450537,1.388037,1.40887,1061600
"2001-01-24",1.425841,1.457091,1.415424,1.415424,420000
"2001-01-25",1.430044,1.555044,1.398794,1.461294,2107200
"2001-01-26",1.493301,1.514135,1.441218,1.477676,1200800
"2001-01-29",1.4983,1.522467,1.429134,1.441634,1985600
"2001-01-30",1.426984,1.447818,1.406151,1.431151,1699200
"2001-01-31",1.401394,1.483894,1.401394,1.468894,2681600
"2001-02-01",1.481151,1.481151,1.364484,1.431151,1454400
"2001-02-02",1.422496,1.489163,1.420829,1.445829,2126400
"2001-02-05",1.427873,1.522873,1.427873,1.47204,2133600
"2001-02-06",1.479109,1.499109,1.413276,1.469943,964800
"2001-02-07",1.458947,1.554781,1.425614,1.554781,1594400
"2001-02-08",1.570778,1.570778,1.487444,1.504111,864800
"2001-02-09",1.460917,1.59425,1.45675,1.580917,1779200
"2001-02-12",1.600785,1.617451,1.559118,1.584118,1371200
"2001-02-13",1.58445,1.60695,1.536117,1.576117,1377600
"2001-02-14",1.567418,1.625751,1.546585,1.591585,1689600
"2001-02-15",1.617681,1.617681,1.471847,1.531847,1288800
"2001-02-16",1.530947,1.587614,1.508447,1.533447,1508000
"2001-02-20",1.579281,1.595947,1.527614,1.533447,811200
"2001-02-21",1.551477,1.59231,1.493143,1.493977,994400
"2001-02-22",1.522474,1.529974,1.41164,1.443307,1785600
"2001-02-23",1.442206,1.475539,1.392206,1.436373,1747200
"2001-02-26",1.416876,1.518542,1.416876,1.471042,1340000
"2001-02-27",1.47661,1.490777,1.473277,1.477443,555200
"2001-02-28",1.496274,1.496274,1.42044,1.44544,1143200
"2001-03-01",1.435339,1.446173,1.406173,1.427839,1262400
"2001-03-02",1.428272,1.428272,1.415772,1.424105,1796000
"2001-03-05",1.409941,1.509941,1.397441,1.464108,1654400
"2001-03-06",1.441778,1.506778,1.382611,1.506778,1310400
"2001-03-07",1.483152,1.715652,1.483152,1.600652,6617600
"2001-03-08",1.665126,1.760959,1.631793,1.706793,5320800
"2001-03-09",1.741725,1.758392,1.679225,1.681725,1332800
"2001-03-12",1.651787,1.651787,1.563453,1.626787,2090400
"2001-03-13",1.601619,1.609952,1.499119,1.597452,1857600
"2001-03-14",1.605317,1.65115,1.559484,1.56865,1635200
"2001-03-15",1.622615,1.622615,1.518448,1.560115,1118400
"2001-03-16",1.579312,1.640979,1.516812,1.525979,950400
"2001-03-19",1.515114,1.555114,1.515114,1.546781,1714400
"2001-03-20",1.553613,1.598613,1.529446,1.536113,2223200
"2001-03-21",1.587941,1.587941,1.433775,1.458775,2280800
"2001-03-22",1.39244,1.450774,1.309107,1.450774,3619200
"2001-03-23",1.432776,1.499442,1.432776,1.482776,2059200
"2001-03-26",1.48901,1.505677,1.42401,1.48651,1668800
"2001-03-27",1.483111,1.515611,1.475611,1.488111,2008800
"2001-03-28",1.515941,1.520108,1.453441,1.453441,1344800
"2001-03-29",1.479335,1.479335,1.379335,1.385169,1256000
"2001-03-30",1.34844,1.440107,1.34844,1.440107,2184000
"2001-04-02",1.481104,1.502771,1.394437,1.402771,1395200
"2001-04-03",1.427601,1.442601,1.353434,1.360101,2698400
"2001-04-04",1.330432,1.429599,1.322099,1.338766,2784000
