"","CPB.Open","CPB.High","CPB.Low","CPB.Close","CPB.Volume","CPB.Adjusted"
"2001-01-02",34.6875,35.4375,34.3125,34.75,982700,20.319689
"2001-01-03",34.875,35.4375,32.75,33.375,1678300,19.642849
"2001-01-04",33.125,33.1875,31,31.5625,1481600,18.576109
"2001-01-05",31.5625,32.6875,31.5625,32.5,661500,19.127878
"2001-01-08",32.5625,32.75,32.0625,32.75,574600,19.275003
"2001-01-09",32.9375,33.6875,32.5,33.5625,866300,19.753208
"2001-01-10",33.5625,33.625,32.8125,33.125,586400,19.495716
"2001-01-11",33.0625,33.1875,32.375,32.4375,808700,19.091085
"2001-01-12",32.5,32.5,31.5625,32.0625,742800,18.870384
"2001-01-16",32.4375,33.4375,32.3125,33.375,688200,19.642849
"2001-01-17",33.125,33.75,33,33.6875,776300,19.826777
"2001-01-18",33.6875,33.6875,33.125,33.125,1300400,19.495716
"2001-01-19",33.25,33.25,32.25,32.5625,1068500,19.16466
"2001-01-22",32.3125,32.625,31.875,32.625,668900,19.201435
"2001-01-23",32.625,32.75,31.75,32.125,848800,18.907169
"2001-01-24",32.0625,32.0625,31.125,31.625,786500,18.61289
"2001-01-25",31.625,32.0625,31.375,31.875,774300,18.760029
"2001-01-26",31.875,32.3125,31.625,31.9375,503200,18.79681
"2001-01-29",32.5,32.900002,32.080002,32.450001,859900,19.09845
"2001-01-30",32.799999,33.049999,32.650002,32.900002,721800,19.363304
"2001-01-31",32.700001,33,32.52,32.900002,763300,19.363304
"2001-02-01",32.950001,33,32.349998,32.740002,545700,19.269129
"2001-02-02",32,32.509998,31.379999,31.49,2560700,18.533443
"2001-02-05",31.49,31.99,31.4,31.959999,1181400,18.810059
"2001-02-06",31.950001,31.950001,31.299999,31.700001,1324600,18.65703
"2001-02-07",31.700001,31.99,31.200001,31.4,949200,18.480467
"2001-02-08",31.5,31.799999,31.4,31.549999,1166800,18.568745
"2001-02-09",31.700001,31.790001,31.41,31.530001,375600,18.556982
"2001-02-12",31.530001,31.59,30.98,31.25,936800,18.392185
"2001-02-13",31.25,31.25,30.280001,30.73,1388400,18.086142
"2001-02-14",30.73,30.73,29.700001,30.02,1458000,17.668274
"2001-02-15",29.25,29.35,28.950001,29.129999,1309400,17.144463
"2001-02-16",29.18,30.16,29.129999,29.9,1344600,17.597643
"2001-02-20",29.9,30.35,29.629999,30.1,709500,17.715347
"2001-02-21",30.299999,30.4,29.75,29.92,635600,17.609413
"2001-02-22",29.700001,29.950001,28.76,29.33,947700,17.262175
"2001-02-23",29.530001,29.530001,28.700001,29.09,696900,17.120913
"2001-02-26",29.4,29.4,28.65,29.030001,527000,17.085604
"2001-02-27",29.1,29.370001,28.75,29.059999,688700,17.103264
"2001-02-28",28.85,29.93,28.85,29.93,1160700,17.615295
"2001-03-01",29.6,30.75,29.52,30.75,1447800,18.09791
"2001-03-02",30.700001,30.959999,30.139999,30.469999,1248100,17.933119
"2001-03-05",30.5,30.610001,30.110001,30.6,585800,18.009628
