"","Open","High","Low","Close","Volume"
"2007-06-14",22.978867,25.478867,22.978867,23.728867,3279100
"2007-06-15",24.42123,24.721229,23.801229,24.00123,790100
"2007-06-18",24.09278,24.972781,24.072779,24.70278,1591000
"2007-06-19",24.812948,25.112947,24.412948,24.512949,1585100
"2007-06-20",24.833735,24.893734,24.363734,24.603733,855900
"2007-06-21",24.609228,26.49923,24.15923,25.759228,842700
"2007-06-22",25.963651,26.633649,25.463651,26.163652,1490700
"2007-06-25",26.033509,26.533509,25.543509,25.833508,490000
"2007-06-26",25.988948,26.338949,24.938949,25.098949,853900
"2007-06-27",25.43391,25.633909,24.40391,24.41391,1127300
"2007-06-28",24.727873,24.747874,24.007874,24.347874,488900
"2007-06-29",25.012524,25.322523,22.952524,23.522524,3085200
"2007-07-02",23.747165,24.347166,22.397167,22.697166,10999000
"2007-07-03",22.842135,22.842135,21.492135,22.012135,8600100
"2007-07-05",21.721373,22.391373,21.211373,21.401373,8422000
"2007-07-06",21.162016,21.382018,20.732016,21.162016,7211800
"2007-07-09",21.259487,22.079489,20.979489,21.079489,11675200
"2007-07-10",21.251262,21.301262,20.451261,20.551262,8591800
"2007-07-11",20.61712,20.86712,20.34712,20.807119,10251400
"2007-07-12",20.989765,21.989765,20.609764,21.739765,10297300
"2007-07-13",21.726549,22.68655,21.27655,22.41655,6752500
"2007-07-16",22.522442,22.762444,21.972443,22.152443,9892000
"2007-07-17",22.331818,22.361819,21.681818,21.871819,5434600
"2007-07-18",21.846273,21.896272,21.096273,21.756273,4594800
"2007-07-19",21.585152,22.285153,21.585152,22.045151,4868900
"2007-07-20",22.116757,22.526759,21.656758,21.706757,5751300
"2007-07-23",21.738178,21.948179,21.538179,21.55818,4711800
"2007-07-24",21.173802,21.233801,20.563801,20.633801,5483800
"2007-07-25",20.550984,20.630984,19.540984,19.890984,8391500
"2007-07-26",18.960167,20.580166,18.450167,20.320168,9834900
"2007-07-27",20.185457,20.625458,19.255457,19.255457,6678000
"2007-07-30",19.283547,19.813547,18.253548,19.453547,5056000
"2007-07-31",19.624362,20.074362,18.804362,19.024361,4132300
"2007-08-01",18.684049,19.074049,18.054048,18.884048,5583900
"2007-08-02",18.418472,19.968471,18.398472,19.288473,3032900
"2007-08-03",18.819483,19.269484,17.689484,18.149483,5256100
"2007-08-06",18.371542,19.661543,17.381542,18.281542,6010700
"2007-08-07",18.054048,19.53405,17.724048,18.884048,3885200
"2007-08-08",19.257791,20.327791,18.757791,20.047792,5645200
"2007-08-09",19.529795,20.089794,18.189794,18.289795,4554600
"2007-08-10",18.106838,18.306839,16.706838,17.216839,10813200
"2007-08-13",17.400273,18.430274,17.400273,18.240273,7115200
