"","Open","High","Low","Close","Volume"
"2001-01-02",8.489846,8.549077,8.098925,8.134463,4349000
"2001-01-03",8.066492,8.37449,7.568956,8.279722,3614500
"2001-01-04",8.411125,8.553278,7.996511,8.126819,2768800
"2001-01-05",8.224952,8.224952,7.845877,7.905108,1828600
"2001-01-08",7.629724,7.902183,6.978188,7.155879,14914700
"2001-01-09",7.301557,7.574016,7.206788,7.408172,8042700
"2001-01-10",7.237031,7.580568,7.106723,7.568721,7420100
"2001-01-11",7.577956,7.814878,7.423958,7.767494,3484200
"2001-01-12",7.798077,7.833616,7.584848,7.798077,2382600
"2001-01-16",7.763297,7.775143,7.467145,7.775143,3652000
"2001-01-17",7.536628,7.678781,7.335245,7.584013,6411900
"2001-01-18",7.610393,7.7407,7.551163,7.622239,3179800
"2001-01-19",7.720036,7.720036,7.459421,7.530498,4389600
"2001-01-22",7.530498,7.637113,7.400191,7.530498,3741700
"2001-01-23",7.498061,7.687598,7.391446,7.675752,7650700
"2001-01-24",7.723137,7.853444,7.533599,7.675752,3557600
"2001-01-25",7.607365,7.749519,7.583673,7.71398,4928300
"2001-01-26",7.71398,7.761364,7.524443,7.71398,2032300
"2001-01-29",7.673685,7.79878,7.630092,7.70022,1709400
"2001-01-30",7.655857,7.782847,7.523181,7.780952,1455600
"2001-01-31",7.675091,7.978351,7.675091,7.887373,3921100
"2001-02-01",7.884685,7.933964,7.860045,7.892266,2429500
"2001-02-02",7.888852,7.940027,7.816827,7.919177,4353200
"2001-02-05",8.069945,8.069945,7.81786,7.906943,2285000
"2001-02-06",7.940901,8.026192,7.874562,7.969331,2275000
"2001-02-07",7.917378,8.00267,7.765749,7.839668,1203900
"2001-02-08",7.803989,7.961305,7.803989,7.925292,1457700
"2001-02-09",7.990304,7.990304,7.730638,7.793185,2849000
"2001-02-12",7.729748,7.896541,7.716481,7.877588,2369400
"2001-02-13",7.903263,7.922217,7.789541,7.865356,2154100
"2001-02-14",7.823679,7.956356,7.795249,7.941192,2789900
"2001-02-15",7.849649,8.158595,7.845858,8.073303,3647800
"2001-02-16",8.19979,8.292663,7.689933,7.839668,1533700
"2001-02-20",7.816936,7.932554,7.763865,7.877588,1900400
"2001-02-21",7.881554,7.985799,7.777308,7.853123,3426200
"2001-02-22",7.897483,8.047218,7.726899,7.772389,4286200
"2001-02-23",7.829523,7.869325,7.562275,7.668416,3705300
"2001-02-26",7.632666,7.916972,7.55306,7.909391,2310800
"2001-02-27",7.948255,8.04871,7.789044,7.842114,2626300
"2001-02-28",7.889041,7.892831,7.61042,7.760155,3356000
"2001-03-01",7.742681,7.922742,7.742681,7.791961,6284200
"2001-03-02",7.796599,7.859146,7.720784,7.766273,2494400
"2001-03-05",7.728634,7.891636,7.728634,7.834774,2432200
"2001-03-06",7.957031,8.061277,7.767494,7.767494,1919900
"2001-03-07",7.77455,7.869319,7.74991,7.840889,3038900
"2001-03-08",7.876847,7.981092,7.727113,7.861684,2322400
"2001-03-09",8.027705,8.027705,7.502686,7.559547,3056900
"2001-03-12",7.663662,7.663662,7.331972,7.352821,3942200
"2001-03-13",7.443078,7.462032,7.158772,7.202365,4187000
"2001-03-14",7.176318,7.185795,6.854104,7.015211,3737500
"2001-03-15",6.981604,7.104803,6.981604,7.076373,3028900
"2001-03-16",7.130147,7.130147,6.874271,6.978517,5041700
"2001-03-19",6.931466,7.064142,6.92578,7.064142,3868800
"2001-03-20",7.153669,7.252229,6.935701,6.935701,3962800
"2001-03-21",7.036524,7.093385,6.695356,6.752218,6393400
"2001-03-22",6.743212,6.771642,6.214403,6.699618,6313700
"2001-03-23",6.650058,6.799793,6.576139,6.765676,2435900
"2001-03-26",6.658452,7.047004,6.440484,7.009096,2723900
"2001-03-27",6.955597,7.021935,6.898736,7.002982,2846900
"2001-03-28",7.051962,7.087975,6.784714,6.837785,3438800
"2001-03-29",6.861127,6.923673,6.696229,6.722764,2275000
"2001-03-30",6.757763,6.759659,6.536005,6.676262,2196300
"2001-04-02",6.75937,6.984919,6.596368,6.607739,3854100
"2001-04-03",6.730112,6.730112,6.379467,6.381363,3768600
"2001-04-04",6.282766,6.633411,6.282766,6.595503,3998600
"2001-04-05",6.568325,6.76734,6.562639,6.731327,3177700
"2001-04-06",6.781826,6.783721,6.556277,6.635882,3214100
"2001-04-09",6.644592,6.805699,6.597207,6.678708,1527400
"2001-04-10",6.68512,6.850017,6.622572,6.753353,3403000
"2001-04-11",6.999974,6.999974,6.308162,6.359338,7154700
"2001-04-12",6.237469,6.701836,6.135119,6.608963,6729500
"2001-04-16",6.600874,6.695643,6.449244,6.585711,1607500
"2001-04-17",6.640651,6.822608,6.547778,6.547778,1816500
"2001-04-18",6.182365,7.232403,6.152039,7.213449,6729500
"2001-04-19",7.334956,7.336852,6.861113,6.974835,5482200
"2001-04-20",6.987375,7.042341,6.841432,6.900189,1293600
"2001-04-23",6.949398,6.987306,6.818617,6.88306,1739400
"2001-04-24",6.825238,6.948438,6.794912,6.815761,1144800
"2001-04-25",6.813003,6.839538,6.680326,6.803525,2019100
"2001-04-26",6.809042,6.903811,6.735122,6.827996,2791500
"2001-04-27",6.982167,6.982167,6.612569,6.788839,2448500
"2001-04-30",6.434815,6.91624,6.434815,6.853693,5820400
"2001-05-01",6.979167,6.979167,6.778258,6.783943,2598400
"2001-05-02",6.721299,6.74973,6.639798,6.72888,3873100
"2001-05-03",6.795381,6.795381,6.48454,6.607739,6043100
"2001-05-04",6.513697,6.962902,6.418929,6.77905,22749500
"2001-05-07",6.748703,6.974252,6.748703,6.837785,3719500
"2001-05-08",6.966468,7.205285,6.920978,7.0764,7204900
"2001-05-09",7.064447,7.168692,7.015167,7.036016,3551200
"2001-05-10",7.056591,7.369328,6.990253,7.2575,4280900
"2001-05-11",7.425895,7.433476,7.183286,7.188973,3733200
"2001-05-14",7.252862,7.258548,7.025416,7.08986,1951000
"2001-05-15",7.029883,7.255433,7.01472,7.185303,2596300
"2001-05-16",6.984936,7.475838,6.984936,7.439826,3287400
"2001-05-17",7.349144,7.652404,7.33019,7.605019,3437800
"2001-05-18",7.577258,7.634119,7.512815,7.603793,1567400
"2001-05-21",7.565661,7.963689,7.522068,7.901143,4103600
"2001-05-22",7.903397,8.026596,7.874966,7.890129,3789700
"2001-05-23",7.897658,7.952624,7.764981,7.814262,2205800
"2001-05-24",7.776692,7.907473,7.767215,7.861984,1904600
"2001-05-25",7.871082,7.93363,7.816117,7.931735,2875900
"2001-05-29",7.964069,8.015244,7.831393,7.831393,2015400
"2001-05-30",7.839164,7.939619,7.706488,7.748186,2318800
"2001-05-31",7.72364,7.74828,7.606126,7.706582,3673600
"2001-06-01",7.633211,7.790528,7.528965,7.709027,2892300
"2001-06-04",7.710373,7.729326,7.644034,7.706582,2315600
"2001-06-05",7.67401,7.950734,7.662637,7.910931,2080800
"2001-06-06",8.003515,8.060376,7.817768,7.842408,2075500
"2001-06-07",7.782623,8.047976,7.782623,7.951312,1827000
"2001-06-08",7.95467,7.986891,7.882645,7.945193,2337700
"2001-06-11",8.046601,8.076927,7.800202,7.819156,2149900
"2001-06-12",7.816423,7.89982,7.636363,7.844854,1046200
"2001-06-13",7.826691,7.987798,7.826691,7.839958,1382300
"2001-06-14",7.989774,7.989774,7.506453,7.508349,4288300
"2001-06-15",7.43921,7.638225,7.422152,7.613585,3641400
"2001-06-18",7.638437,7.666868,7.511447,7.568309,2410600
"2001-06-19",7.633085,7.701319,7.443548,7.519363,1416600
"2001-06-20",7.535481,7.677634,7.45019,7.489992,2808900
"2001-06-21",7.342743,7.776784,7.293463,7.723713,2774100
"2001-06-22",7.793263,7.817903,7.40092,7.683331,4590100
"2001-06-25",7.821568,7.821568,7.590332,7.590332,2762500
"2001-06-26",7.379963,8.030077,7.36101,7.977006,6505800
"2001-06-27",7.72746,7.729355,7.077346,7.077346,17507300
"2001-06-28",7.281423,7.281423,6.93457,6.940256,6345400
"2001-06-29",6.98725,6.98725,6.759805,6.854573,7710800
"2001-07-02",6.815869,7.062268,6.749531,6.976976,6926800
"2001-07-03",6.942375,7.171715,6.942375,7.109168,5563000
"2001-07-05",7.102461,7.314743,7.04939,7.121414,5154100
"2001-07-06",7.156131,7.175085,6.890779,6.92679,3118100
"2001-07-09",6.913362,7.040353,6.816699,6.95127,2974600
"2001-07-10",6.925565,7.033601,6.887658,6.984321,2718100
"2001-07-11",7.08751,7.182279,6.680004,6.723599,4288800
"2001-07-12",6.652388,7.094011,6.650492,7.050416,5622100
"2001-07-13",7.039519,7.211998,6.853772,7.035728,1768500
"2001-07-16",7.154424,7.160111,6.908026,6.999004,2999400
"2001-07-17",7.052835,7.134336,6.868984,6.897415,3382900
"2001-07-18",6.923078,6.97994,6.809356,6.885171,1959500
"2001-07-19",6.877508,7.029138,6.782739,6.985545,1809100
"2001-07-20",7.047026,7.101992,6.902978,6.959838,1594900
"2001-07-23",7.043127,7.090511,6.749344,6.787251,1950500
"2001-07-24",6.753964,6.945397,6.723637,6.761545,2629000
"2001-07-25",6.786104,6.869501,6.697022,6.803162,2253900
"2001-07-26",6.778758,6.930389,6.710525,6.854573,2272900
"2001-07-27",6.875694,6.968568,6.818833,6.885171,3819200
"2001-07-30",6.939268,6.965804,6.816069,6.87293,1791200
"2001-07-31",6.805487,6.983652,6.792219,6.92679,2984100
"2001-08-01",6.436404,6.938679,6.370065,6.891294,31521900
"2001-08-02",6.843784,7.052275,6.843784,7.012472,21701700
"2001-08-03",6.964532,7.072568,6.888717,7.068777,8843600
"2001-08-06",7.085758,7.106607,6.954977,7.051641,12388500
"2001-08-07",7.062454,7.210294,7.022652,7.166701,12717200
"2001-08-08",7.220408,7.231779,7.011916,7.068777,33637100
"2001-08-09",7.096697,7.113755,6.941277,6.986765,19390800
"2001-08-10",7.000581,7.063129,6.858428,7.047966,10483400
"2001-08-13",7.053339,7.057129,6.977524,7.038176,5389900
"2001-08-14",6.974009,7.078254,6.964532,7.068777,5255400
"2001-08-15",7.063997,7.088637,6.963541,7.060206,5461700
"2001-08-16",7.054047,7.09385,6.989604,7.074896,5831500
"2001-08-17",7.041612,7.088996,7.007495,7.049193,7400600
"2001-08-20",7.045205,7.048996,6.948541,7.035728,4656500
"2001-08-21",7.004059,7.066607,6.987001,7.038176,4336300
"2001-08-22",7.05243,7.143409,6.986093,7.046744,5464800
"2001-08-23",7.02929,7.091838,7.008441,7.078571,7121500
"2001-08-24",7.058351,7.191028,7.05077,7.098155,3160300
"2001-08-27",7.163779,7.22064,7.063323,7.120185,2969800
"2001-08-28",7.216893,7.216893,7.072844,7.099379,3089600
"2001-08-29",7.212555,7.220136,6.975633,6.979424,3395600
"2001-08-30",7.060615,7.085255,6.818007,6.852124,3701100
"2001-08-31",6.855012,6.909977,6.731813,6.801941,4491400
"2001-09-04",6.683319,7.024486,6.66626,6.855798,3918400
"2001-09-05",6.851213,6.868272,6.663571,6.86069,4259800
"2001-09-06",6.951522,6.951522,6.688064,6.708914,3771200
"2001-09-07",6.626548,6.759224,6.512826,6.579164,6384400
"2001-09-10",6.593935,6.643215,6.413875,6.552237,4086200
"2001-09-17",6.364069,6.485373,5.78977,6.021006,15624800
"2001-09-18",5.969756,6.049362,5.88636,5.945117,11104300
"2001-09-19",5.984842,5.984842,5.340415,5.869225,13938600
"2001-09-20",6.03169,6.03169,5.525624,5.573008,15833200
"2001-09-21",5.261538,5.638718,5.242585,5.612182,12895500
"2001-09-24",5.56083,6.006243,5.56083,5.930428,10577800
"2001-09-25",5.919013,5.95313,5.653661,5.951235,9277800
"2001-09-26",6.028705,6.121579,5.488523,5.602246,12947800
"2001-09-27",5.702701,5.725445,5.460093,5.602246,6151200
"2001-09-28",5.648467,5.777353,5.496837,5.777353,9690400
"2001-10-01",5.788853,5.788853,5.517814,5.694084,5897500
"2001-10-02",5.522168,5.863336,5.522168,5.834906,4643400
"2001-10-03",5.646547,5.957388,5.618117,5.93654,6976900
"2001-10-04",5.907463,6.097001,5.757728,5.996545,5733400
"2001-10-05",6.018563,6.018563,5.757001,5.959807,3832400
"2001-10-08",5.834832,6.050905,5.759017,5.956137,5326600
"2001-10-09",5.914842,5.990657,5.816282,5.983075,2845800
"2001-10-10",5.834138,6.126025,5.813289,6.116549,3976500
"2001-10-11",6.028615,6.45697,5.949009,6.45697,9234500
"2001-10-12",6.43577,6.540016,6.316361,6.467992,8876300
"2001-10-15",6.332054,6.629627,6.271402,6.629627,9709400
"2001-10-16",6.610293,6.871855,6.547746,6.661469,22088500
"2001-10-17",6.55178,6.805761,6.542303,6.792493,11052600
"2001-10-18",6.744072,6.967727,6.596232,6.88433,18438500
"2001-10-19",6.832677,7.008946,6.792874,6.978621,12614900
"2001-10-22",7.000758,7.286959,6.907884,6.938211,8148200
"2001-10-23",6.971129,7.312297,6.895314,7.134132,15501400
"2001-10-24",7.195707,7.303743,7.019437,7.045973,9209200
"2001-10-25",6.930204,7.085625,6.837331,7.070462,8782900
"2001-10-26",6.942484,7.346198,6.921635,7.27986,9141100
"2001-10-29",7.402833,7.402833,6.953629,6.989641,4608500
"2001-10-30",6.989932,7.096073,6.737847,6.80229,5986600
"2001-10-31",6.79902,6.969604,6.780067,6.825556,7145800
"2001-11-01",6.823243,6.916117,6.717102,6.878209,5032200
"2001-11-02",6.748887,7.127962,6.709083,7.090054,5490700
"2001-11-05",7.111257,7.22877,6.893289,7.079036,6590700
"2001-11-06",7.032745,7.190061,6.841312,7.163525,3655700
"2001-11-07",7.132739,7.1896,7.066401,7.098623,3380800
"2001-11-08",7.101074,7.193947,7.017677,7.101074,8536000
"2001-11-09",7.125108,7.134585,6.935571,7.060666,2707100
"2001-11-12",7.160152,7.160152,6.818984,6.892903,4397500
"2001-11-13",6.918371,7.030198,6.918371,7.005558,7563100
"2001-11-14",7.055584,7.140876,6.943757,7.101074,4310400
"2001-11-15",7.038655,7.298322,7.01212,7.235775,5750300
"2001-11-16",7.27155,7.516053,7.216584,7.243119,5238000
"2001-11-19",7.244941,7.49134,7.244941,7.36435,4136300
"2001-11-20",7.323929,7.45471,7.289812,7.403535,5459000
"2001-11-21",7.44068,7.463424,7.11278,7.249247,5030100
"2001-11-23",7.232228,7.406603,7.203797,7.366799,1234000
"2001-11-26",7.343523,7.438292,7.2298,7.423129,3542300
"2001-11-27",7.348217,7.524487,7.300833,7.414556,2067100
"2001-11-28",7.343195,7.608547,7.314764,7.492929,4917700
"2001-11-29",7.559335,7.612406,7.248494,7.371693,6092700
"2001-11-30",7.433978,7.433978,7.113659,7.181893,8378800
"2001-12-03",7.114033,7.114033,6.86953,7.011683,7764100
"2001-12-04",6.90087,7.374714,6.855381,7.297003,6179700
"2001-12-05",7.073236,7.69871,6.94435,7.657012,11217800
"2001-12-06",7.643596,7.94117,7.600002,7.681503,8373000
"2001-12-07",7.585275,7.899907,7.511356,7.687625,8958100
"2001-12-10",7.704952,7.877432,7.638614,7.659464,4757800
"2001-12-11",7.684167,7.701225,7.583712,7.617829,9485700
"2001-12-12",7.604011,7.605906,7.348135,7.397415,9265700
"2001-12-13",7.392153,7.411107,7.255686,7.265162,4860700
"2001-12-14",7.22305,7.224946,6.86293,6.881883,20606400
"2001-12-17",6.875184,7.119687,6.799369,7.0325,11067400
"2001-12-18",6.836103,7.323215,6.836103,7.287202,5573500
"2001-12-19",7.222377,7.419496,7.104864,7.319041,6931000
"2001-12-20",7.304847,7.537978,7.149426,7.268835,5025300
"2001-12-21",7.250168,7.401798,7.181935,7.299448,4646500
"2001-12-24",7.303357,7.356428,7.223752,7.295776,850400
"2001-12-26",7.334071,7.6089,7.30564,7.343548,2461200
"2001-12-27",7.403867,7.580136,7.339424,7.434193,2175200
"2001-12-28",7.476083,7.557584,7.360466,7.368047,1738400
"2001-12-31",7.35732,7.624569,7.344053,7.387646,2250700
"2002-01-02",7.32956,7.435701,7.257535,7.386421,4105200
"2002-01-03",7.384335,7.604198,7.338846,7.452569,4342100
"2002-01-04",7.397017,7.759033,7.397017,7.751452,6752700
"2002-01-07",7.798205,7.798205,7.631412,7.631412,2902800
"2002-01-08",7.689429,7.689429,7.556753,7.594661,3750700
"2002-01-09",7.614145,7.672902,7.570552,7.617936,3497400
"2002-01-10",7.602218,7.676137,7.533984,7.615485,3557600
"2002-01-11",7.598871,7.907817,7.538219,7.801676,5122400
"2002-01-14",7.87803,7.879925,7.675225,7.724504,4426000
"2002-01-15",7.935689,7.935689,7.295053,7.338646,14835000
"2002-01-16",7.440181,7.515996,7.15777,7.184305,10127800
"2002-01-17",7.226869,7.43536,7.192752,7.296998,5982400
"2002-01-18",7.189512,7.413167,7.077685,7.399899,3974400
"2002-01-22",7.423294,7.516167,7.309572,7.319048,6451400
"2002-01-23",7.329106,7.329106,7.156628,7.300675,5539800
"2002-01-24",7.250124,7.670897,7.240647,7.521163,8425200
"2002-01-25",7.490415,7.628777,7.329308,7.594661,5488600
"2002-01-28",7.576344,7.722288,7.52896,7.714707,4018200
"2002-01-29",7.855396,8.022189,7.521809,7.540764,7972500
"2002-01-30",7.48378,7.661944,7.152089,7.644886,7181600
"2002-01-31",7.69029,7.855188,7.627742,7.807803,5496000
"2002-02-01",7.797968,7.902213,7.625489,7.638756,3635100
"2002-02-04",7.573641,7.69684,7.452337,7.459918,7620100
"2002-02-05",7.493438,7.582521,7.351285,7.39867,5853100
"2002-02-06",7.422138,7.505535,7.295147,7.355799,4930400
"2002-02-07",7.352328,7.382654,7.208279,7.365596,5244300
"2002-02-08",7.305928,7.484093,7.302137,7.474616,5196800
"2002-02-11",7.369249,7.85257,7.369249,7.850674,5962400
"2002-02-12",7.837688,7.995005,7.674686,7.801676,7970400
"2002-02-13",7.955133,8.0916,7.919121,8.044216,8697400
"2002-02-14",8.12956,8.12956,7.970349,8.002569,7930300
"2002-02-15",8.05898,8.3376,7.795523,8.096888,5915400
"2002-02-19",7.981283,8.019191,7.943376,7.996446,6702600
"2002-02-20",7.969305,8.064073,7.827151,8.035642,5692800
"2002-02-21",7.970367,8.478328,7.970367,8.262256,8942800
"2002-02-22",7.982665,8.570231,7.927699,8.51337,10530800
"2002-02-25",8.52754,8.60146,8.385387,8.504796,8777600
"2002-02-26",8.481837,8.489418,8.220275,8.311254,7670700
"2002-02-27",8.401777,8.452952,8.159169,8.225507,8855200
"2002-02-28",8.295962,8.476022,8.21067,8.23531,6215600
"2002-03-01",8.185466,8.338991,8.060371,8.333305,6476800
"2002-03-04",8.24924,8.918308,8.2246,8.795108,9275700
"2002-03-05",8.879217,8.884903,8.572166,8.572166,13183600
"2002-03-06",8.167383,8.726519,8.167383,8.626064,14077900
"2002-03-07",8.593444,8.69769,8.517629,8.678736,22121700
"2002-03-08",8.668463,8.816303,8.64951,8.784081,10612100
"2002-03-11",8.70625,8.924219,8.668343,8.888206,8555500
"2002-03-12",8.70299,8.951284,8.672664,8.911482,7454900
"2002-03-13",8.912546,8.922022,8.779869,8.85758,5964500
"2002-03-14",8.790299,8.862323,8.784612,8.807357,5838400
"2002-03-15",8.695158,8.892277,8.683785,8.839206,7764600
"2002-03-18",8.812869,8.966395,8.812869,8.953127,4299400
"2002-03-19",8.894103,9.102594,8.894103,9.081745,5979800
"2002-03-20",9.168902,9.168902,8.842898,8.922504,4333100
"2002-03-21",8.872084,8.964958,8.597254,8.758361,8809800
"2002-03-22",8.750228,8.808984,8.613761,8.755913,4408600
"2002-03-25",8.83569,8.93425,8.604455,8.610141,4003900
"2002-03-26",8.524522,8.721642,8.484719,8.721642,5488000
"2002-03-27",8.630474,8.702498,8.560344,8.687334,5406800
"2002-03-28",8.726677,8.830923,8.662234,8.702038,4699300
"2002-04-01",8.687047,8.791293,8.512673,8.757176,2674400
"2002-04-02",8.763533,8.763533,8.592949,8.634647,3557000
"2002-04-03",8.724991,8.724991,8.36487,8.472906,6576000
"2002-04-04",8.385913,8.634207,8.385913,8.628521,3883100
"2002-04-05",8.702822,8.791904,8.663019,8.697136,4139500
"2002-04-08",8.646762,8.714996,8.544412,8.671402,3055300
"2002-04-09",8.676901,8.801996,8.64089,8.758402,6341700
"2002-04-10",8.73646,9.056778,8.71182,8.975277,5902200
"2002-04-11",9.058366,9.153135,8.7987,8.82334,5085000
"2002-04-12",8.819912,8.914682,8.73462,8.912786,4027100
"2002-04-15",8.898889,9.094112,8.898889,8.993658,5478000
"2002-04-16",8.949623,9.254778,8.949623,9.230138,6205600
"2002-04-17",9.329175,9.338652,9.061927,9.073299,4268800
"2002-04-18",9.124802,9.124802,8.880299,8.9618,6515300
"2002-04-19",8.997199,9.186736,8.9555,9.143143,4465600
"2002-04-22",9.197019,9.25009,8.992319,8.996109,6131200
"2002-04-23",9.025631,9.040794,8.900536,8.900536,3675200
"2002-04-24",8.94675,9.060473,8.834923,8.836819,2583600
"2002-04-25",8.774542,9.034208,8.630493,8.909114,4619600
"2002-04-26",8.897646,9.043589,8.823726,8.89196,3493200
"2002-04-29",8.993616,8.993616,8.639181,8.671402,4138400
"2002-04-30",8.632294,8.863529,8.632294,8.770657,4648600
"2002-05-01",8.744676,8.841339,8.560824,8.773106,5480100
"2002-05-02",8.753002,8.895155,8.715095,8.809863,3038400
"2002-05-03",8.694324,8.912292,8.694324,8.847849,4819600
"2002-05-06",9.024576,9.024576,8.564,8.590535,4669200
"2002-05-07",8.615999,8.708873,8.481428,8.543975,5229500
"2002-05-08",8.605772,8.931776,8.605772,8.871124,4049800
"2002-05-09",8.993754,8.993754,8.637423,8.646901,4566900
"2002-05-10",8.726586,8.787237,8.508617,8.563583,3731100
"2002-05-13",8.434755,8.569327,8.430964,8.501093,5210000
"2002-05-14",8.626762,8.749961,8.585063,8.725321,4582700
"2002-05-15",8.660147,8.89707,8.595705,8.789033,3137600
"2002-05-16",8.871512,8.975758,8.771058,8.818442,3121800
"2002-05-17",8.84126,8.894331,8.814725,8.856424,3212500
"2002-05-20",9.002752,9.002752,8.671061,8.682434,3070100
"2002-05-21",8.837699,8.890769,8.462415,8.485159,3000900
"2002-05-22",8.477216,8.571984,8.380551,8.517018,3687300
"2002-05-23",8.516751,8.810534,8.393551,8.687334,4545800
"2002-05-24",8.653825,8.748595,8.488929,8.748595,2631600
"2002-05-28",8.852267,8.854163,8.49025,8.524367,3082700
"2002-05-29",8.597142,8.633154,8.373488,8.439826,3850400
"2002-05-30",8.491116,8.493012,8.210601,8.314847,5485900
"2002-05-31",8.299261,8.593044,8.299261,8.530496,5317100
"2002-06-03",8.611461,8.65316,8.376435,8.385912,2702300
"2002-06-04",8.390603,8.492953,8.288252,8.377335,4785300
"2002-06-05",8.275678,8.539134,8.247247,8.476587,2687500
"2002-06-06",8.508751,8.55045,8.292678,8.417773,2977700
"2002-06-07",8.360145,8.523148,8.170608,8.523148,5344000
"2002-06-10",8.293043,8.480685,8.088342,8.143308,16575000
"2002-06-11",8.22699,8.308492,8.054511,8.073464,7718700
"2002-06-12",8.077081,8.217338,7.718854,7.897019,13292800
"2002-06-13",7.98882,8.026728,7.725363,7.729154,11261000
"2002-06-14",7.729789,7.729789,7.432215,7.648288,11816600
"2002-06-17",7.510075,7.997187,7.510075,7.966861,7302500
"2002-06-18",7.846283,8.206405,7.817853,8.145753,6190800
"2002-06-19",8.057609,8.421521,7.96284,7.974212,6859800
"2002-06-20",8.057072,8.149946,7.823941,7.829627,4106300
"2002-06-21",7.62832,7.903149,7.62832,7.903149,6486800
"2002-06-24",7.827026,7.918003,7.544614,7.872514,6347500
"2002-06-25",8.090195,8.184963,7.794516,7.821052,7227000
"2002-06-26",7.553499,7.824538,7.506115,7.769572,6791200
"2002-06-27",7.81136,8.048282,7.745022,7.991421,5588800
"2002-06-28",7.980743,8.198711,7.94094,8.132373,4350500
"2002-07-01",8.27502,8.276915,7.850456,7.871305,4362100
"2002-07-02",7.842002,7.999318,7.601289,7.838211,4700300
"2002-07-03",7.92373,8.065882,7.535177,7.647005,9501500
"2002-07-05",7.601526,7.999555,7.601526,7.993869,2314000
"2002-07-08",8.106345,8.182159,7.793607,7.850468,3443100
"2002-07-09",7.867161,8.026372,7.639716,7.719322,4034000
"2002-07-10",7.876613,7.891775,7.575248,7.577143,6618700
"2002-07-11",7.582395,7.607035,7.284821,7.550173,5778800
"2002-07-12",7.522793,7.801413,7.319988,7.65926,5418400
"2002-07-15",7.599205,7.599205,7.059022,7.599205,7564700
"2002-07-16",7.624146,7.626042,7.349317,7.46683,7638500
"2002-07-17",7.682918,7.775791,7.39103,7.445996,10310800
"2002-07-18",7.576257,7.716515,7.358289,7.381033,6885100
"2002-07-19",7.417083,7.515642,7.113823,7.134672,8579800
"2002-07-22",7.273972,7.328937,6.86457,6.879733,9005600
"2002-07-23",6.976003,7.169331,6.780779,6.790256,4547300
"2002-07-24",6.437084,7.297585,6.275978,7.280527,10026500
"2002-07-25",7.290573,7.394818,6.913393,7.262142,8886300
"2002-07-26",7.282233,7.358048,7.049101,7.225371,4502500
"2002-07-29",7.085961,7.71333,7.067007,7.667841,6296300
"2002-07-30",7.671858,7.897407,7.5316,7.660485,5330300
"2002-07-31",7.690624,7.690624,7.449912,7.605332,4114200
"2002-08-01",7.736478,7.814188,7.328972,7.368776,4779000
"2002-08-02",7.452147,7.476788,7.128038,7.226598,3435700
"2002-08-05",7.468676,7.468676,6.812876,6.814771,9069900
