"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"2001-01-02",28.053595,28.053595,27.252062,27.560345,6545200,21.895468
"2001-01-03",27.622,30.951437,27.622,30.643156,10278900,24.344622
"2001-01-04",30.643156,32.986095,30.458187,31.506344,10500200,25.030382
"2001-01-05",31.506344,32.184563,30.889782,31.074751,6497400,24.687504
"2001-01-08",31.074751,31.136406,29.163406,29.718313,5067000,23.609875
"2001-01-09",29.718313,30.581499,29.471687,29.718313,4768700,23.609875
"2001-01-10",29.718313,30.149906,29.471687,29.964937,3361900,23.805807
"2001-01-11",29.964937,30.951437,28.91678,29.101749,5959600,23.120043
"2001-01-12",29.348375,31.444687,29.348375,31.136406,8352700,24.736481
"2001-01-16",31.383032,32.801125,31.383032,32.616158,6504700,25.912085
"2001-01-17",32.616158,33.541,32.122906,32.924438,6341800,26.156996
"2001-01-18",32.924438,32.986095,31.629656,32.677811,4830300,25.961061
"2001-01-19",32.677811,32.986095,31.937937,32.24622,5077700,25.618185
"2001-01-22",30.889782,30.889782,30.088249,30.704813,6229200,24.393604
"2001-01-23",30.704813,30.828125,29.471687,29.594999,8182800,23.511904
"2001-01-24",29.594999,30.643156,29.471687,30.088249,8365900,23.903776
"2001-01-25",30.088249,30.334875,29.594999,29.656656,5866200,23.560892
"2001-01-26",29.533344,29.533344,28.91678,29.41003,9084900,23.364954
"2001-01-29",29.170805,30.581499,29.170805,30.403931,5214900,24.154568
"2001-01-30",30.403931,30.877451,29.545675,30.482849,4832300,24.217264
"2001-01-31",30.482849,30.502581,29.920546,30.038925,5115500,23.864586
"2001-02-01",30.038925,31.272051,29.85149,31.074751,5894800,24.687504
"2001-02-02",30.828125,30.828125,30.137575,30.334875,5300500,24.099705
"2001-02-05",30.334875,30.384199,29.407564,30.019196,6053800,23.848907
"2001-02-06",30.581499,31.666651,30.581499,31.183266,9262200,24.773716
"2001-02-07",31.183266,32.406525,30.581499,30.581499,8180200,24.295635
"2001-02-08",30.660419,32.061249,30.660419,31.696245,7135500,25.181257
"2001-02-09",31.696245,31.696245,30.828125,31.518675,4971300,25.04018
"2001-02-12",31.518675,32.534771,31.439754,32.071114,5408000,25.479073
"2001-02-13",32.071114,32.455849,30.877451,31.074751,6161600,24.687504
"2001-02-14",31.074751,31.479216,30.334875,30.729475,5477700,24.413193
"2001-02-15",30.828125,32.061249,30.828125,31.972466,4727800,25.400702
"2001-02-16",31.972466,32.524906,30.828125,31.577866,4744000,25.08721
"2001-02-20",31.577866,31.666651,30.709745,30.729475,4908000,24.413193
"2001-02-21",30.729475,31.568001,30.680149,31.084616,3858500,24.695339
"2001-02-22",31.084616,31.272051,30.186899,30.581499,6011200,24.295635
"2001-02-23",30.581499,30.601231,29.200399,29.890949,5774600,23.747028
"2001-02-26",29.890949,30.976101,29.496349,30.976101,4354700,24.609131
"2001-02-27",30.699881,30.699881,29.703514,30.334875,3988900,24.099705
"2001-02-28",30.334875,30.81826,29.85149,30.532175,3658700,24.256451
"2001-03-01",30.532175,30.581499,29.516081,29.93041,6341800,23.778376
"2001-03-02",29.792299,29.792299,28.29282,29.585135,6720300,23.50407
"2001-03-05",29.585135,29.594999,28.904449,29.131346,4323400,23.143551
"2001-03-06",29.131346,29.496349,28.70715,29.328646,7374800,23.300304
"2001-03-07",29.496349,29.989599,29.496349,29.57527,6147600,23.496231
"2001-03-08",29.57527,29.960005,29.348375,29.447025,4975600,23.39435
"2001-03-09",29.447025,29.762705,29.003099,29.318781,3593600,23.292465
"2001-03-12",28.993235,28.993235,26.6355,27.138615,7217900,21.560415
"2001-03-13",27.138615,27.79957,26.55658,27.641729,8567000,21.960123
"2001-03-14",27.641729,27.671326,25.94495,26.724285,6014600,21.231253
"2001-03-15",26.724285,27.740379,26.6355,27.622,5260100,21.944447
"2001-03-16",27.612135,27.612135,26.694691,27.148479,8240900,21.568253
"2001-03-19",27.148479,27.8193,26.941315,27.631865,3868500,21.952282
"2001-03-20",27.631865,27.848894,26.280359,26.546715,4354300,21.090183
"2001-03-21",26.546715,27.52335,26.112656,27.01037,7496300,21.458542
"2001-03-22",27.01037,27.12875,25.708191,26.605906,9117300,21.137203
"2001-03-23",26.605906,27.612135,26.191574,27.444429,7512500,21.803375
"2001-03-26",27.444429,28.11525,26.882126,27.543079,5301000,21.881748
"2001-03-27",27.543079,29.35824,27.50362,28.805799,8221000,22.88492
"2001-03-28",28.125114,28.125114,27.118885,27.97714,9149300,22.226589
"2001-03-29",27.97714,28.085655,26.980776,27.72065,3528900,22.022821
"2001-03-30",27.72065,28.460526,27.256994,28.2139,3837200,22.41468
"2001-04-02",28.2139,28.578905,27.513485,27.592405,3988700,21.920935
"2001-04-03",27.355644,27.355644,26.112656,26.73415,7319600,21.239088
"2001-04-04",26.73415,27.12875,26.487526,26.73415,6380300,21.239088
"2001-04-05",26.803205,27.908085,26.803205,27.70092,5383900,22.007145
"2001-04-06",27.70092,28.105385,27.197805,28.105385,4025000,22.328474
"2001-04-09",28.105385,28.50985,27.671326,28.2139,3349700,22.41468
"2001-04-10",28.27309,29.239861,28.27309,28.855125,4737200,22.924109
"2001-04-11",28.855125,28.855125,27.937679,28.243496,4505200,22.438194
"2001-04-12",28.243496,28.795935,27.8193,28.697285,3113000,22.798712
"2001-04-16",28.697285,29.249725,28.519714,28.76634,3461700,22.853575
"2001-04-17",28.76634,29.594999,28.440796,29.594999,5099800,23.511904
"2001-04-18",29.594999,31.548269,29.299049,31.469351,7604200,25.000996
"2001-04-19",31.469351,31.568001,30.788666,31.449619,5263400,24.985319
"2001-04-20",31.242455,31.242455,30.098116,30.93664,5262600,24.577778
"2001-04-23",30.93664,30.93664,29.496349,29.624596,5707100,23.535419
"2001-04-24",29.585135,29.585135,28.19417,28.19417,6281100,22.399012
"2001-04-25",28.460526,30.52231,28.460526,30.394066,9158200,24.14673
"2001-04-26",30.581499,31.538404,30.581499,31.094481,6729100,24.70318
"2001-04-27",31.094481,31.469351,30.088249,30.512445,4785200,24.240778
"2001-04-30",30.512445,31.025425,29.841625,29.841625,3923900,23.70784
"2001-05-01",29.87122,31.074751,29.87122,30.137575,4180400,23.942959
"2001-05-02",30.285549,31.420025,30.285549,30.828125,3778100,24.49157
"2001-05-03",30.828125,30.976101,30.157305,30.54204,4089600,24.264288
"2001-05-04",30.54204,30.581499,29.890949,30.492716,2957800,24.225101
"2001-05-07",30.492716,30.749205,29.940275,30.571634,3060700,24.287802
"2001-05-08",30.561769,30.561769,29.95014,30.14744,2678900,23.950794
"2001-05-09",29.920546,29.920546,29.447025,29.447025,3529900,23.39435
"2001-05-10",29.821896,30.828125,29.821896,30.660419,5179300,24.358332
"2001-05-11",30.660419,31.272051,30.453255,30.847855,4334800,24.507246
"2001-05-14",30.847855,31.252319,30.334875,30.532175,2824200,24.256451
"2001-05-15",30.532175,30.976101,30.14744,30.680149,4712100,24.37401
"2001-05-16",30.680149,32.061249,29.890949,31.62719,7950400,25.12639
"2001-05-17",31.62719,32.801125,31.568001,32.071114,9518700,25.479073
"2001-05-18",32.071114,32.238819,31.68638,32.159901,8055500,25.549606
"2001-05-21",33.047749,34.142765,33.047749,33.817219,10705000,26.866276
"2001-05-22",33.817219,34.3302,33.205589,34.034248,6933900,27.038696
"2001-05-23",33.896141,33.896141,32.653149,32.663013,6140500,25.949305
"2001-05-24",32.663013,33.471947,32.653149,32.850449,6037300,26.098217
"2001-05-25",32.564365,32.564365,31.72584,32.19936,6429400,25.580959
"2001-05-29",32.19936,32.406525,31.568001,32.17963,4457500,25.565277
"2001-05-30",32.011925,32.011925,31.222725,31.350969,5693900,24.906948
"2001-05-31",31.350969,31.617325,30.91691,31.19313,5025700,24.781551
"2001-06-01",31.19313,31.370701,30.768934,31.29178,3542100,24.859922
"2001-06-04",31.29178,31.321375,30.788666,31.19313,2927000,24.781551
"2001-06-05",31.19313,31.202995,30.709745,30.926775,3700800,24.569944
"2001-06-06",30.93664,31.449619,30.93664,31.173401,4085100,24.765877
"2001-06-07",31.173401,31.972466,31.11421,31.715975,4908900,25.196928
"2001-06-08",31.715975,31.814625,30.966234,31.420025,2948600,24.961811
"2001-06-11",31.321375,31.321375,30.650555,31.084616,3151600,24.695339
"2001-06-12",31.084616,31.301645,30.26582,31.064884,3523400,24.679668
