"","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
"2001-01-02",8.083333,8.083333,7.645833,7.666667,8561400,7.666667
"2001-01-03",7.59375,8.479167,7.5,8.354167,10902800,8.354167
"2001-01-04",8.072917,8.166667,7.104167,7.333333,18691800,7.333333
"2001-01-05",7.520833,8.0625,7.479167,7.958333,10162200,7.958333
"2001-01-08",8,8,7.791667,7.854167,5372000,7.854167
"2001-01-09",7.916667,7.916667,7.270833,7.395833,6006800,7.395833
"2001-01-10",7.416667,7.5625,7.3125,7.520833,6350000,7.520833
"2001-01-11",7.5,8.458333,7.479167,8.354167,13107000,8.354167
"2001-01-12",8.416667,9.145833,8.375,9.083333,5646000,9.083333
"2001-01-16",8.916667,9.333333,8.895833,9.166667,5617400,9.166667
"2001-01-17",9.166667,9.479167,9.166667,9.354167,3396600,9.354167
"2001-01-18",9.3125,9.354167,9.125,9.1875,3315000,9.1875
"2001-01-19",9.166667,9.25,8.541667,8.625,4533600,8.625
"2001-01-22",8.6875,9.041667,8.541667,9.020833,3139800,9.020833
"2001-01-23",8.989583,9,8.645833,8.791667,5928600,8.791667
"2001-01-24",8.8125,9.208333,8.791667,8.932292,4999800,8.932292
"2001-01-25",9,9.75,8.833333,9.583333,6637400,9.583333
"2001-01-26",9.5,10.0625,9.458333,9.979167,6163200,9.979167
"2001-01-29",9.875,10.020833,9.729167,10.020833,3615600,10.020833
"2001-01-30",9.979167,10.020833,9.6875,9.729167,3386000,9.729167
"2001-01-31",9.833333,10.5625,9.770833,10.145833,5999400,10.145833
"2001-02-01",10.291667,10.75,10.125,10.416667,3179400,10.416667
"2001-02-02",10.354167,10.395833,9.958333,10.125,2592800,10.125
"2001-02-05",10.041667,10.1875,9.5,9.833333,2562000,9.833333
"2001-02-06",9.854167,10.125,9.645833,9.6875,2260800,9.6875
"2001-02-07",9.666667,10.1875,9.666667,10.083333,1941800,10.083333
"2001-02-08",10.083333,10.125,9.541667,9.625,3330000,9.625
"2001-02-09",9.645833,9.645833,8.895833,9,2940600,9
"2001-02-12",9,9.041667,8.375,8.645833,6697200,8.645833
"2001-02-13",8.75,9.333333,8.75,9.291667,3528800,9.291667
"2001-02-14",9.333333,9.625,9.125,9.526042,2480400,9.526042
"2001-02-15",9.604167,9.875,9.125,9.208333,2223800,9.208333
"2001-02-16",9.041667,9.416667,8.916667,9.083333,1366400,9.083333
"2001-02-20",9.020833,9.291667,9,9.0625,1941000,9.0625
"2001-02-21",9.0625,9.307292,9,9.208333,2107200,9.208333
"2001-02-22",9.229167,9.354167,8.875,9.208333,2900600,9.208333
"2001-02-23",9.145833,9.208333,8.958333,9,4594400,9
"2001-02-26",9.166667,9.75,9.041667,9.6875,1823000,9.6875
"2001-02-27",9.640625,9.729167,9.333333,9.432292,1164600,9.432292
"2001-02-28",9.541667,9.6875,9.166667,9.270833,1457000,9.270833
"2001-03-01",9.166667,9.333333,9.041667,9.083333,1934600,9.083333
"2001-03-02",8.916667,9.25,8.833333,9.208333,1704600,9.208333
"2001-03-05",9.270833,9.583333,9.208333,9.333333,1584000,9.333333
"2001-03-06",9.5,9.541667,9.354167,9.520833,3002400,9.520833
"2001-03-07",9.625,9.729167,9.395833,9.416667,2018000,9.416667
"2001-03-08",9.416667,9.708333,9.333333,9.583333,1267400,9.583333
"2001-03-09",9.541667,9.583333,9.25,9.479167,1365800,9.479167
"2001-03-12",9.229167,9.25,8.875,9.020833,1692000,9.020833
"2001-03-13",9,9,8.354167,8.791667,3417000,8.791667
"2001-03-14",8.6875,8.791667,7.875,8.0625,4669800,8.0625
"2001-03-15",6.416667,6.645833,5.958333,6.0625,67200000,6.0625
"2001-03-16",6.104167,6.375,6.0625,6.083333,19137200,6.083333
"2001-03-19",6.125,6.145833,5.708333,5.791667,13121000,5.791667
"2001-03-20",5.833333,5.854167,5.541667,5.666667,14781200,5.666667
"2001-03-21",5.666667,5.6875,5.25,5.270833,10884600,5.270833
"2001-03-22",5.270833,5.520833,5.1875,5.395833,10456200,5.395833
"2001-03-23",5.5,6,5.479167,5.854167,13493000,5.854167
"2001-03-26",5.9375,6,5.833333,5.854167,5292200,5.854167
"2001-03-27",5.854167,6.604167,5.854167,6.5625,20214200,6.5625
"2001-03-28",6.333333,6.416667,6.291667,6.375,13159200,6.375
"2001-03-29",6.354167,6.708333,6.291667,6.333333,5717400,6.333333
"2001-03-30",6.333333,6.604167,6.270833,6.421875,4673600,6.421875
"2001-04-02",6.416667,6.416667,6.166667,6.25,4192200,6.25
"2001-04-03",6.270833,6.291667,6,6.020833,4935200,6.020833
"2001-04-04",6.020833,6.25,5.979167,6.1875,3872000,6.1875
"2001-04-05",6.333333,6.666667,6.270833,6.625,7676400,6.625
"2001-04-06",6.5625,6.770833,6.5,6.625,5015400,6.625
"2001-04-09",6.583333,6.7,6.333333,6.39,3462000,6.39
"2001-04-10",6.406667,6.706666,6.403333,6.493333,6431600,6.493333
"2001-04-11",6.653333,6.683333,6.466667,6.593333,4318800,6.593333
"2001-04-12",6.486667,6.6,6.316667,6.42,2878200,6.42
"2001-04-16",6.396667,6.7,6.333333,6.503334,5589800,6.503334
"2001-04-17",6.503334,6.826667,6.45,6.8,7390200,6.8
"2001-04-18",6.9,7.33,6.86,7.17,7816800,7.17
"2001-04-19",7.17,7.756667,7.066667,7.72,6986000,7.72
"2001-04-20",7.663333,7.666667,7.1,7.323333,5775800,7.323333
"2001-04-23",7.283333,7.433333,7.166667,7.333333,2410400,7.333333
"2001-04-24",7.216667,7.216667,6.54,6.553333,5841800,6.553333
"2001-04-25",6.806667,7.24,6.806667,7.12,11392400,7.12
"2001-04-26",7.156667,7.35,7.02,7.27,1762200,7.27
"2001-04-27",7.26,7.426667,7.236667,7.333333,2738600,7.333333
"2001-04-30",7.306667,7.333333,6.973333,6.973333,7833600,6.973333
"2001-05-01",6.996666,7.413333,6.976666,7.33,3089600,7.33
"2001-05-02",7.366667,7.566667,7.326667,7.49,2129400,7.49
"2001-05-03",7.473333,7.78,7.436666,7.533333,2917400,7.533333
"2001-05-04",7.503334,8.03,7.35,7.833333,6571400,7.833333
"2001-05-07",7.87,7.896667,7.583333,7.85,3345200,7.85
"2001-05-08",7.85,7.9,7.8,7.836667,1845200,7.836667
"2001-05-09",7.833333,7.833333,7.616667,7.616667,1564800,7.616667
"2001-05-10",7.683333,7.813334,7.676667,7.81,2583200,7.81
"2001-05-11",7.813334,7.85,7.566667,7.583333,3323600,7.583333
"2001-05-14",7.566667,7.57,7.246666,7.43,2686400,7.43
"2001-05-15",7.333333,7.883333,7.33,7.853333,2573000,7.853333
"2001-05-16",7.84,8.033334,7.72,8.03,3141200,8.03
"2001-05-17",8.043333,8.273334,8.04,8.173333,1844400,8.173333
"2001-05-18",8.16,8.196667,8.066667,8.15,2062200,8.15
"2001-05-21",8.2,8.88,8.17,8.87,3105600,8.87
"2001-05-22",8.886666,8.896667,8.52,8.556666,2427200,8.556666
"2001-05-23",8.6,8.6,8.233334,8.25,1770600,8.25
"2001-05-24",8.333333,8.4,8.213333,8.37,2009600,8.37
"2001-05-25",8.546667,9.246667,8.533334,8.716666,6900200,8.716666
"2001-05-29",8.696667,8.933333,8.553333,8.553333,4620200,8.553333
"2001-05-30",8.563334,8.653334,8.116667,8.16,4203000,8.16
"2001-05-31",8.22,8.663333,8.2,8.593333,3458400,8.593333
"2001-06-01",8.593333,8.783334,8.366667,8.583333,1997400,8.583333
"2001-06-04",8.566667,8.633333,8.39,8.39,2447600,8.39
"2001-06-05",8.393333,8.783334,8.39,8.783334,2680800,8.783334
"2001-06-06",8.76,8.876667,8.696667,8.753333,2490600,8.753333
"2001-06-07",8.75,8.75,8.406667,8.433333,3020000,8.433333
"2001-06-08",8.416667,8.483334,8.27,8.283334,1727000,8.283334
"2001-06-11",8.283334,8.3,8.126667,8.163333,781800,8.163333
"2001-06-12",8.17,8.55,8.08,8.526667,1932200,8.526667
"2001-06-13",8.523334,8.53,8.333333,8.53,2135400,8.53
"2001-06-14",8.526667,8.633333,8.383333,8.383333,1931000,8.383333
"2001-06-15",8.366667,8.386666,8.166667,8.38,2737200,8.38
"2001-06-18",8.383333,8.406667,8.166667,8.166667,1351800,8.166667
"2001-06-19",8.233334,8.516666,8.223333,8.366667,2804000,8.366667
"2001-06-20",8.366667,8.45,8.316667,8.383333,2201000,8.383333
"2001-06-21",8.376667,8.623333,8.316667,8.436666,3326600,8.436666
"2001-06-22",8.44,8.646667,8.316667,8.636666,2748000,8.636666
"2001-06-25",8.616667,8.84,8.533334,8.643333,4479600,8.643333
"2001-06-26",8.62,8.673333,8.47,8.563334,5216600,8.563334
"2001-06-27",8.583333,8.67,8.543333,8.61,3775800,8.61
"2001-06-28",8.61,9.066667,8.61,8.95,5179400,8.95
"2001-06-29",8.946667,9.28,8.943334,9.28,7533200,9.28
"2001-07-02",9.2,9.433333,8.966666,9.26,3137600,9.26
"2001-07-03",9.25,9.38,9.216666,9.38,2874800,9.38
"2001-07-05",9.436666,10.166667,9.433333,10.003333,14112200,10.003333
"2001-07-06",10.023334,10.73,9.853333,10.423333,9694400,10.423333
"2001-07-09",10.433333,10.833333,10.066667,10.696667,11010800,10.696667
"2001-07-10",10.55,10.7,10.35,10.463333,7536000,10.463333
"2001-07-11",10.383333,10.413333,10.166667,10.273334,8037800,10.273334
"2001-07-12",10.326667,10.683333,10.316667,10.663333,4088600,10.663333
"2001-07-13",10.583333,10.7,10.566667,10.633333,4704800,10.633333
"2001-07-16",10.65,10.77,10.583333,10.676666,5305400,10.676666
"2001-07-17",10.7,10.866667,10.68,10.85,2881200,10.85
"2001-07-18",10.85,10.896667,10.743333,10.803333,3411800,10.803333
"2001-07-19",10.806666,11.083333,10.806666,11.066667,4296800,11.066667
"2001-07-20",11,11.626667,10.993333,11.513333,3790400,11.513333
"2001-07-23",11.5,11.653334,11.3,11.4,6620600,11.4
"2001-07-24",11.33,11.333333,10.84,11.04,5493200,11.04
"2001-07-25",9.156667,9.25,8.633333,8.99,21604800,8.99
"2001-07-26",8.95,9.096666,8.283334,8.6,12757400,8.6
"2001-07-27",8.47,8.703333,8.456667,8.566667,3704400,8.566667
"2001-07-30",8.503333,8.82,8.5,8.783334,2334800,8.783334
"2001-07-31",8.723333,8.753333,8.61,8.676666,2347200,8.676666
"2001-08-01",8.683333,8.71,8.5,8.686666,3447000,8.686666
"2001-08-02",8.67,8.69,8.183333,8.323334,5728400,8.323334
"2001-08-03",8.32,8.47,8.29,8.44,2825600,8.44
"2001-08-06",8.466666,8.483334,8.25,8.353333,2451800,8.353333
"2001-08-07",8.3,8.53,8.223333,8.496667,1413200,8.496667
"2001-08-08",8.47,8.6,8.303333,8.416667,3130400,8.416667
"2001-08-09",8.46,8.82,8.283334,8.816667,8042400,8.816667
"2001-08-10",8.77,8.806666,8.4,8.56,3139800,8.56
"2001-08-13",8.586667,8.653334,8.483334,8.616667,2246400,8.616667
"2001-08-14",8.616667,8.746667,8.5,8.516666,3104400,8.516666
"2001-08-15",8.503333,8.533334,8.416667,8.5,1902600,8.5
"2001-08-16",8.45,8.5,8.346666,8.433333,1870200,8.433333
"2001-08-17",8.416667,8.483334,8.23,8.326667,2017800,8.326667
"2001-08-20",8.333333,8.46,8.316667,8.42,1652400,8.42
"2001-08-21",8.426666,8.513333,8.286667,8.333333,2490000,8.333333
"2001-08-22",8.343333,8.393333,7.733333,7.94,7324400,7.94
"2001-08-23",8,8.036667,7.626667,7.75,4035600,7.75
"2001-08-24",7.753334,8.096666,7.753334,8.003333,2494400,8.003333
"2001-08-27",7.956666,8.073334,7.79,7.873333,2421000,7.873333
"2001-08-28",7.853333,7.916667,7.563334,7.563334,2933600,7.563334
"2001-08-29",7.586667,7.75,7.283333,7.746666,2423000,7.746666
"2001-08-30",7.71,7.746666,7.54,7.596667,2833400,7.596667
"2001-08-31",7.606667,7.916667,7.586667,7.91,2453600,7.91
"2001-09-04",7.906667,8.43,7.906667,8.226666,3495000,8.226666
"2001-09-05",8.28,8.326667,7.903333,7.94,3200000,7.94
"2001-09-06",7.953333,8.016666,7.7,7.816667,3507800,7.816667
"2001-09-07",7.77,7.82,7.526667,7.733333,3864600,7.733333
"2001-09-10",7.733333,7.78,7.39,7.48,3090200,7.48
"2001-09-17",7.336667,7.35,6.6,6.6,6271800,6.6
"2001-09-18",6.7,6.76,6.33,6.453333,9523800,6.453333
"2001-09-19",6.466667,6.603333,5.963333,6.1,11021600,6.1
"2001-09-20",6.1,6.193333,5.993333,6.156667,3477000,6.156667
"2001-09-21",6.05,6.103333,5.81,6.09,4054800,6.09
"2001-09-24",6.116667,6.53,6.113333,6.493333,4182000,6.493333
"2001-09-25",6.5,6.5,6.183333,6.303333,7238400,6.303333
"2001-09-26",6.346667,6.39,5.833333,5.893333,3531000,5.893333
"2001-09-27",5.866667,5.9,5.453333,5.883333,10752600,5.883333
"2001-09-28",5.903333,6.333333,5.883333,6.296667,5561600,6.296667
"2001-10-01",6.276667,6.366667,6.073333,6.273334,2386400,6.273334
"2001-10-02",6.283333,6.353333,6.203333,6.256667,1615200,6.256667
"2001-10-03",6.26,6.766667,6.193333,6.72,8188200,6.72
"2001-10-04",7.066667,7.273334,6.833333,7,6875600,7
"2001-10-05",6.953333,7,6.603333,6.7,3061200,6.7
"2001-10-08",6.666667,6.916667,6.633333,6.896667,2738600,6.896667
"2001-10-09",6.6,6.716667,6.51,6.706666,3347400,6.706666
"2001-10-10",6.713333,7.096667,6.676667,7.08,4766400,7.08
"2001-10-11",7.066667,7.633333,7.066667,7.44,3244800,7.44
"2001-10-12",7.453333,7.646667,7.153333,7.373333,3200400,7.373333
"2001-10-15",7.416667,7.416667,7.176667,7.256667,2574200,7.256667
"2001-10-16",7.276667,7.386667,7.103333,7.326667,1995000,7.326667
"2001-10-17",7.31,7.533333,7.066667,7.2,3547400,7.2
"2001-10-18",7.28,7.39,7.116667,7.25,1069200,7.25
"2001-10-19",7.313334,7.633333,7.1,7.533333,2246400,7.533333
"2001-10-22",7.57,7.71,7.483333,7.54,3443000,7.54
"2001-10-23",7.75,8.183333,7.583333,7.626667,5504400,7.626667
"2001-10-24",7.916667,8.08,7.743333,8.01,8950200,8.01
"2001-10-25",7.986667,8.06,7.676667,8.05,4598600,8.05
"2001-10-26",8.016666,8.313334,8.016666,8.103333,2579000,8.103333
"2001-10-29",8.166667,8.166667,7.753334,7.843333,2473800,7.843333
"2001-10-30",7.816667,7.816667,7.433333,7.703333,2413800,7.703333
"2001-10-31",7.796667,7.833333,7.48,7.49,3326000,7.49
"2001-11-01",7.483333,7.77,7.28,7.67,4868000,7.67
"2001-11-02",7.633333,7.816667,7.343333,7.623333,3732200,7.623333
"2001-11-05",7.586667,7.92,7.586667,7.826667,2289800,7.826667
"2001-11-06",7.833333,8.136666,7.75,8.073334,1628600,8.073334
"2001-11-07",8.063334,8.28,8.053333,8.15,1785600,8.15
"2001-11-08",8.15,8.54,8.1,8.526667,3494000,8.526667
"2001-11-09",8.526667,8.746667,8.433333,8.6,5481200,8.6
"2001-11-12",8.6,8.603333,8.246667,8.53,2378000,8.53
"2001-11-13",8.563334,9.033334,8.533334,9.003333,1926600,9.003333
"2001-11-14",9.083333,9.293333,8.866667,8.986667,3944600,8.986667
"2001-11-15",8.98,9.313334,8.94,9.153334,2501000,9.153334
"2001-11-16",9.136666,9.233334,8.87,8.986667,3219200,8.986667
"2001-11-19",9,9.33,8.996667,9.236667,1887200,9.236667
"2001-11-20",9.296667,9.333333,9.086667,9.21,1610400,9.21
"2001-11-21",9.11,9.266666,9.003333,9.266666,919400,9.266666
"2001-11-23",9.266666,9.416667,9.2,9.363334,629600,9.363334
"2001-11-26",9.403334,9.556666,9.333333,9.556666,1743600,9.556666
"2001-11-27",9.576667,9.916667,9.333333,9.853333,5190800,9.853333
"2001-11-28",9.803333,9.833333,9.64,9.656667,4609400,9.656667
"2001-11-29",9.73,9.736667,9.466666,9.556666,3266600,9.556666
"2001-11-30",9.533334,9.6,9.31,9.346666,3456200,9.346666
"2001-12-03",9.343333,9.35,8.943334,8.943334,2385800,8.943334
"2001-12-04",8.966666,9.03,8.823334,8.91,4246200,8.91
"2001-12-05",8.876667,9.343333,8.866667,9.23,3659600,9.23
"2001-12-06",9.25,9.503333,9.07,9.5,4785200,9.5
"2001-12-07",9.433333,9.53,9.333333,9.48,3016800,9.48
"2001-12-10",9.393333,9.456667,9.246667,9.3,3909800,9.3
"2001-12-11",9.35,9.353333,9.036667,9.083333,2007200,9.083333
"2001-12-12",9.156667,9.156667,8.623333,8.806666,3594000,8.806666
"2001-12-13",8.763333,8.763333,8.333333,8.336667,4749800,8.336667
"2001-12-14",8.363334,8.693334,8.256667,8.69,4586400,8.69
"2001-12-17",8.656667,8.666667,8.38,8.38,3859200,8.38
"2001-12-18",8.416667,8.55,8.416667,8.52,4566800,8.52
"2001-12-19",8.5,9.266666,8.416667,9.146667,5081600,9.146667
"2001-12-20",9.15,9.8,9.15,9.703333,8912600,9.703333
"2001-12-21",9.796667,10.2,9.666667,10.113334,7667600,10.113334
"2001-12-24",10.186666,10.206667,10,10.14,1961400,10.14
"2001-12-26",10.033334,10.43,10.016666,10.273334,2669400,10.273334
"2001-12-27",10.286667,10.466666,10.286667,10.42,2577200,10.42
"2001-12-28",10.426666,10.623333,10.39,10.526667,2140400,10.526667
"2001-12-31",10.55,10.55,10.253333,10.303333,2760000,10.303333
"2002-01-02",10.333333,10.426666,10.08,10.2,1978200,10.2
"2002-01-03",10.196667,10.246667,9.95,10.116667,3203600,10.116667
"2002-01-04",10.146667,10.246667,9.99,10.066667,4050800,10.066667
"2002-01-07",10,10.4,9.643333,9.913333,5038200,9.913333
"2002-01-08",9.953333,9.963333,9.476666,9.533334,6130400,9.533334
"2002-01-09",9.56,9.79,9.436666,9.583333,2090600,9.583333
"2002-01-10",9.53,9.766666,9.52,9.65,4323200,9.65
"2002-01-11",9.653334,9.666667,9.353333,9.37,5776400,9.37
"2002-01-14",9.216666,9.346666,9.15,9.176666,3302400,9.176666
"2002-01-15",9.133333,9.583333,8.986667,9.306666,2502600,9.306666
"2002-01-16",9.256667,9.76,9.25,9.703333,3978000,9.703333
"2002-01-17",9.76,10,9.616667,9.966666,4342200,9.966666
"2002-01-18",9.953333,10,9.583333,9.696667,2517000,9.696667
"2002-01-22",9.69,10.013333,9.636666,9.733334,4094400,9.733334
"2002-01-23",9.746667,9.763333,9.583333,9.65,4250600,9.65
"2002-01-24",9.666667,9.886666,9.653334,9.686666,2516600,9.686666
"2002-01-25",9.923333,10.983334,9.923333,10.926666,19038800,10.926666
