"","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2001-01-02",13.631975,13.743712,13.222271,13.482991,1008500,8.696728
"2001-01-03",13.557484,13.929942,13.4085,13.594729,1370200,8.768802
"2001-01-04",13.557484,13.669221,13.445745,13.482991,753800,8.696728
"2001-01-05",13.4085,13.445745,13.110534,13.4085,1480000,8.648679
"2001-01-08",13.4085,13.557484,13.185025,13.371254,665600,8.624662
"2001-01-09",13.222271,13.334008,12.738075,13.147779,1057500,8.480515
"2001-01-10",11.993158,12.849813,11.955913,12.589091,2614100,8.120152
"2001-01-11",12.589091,12.663584,12.216634,12.291125,1717900,7.927958
"2001-01-12",12.142141,12.179387,11.844175,12.06765,2788200,7.783811
"2001-01-16",11.322733,12.328371,11.322733,12.216634,1407600,7.879908
"2001-01-17",12.06765,12.216634,12.06765,12.142141,1204400,7.831864
"2001-01-18",12.142141,12.291125,12.06765,12.104896,1103200,7.807837
"2001-01-19",11.955913,12.216634,11.955913,12.142141,1004100,7.831864
"2001-01-22",12.030404,12.291125,11.955913,12.216634,1461200,7.879908
"2001-01-23",12.142141,12.663584,12.142141,12.477354,1230000,8.048076
"2001-01-24",13.036041,13.036041,12.365617,12.440108,1545400,8.024053
"2001-01-25",12.25388,12.738075,12.25388,12.589091,1288800,8.120152
"2001-01-26",12.738075,12.887058,12.328371,12.365617,973000,7.976007
"2001-01-29",12.294105,12.5146,12.294105,12.50864,681000,8.068258
"2001-01-30",12.657624,12.842363,12.401373,12.723177,1196800,8.20664
"2001-01-31",12.633786,13.021143,12.526519,12.878119,934600,8.306581
"2001-02-01",12.96155,12.96155,12.359657,12.526519,1941800,8.079793
"2001-02-02",12.5146,12.550356,11.829277,11.912707,1770600,7.683873
"2001-02-05",12.06169,12.097446,11.680293,11.739886,2262700,7.572399
"2001-02-06",11.859074,12.598031,11.859074,12.443088,2568100,8.025979
"2001-02-07",12.443088,13.557484,12.443088,13.348907,2451000,8.610242
"2001-02-08",13.348907,13.378703,12.830444,12.848323,1247400,8.287359
"2001-02-09",12.991346,13.283354,12.96155,13.182045,837000,8.502614
"2001-02-12",13.110534,13.342947,13.074778,13.295273,710400,8.575651
"2001-02-13",13.22972,13.22972,13.039021,13.039021,1560600,8.410363
"2001-02-14",13.039021,13.170127,12.901957,12.96155,852500,8.360394
"2001-02-15",13.110534,13.170127,12.997306,13.128411,1792500,8.468022
"2001-02-16",13.110534,13.259517,13.027102,13.128411,952400,8.468022
"2001-02-20",12.979428,13.188004,12.96155,13.009225,1487100,8.391144
"2001-02-21",12.931753,12.931753,12.60399,12.663584,1016500,8.168201
"2001-02-22",12.663584,12.69338,12.282186,12.407332,1431300,8.002915
"2001-02-23",12.455007,12.78277,12.395413,12.5146,985600,8.072104
"2001-02-26",12.42521,12.657624,12.311983,12.532478,826600,8.083634
"2001-02-27",12.681461,12.812567,12.484803,12.639746,630000,8.152827
"2001-02-28",12.574193,12.991346,12.532478,12.949632,1218500,8.352708
"2001-03-01",12.901957,12.991346,12.854282,12.943672,1469000,8.348863
"2001-03-02",12.901957,13.348907,12.687421,12.979428,1664200,8.371922
"2001-03-05",13.039021,13.068818,12.455007,12.645705,970600,8.156669
"2001-03-06",12.723177,12.884079,12.574193,12.651665,742000,8.160512
"2001-03-07",12.800648,13.718386,12.764892,13.706467,2809300,8.840875
"2001-03-08",13.706467,13.94484,13.706467,13.94484,1695100,8.994629
"2001-03-09",13.885246,14.153417,13.825653,13.891206,581700,8.960033
"2001-03-12",14.022311,14.093823,13.825653,13.998474,732400,9.029224
"2001-03-13",14.058067,14.058067,13.712426,13.783938,1597100,8.890846
"2001-03-14",13.575361,13.819694,13.468093,13.640914,1029900,8.798592
"2001-03-15",13.67667,13.807775,13.634954,13.795856,1048800,8.898532
"2001-03-16",13.85545,13.968678,13.730304,13.885246,1419600,8.95619
"2001-03-19",13.94484,14.3024,13.736263,14.159376,1174600,9.133011
"2001-03-20",13.873328,14.177254,13.772019,13.807775,776200,8.906221
"2001-03-21",13.76606,13.825653,13.605158,13.718386,741100,8.848564
"2001-03-22",13.706467,13.85545,13.527687,13.736263,2322500,8.860093
"2001-03-23",13.706467,13.992515,13.617077,13.879288,1101800,8.952346
"2001-03-26",14.004434,14.242806,13.998474,14.20705,573800,9.16376
"2001-03-27",14.272603,14.74935,14.242806,14.421587,2166100,9.302137
"2001-03-28",14.272603,14.3024,14.21301,14.284522,586700,9.213726
"2001-03-29",14.278563,14.451384,14.242806,14.284522,4061800,9.213726
"2001-03-30",14.296441,14.296441,14.03423,14.153417,2156600,9.129163
"2001-04-02",14.183213,14.403708,14.177254,14.3024,1040100,9.225261
"2001-04-03",14.3024,14.451384,13.742223,13.962718,992500,9.006161
"2001-04-04",14.3024,14.350075,13.67667,14.12362,2288600,9.109946
"2001-04-05",14.272603,14.421587,14.159376,14.361994,1596400,9.2637
"2001-04-06",14.3024,14.3024,13.885246,14.230888,935300,9.1944
"2001-04-09",14.600367,15.494267,14.600367,15.041357,4124200,9.718035
"2001-04-10",15.041357,15.428714,15.005601,15.142666,1614000,9.783487
"2001-04-11",15.023479,15.130748,14.600367,14.910252,1361300,9.633327
"2001-04-12",14.957927,15.077113,14.665919,14.874496,1378000,9.610221
"2001-04-16",14.951967,15.309527,14.808944,15.208219,1193400,9.825838
"2001-04-17",15.142666,15.673047,15.118829,15.673047,937300,10.126158
"2001-04-18",15.613453,16.000811,15.446592,15.720721,1195100,10.156961
"2001-04-19",15.73264,15.941216,15.440633,15.518104,1436400,10.026051
"2001-04-20",15.55386,15.744558,15.46447,15.601535,685600,10.079955
"2001-04-23",15.702844,15.792233,15.613453,15.720721,1330100,10.156961
"2001-04-24",15.720721,15.845867,15.38104,15.55386,896100,10.04915
"2001-04-25",15.55386,16.263021,15.434673,16.042526,956500,10.364874
"2001-04-26",16.119997,16.382208,15.881623,15.941216,1286700,10.299417
"2001-04-27",16.0902,16.304735,15.941216,16.149794,865300,10.434175
"2001-04-30",16.209387,16.35837,16.000811,16.274939,1452900,10.515035
"2001-05-01",16.298777,16.298777,15.708802,16.149794,1304900,10.434175
"2001-05-02",16.298777,16.298777,15.45851,15.851827,1192800,10.241662
"2001-05-03",15.73264,15.73264,15.273771,15.518104,712600,10.026051
"2001-05-04",15.613453,16.549068,15.583656,16.292818,1742200,10.526582
"2001-05-07",16.298777,16.578865,16.26898,16.549068,1250200,10.692147
"2001-05-08",16.507353,16.835117,16.340492,16.757645,1551100,10.8269
"2001-05-09",16.763605,17.282066,16.715931,17.25227,1979700,11.146475
"2001-05-10",17.25227,17.293985,16.596743,16.769564,2041200,10.834601
"2001-05-11",16.88875,16.88875,16.066362,16.555029,1736100,10.695995
"2001-05-14",16.656336,16.674215,15.971013,16.334532,1574400,10.553535
"2001-05-15",16.35837,16.805321,16.298777,16.769564,1248700,10.834601
"2001-05-16",16.721889,16.966223,16.519272,16.936426,1543500,10.94241
"2001-05-17",17.085409,17.282066,16.924507,17.246311,1285800,11.142622
"2001-05-18",17.246311,17.25227,17.037733,17.133083,1396500,11.069468
"2001-05-21",17.16288,17.389334,16.918547,17.282066,832400,11.165728
"2001-05-22",17.282066,17.574074,17.168839,17.43701,640300,11.265834
"2001-05-23",17.311863,17.431049,16.954304,17.103287,1020500,11.05022
"2001-05-24",17.133083,17.276108,16.990059,17.025816,730300,11.000165
"2001-05-25",17.043694,17.222473,16.996019,17.222473,550500,11.127223
"2001-05-29",17.16288,17.246311,16.9841,16.9841,781200,10.973213
"2001-05-30",17.043694,17.282066,17.013897,17.109245,1186100,11.054062
"2001-05-31",17.049652,17.049652,16.221306,16.626539,2609600,10.74219
"2001-06-01",16.620581,16.620581,16.274939,16.388166,2113600,10.588187
"2001-06-04",16.507353,16.507353,16.209387,16.435841,1609900,10.618989
"2001-06-05",16.45372,16.566946,16.251102,16.388166,2315800,10.588187
"2001-06-06",16.328573,16.370289,15.619412,15.7386,2295500,10.168509
"2001-06-07",15.673047,15.851827,15.124788,15.273771,3842100,9.868191
"2001-06-08",15.124788,15.452551,15.124788,15.166503,1180400,9.798889
"2001-06-11",15.208219,15.494267,15.10095,15.261852,3299800,9.860491
"2001-06-12",15.321446,15.476389,15.226097,15.249934,1137300,9.852792
"2001-06-13",15.339324,15.506186,15.202259,15.28569,1514900,9.875889
"2001-06-14",15.28569,15.28569,14.946008,14.946008,518900,9.656427
"2001-06-15",15.089032,15.184381,14.65996,14.797025,1266300,9.560172
"2001-06-18",14.808944,14.957927,14.808944,14.880455,1355600,9.614073
"2001-06-19",14.999642,15.178422,14.916211,14.969846,794000,9.671829
"2001-06-20",14.910252,15.64325,14.910252,15.38104,1377100,9.937496
"2001-06-21",15.494267,15.941216,15.351243,15.5479,1352900,10.045301
"2001-06-22",15.941216,16.054443,14.761269,15.136706,1968000,9.779636
"2001-06-25",15.077113,15.601535,15.077113,15.10095,1210200,9.756534
"2001-06-26",14.951967,15.863746,14.74935,15.702844,2294200,10.145407
"2001-06-27",15.702844,16.286858,15.64325,16.149794,1336100,10.434175
"2001-06-28",16.537149,17.317823,16.26898,17.282066,2708100,11.165728
"2001-06-29",17.192677,17.192677,16.477556,16.626539,1680100,10.74219
"2001-07-02",16.835117,17.401253,16.811279,16.930466,1653800,10.938561
"2001-07-03",17.079449,17.127125,16.841076,17.091368,686400,11.042519
"2001-07-05",17.055613,17.323782,17.007936,17.145002,987300,11.077172
"2001-07-06",17.282066,17.311863,16.715931,16.727848,1037100,10.807647
"2001-07-09",16.835117,17.431049,16.835117,17.192677,1274600,11.107973
"2001-07-10",17.103287,17.311863,16.835117,17.067532,1308800,11.027114
"2001-07-11",17.186718,17.723057,17.186718,17.466806,2494900,11.285085
"2001-07-12",17.466806,17.836285,17.431049,17.830326,2759100,11.519946
"2001-07-13",17.580034,17.830326,17.478725,17.609831,2182100,11.377488
