"","Open","High","Low","Close","Volume"
"2001-01-02",8.845712,8.957449,8.436008,8.696728,1008500
"2001-01-03",8.731557,9.104015,8.582573,8.768802,1370200
"2001-01-04",8.771221,8.882958,8.659482,8.696728,753800
"2001-01-05",8.648679,8.685924,8.350713,8.648679,1480000
"2001-01-08",8.661908,8.810892,8.438433,8.624662,665600
"2001-01-09",8.555007,8.666744,8.070811,8.480515,1057500
"2001-01-10",7.524219,8.380874,7.486974,8.120152,2614100
"2001-01-11",8.225924,8.300417,7.853467,7.927958,1717900
"2001-01-12",7.858302,7.895548,7.560336,7.783811,2788200
"2001-01-16",6.986007,7.991645,6.986007,7.879908,1407600
"2001-01-17",7.757373,7.906357,7.757373,7.831864,1204400
"2001-01-18",7.845082,7.994066,7.770591,7.807837,1103200
"2001-01-19",7.645636,7.906357,7.645636,7.831864,1004100
"2001-01-22",7.693678,7.954399,7.619187,7.879908,1461200
"2001-01-23",7.712863,8.234306,7.712863,8.048076,1230000
"2001-01-24",8.619986,8.619986,7.949562,8.024053,1545400
"2001-01-25",7.784941,8.269136,7.784941,8.120152,1288800
"2001-01-26",8.348465,8.497448,7.938761,7.976007,973000
"2001-01-29",7.853723,8.074218,7.853723,8.068258,681000
"2001-01-30",8.141087,8.325826,7.884836,8.20664,1196800
"2001-01-31",8.062248,8.449605,7.954981,8.306581,934600
"2001-02-01",8.514824,8.514824,7.912931,8.079793,1941800
"2001-02-02",8.285766,8.321522,7.600443,7.683873,1770600
"2001-02-05",7.894203,7.929959,7.512806,7.572399,2262700
"2001-02-06",7.441965,8.180922,7.441965,8.025979,2568100
"2001-02-07",7.704423,8.818819,7.704423,8.610242,2451000
"2001-02-08",8.787943,8.817739,8.26948,8.287359,1247400
"2001-02-09",8.311915,8.603923,8.282119,8.502614,837000
"2001-02-12",8.390912,8.623325,8.355156,8.575651,710400
"2001-02-13",8.601062,8.601062,8.410363,8.410363,1560600
"2001-02-14",8.437865,8.568971,8.300801,8.360394,852500
"2001-02-15",8.450145,8.509738,8.336917,8.468022,1792500
"2001-02-16",8.450145,8.599128,8.366713,8.468022,952400
"2001-02-20",8.361347,8.569923,8.343469,8.391144,1487100
"2001-02-21",8.43637,8.43637,8.108607,8.168201,1016500
"2001-02-22",8.259167,8.288963,7.877769,8.002915,1431300
"2001-02-23",8.012511,8.340274,7.952917,8.072104,985600
"2001-02-26",7.976366,8.20878,7.863139,8.083634,826600
"2001-02-27",8.194542,8.325648,7.997884,8.152827,630000
"2001-02-28",7.977269,8.394422,7.935554,8.352708,1218500
"2001-03-01",8.307148,8.396537,8.259473,8.348863,1469000
"2001-03-02",8.294451,8.741401,8.079915,8.371922,1664200
"2001-03-05",8.549985,8.579782,7.965971,8.156669,970600
"2001-03-06",8.232024,8.392926,8.08304,8.160512,742000
"2001-03-07",7.935056,8.852794,7.8993,8.840875,2809300
"2001-03-08",8.756256,8.994629,8.756256,8.994629,1695100
"2001-03-09",8.954073,9.222244,8.89448,8.960033,581700
"2001-03-12",9.053061,9.124573,8.856403,9.029224,732400
"2001-03-13",9.164975,9.164975,8.819334,8.890846,1597100
"2001-03-14",8.733039,8.977372,8.625771,8.798592,1029900
"2001-03-15",8.779346,8.910451,8.73763,8.898532,1048800
"2001-03-16",8.926394,9.039622,8.801248,8.95619,1419600
"2001-03-19",8.918475,9.276035,8.709898,9.133011,1174600
"2001-03-20",8.971774,9.2757,8.870465,8.906221,776200
"2001-03-21",8.896238,8.955831,8.735336,8.848564,741100
"2001-03-22",8.830297,8.97928,8.651517,8.860093,2322500
"2001-03-23",8.779525,9.065573,8.690135,8.952346,1101800
"2001-03-26",8.961144,9.199516,8.955184,9.16376,573800
"2001-03-27",9.153153,9.6299,9.123356,9.302137,2166100
"2001-03-28",9.201807,9.231604,9.142214,9.213726,586700
"2001-03-29",9.207767,9.380588,9.17201,9.213726,4061800
"2001-03-30",9.272187,9.272187,9.009976,9.129163,2156600
"2001-04-02",9.106074,9.326569,9.100115,9.225261,1040100
"2001-04-03",9.345843,9.494827,8.785666,9.006161,992500
"2001-04-04",9.288726,9.336401,8.662996,9.109946,2288600
"2001-04-05",9.174309,9.323293,9.061082,9.2637,1596400
"2001-04-06",9.265912,9.265912,8.848758,9.1944,935300
"2001-04-09",9.277045,10.170945,9.277045,9.718035,4124200
"2001-04-10",9.682178,10.069535,9.646422,9.783487,1614000
"2001-04-11",9.746554,9.853823,9.323442,9.633327,1361300
"2001-04-12",9.693652,9.812838,9.401644,9.610221,1378000
"2001-04-16",9.569586,9.927146,9.426563,9.825838,1193400
"2001-04-17",9.595777,10.126158,9.57194,10.126158,937300
"2001-04-18",10.049693,10.437051,9.882832,10.156961,1195100
"2001-04-19",10.240587,10.449163,9.94858,10.026051,1436400
"2001-04-20",10.03228,10.222978,9.94289,10.079955,685600
"2001-04-23",10.139084,10.228473,10.049693,10.156961,1330100
"2001-04-24",10.216011,10.341157,9.87633,10.04915,896100
"2001-04-25",9.876208,10.585369,9.757021,10.364874,956500
"2001-04-26",10.478198,10.740409,10.239824,10.299417,1286700
"2001-04-27",10.374581,10.589116,10.225597,10.434175,865300
"2001-04-30",10.449483,10.598466,10.240907,10.515035,1452900
"2001-05-01",10.583158,10.583158,9.993183,10.434175,1304900
"2001-05-02",10.688612,10.688612,9.848345,10.241662,1192800
"2001-05-03",10.240587,10.240587,9.781718,10.026051,712600
"2001-05-04",9.847217,10.782832,9.81742,10.526582,1742200
"2001-05-07",10.441856,10.721944,10.412059,10.692147,1250200
"2001-05-08",10.576608,10.904372,10.409747,10.8269,1551100
"2001-05-09",10.65781,11.176271,10.610136,11.146475,1979700
"2001-05-10",11.317307,11.359022,10.66178,10.834601,2041200
"2001-05-11",11.029716,11.029716,10.207328,10.695995,1736100
"2001-05-14",10.875339,10.893218,10.190016,10.553535,1574400
"2001-05-15",10.423407,10.870358,10.363814,10.834601,1248700
"2001-05-16",10.727873,10.972207,10.525256,10.94241,1543500
"2001-05-17",10.98172,11.178377,10.820818,11.142622,1285800
"2001-05-18",11.182696,11.188655,10.974118,11.069468,1396500
"2001-05-21",11.046542,11.272996,10.802209,11.165728,832400
"2001-05-22",11.11089,11.402898,10.997663,11.265834,640300
"2001-05-23",11.258796,11.377982,10.901237,11.05022,1020500
"2001-05-24",11.107432,11.250457,10.964408,11.000165,730300
"2001-05-25",10.948444,11.127223,10.900769,11.127223,550500
"2001-05-29",11.151993,11.235424,10.973213,10.973213,781200
"2001-05-30",10.988511,11.226883,10.958714,11.054062,1186100
"2001-05-31",11.165303,11.165303,10.336957,10.74219,2609600
"2001-06-01",10.820602,10.820602,10.47496,10.588187,2113600
