"","Open","High","Low","Close","Volume"
"2016-10-13",2.847075,2.847075,2.847075,2.847075,0
"2016-10-14",2.847075,2.847075,2.847075,2.847075,0
"2016-10-21",43.497402,43.497402,42.5774,43.227402,124200
"2016-10-24",43.561008,43.571011,43.53101,43.541008,142500
"2016-10-25",43.397667,44.117668,43.397667,43.837669,84400
"2016-10-26",43.990238,44.090236,43.590236,43.990238,122800
"2016-10-27",43.651199,43.651199,43.651199,43.651199,52600
"2016-10-28",43.811718,43.820717,43.811718,43.820717,500
"2016-10-31",43.784489,45.134487,43.784489,45.134487,269400
"2016-11-01",45.070236,45.070236,43.880237,43.990238,67400
"2016-11-02",44.06934,44.06934,42.279339,43.550339,38400
"2016-11-03",43.657402,43.662403,43.227402,43.227402,65100
"2016-11-04",43.008793,44.498795,43.008793,44.498795,7500
"2016-11-07",44.379947,44.389945,43.484947,44.269947,2900
"2016-11-08",44.238797,44.498795,44.238797,44.498795,195000
"2016-11-09",44.189304,44.189304,43.439304,43.439304,55700
"2016-11-10",43.8036,43.8036,42.593601,42.8036,263600
"2016-11-11",42.388541,43.17654,42.388541,43.17654,2700
"2016-11-14",42.918179,43.238178,42.408176,42.778179,153000
"2016-11-15",44.041955,44.041955,43.703953,43.913956,51200
"2016-11-16",42.630253,43.980255,42.630253,43.545254,1400
"2016-11-17",42.795181,44.363182,42.795181,44.363182,1400
"2016-11-18",44.581791,44.581791,42.86179,43.091789,157300
"2016-11-21",43.244659,43.482658,42.452659,42.975658,82200
"2016-11-22",42.654545,43.704544,42.654545,43.354546,3700
"2016-11-23",43.762452,43.762452,43.012452,43.032452,3300
"2016-11-25",43.439304,43.639305,43.439304,43.439304,13800
"2016-11-28",43.609753,44.289754,43.609753,44.159752,608600
"2016-11-29",44.010994,44.610992,44.010994,44.430992,22600
"2016-11-30",44.227402,44.717404,42.937401,43.227402,17000
"2016-12-01",43.338928,43.538928,43.058929,43.218929,106500
"2016-12-02",43.49308,45.853081,43.283081,44.753078,456200
"2016-12-05",44.208713,44.918716,43.838714,43.998714,564700
