"","Open","High","Low","Close","Volume"
"2001-01-02",25.101488,25.951488,24.301489,24.601488,1945600
"2001-01-03",25.203966,25.278967,23.398966,23.458965,1723600
"2001-01-04",23.557379,23.56238,21.807379,22.43738,2474000
"2001-01-05",22.192806,24.317806,22.117805,24.142807,2351600
"2001-01-08",24.178047,24.958048,23.568049,24.468048,1858400
"2001-01-09",24.775833,25.200832,23.375833,23.725834,2472600
"2001-01-10",23.91956,24.52456,23.844559,24.25956,1573200
"2001-01-11",24.187332,24.822332,24.147331,24.622332,1344000
"2001-01-12",24.980905,24.980905,23.580906,23.825905,1916800
"2001-01-16",24.689953,24.789953,23.989952,24.784952,2074800
"2001-01-17",24.643639,24.643639,23.938639,24.138638,2410400
"2001-01-18",24.376916,24.376916,22.381917,22.941916,3456800
"2001-01-19",22.851042,23.591041,22.251041,22.87104,1917400
"2001-01-22",22.868815,23.543814,22.868815,23.258814,1600600
"2001-01-23",23.158312,24.133312,22.988312,23.688313,1023400
"2001-01-24",23.616915,24.506914,23.616915,24.071915,1172400
"2001-01-25",24.134042,24.834043,24.084043,24.689043,1181800
"2001-01-26",24.897976,25.147976,24.082975,24.367975,1907200
"2001-01-29",24.434875,24.434875,23.549875,23.554876,1145200
"2001-01-30",23.609678,23.614677,22.989677,23.279678,2316400
"2001-01-31",23.365184,23.925183,22.805183,22.850183,2622800
"2001-02-01",23.109877,23.209875,21.684876,22.424875,2884200
"2001-02-02",22.124641,23.324642,22.074642,23.229641,3521200
"2001-02-05",22.910327,24.180328,22.910327,24.180328,2230400
"2001-02-06",24.1712,24.2512,23.686199,24.226198,1640600
"2001-02-07",24.347307,24.722307,23.757307,24.597307,1707000
"2001-02-08",24.929716,24.929716,24.449717,24.459717,1414600
"2001-02-09",24.372524,24.962524,24.342523,24.897524,1313400
"2001-02-12",24.972332,24.972332,24.347332,24.622332,924200
"2001-02-13",24.226488,24.851488,24.226488,24.601488,1462000
"2001-02-14",24.97868,25.143679,24.133681,24.188679,1691400
"2001-02-15",24.457748,24.507747,23.532749,24.067749,1195600
"2001-02-16",24.468535,24.768534,23.743535,24.013535,1526000
"2001-02-20",24.135525,24.535525,24.060524,24.430525,1343600
"2001-02-21",25.00092,25.12592,23.85092,23.85092,2270800
"2001-02-22",24.574444,24.574444,23.454443,24.109444,1309400
"2001-02-23",24.234815,24.399816,23.439815,23.479816,988400
"2001-02-26",23.084412,24.199412,23.084412,24.059412,1925400
"2001-02-27",23.986347,24.511347,23.936346,24.426348,2551000
"2001-02-28",24.892527,24.892527,23.662527,23.767527,2018600
"2001-03-01",24.123073,24.548072,23.653074,24.493074,3221800
"2001-03-02",24.726488,25.091488,24.401487,24.601488,2177600
"2001-03-05",24.728609,25.403608,24.628609,25.218609,1746600
"2001-03-06",25.167143,25.522142,24.997143,25.502142,1751400
"2001-03-07",25.971218,26.771217,25.941217,26.511219,2913400
"2001-03-08",26.578407,27.528408,26.178407,27.228409,3654400
"2001-03-09",27.120389,27.870389,26.995389,27.645391,2842200
"2001-03-12",27.440499,27.490498,26.315499,26.665499,3014600
"2001-03-13",26.789938,26.914938,25.289938,26.289938,2467600
"2001-03-14",25.876765,26.386765,25.426764,25.851765,1144200
"2001-03-15",26.098267,26.098267,25.348267,25.743265,1043400
"2001-03-16",25.744097,26.044098,25.649098,25.739098,1851200
"2001-03-19",26.008501,26.463501,25.713501,26.448502,2136800
"2001-03-20",26.25392,27.453921,26.203921,26.723921,1701200
"2001-03-21",26.79902,26.809018,26.00402,26.24402,1305600
"2001-03-22",26.371109,26.37611,24.156109,24.871109,2069000
"2001-03-23",24.843029,25.538029,24.788029,25.038029,1667600
"2001-03-26",25.290514,25.665514,24.990515,25.025515,1359400
"2001-03-27",25.198435,25.578434,24.203434,24.203434,2502200
"2001-03-28",24.158766,24.858767,23.733767,24.428766,1685000
"2001-03-29",24.60661,24.656611,23.451611,23.55661,1946000
"2001-03-30",23.186888,24.761889,23.186888,24.286888,2703400
"2001-04-02",24.4895,24.4945,22.954501,23.2645,1588600
"2001-04-03",24.03326,24.03326,21.903261,21.90826,2806200
"2001-04-04",21.89408,23.044079,21.64408,22.989079,2838200
"2001-04-05",22.889883,23.564884,22.364884,23.514883,1701000
"2001-04-06",23.444584,24.069584,22.969586,23.869585,1378200
"2001-04-09",23.803556,24.878555,23.803556,24.833555,1400400
"2001-04-10",25.243363,25.628363,24.883362,25.263363,1574400
"2001-04-11",25.570738,25.595737,24.445738,24.620737,1151200
"2001-04-12",24.870737,25.395737,24.355738,24.620737,1581400
"2001-04-16",24.862394,25.167395,24.462395,25.167395,1577800
"2001-04-17",24.908899,25.283899,24.6089,25.058899,1466800
"2001-04-18",25.171175,25.246176,24.171175,24.366175,2061200
"2001-04-19",24.685175,24.810175,23.005174,23.160175,3714400
"2001-04-20",23.556679,24.13168,23.031679,23.05168,3085000
"2001-04-23",23.159211,24.20921,23.09421,24.17421,1946000
"2001-04-24",24.460045,24.700045,24.010044,24.170044,1176600
"2001-04-25",24.332277,24.987277,24.007278,24.537277,1647400
"2001-04-26",24.795917,25.040916,24.720916,24.745916,2287200
"2001-04-27",24.763243,24.763243,24.118243,24.633242,2120600
"2001-04-30",24.634895,25.109896,24.269896,24.624895,2211800
"2001-05-01",24.829893,24.854893,23.779892,24.069893,1379600
"2001-05-02",23.713936,23.743937,22.813936,22.888935,2755800
"2001-05-03",23.03614,23.041141,21.716141,22.146141,4639400
"2001-05-04",22.118822,23.368822,22.118822,23.368822,2810000
"2001-05-07",23.598978,24.018978,23.298979,23.468979,5861800
"2001-05-08",23.527863,23.827862,23.027863,23.827862,2297000
"2001-05-09",23.840599,24.070601,23.7706,23.990601,2649200
"2001-05-10",24.208656,24.208656,23.683657,23.798656,1992400
"2001-05-11",23.826763,23.886765,23.361763,23.656763,1189200
"2001-05-14",23.621176,24.366175,23.621176,24.366175,1505000
"2001-05-15",24.147316,25.192316,24.147316,25.117315,2658600
"2001-05-16",25.105324,26.005323,25.055324,25.455324,3451200
"2001-05-17",25.495842,25.560843,24.895842,25.250841,3068200
"2001-05-18",25.146809,26.06181,25.146809,25.876808,1211200
"2001-05-21",25.937889,26.16289,25.762888,26.047888,1610200
"2001-05-22",26.190828,26.20583,25.490829,25.780828,3258400
"2001-05-23",25.703645,25.708644,25.283645,25.438644,2183800
"2001-05-24",25.535358,25.535358,24.865358,24.925358,1866000
"2001-05-25",25.009706,25.009706,24.439706,24.499706,1251000
"2001-05-29",24.665013,24.965012,23.965012,24.145012,1345800
"2001-05-30",24.252228,24.552227,23.652228,23.957228,2168400
"2001-05-31",23.886064,24.486062,23.866063,24.291063,1676400
"2001-06-01",24.633963,24.733963,24.083964,24.553963,1067000
"2001-06-04",24.82193,25.19693,24.681931,24.86693,1148000
"2001-06-05",24.819679,24.899679,24.399679,24.47468,761600
"2001-06-06",24.536957,24.536957,23.536957,23.781958,1268200
"2001-06-07",23.577923,23.677921,23.027922,23.322922,2125200
"2001-06-08",23.877102,23.877102,22.927101,23.327103,1261400
"2001-06-11",23.381719,23.651719,23.076719,23.076719,1432600
"2001-06-12",23.224106,24.324106,23.074106,24.099106,1723000
"2001-06-13",24.239072,24.364072,23.344072,23.389072,1232600
"2001-06-14",23.69994,23.69994,22.599942,22.69994,1909800
"2001-06-15",22.52336,23.223359,22.448359,23.088358,1610600
"2001-06-18",23.212288,23.212288,22.22729,22.637289,1234000
"2001-06-19",22.515515,22.665514,21.915514,22.240515,982000
"2001-06-20",22.34313,22.86813,21.568131,21.59313,1860400
"2001-06-21",21.803094,21.963094,20.203094,20.528095,4967400
"2001-06-22",20.333775,21.558773,20.333775,21.513773,2986800
"2001-06-25",21.18153,21.43153,20.95653,21.27153,1730400
"2001-06-26",21.429953,21.854952,21.119951,21.659952,1598000
"2001-06-27",21.528532,21.778532,21.143532,21.413532,3396200
"2001-06-28",20.931226,21.381225,20.781227,21.146227,3121000
"2001-06-29",21.102262,22.327263,21.082264,21.927263,3107600
"2001-07-02",22.178187,22.178187,21.203186,21.263186,2932600
"2001-07-03",21.351593,21.376595,21.131594,21.296595,1338400
"2001-07-05",21.248068,22.123068,21.248068,21.568068,2234000
"2001-07-06",21.557725,21.887725,21.082725,21.772726,1355800
"2001-07-09",21.8337,21.908701,20.9837,21.133699,2641200
"2001-07-10",21.317243,21.492242,20.967243,21.217243,3052600
"2001-07-11",21.352579,21.352579,20.757578,21.012579,4463000
"2001-07-12",21.138113,21.313112,20.863111,21.238111,3406600
"2001-07-13",21.184593,21.704594,21.179594,21.509594,1807800
"2001-07-16",21.661098,21.796098,20.711097,20.741098,1725800
"2001-07-17",21.006083,21.106083,19.981083,20.386084,2961000
"2001-07-18",20.205189,20.230188,19.655189,20.010189,3584600
"2001-07-19",19.992894,20.387894,19.837893,20.097893,2078400
"2001-07-20",20.124049,21.014048,20.124049,20.929049,2798600
"2001-07-23",20.965885,21.690886,20.965885,21.350885,2188600
"2001-07-24",21.521805,21.521805,20.491805,20.686804,1558000
"2001-07-25",20.601366,21.721365,19.966366,21.551365,2313200
"2001-07-26",21.347834,21.947834,21.322834,21.822834,2160400
"2001-07-27",21.688402,22.863403,21.163403,22.758404,1691800
"2001-07-30",22.794096,23.039095,22.244095,22.349094,1834600
"2001-07-31",22.786457,23.161457,22.166456,22.641457,1594800
"2001-08-01",22.353155,23.163154,22.098156,22.303156,1840800
"2001-08-02",22.179277,22.824278,22.084276,22.424276,2641000
"2001-08-03",22.351673,22.426674,21.551674,21.676674,2004000
"2001-08-06",21.677483,21.877482,21.432482,21.672482,1211000
"2001-08-07",21.86689,22.056891,21.326889,21.42189,1228600
"2001-08-08",21.70392,21.72892,20.45392,20.52392,1402200
"2001-08-09",20.465517,20.885517,20.015516,20.845516,1334600
"2001-08-10",20.650395,21.275395,20.600396,20.795395,722000
"2001-08-13",20.861694,21.331693,20.861694,20.991693,505200
"2001-08-14",19.320532,21.220532,19.195532,21.200531,12905800
"2001-08-15",20.889083,22.014083,20.664083,21.994083,6218600
"2001-08-16",22.023725,22.023725,21.528724,21.843725,3590400
"2001-08-17",21.718426,21.813425,21.478426,21.718426,1648200
"2001-08-20",21.82228,21.82228,20.872279,20.887278,2231200
"2001-08-21",20.968101,21.058101,20.813102,20.883102,2084200
"2001-08-22",21.115433,21.440433,20.330433,20.465433,3428000
"2001-08-23",20.452212,20.607211,20.157212,20.50721,1465400
"2001-08-24",20.519564,20.519564,20.169566,20.444565,1299800
"2001-08-27",20.436324,20.581325,20.236324,20.486324,931400
"2001-08-28",20.684246,20.684246,19.864244,19.964245,2623800
"2001-08-29",20.13093,20.48093,19.51593,19.625931,3429800
"2001-08-30",19.625931,19.830931,19.27593,19.625931,3510000
"2001-08-31",19.690222,19.940222,19.320221,19.325222,1748800
"2001-09-04",18.888665,18.888665,18.188664,18.318665,8205600
"2001-09-05",18.389471,18.389471,17.50947,17.959471,4420200
"2001-09-06",17.966877,18.211878,17.506878,17.921877,2287400
"2001-09-07",17.809229,18.229229,17.80423,17.859228,5906200
"2001-09-10",17.57818,18.263179,17.55318,18.118181,3329000
"2001-09-17",18.404833,18.654833,17.454832,17.979834,3273600
"2001-09-18",18.221987,18.221987,16.761988,16.776987,2490400
"2001-09-19",16.957359,17.04236,15.072359,15.84236,4846600
"2001-09-20",15.810389,15.90539,14.885389,15.36039,5927600
"2001-09-21",14.804581,16.07958,14.60458,15.64958,2892600
"2001-09-24",15.572545,15.692546,13.447545,13.872544,7431800
"2001-09-25",13.985562,14.110562,13.110562,13.675563,9960200
"2001-09-26",14.105283,14.430284,12.980283,13.055283,6926600
"2001-09-27",12.903358,13.988359,12.598358,13.868358,5865800
"2001-09-28",13.96739,14.71739,13.84239,14.417391,3169600
"2001-10-01",14.576595,14.576595,13.601595,13.851595,2807600
"2001-10-02",13.835415,14.285415,13.835415,13.935415,2382600
"2001-10-03",13.301523,14.031523,13.026523,13.981523,3607000
"2001-10-04",13.798485,15.223484,13.798485,15.033483,3156400
"2001-10-05",15.090974,15.465974,14.625974,15.460973,2845000
"2001-10-08",15.483628,15.788628,15.138628,15.343628,2363800
