"","Open","High","Low","Close","Volume"
"2001-01-02",11.972517,12.160017,11.378767,11.878767,1104400
"2001-01-03",13.481457,13.856457,10.856457,10.950207,2569200
"2001-01-04",12.646206,12.646206,9.896206,10.146206,4019200
"2001-01-05",10.131724,10.444224,9.662974,10.225474,3299400
"2001-01-08",10.039387,10.726887,9.945637,10.633137,3367800
"2001-01-09",10.559313,10.684313,10.121813,10.621813,3146800
"2001-01-10",11.206961,11.300711,10.175711,10.644461,2717600
"2001-01-11",11.381724,11.381724,9.881724,10.225474,2911000
"2001-01-12",9.64762,10.67887,9.39762,10.55387,2989800
"2001-01-16",10.756724,10.881724,9.756724,10.225474,3191400
"2001-01-17",9.738648,10.676148,9.269898,10.519898,5556200
"2001-01-18",10.221007,10.814757,9.877257,10.689757,2288200
"2001-01-19",10.004097,11.066597,9.535347,10.972847,3791400
"2001-01-22",10.83337,11.36462,10.42712,11.05212,1933400
"2001-01-23",10.827052,11.920802,10.827052,11.233302,1821800
"2001-01-24",11.107866,11.732866,11.014116,11.357866,1492200
"2001-01-25",11.340228,11.715228,11.277728,11.527728,1279800
"2001-01-26",11.829337,12.079337,11.016837,11.391837,1504600
"2001-01-29",11.338546,12.178544,11.338546,11.423545,1410200
"2001-01-30",11.853303,11.978303,11.193301,11.233302,2435400
"2001-01-31",11.29707,11.372071,10.597069,11.19707,1394600
"2001-02-01",11.30212,11.51712,10.80212,11.05212,1261400
"2001-02-02",10.974453,11.604452,10.854452,11.164451,1705400
"2001-02-05",11.116853,11.601854,11.046854,11.256855,1097200
"2001-02-06",11.306786,11.621786,10.906786,11.276787,795200
"2001-02-07",11.032972,11.647971,11.012971,11.457973,1715600
"2001-02-08",11.228211,11.753211,11.203212,11.648211,1213000
"2001-02-09",11.146795,12.071794,11.051794,11.921797,1966000
"2001-02-12",12.053886,12.428886,11.228886,11.843887,2060400
"2001-02-13",12.169741,12.58974,11.439742,11.729739,1979600
"2001-02-14",11.753873,11.953874,11.403875,11.718873,1474600
"2001-02-15",11.628439,11.788439,11.113437,11.713438,1508800
"2001-02-16",11.872652,12.272649,11.727651,11.807649,1697200
"2001-02-20",11.577318,12.402319,11.40732,12.03232,1626600
"2001-02-21",12.420782,12.800783,11.920782,11.950781,2075800
"2001-02-22",11.930501,12.580503,11.630502,12.030504,1660600
"2001-02-23",12.674829,12.90983,11.224828,11.834829,1891200
"2001-02-26",11.73172,12.486721,11.686722,11.941723,1713200
"2001-02-27",12.069267,12.519268,11.744266,11.994266,2584800
"2001-02-28",12.459379,12.634378,11.684377,12.114378,3019200
"2001-03-01",11.963623,12.458622,11.613625,12.038624,2057000
"2001-03-02",12.076009,12.27601,11.626008,12.04601,1759400
"2001-03-05",12.089051,12.344048,11.894052,12.094048,912400
"2001-03-06",12.171765,12.271768,11.671765,12.121766,1271400
"2001-03-07",11.866444,12.416443,11.766446,12.271447,1731800
"2001-03-08",11.937314,12.482312,11.782311,12.467313,1362600
"2001-03-09",12.690142,12.91514,11.91514,12.36014,2743800
"2001-03-12",12.222857,13.052855,11.952856,12.047853,1889800
"2001-03-13",12.551117,12.551117,11.596119,11.826119,2188000
"2001-03-14",11.736983,11.961983,11.266984,11.511983,2029600
"2001-03-15",11.119157,11.929158,10.944158,11.874158,2201800
"2001-03-16",11.924597,12.369597,11.469595,11.844595,2823000
"2001-03-19",11.907636,12.082635,11.357637,11.807638,1728000
"2001-03-20",12.364264,12.364264,11.539266,11.569266,2208000
"2001-03-21",12.025025,12.365026,11.290027,11.305026,2627800
"2001-03-22",11.542417,11.772419,10.492418,11.142418,3200800
"2001-03-23",11.222313,11.227314,10.472313,11.022314,1966400
"2001-03-26",11.000574,11.590574,10.955574,11.225574,2457800
"2001-03-27",10.657093,11.657093,10.657093,11.632093,2808600
"2001-03-28",11.541553,11.991554,10.971553,11.626552,2055000
"2001-03-29",11.418834,11.913833,11.003833,11.683834,1829400
"2001-03-30",11.627964,12.092964,11.452963,11.912964,1589800
"2001-04-02",11.749483,12.254485,11.299487,12.149485,1700200
"2001-04-03",11.918289,12.61829,11.053287,12.358288,3172800
"2001-04-04",12.529055,12.639051,11.839052,12.434053,3125600
"2001-04-05",12.41514,12.52014,11.525141,12.445139,3807800
"2001-04-06",13.127208,13.227206,11.632205,12.177207,3647400
"2001-04-09",11.723296,12.888297,11.718295,12.443293,1938000
"2001-04-10",12.514164,13.339165,12.404163,12.639164,2417200
"2001-04-11",12.618183,12.943184,11.92818,12.578182,1877200
"2001-04-12",12.922858,13.067858,12.347857,12.472857,2377800
"2001-04-16",12.630467,12.880467,12.255467,12.380467,2502200
"2001-04-17",12.057642,12.682642,11.957639,12.65764,2424200
"2001-04-18",13.235024,13.460027,12.140027,12.495026,3183800
"2001-04-19",13.168724,13.168724,12.013725,12.158726,2865000
"2001-04-20",12.164169,12.709167,11.91917,12.214168,1964800
"2001-04-23",11.612861,12.78786,11.612861,12.727859,2913000
"2001-04-24",12.198513,12.898514,12.163513,12.853512,2413800
"2001-04-25",13.030034,13.225033,12.075036,12.750035,2998000
"2001-04-26",12.742419,13.087416,12.617419,12.842417,1295200
"2001-04-27",13.239603,13.359602,12.489603,12.609602,1155400
"2001-04-30",12.530794,13.035795,12.060797,12.655794,1608800
"2001-05-01",12.851009,12.951007,12.126011,12.471008,2302600
"2001-05-02",12.918616,12.918616,12.163619,12.208617,1961200
"2001-05-03",12.263292,12.353292,11.728292,12.103292,1510400
"2001-05-04",11.753838,12.303837,11.618836,12.278835,1429400
"2001-05-07",12.264167,12.569168,11.964168,12.214168,897800
"2001-05-08",12.422638,12.44764,12.032639,12.062637,1905000
"2001-05-09",12.068943,12.328946,11.803944,12.058945,2282400
"2001-05-10",12.030789,12.170788,11.905789,12.145791,1358800
"2001-05-11",12.008724,12.308723,11.933723,12.158726,1525800
"2001-05-14",11.937201,12.4322,11.937201,12.347201,1231000
"2001-05-15",12.453839,12.453839,12.058838,12.278835,1563800
"2001-05-16",12.267859,12.492857,11.817858,12.387857,1714800
"2001-05-17",12.604269,12.609271,12.059267,12.334269,1056800
"2001-05-18",12.425465,12.700463,12.150464,12.210465,1677000
"2001-05-21",12.158622,12.38362,11.978621,12.378619,1344200
"2001-05-22",12.509705,12.559704,12.234703,12.304703,1113800
"2001-05-23",12.145683,12.510685,11.985683,12.450684,1687600
"2001-05-24",12.475898,12.490901,12.2559,12.435901,688000
"2001-05-25",12.721336,12.821334,11.956336,12.151336,1726000
"2001-05-29",12.108293,12.153291,11.663293,12.103292,5820800
"2001-05-30",11.875045,12.605045,11.800044,12.435047,6941800
"2001-05-31",12.322244,12.647245,12.072244,12.497248,1489400
"2001-06-01",12.652998,12.652998,12.187997,12.402998,1007000
"2001-06-04",12.468419,12.468419,12.068417,12.363415,890400
"2001-06-05",12.698451,12.81845,11.99845,12.133452,1472200
"2001-06-06",12.899177,12.949176,11.599176,11.679176,4168600
"2001-06-07",11.739831,11.834832,11.189832,11.684833,3548000
"2001-06-08",11.830965,11.905966,11.355967,11.780966,1361600
"2001-06-11",11.341745,12.046745,11.341745,12.046745,1633800
"2001-06-12",11.800913,12.255911,11.635912,12.125914,1436200
"2001-06-13",12.796142,13.046142,11.616142,11.696142,1921000
"2001-06-14",11.957807,11.957807,11.257808,11.537807,1635200
"2001-06-15",11.330564,12.315565,11.155565,11.705564,2745000
"2001-06-18",12.021777,12.271777,11.751779,11.816777,1439600
"2001-06-19",11.859639,11.914639,11.459639,11.884639,1023800
"2001-06-20",12.221778,12.371778,11.601777,11.816777,1130600
"2001-06-21",12.756846,12.756846,11.111845,11.356846,1542800
"2001-06-22",11.045344,11.670344,10.895344,11.545344,1357800
"2001-06-25",11.660602,11.875602,11.310602,11.475603,1115600
"2001-06-26",11.388398,11.688397,11.138398,11.413398,1422400
"2001-06-27",11.429612,11.704612,11.129611,11.524612,1136800
"2001-06-28",11.64447,12.044469,11.22447,11.379468,1373800
"2001-06-29",11.46923,11.494229,11.00423,11.33423,2127200
"2001-07-02",11.422104,11.747103,11.022102,11.287104,2220800
"2001-07-03",11.362602,11.362602,11.062601,11.262602,1961800
"2001-07-05",10.644432,11.674433,10.514433,11.609432,2803000
"2001-07-06",11.381305,11.971305,11.371305,11.726305,1790000
"2001-07-09",11.97474,12.014739,11.624739,11.784739,1184000
"2001-07-10",11.934654,11.934654,11.564653,11.769653,1455200
"2001-07-11",12.439785,12.619786,11.369786,11.439785,2346600
"2001-07-12",11.336397,11.751398,10.736399,11.626398,1945600
"2001-07-13",11.527133,11.732133,11.317134,11.647133,1262800
"2001-07-16",11.639592,12.114592,11.389592,11.639592,967800
"2001-07-17",11.595581,11.795582,11.295582,11.590582,989800
"2001-07-18",11.587472,11.887471,11.217471,11.592471,1042200
"2001-07-19",11.760838,11.985839,11.300839,11.520838,761200
"2001-07-20",12.365952,12.365952,11.070952,11.305953,1782800
"2001-07-23",11.855655,11.855655,10.630655,11.130655,2551600
"2001-07-24",11.321363,11.391362,10.516362,10.791362,2537200
"2001-07-25",9.737602,11.377602,9.517601,11.262602,3301400
"2001-07-26",10.922424,11.527426,10.657425,11.347425,2301600
"2001-07-27",11.443592,11.653591,10.858591,11.213593,1356400
"2001-07-30",11.042664,11.522663,10.212664,11.392662,734200
"2001-07-31",11.357086,11.582084,10.807085,11.402086,1179200
"2001-08-01",11.127569,11.532568,10.762567,11.492569,1664400
"2001-08-02",11.100072,11.95007,11.015071,11.730071,1463600
"2001-08-03",11.773682,11.978682,11.213682,11.703682,983800
"2001-08-06",11.582329,11.607329,11.002329,11.447329,1725400
"2001-08-07",11.382885,11.777886,11.132885,11.552885,1048400
"2001-08-08",11.766114,11.841115,11.216115,11.336114,1034200
"2001-08-09",11.122826,11.422825,10.972826,11.422825,1126000
"2001-08-10",10.992471,11.872472,10.922471,11.592471,1177000
"2001-08-13",11.435924,11.930925,11.420925,11.535924,996200
"2001-08-14",11.363957,11.763956,11.138956,11.518957,740600
"2001-08-15",11.280839,11.860839,10.985839,11.520838,897000
"2001-08-16",11.199591,11.714593,10.969592,11.639592,1314400
"2001-08-17",11.536715,11.686715,11.311715,11.686715,842000
"2001-08-20",11.356203,11.826204,11.356203,11.826204,841800
"2001-08-21",12.044254,12.269252,11.624254,11.694253,914600
"2001-08-22",11.550966,11.955965,11.520966,11.780966,1086400
"2001-08-23",11.580213,11.915214,11.535213,11.875213,982600
"2001-08-24",11.750611,11.955611,11.625611,11.950612,842200
"2001-08-27",11.838472,12.213472,11.773471,12.01847,828000
"2001-08-28",12.095117,12.185117,11.965116,11.975116,930000
"2001-08-29",12.086723,12.236722,11.736722,12.111722,1358800
