"","Open","High","Low","Close","Volume"
"2001-01-02",16.817989,16.817989,16.380489,16.474239,571600
"2001-01-03",16.59853,16.72353,16.16103,16.69228,930200
"2001-01-04",16.97353,17.25478,16.50478,16.69228,901600
"2001-01-05",16.831327,16.831327,16.300077,16.643827,799600
"2001-01-08",16.531456,17.093956,16.500206,17.031456,941400
"2001-01-09",16.977396,16.977396,16.383646,16.571146,494800
"2001-01-10",16.495312,16.526562,15.714062,16.401562,452200
"2001-01-11",16.457029,16.582029,15.988279,16.425779,455600
"2001-01-12",16.638224,16.669474,15.981974,16.231974,326800
"2001-01-16",16.142796,16.174046,15.674046,15.892796,1178400
"2001-01-17",16.144918,16.144918,15.113668,15.238668,899800
"2001-01-18",15.305037,15.336287,14.773787,15.117537,735600
"2001-01-19",15.00027,15.15652,14.68777,14.87527,1162800
"2001-01-22",14.867537,15.242537,14.617537,15.117537,678200
"2001-01-23",14.937062,15.499562,14.937062,15.093312,692000
"2001-01-24",15.218312,15.343312,14.999562,15.093312,549000
"2001-01-25",15.062062,15.280812,14.874562,15.093312,1149200
"2001-01-26",15.256583,15.444083,15.037833,15.069083,896800
"2001-01-29",14.923151,15.648151,14.918151,15.443151,547200
"2001-01-30",15.307174,16.012174,15.182174,15.912174,777800
"2001-01-31",15.830989,16.355989,15.78099,16.105989,868000
"2001-02-01",16.196146,16.746145,16.141146,16.571146,1159400
"2001-02-02",16.613567,16.738567,16.208567,16.338568,587000
"2001-02-05",16.19053,16.69053,16.19053,16.59053,360200
"2001-02-06",16.559683,16.989684,16.494683,16.679682,896800
"2001-02-07",16.739398,16.784398,16.414399,16.5944,573800
"2001-02-08",16.670021,16.680022,16.37002,16.57502,587200
"2001-02-09",16.586307,16.886308,16.576309,16.691309,567200
"2001-02-12",16.748621,16.748621,16.34362,16.49362,571800
"2001-02-13",16.52846,16.978461,16.018462,16.02846,1091400
"2001-02-14",16.028734,17.073734,15.998735,16.458735,1155200
"2001-02-15",16.346101,16.876101,16.316102,16.4161,1169600
"2001-02-16",16.55739,16.652389,16.09239,16.187389,519800
"2001-02-20",16.187157,17.127158,16.162157,16.602158,626400
"2001-02-21",16.71862,16.71862,16.168621,16.49362,612600
"2001-02-22",16.522839,16.647839,15.94784,16.392839,421800
"2001-02-23",16.287458,16.287458,15.682459,15.997459,527000
"2001-02-26",16.004581,16.379581,15.889581,16.369581,556800
"2001-02-27",16.366707,16.446707,16.131706,16.396706,520000
"2001-02-28",16.561047,16.561047,16.136047,16.261047,497000
"2001-03-01",16.11385,16.548849,16.11385,16.423849,631400
"2001-03-02",16.266931,16.741932,16.016931,16.67193,653000
"2001-03-05",16.639954,17.064953,16.639954,16.764954,648000
"2001-03-06",17.073395,17.073395,16.458395,16.563395,1107800
"2001-03-07",16.484342,16.784342,16.484342,16.784342,392800
"2001-03-08",16.760743,16.880743,16.560744,16.865742,427200
"2001-03-09",16.77254,17.107539,16.77254,16.997538,538600
"2001-03-12",16.768055,16.968054,16.508055,16.668055,448000
"2001-03-13",16.702892,16.702892,15.752893,16.202892,799200
"2001-03-14",16.030436,16.055435,15.605436,15.935436,499200
"2001-03-15",15.788288,16.438288,15.763288,16.253288,842800
"2001-03-16",16.6397,16.814699,16.214701,16.3547,1418800
"2001-03-19",16.286983,16.711983,15.951982,16.186983,658400
"2001-03-20",16.118862,16.373863,15.618862,16.073862,536600
"2001-03-21",16.170623,16.170623,15.370623,15.730624,606000
"2001-03-22",15.716261,15.716261,14.656262,15.196261,506800
"2001-03-23",15.105729,15.855729,14.79573,15.765729,590400
"2001-03-26",15.584495,16.679496,15.584495,16.284496,796400
"2001-03-27",16.113833,16.638835,16.038834,16.623833,860400
"2001-03-28",16.541715,16.656715,15.956716,16.471716,894000
"2001-03-29",16.228706,16.753706,16.128706,16.393705,522200
"2001-03-30",16.485823,16.585823,16.210823,16.545822,411800
"2001-04-02",16.614914,16.969913,16.119913,16.424913,715800
"2001-04-03",16.519446,16.519446,15.519446,15.894446,1048000
"2001-04-04",15.778245,16.003245,15.633245,15.863244,1003400
"2001-04-05",15.776093,16.266092,15.616093,16.261091,703800
"2001-04-06",16.347951,16.347951,15.402952,15.952953,626600
"2001-04-09",15.864993,16.514992,15.864993,16.264992,385200
"2001-04-10",16.224843,16.604844,16.034842,16.584843,553000
"2001-04-11",16.533562,16.533562,15.823563,15.968561,632000
"2001-04-12",16.012853,16.137853,15.437852,15.917854,514600
"2001-04-16",16.021956,16.391955,15.516955,15.991955,587400
"2001-04-17",15.979278,16.214279,15.654279,16.214279,297000
"2001-04-18",16.357004,16.532004,16.007004,16.382004,622200
"2001-04-19",16.29416,16.319162,15.924161,15.984161,821200
"2001-04-20",15.98762,16.11262,15.36262,15.652621,679800
"2001-04-23",15.626445,15.651445,14.996446,15.071445,1191400
"2001-04-24",14.976786,15.076787,14.476786,14.626786,1902200
"2001-04-25",14.731368,14.731368,14.091366,14.486367,1187400
"2001-04-26",14.467702,14.842702,14.417703,14.747703,1296200
"2001-04-27",14.839615,15.124615,14.569615,14.829615,726600
"2001-04-30",14.950503,14.965502,14.715502,14.755503,901200
"2001-05-01",14.863314,14.938314,14.658314,14.763313,910400
"2001-05-02",14.831136,15.026138,14.586137,14.966136,865200
"2001-05-03",14.916817,14.916817,14.646819,14.821818,928200
"2001-05-04",14.72783,15.02283,14.572829,14.97783,689000
"2001-05-07",14.995133,15.285132,14.970134,15.005134,612400
"2001-05-08",15.234955,15.269955,15.034954,15.129955,645800
"2001-05-09",14.909671,15.384669,14.884669,15.21967,378200
"2001-05-10",15.433796,15.508797,15.323798,15.488797,733200
"2001-05-11",15.895889,15.945888,15.34589,15.445888,1025200
"2001-05-14",15.530496,15.680495,15.295497,15.500497,542000
"2001-05-15",15.474111,15.75411,15.45411,15.59411,326800
"2001-05-16",15.424085,16.199085,15.424085,16.144085,481800
"2001-05-17",16.28339,16.55839,16.04339,16.288389,747600
"2001-05-18",16.315882,16.460883,15.885884,16.190882,1043200
"2001-05-21",16.192767,16.242767,15.752767,16.077768,784200
"2001-05-22",16.256254,16.256254,15.831255,15.941253,1038000
"2001-05-23",15.912331,16.062331,15.662331,15.742331,551800
"2001-05-24",15.752219,15.872218,15.572219,15.707219,481200
"2001-05-25",15.743925,15.983927,15.663925,15.718926,203400
"2001-05-29",15.749135,16.074134,15.644133,15.789134,362800
"2001-05-30",15.740919,16.07592,15.570919,15.640918,540800
"2001-05-31",15.730155,16.090154,15.705156,15.945156,510400
"2001-06-01",15.949049,16.054048,15.57905,15.949049,681800
"2001-06-04",15.92046,16.160459,15.915461,16.050461,512400
"2001-06-05",16.118862,16.203863,15.958862,16.073862,851600
"2001-06-06",16.097975,16.222975,16.022976,16.147976,862000
"2001-06-07",16.214888,16.349886,16.064886,16.229887,353600
"2001-06-08",16.282295,16.357296,16.082294,16.292295,341400
"2001-06-11",16.276559,16.37656,16.026559,16.04656,304400
"2001-06-12",15.987557,16.137557,15.962557,16.007557,570400
"2001-06-13",15.891362,16.146362,15.821363,15.976362,465800
"2001-06-14",16.102457,16.112457,15.747457,15.972457,562200
"2001-06-15",15.868578,16.068577,15.718579,15.913578,604200
"2001-06-18",15.842219,15.932219,15.64222,15.82722,330400
"2001-06-19",15.68605,16.136051,15.64105,15.941051,701800
"2001-06-20",15.868345,16.233347,15.783346,16.188347,490800
"2001-06-21",16.196799,16.2018,15.766801,15.901799,645000
"2001-06-22",15.954542,16.004542,15.544543,15.599543,332000
"2001-06-25",15.641455,15.871454,15.396454,15.446453,618800
"2001-06-26",15.293008,15.868007,15.193008,15.733009,507600
"2001-06-27",15.697584,16.097583,15.637584,15.807584,440400
"2001-06-28",15.966717,16.216717,15.816718,16.011717,599000
"2001-06-29",16.147371,16.197372,15.772371,16.082373,849800
"2001-07-02",16.042274,16.427275,15.992273,16.192274,600400
"2001-07-03",16.154383,16.279383,15.894383,16.239382,294400
"2001-07-05",16.232885,16.502883,16.202884,16.317884,695400
"2001-07-06",16.302726,16.317727,15.622728,15.642726,966800
"2001-07-09",15.657542,15.957541,15.597543,15.862542,528600
"2001-07-10",15.800531,15.925531,15.575531,15.70553,408400
"2001-07-11",15.696799,16.0468,15.561801,15.901799,564200
"2001-07-12",15.92802,16.20302,15.70302,16.153021,320800
"2001-07-13",16.163492,16.313494,15.863493,16.023493,370600
"2001-07-16",15.924232,16.249233,15.909233,15.984234,260200
"2001-07-17",16.010725,16.045725,15.820724,15.905725,468600
"2001-07-18",15.945483,15.955483,15.560483,15.760484,867000
"2001-07-19",15.376037,15.601037,15.141036,15.521037,1527000
"2001-07-20",15.592159,15.617158,15.232158,15.462158,1293800
"2001-07-23",15.638932,15.663932,15.338933,15.473931,957800
"2001-07-24",15.387001,15.492003,14.962002,15.207003,864400
"2001-07-25",15.233553,15.508553,15.083554,15.493554,624400
"2001-07-26",15.589212,15.614212,15.164211,15.564213,457800
