"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2001-01-02",28.75,28.75,27.6875,28,401400,13.960281
"2001-01-03",28.5,29,28,28.9375,295600,14.427702
"2001-01-04",28.6875,29,28.3125,28.625,425200,14.271894
"2001-01-05",28.3125,28.4375,28.0625,28.375,225700,14.147249
"2001-01-08",28.25,28.25,27.4375,27.9375,338300,13.929123
"2001-01-09",27.6875,28.5,27.6875,28.5,470400,14.209569
"2001-01-10",28.4375,28.8125,28.0625,28.6875,367300,14.303053
"2001-01-11",29.125,29.125,28.0625,28.375,379500,14.147249
"2001-01-12",28.625,28.875,28.25,28.75,319500,14.334217
"2001-01-16",29.375,29.4375,28.5625,29.0625,244500,14.490017
"2001-01-17",29.125,29.5,28.8125,29.4375,208300,14.676996
"2001-01-18",29.3125,29.3125,28.75,28.75,338200,14.334217
"2001-01-19",28.5625,29.125,28.5,28.8125,306300,14.365383
"2001-01-22",28.5625,28.6875,28.4375,28.6875,670100,14.303053
"2001-01-23",28.8125,30.75,28.5625,30.375,452200,15.144415
"2001-01-24",30.125,30.6875,30.0625,30.6875,186700,15.30022
"2001-01-25",29.8125,30,28.5625,29.75,590700,14.832799
"2001-01-26",29.25,29.5,28.9375,29.0625,322200,14.490017
"2001-01-29",28.809999,29.65,28.68,29.07,583300,14.493762
"2001-01-30",29.32,29.66,28.4,29.43,400700,14.673252
"2001-01-31",29.35,30.02,29,29.65,391800,14.782947
"2001-02-01",29.9,31,29.65,30.959999,443500,15.43609
"2001-02-02",30.959999,31.25,30.42,30.77,354900,15.341356
"2001-02-05",30.52,31.35,30.5,31.25,311900,15.580672
"2001-02-06",31.1,31.75,31,31.049999,351700,15.480949
"2001-02-07",31.280001,32.529999,31.280001,32.139999,481600,16.024405
"2001-02-08",32.150002,32.75,31.52,32.139999,491700,16.024405
"2001-02-09",32.150002,33.080002,31.73,32.98,400400,16.44322
"2001-02-12",32.509998,32.619999,32.009998,32.310001,390300,16.109159
"2001-02-13",32.509998,32.52,32.310001,32.34,259400,16.124128
"2001-02-14",32.310001,32.759998,32.049999,32.41,252900,16.159037
"2001-02-15",32.299999,32.48,31.799999,32.200001,213700,16.054337
"2001-02-16",32.189999,32.310001,31.969999,32.200001,216000,16.054337
"2001-02-20",31.99,32.049999,31.27,31.57,511100,15.785573
"2001-02-21",31.57,31.98,31.24,31.440001,284400,15.720562
"2001-02-22",31.190001,31.190001,30.35,30.6,466800,15.300549
"2001-02-23",30.299999,30.299999,29.41,30.290001,587700,15.145544
"2001-02-26",30.290001,30.5,30.200001,30.450001,413900,15.225541
"2001-02-27",30.65,31.299999,30.41,30.799999,380800,15.400549
"2001-02-28",31,31,30.26,30.309999,315700,15.155536
"2001-03-01",30.309999,31,29.77,30.76,313900,15.380557
"2001-03-02",31,32,30.51,31.76,402800,15.880562
"2001-03-05",31.51,32.119999,31.16,31.25,347700,15.62556
"2001-03-06",30.75,32,30.75,31.92,280100,15.960576
"2001-03-07",32,32,30.950001,31.450001,839300,15.725562
"2001-03-08",31.700001,32.5,31.610001,32.43,458300,16.215584
"2001-03-09",32.18,32.610001,31.75,32.450001,473600,16.225582
"2001-03-12",32.450001,32.450001,30.950001,30.959999,211300,15.48056
"2001-03-13",30.559999,30.719999,30.24,30.51,465900,15.255544
"2001-03-14",30.4,30.4,29.67,29.98,242600,14.990543
"2001-03-15",30.049999,30.450001,30,30.24,484300,15.120536
