"","EMN.Open","EMN.High","EMN.Low","EMN.Close","EMN.Volume","EMN.Adjusted"
"2001-01-02",24.5,24.84375,23.71875,23.75,1124000,8.926816
"2001-01-03",23.75,24.6875,23.65625,24.625,1836200,9.255699
"2001-01-04",24.5625,25.0625,24.46875,24.5,2856600,9.208718
"2001-01-05",24.5,24.5,23,23.5,1329400,8.83285
"2001-01-08",23.53125,24.1875,23.21875,23.84375,1068400,8.962055
"2001-01-09",23.625,23.625,22.75,23.0625,804600,8.668409
"2001-01-10",22.9375,23.34375,22.25,23.125,892200,8.691902
"2001-01-11",23.125,23.125,22.1875,22.5625,611000,8.480474
"2001-01-12",22.6875,22.6875,22.125,22.625,836800,8.503964
"2001-01-16",22.375,23.25,22.03125,23.03125,643600,8.656664
"2001-01-17",23.03125,23.34375,22.46875,22.875,556400,8.597932
"2001-01-18",22.875,23,22.40625,22.71875,352000,8.539204
"2001-01-19",22.4375,22.46875,22,22.21875,689800,8.351268
"2001-01-22",22.15625,22.5,21.78125,22.28125,582400,8.374763
"2001-01-23",22.28125,22.6875,22.25,22.3125,250800,8.386506
"2001-01-24",22.5,22.8125,22.125,22.125,702800,8.316033
"2001-01-25",22,22.59375,21.875,22.1875,1017400,8.339525
"2001-01-26",21.625,22.0625,21.15625,21.59375,1082200,8.116356
"2001-01-29",21.594999,22.790001,21.5,22.375,829600,8.409997
"2001-01-30",22.625,23.475,22.58,23.25,945200,8.738879
"2001-01-31",23.25,23.799999,23.25,23.355,650600,8.778349
"2001-02-01",23.4,23.799999,23.360001,23.485001,1111200,8.827216
"2001-02-02",23.6,24.139999,23.6,23.67,754200,8.896747
"2001-02-05",24.075001,24.5,24,24.184999,2000400,9.090317
"2001-02-06",24.059999,24.18,23.780001,24.15,980000,9.077162
"2001-02-07",24.5,24.639999,24.4,24.549999,2407000,9.227507
"2001-02-08",24.475,24.674999,24.299999,24.51,1637400,9.212476
"2001-02-09",24.75,24.805,24.275,24.504999,721800,9.210594
"2001-02-12",24.41,24.74,24.139999,24.629999,681600,9.257578
"2001-02-13",24.629999,25.725,24.6,25.25,1723800,9.490612
"2001-02-14",24.9,25.254999,24.825001,24.83,871200,9.33275
"2001-02-15",24.705,25.924999,24.705,25.625,710200,9.631559
"2001-02-16",25.475,25.48,24.625,24.84,776400,9.336505
"2001-02-20",24.889999,25.24,24.655001,24.785,702800,9.315837
"2001-02-21",24.76,24.785,24.09,24.42,634800,9.178642
"2001-02-22",24.32,24.84,24.184999,24.25,653600,9.114745
"2001-02-23",24.235001,24.5,23.9,24.5,844800,9.208718
"2001-02-26",24.700001,26.08,24.700001,26.014999,1858400,9.77815
"2001-02-27",25.875,26.35,25.525,25.625,1283800,9.631559
"2001-02-28",25.6,26.145,25.6,25.725,679200,9.669147
