"","Open","High","Low","Close","Volume"
"2001-01-02",9.676816,10.020566,8.895566,8.926816,1124000
"2001-01-03",8.380699,9.318199,8.286949,9.255699,1836200
"2001-01-04",9.271218,9.771218,9.177468,9.208718,2856600
"2001-01-05",9.83285,9.83285,8.33285,8.83285,1329400
"2001-01-08",8.649555,9.305805,8.337055,8.962055,1068400
"2001-01-09",9.230909,9.230909,8.355909,8.668409,804600
"2001-01-10",8.504402,8.910652,7.816902,8.691902,892200
"2001-01-11",9.042974,9.042974,8.105474,8.480474,611000
"2001-01-12",8.566464,8.566464,8.003964,8.503964,836800
"2001-01-16",8.000414,8.875414,7.656664,8.656664,643600
"2001-01-17",8.754182,9.066682,8.191682,8.597932,556400
"2001-01-18",8.695454,8.820454,8.226704,8.539204,352000
"2001-01-19",8.570018,8.601268,8.132518,8.351268,689800
"2001-01-22",8.249763,8.593513,7.874763,8.374763,582400
"2001-01-23",8.355256,8.761506,8.324006,8.386506,250800
"2001-01-24",8.691033,9.003533,8.316033,8.316033,702800
"2001-01-25",8.152025,8.745775,8.027025,8.339525,1017400
"2001-01-26",8.147606,8.585106,7.678856,8.116356,1082200
"2001-01-29",7.629996,8.824998,7.534997,8.409997,829600
"2001-01-30",8.113879,8.963879,8.068879,8.738879,945200
"2001-01-31",8.673349,9.223348,8.673349,8.778349,650600
"2001-02-01",8.742215,9.142214,8.702216,8.827216,1111200
"2001-02-02",8.826747,9.366746,8.826747,8.896747,754200
"2001-02-05",8.980319,9.405318,8.905318,9.090317,2000400
"2001-02-06",8.987161,9.107162,8.707163,9.077162,980000
"2001-02-07",9.177508,9.317507,9.077508,9.227507,2407000
"2001-02-08",9.177476,9.377475,9.002475,9.212476,1637400
"2001-02-09",9.455595,9.510595,8.980595,9.210594,721800
"2001-02-12",9.037579,9.367579,8.767578,9.257578,681600
"2001-02-13",8.870611,9.965612,8.840612,9.490612,1723800
"2001-02-14",9.40275,9.757749,9.327751,9.33275,871200
"2001-02-15",8.711559,9.931558,8.711559,9.631559,710200
"2001-02-16",9.971505,9.976505,9.121505,9.336505,776400
"2001-02-20",9.420836,9.770837,9.185838,9.315837,702800
"2001-02-21",9.518642,9.543642,8.848642,9.178642,634800
"2001-02-22",9.184745,9.704745,9.049744,9.114745,653600
"2001-02-23",8.943719,9.208718,8.608718,9.208718,844800
"2001-02-26",8.463152,9.843151,8.463152,9.77815,1858400
"2001-02-27",9.881559,10.356559,9.531559,9.631559,1283800
"2001-02-28",9.544147,10.089147,9.544147,9.669147,679200
"2001-03-01",9.790611,10.015612,9.240612,9.490612,1330400
"2001-03-02",9.147169,10.037168,9.147169,9.622169,1029400
"2001-03-05",9.356911,10.061911,9.356911,9.781911,1095000
"2001-03-06",9.675707,9.940706,9.630707,9.800707,551800
"2001-03-07",9.276323,10.126323,9.226324,10.071323,623600
"2001-03-08",9.965052,10.085053,9.560051,10.060051,723000
"2001-03-09",9.885826,10.180826,9.670826,10.125826,775400
"2001-03-12",10.600461,10.62546,9.690461,9.69546,707400
"2001-03-13",9.844729,9.90973,9.264729,9.754729,683800
"2001-03-14",10.050447,10.050447,9.455448,9.565446,862000
"2001-03-15",9.833369,9.83837,9.13337,9.328369,989200
"2001-03-16",9.129097,9.569098,9.129097,9.269097,701600
"2001-03-19",8.968679,9.778678,8.968679,9.538679,619400
