"","EQT.Open","EQT.High","EQT.Low","EQT.Close","EQT.Volume","EQT.Adjusted"
"2001-01-02",9.075599,9.075599,8.67583,8.777899,1419600,4.193851
"2001-01-03",8.786405,8.820427,7.757213,8.31859,4622600,3.974407
"2001-01-04",8.233533,8.335602,7.536064,7.731696,1761300,3.694004
"2001-01-05",7.731696,8.063418,7.731696,7.884799,1257900,3.767151
"2001-01-08",7.918821,8.105947,7.867787,8.071924,1825200,3.856556
"2001-01-09",8.071924,8.08043,7.876293,8.08043,731100,3.860619
"2001-01-10",8.08043,8.08043,7.893304,7.969856,601800,3.807791
"2001-01-11",7.995373,8.029396,7.799741,7.893304,421000,3.771215
"2001-01-12",7.893304,7.96135,7.816753,7.884799,484900,3.767151
"2001-01-16",7.884799,8.029396,7.850776,7.935833,545900,3.791533
"2001-01-17",7.935833,8.046407,7.927327,7.935833,1603300,3.791533
"2001-01-18",7.935833,7.952844,7.78273,7.867787,840600,3.759026
"2001-01-19",7.867787,7.910316,7.66365,7.731696,1450400,3.694004
"2001-01-22",7.697673,7.825259,7.680661,7.816753,1151400,3.734642
"2001-01-23",7.799741,7.893304,7.799741,7.876293,1003000,3.763088
"2001-01-24",7.859282,8.088936,7.859282,8.054913,1060300,3.848428
"2001-01-25",8.037902,8.063418,7.978362,8.029396,910400,3.836236
"2001-01-26",7.995373,8.046407,7.910316,8.012384,594400,3.82811
"2001-01-29",8.013064,8.029396,7.934132,7.959989,631900,3.803076
"2001-01-30",7.994012,8.029396,7.974959,8.010343,594400,3.827134
"2001-01-31",7.995373,7.995373,7.893304,7.985847,604700,3.815429
"2001-02-01",7.96135,8.029396,7.867447,8.011703,379100,3.827784
"2001-02-02",8.011703,8.164126,7.893304,8.060697,1160200,3.851193
"2001-02-05",8.097442,8.165487,8.075666,8.165487,764100,3.901258
"2001-02-06",8.165487,8.165487,8.083833,8.158683,933100,3.898006
"2001-02-07",8.233533,8.560152,8.206315,8.441752,2564400,4.184662
"2001-02-08",8.43767,8.524769,8.36282,8.458084,963300,4.192757
"2001-02-09",8.464889,8.620032,8.43767,8.485302,817000,4.20625
"2001-02-12",8.483941,8.498911,8.43767,8.492106,471000,4.209622
"2001-02-13",8.492106,8.519325,8.341045,8.385956,1392400,4.157
"2001-02-14",8.366902,8.411813,8.279804,8.321992,969200,4.125294
"2001-02-15",8.335602,8.335602,8.083833,8.115133,2084600,4.022751
"2001-02-16",8.104246,8.19951,8.104246,8.165487,926500,4.047713
"2001-02-20",8.179096,8.179096,8.111051,8.138268,537100,4.034221
"2001-02-21",8.158683,8.198149,7.947741,8.049809,536400,3.990371
"2001-02-22",8.029396,8.145074,7.879695,7.964072,902300,3.947869
"2001-02-23",7.934132,7.934132,7.825259,7.906913,587100,3.919535
"2001-02-26",7.920523,8.01987,7.906913,7.920523,867000,3.926282
"2001-02-27",7.934132,7.934132,7.791236,7.81301,490100,3.872987
"2001-02-28",7.81301,7.838868,7.762657,7.811649,1168300,3.872313
"2001-03-01",7.832063,8.029396,7.832063,7.893304,1031600,3.912788
"2001-03-02",7.893304,8.090637,7.893304,8.085194,638500,4.00791
"2001-03-05",8.097442,8.264834,8.097442,8.247142,817000,4.088189
"2001-03-06",8.233533,8.338324,8.211759,8.324715,887600,4.126643
"2001-03-07",8.505715,8.67583,8.460806,8.614589,2329300,4.270338
"2001-03-08",8.648612,8.893577,8.648612,8.885411,2430700,4.404587
"2001-03-09",8.948013,8.982036,8.881329,8.941209,2100000,4.432245
"2001-03-12",8.94257,9.036472,8.900381,8.907186,1180000,4.415378
"2001-03-13",8.941209,8.941209,8.709853,8.771094,1019100,4.34792
"2001-03-14",8.682634,8.68944,8.560152,8.576484,737000,4.251449
"2001-03-15",8.628199,8.771094,8.596897,8.68944,1148400,4.307441
"2001-03-16",8.68944,8.730267,8.614589,8.639086,731800,4.282481
"2001-03-19",8.635003,8.722101,8.43767,8.68944,1022800,4.307441
"2001-03-20",8.723462,8.935765,8.67583,8.92896,1066900,4.426173
"2001-03-21",8.962983,9.009254,8.859553,8.907186,1206500,4.415378
"2001-03-22",8.907186,8.907186,8.573762,8.68944,1550400,4.307441
"2001-03-23",8.709853,8.873163,8.696244,8.85411,961100,4.389071
"2001-03-26",8.820087,8.965705,8.805117,8.964344,755300,4.443715
"2001-03-27",8.964344,9.220196,8.964344,9.145346,1323300,4.533439
"2001-03-28",9.499184,9.594447,9.293685,9.368536,10303300,4.644076
"2001-03-29",8.982036,9.254219,8.860914,9.145346,4665200,4.533439
"2001-03-30",9.24061,9.39031,9.118128,9.39031,18207600,4.65487
"2001-04-02",9.424334,9.560425,9.354926,9.425694,3664400,4.672411
"2001-04-03",9.376701,9.635275,9.342678,9.606696,3161800,4.762134
"2001-04-04",9.606696,9.846216,9.606696,9.759118,3179400,4.837691
"2001-04-05",9.764562,10.070767,9.744148,10.016331,2607800,4.965194
"2001-04-06",10.002722,10.002722,9.771366,9.859826,2066200,4.887615
"2001-04-09",9.859826,10.063963,9.859826,9.948285,997100,4.931463
"2001-04-10",10.070767,10.292597,10.016331,10.292597,1275600,5.102142
"2001-04-11",10.292597,10.292597,10.104791,10.132009,1793600,5.022534
"2001-04-12",10.132009,10.206859,10.063963,10.194611,1013200,5.05357
"2001-04-16",10.247686,10.465433,10.220469,10.408275,1620200,5.159485
"2001-04-17",10.397388,10.547088,10.321176,10.547088,1563600,5.228294
"2001-04-18",10.547088,10.547088,10.206859,10.451823,2720900,5.181072
"2001-04-19",10.451823,10.451823,10.213664,10.349755,2222000,5.130477
"2001-04-20",10.351116,10.533479,10.261295,10.302123,3202200,5.106866
"2001-04-23",10.322536,10.479042,10.261295,10.424605,1701700,5.167579
"2001-04-24",10.424605,10.574306,10.424605,10.572945,4665200,5.241113
"2001-04-25",10.572945,10.66957,10.479042,10.66957,1277800,5.289011
"2001-04-26",10.683179,10.860098,10.628742,10.860098,2229300,5.383456
"2001-04-27",10.873707,10.887317,10.717202,10.83288,1656900,5.369968
"2001-04-30",10.850572,10.93767,10.730811,10.887317,3421900,5.396952
"2001-05-01",10.887317,11.022047,10.807022,10.90773,1548900,5.407068
"2001-05-02",10.853293,10.854654,10.415079,10.415079,2828200,5.162858
"2001-05-03",10.274905,10.274905,9.961894,10.176919,3820200,5.044801
"2001-05-04",10.220469,10.513064,10.200054,10.513064,1694400,5.21143
"2001-05-07",10.513064,10.717202,10.397388,10.43141,1123500,5.170955
"2001-05-08",10.397388,10.60969,10.349755,10.582472,1252000,5.245836
"2001-05-09",10.533479,10.81927,10.451823,10.738976,969900,5.489409
"2001-05-10",10.724007,10.751225,10.445019,10.556614,2249900,5.396191
"2001-05-11",10.556614,10.572945,10.389221,10.398748,1033800,5.315498
"2001-05-14",10.655961,10.74442,10.6546,10.743059,1493100,5.491495
"2001-05-15",10.702232,10.853293,10.66957,10.763474,877300,5.501935
"2001-05-16",10.763474,10.90773,10.621938,10.710398,1026500,5.4748
"2001-05-17",10.717202,10.717202,10.601524,10.649157,1041900,5.443498
"2001-05-18",10.662766,10.83288,10.662766,10.823354,664200,5.53254
"2001-05-21",10.857376,10.928144,10.792052,10.83288,897900,5.53741
"2001-05-22",10.831519,10.831519,10.479042,10.479042,1124200,5.356541
"2001-05-23",10.50626,10.51987,10.410996,10.43141,2446800,5.332193
"2001-05-24",10.434132,10.451823,10.206859,10.249047,1576800,5.238976
"2001-05-25",10.234077,10.342951,10.234077,10.317093,889100,5.273757
"2001-05-29",10.317093,10.323897,10.206859,10.206859,496700,5.217409
"2001-05-30",10.186445,10.206859,9.933315,9.933315,1579800,5.077583
"2001-05-31",9.933315,10.129287,9.832607,10.097986,1814200,5.161757
"2001-06-01",10.096625,10.254491,9.952368,10.04355,1291700,5.133933
"2001-06-04",10.077572,10.308928,10.077572,10.138813,1289500,5.182626
"2001-06-05",10.166032,10.187806,10.023135,10.061241,886100,5.142974
"2001-06-06",9.866631,9.880239,9.580838,9.590364,2078700,4.902278
"2001-06-07",9.590364,9.696516,9.505988,9.548177,2523300,4.880713
"2001-06-08",9.546816,9.572673,9.424334,9.55362,1133700,4.883497
"2001-06-11",9.567229,9.703321,9.567229,9.633914,1718600,4.924538
"2001-06-12",9.648884,9.689712,9.458356,9.621666,1119800,4.91828
"2001-06-13",9.55362,9.599891,9.335874,9.425694,1587900,4.818104
"2001-06-14",9.39031,9.39031,9.227,9.28688,1516900,4.747146
"2001-06-15",9.354926,9.384867,9.172564,9.308656,1831800,4.758277
"2001-06-18",9.308656,9.376701,9.172564,9.172564,878000,4.688708
"2001-06-19",9.199782,9.308656,9.050081,9.080022,1046700,4.641407
"2001-06-20",9.0773,9.093631,8.982036,9.047359,954800,4.62471
