"","ESS.Open","ESS.High","ESS.Low","ESS.Close","ESS.Volume","ESS.Adjusted"
"2001-01-02",54.75,54.9375,54.25,54.3125,36500,26.713116
"2001-01-03",54.375,55.9375,54.375,55.9375,77300,27.512373
"2001-01-04",55.6875,55.8125,55,55.0625,92300,27.082006
"2001-01-05",55,55.0625,51.5,51.8125,192300,25.483532
"2001-01-08",52.1875,52.5,51.875,52.0625,130900,25.606483
"2001-01-09",52.125,52.25,51.625,52,70600,25.575748
"2001-01-10",52.25,52.5,51.4375,52.5,142600,25.821671
"2001-01-11",52.625,52.625,51.9375,52,42100,25.575748
"2001-01-12",52.125,52.3125,52.0625,52.1875,10500,25.667963
"2001-01-16",52.125,52.125,51.5,52,34500,25.575748
"2001-01-17",51.9375,51.9375,51.3125,51.6875,25700,25.422049
"2001-01-18",51.625,51.8125,51.25,51.6875,46500,25.422049
"2001-01-19",51.5625,51.6875,51.3125,51.375,31100,25.268356
"2001-01-22",51.625,51.625,50.75,50.9375,52400,25.053175
"2001-01-23",51.1875,51.6875,51.125,51.6875,19500,25.422049
"2001-01-24",51.8125,51.8125,51,51.1875,13300,25.176126
"2001-01-25",51,51.625,51,51.4375,39400,25.299084
"2001-01-26",50.8125,51,50.5,50.75,32800,24.960945
"2001-01-29",51,51.299999,51,51.299999,36700,25.231462
"2001-01-30",51.5,51.599998,51.5,51.59,21400,25.374096
"2001-01-31",51.75,51.93,51.75,51.75,25600,25.452803
"2001-02-01",52,52.200001,52,52.189999,55600,25.669197
"2001-02-02",52.200001,52.950001,52.200001,52.82,42400,25.979053
"2001-02-05",52.919998,53.200001,52.919998,52.959999,17200,26.047916
"2001-02-06",52.860001,53.099998,52.700001,52.900002,152700,26.018408
"2001-02-07",52.700001,52.720001,51,51.450001,290800,25.305233
"2001-02-08",51.650002,51.700001,50.490002,50.5,253900,24.837984
"2001-02-09",50.5,50.549999,49.799999,49.990002,135100,24.587139
"2001-02-12",50,50.099998,49.939999,50.099998,146500,24.641249
"2001-02-13",50.099998,50.099998,49.450001,49.799999,90300,24.4937
"2001-02-14",49.849998,50.099998,49.759998,50.099998,30000,24.641249
"2001-02-15",50.150002,50.310001,49.75,49.950001,146600,24.567474
"2001-02-16",49.900002,50.099998,49.849998,50,21300,24.59207
"2001-02-20",50,50.130001,49.900002,50.049999,13100,24.616657
"2001-02-21",50,50,49.84,49.900002,52400,24.542877
"2001-02-22",49.950001,49.950001,49.049999,49.16,69400,24.178913
"2001-02-23",49.16,49.939999,49.16,49.900002,102700,24.542877
"2001-02-26",49.900002,50.310001,49.849998,50.049999,93000,24.616657
"2001-02-27",50.049999,50.049999,49.650002,49.900002,80500,24.542877
"2001-02-28",49.799999,50.25,49.66,50.150002,73600,24.665833
"2001-03-01",50.049999,50.950001,49.900002,50.849998,36100,25.010118
"2001-03-02",50.650002,51.75,50.650002,51.580002,125900,25.369175
"2001-03-05",51.630001,51.68,51.209999,51.209999,14100,25.187183
"2001-03-06",51.549999,51.700001,51.5,51.68,22500,25.418365
"2001-03-07",51.779999,52.139999,51.57,51.57,41100,25.364256
"2001-03-08",51.549999,51.639999,51.299999,51.439999,25100,25.30032
"2001-03-09",51.34,51.549999,51.099998,51.470001,33100,25.31506
"2001-03-12",51.470001,51.470001,50.950001,51,23200,25.083904
"2001-03-13",51,51.240002,50.950001,51.16,17700,25.162598
"2001-03-14",51.259998,51.259998,50.900002,50.900002,39700,25.034727
"2001-03-15",50.799999,51.25,50.759998,51,25600,25.083904
"2001-03-16",51.200001,51.349998,50.650002,50.650002,33700,24.91176
"2001-03-19",50.650002,51.049999,50.5,51.040001,37000,25.10358
"2001-03-20",51.139999,51.880001,50.799999,50.900002,47800,25.034727
"2001-03-21",50.799999,51,49.599998,49.599998,33100,24.395323
"2001-03-22",49.599998,49.599998,47.549999,49.400002,83000,24.296959
"2001-03-23",49.5,50.580002,49.5,49.849998,38200,24.518293
"2001-03-26",49.869999,50.48,49.400002,49.599998,35600,24.395323
"2001-03-27",49.5,49.5,48.5,48.549999,61800,23.878897
"2001-03-28",47.950001,47.950001,46.959999,47.439999,96300,23.674294
"2001-03-29",47.34,47.849998,47.099998,47.849998,69400,23.878899
"2001-03-30",47.799999,48.25,47.799999,48.049999,106000,23.978703
"2001-04-02",48.150002,48.25,47.700001,47.799999,61400,23.853943
"2001-04-03",47.599998,47.599998,46.009998,46.34,94400,23.125349
"2001-04-04",46.439999,46.630001,45.240002,45.450001,79000,22.681204
"2001-04-05",45.549999,46,45.299999,45.650002,71900,22.781019
"2001-04-06",44.400002,45.599998,44,44.599998,119800,22.257029
"2001-04-09",44.549999,44.75,44.360001,44.599998,99100,22.257029
