"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2001-01-02",41.75,42.5,40.8125,41.75,718600,20.155525
"2001-01-03",42,42.875,40.125,40.5,901100,19.552063
"2001-01-04",40,40,36.5,37,1705700,17.862387
"2001-01-05",37,38,37,37.4375,633100,18.073591
"2001-01-08",37.3125,38.0625,37.1875,37.8125,551500,18.254623
"2001-01-09",38,38.3125,37.3125,37.5,538600,18.103762
"2001-01-10",37.75,38.125,37.1875,37.25,612100,17.983082
"2001-01-11",37.5,37.5625,33.5625,33.9375,1140900,16.383905
"2001-01-12",34,35.4375,32.875,35.125,1378400,16.957193
"2001-01-16",34.625,34.6875,32.5625,34.375,1136800,16.595119
"2001-01-17",34.5,35.625,34.1875,35.5625,978100,17.168406
"2001-01-18",35.5,36.3125,35.5,35.75,1329600,17.258923
"2001-01-19",35.5,36,34.8125,35.25,862100,17.017536
"2001-01-22",36,36.875,35.5625,36.6875,1260800,17.711515
"2001-01-23",37.375,38.625,36.375,36.875,1695500,17.802032
"2001-01-24",36.75,37.25,36.5625,36.75,1266500,17.741692
"2001-01-25",36.5625,37.5,36.5625,37,720800,17.862387
"2001-01-26",37.125,37.1875,35.5,36.6875,484900,17.711515
"2001-01-29",36.689999,37.650002,36.5,36.5,656500,17.620998
"2001-01-30",36.740002,36.939999,36,36.470001,1043200,17.606518
"2001-01-31",35.75,36.049999,35.150002,35.419998,1086500,17.099611
"2001-02-01",35.470001,35.470001,34.439999,34.84,793200,16.819603
"2001-02-02",35.049999,35.700001,35.049999,35.650002,803200,17.210649
"2001-02-05",36.150002,36.400002,35.650002,35.790001,919400,17.278238
"2001-02-06",36,36.400002,35.759998,36.220001,546100,17.485825
"2001-02-07",36.25,36.75,36.220001,36.419998,934900,17.582375
"2001-02-08",36.5,37.25,36.5,36.950001,883900,17.838251
"2001-02-09",36.630001,37.799999,36.509998,37.41,1917500,18.215607
"2001-02-12",37.610001,37.900002,35.75,37,992400,18.015972
"2001-02-13",37,37.25,36.119999,36.790001,626700,17.91371
"2001-02-14",36.939999,37.119999,36.599998,37.119999,551100,18.074396
"2001-02-15",37.220001,37.220001,36.5,36.98,551300,18.006233
"2001-02-16",37.029999,38,37.029999,37.549999,911700,18.283775
"2001-02-20",37.299999,38.349998,37.299999,37.779999,884100,18.395758
"2001-02-21",37.98,38.939999,37.950001,38.400002,482800,18.69766
"2001-02-22",38.5,38.950001,37.900002,38.68,826400,18.834
"2001-02-23",38.779999,38.98,37.900002,38.610001,646900,18.799911
"2001-02-26",38.68,39.25,38.369999,38.41,513400,18.70252
"2001-02-27",38.360001,39.400002,38.360001,39.200001,760100,19.087191
"2001-02-28",39.200001,39.299999,38.240002,38.830002,498700,18.90703
"2001-03-01",38.68,39.650002,38.389999,39.25,833200,19.111532
"2001-03-02",39.25,39.700001,38.73,39.450001,499800,19.208923
"2001-03-05",39.5,39.630001,38.700001,39.119999,362900,19.048233
"2001-03-06",39.18,39.18,38.639999,38.73,444800,18.858341
"2001-03-07",38.630001,39.099998,38.389999,38.950001,730200,18.965464
"2001-03-08",38.959999,39.400002,38.549999,39.400002,417800,19.184578
"2001-03-09",39.459999,39.459999,38.82,39.299999,427400,19.135881
"2001-03-12",39.450001,39.75,38.779999,38.799999,469400,18.892422
"2001-03-13",39,39.470001,38.25,38.380001,633400,18.687916
"2001-03-14",37.799999,38.18,37.349998,37.950001,1214600,18.478546
"2001-03-15",37.950001,38.580002,37.650002,38.049999,805500,18.527231
"2001-03-16",37.099998,38.049999,36.900002,37.5,1587700,18.259424
"2001-03-19",36.799999,37.25,36.25,36.900002,844200,17.967278
"2001-03-20",36.900002,37.400002,36.25,36.540001,498400,17.791985
"2001-03-21",35.669998,37.080002,35.669998,36.299999,666600,17.675127
"2001-03-22",36.32,36.369999,34.400002,35.549999,636600,17.309935
"2001-03-23",35.349998,35.349998,34.400002,34.700001,914100,16.896059
"2001-03-26",34.900002,36.580002,34.799999,36,748600,17.529047
"2001-03-27",36,37.099998,36,36.900002,766100,17.967278
"2001-03-28",36.900002,37.25,36.27,36.900002,643000,17.967278
"2001-03-29",36.900002,37.220001,36.049999,37.169998,801100,18.098743
"2001-03-30",37.349998,38.349998,37.349998,38,995300,18.502888
"2001-04-02",37.799999,38.599998,37.5,38,3328200,18.502888
"2001-04-03",38.900002,39.59,38.75,39,1381800,18.989811
"2001-04-04",38.650002,39.959999,38.619999,39.75,2729700,19.354996
"2001-04-05",39.349998,39.400002,38.099998,38.41,1869600,18.70252
"2001-04-06",38.299999,38.599998,36.82,37.599998,1220800,18.308113
"2001-04-09",37.400002,39,37.299999,38.23,1192100,18.614872
"2001-04-10",38.900002,39.349998,38.599998,38.650002,1333300,18.819387
"2001-04-11",39.299999,39.299999,37.849998,38.599998,1049400,18.795034
"2001-04-12",38.599998,39.099998,38.200001,38.450001,784000,18.722002
"2001-04-16",38.400002,38.919998,38.299999,38.900002,496400,18.941109
"2001-04-17",38.650002,39.950001,38.650002,39.950001,876500,19.452377
"2001-04-18",39.950001,40,38.200001,39.470001,1305900,19.218658
"2001-04-19",39,39.099998,38.150002,38.349998,892300,18.673307
"2001-04-20",38.25,38.799999,37.900002,38.599998,812300,18.795034
"2001-04-23",38.599998,39.279999,38.599998,39.220001,592500,19.096928
"2001-04-24",39.200001,39.509998,38.599998,39.099998,965100,19.038496
"2001-04-25",39.049999,39.799999,38.900002,39.48,913000,19.223532
"2001-04-26",39.700001,40.200001,39.650002,39.650002,1169000,19.306301
"2001-04-27",40.099998,40.450001,39.950001,40.279999,1035800,19.613058
"2001-04-30",40.25,41.099998,40.099998,40.5,823100,19.720182
"2001-05-01",41,41.25,40.799999,41.09,1045300,20.007471
"2001-05-02",41.25,41.299999,40.25,40.25,1272300,19.598452
"2001-05-03",40.299999,40.939999,39.950001,40.450001,1200200,19.695843
"2001-05-04",40.25,41.18,40.25,41.049999,807700,19.987986
"2001-05-07",41.049999,41.43,41.02,41.139999,661500,20.031809
"2001-05-08",41.099998,41.48,40.82,41.41,623300,20.163282
"2001-05-09",41.299999,41.619999,41.290001,41.5,761500,20.2071
"2001-05-10",41.5,42,41.490002,41.939999,479900,20.421343
"2001-05-11",41.900002,42,41.700001,42,2254500,20.605322
"2001-05-14",41.950001,42.57,41.950001,42.450001,568800,20.826103
"2001-05-15",42.400002,42.650002,42.259998,42.5,950500,20.850622
"2001-05-16",42.5,42.919998,42.299999,42.849998,889000,21.022333
"2001-05-17",42.75,42.950001,42.599998,42.599998,864400,20.899691
"2001-05-18",42.799999,43.400002,42.799999,43.400002,847600,21.292168
"2001-05-21",43.5,43.900002,43.450001,43.709999,828100,21.444256
"2001-05-22",43.849998,44.5,43.849998,43.91,932600,21.542379
"2001-05-23",44.5,44.669998,43.900002,44.48,1170800,21.822014
"2001-05-24",43.25,44.099998,42.950001,44.049999,1291000,21.611063
"2001-05-25",43.950001,43.950001,42.299999,43.200001,769100,21.19405
