"","Open","High","Low","Close","Volume"
"2001-01-02",20.155525,20.905525,19.218025,20.155525,718600
"2001-01-03",21.052063,21.927063,19.177063,19.552063,901100
"2001-01-04",20.862387,20.862387,17.362387,17.862387,1705700
"2001-01-05",17.636091,18.636091,17.636091,18.073591,633100
"2001-01-08",17.754623,18.504623,17.629623,18.254623,551500
"2001-01-09",18.603762,18.916262,17.916262,18.103762,538600
"2001-01-10",18.483082,18.858082,17.920582,17.983082,612100
"2001-01-11",19.946405,20.008905,16.008905,16.383905,1140900
"2001-01-12",15.832193,17.269693,14.707193,16.957193,1378400
"2001-01-16",16.845119,16.907619,14.782619,16.595119,1136800
"2001-01-17",16.105906,17.230906,15.793406,17.168406,978100
"2001-01-18",17.008923,17.821423,17.008923,17.258923,1329600
"2001-01-19",17.267536,17.767536,16.580036,17.017536,862100
"2001-01-22",17.024015,17.899015,16.586515,17.711515,1260800
"2001-01-23",18.302032,19.552032,17.302032,17.802032,1695500
"2001-01-24",17.741692,18.241692,17.554192,17.741692,1266500
"2001-01-25",17.424887,18.362387,17.424887,17.862387,720800
"2001-01-26",18.149015,18.211515,16.524015,17.711515,484900
"2001-01-29",17.810997,18.771,17.620998,17.620998,656500
"2001-01-30",17.876519,18.076516,17.136517,17.606518,1043200
"2001-01-31",17.429613,17.729612,16.829615,17.099611,1086500
"2001-02-01",17.449604,17.449604,16.419602,16.819603,793200
"2001-02-02",16.610646,17.260648,16.610646,17.210649,803200
"2001-02-05",17.638239,17.888239,17.138239,17.278238,919400
"2001-02-06",17.265824,17.665826,17.025822,17.485825,546100
"2001-02-07",17.412377,17.912377,17.382378,17.582375,934900
"2001-02-08",17.38825,18.13825,17.38825,17.838251,883900
"2001-02-09",17.435608,18.605606,17.315605,18.215607,1917500
"2001-02-12",18.625973,18.915974,16.765972,18.015972,992400
"2001-02-13",18.123709,18.373709,17.243708,17.91371,626700
"2001-02-14",17.894396,18.074396,17.554395,18.074396,551100
"2001-02-15",18.246234,18.246234,17.526233,18.006233,551300
"2001-02-16",17.763775,18.733776,17.763775,18.283775,911700
"2001-02-20",17.915758,18.965757,17.915758,18.395758,884100
"2001-02-21",18.277658,19.237657,18.247659,18.69766,482800
"2001-02-22",18.654,19.104001,18.054002,18.834,826400
"2001-02-23",18.969909,19.16991,18.089912,18.799911,646900
"2001-02-26",18.97252,19.54252,18.662519,18.70252,513400
"2001-02-27",18.247191,19.287192,18.247191,19.087191,760100
"2001-02-28",19.277029,19.377027,18.31703,18.90703,498700
"2001-03-01",18.541532,19.511534,18.251531,19.111532,833200
"2001-03-02",19.008922,19.458923,18.488922,19.208923,499800
"2001-03-05",19.428234,19.558235,18.628235,19.048233,362900
"2001-03-06",19.308341,19.308341,18.76834,18.858341,444800
"2001-03-07",18.645464,19.115461,18.405462,18.965464,730200
"2001-03-08",18.744575,19.184578,18.334575,19.184578,417800
"2001-03-09",19.295881,19.295881,18.655882,19.135881,427400
"2001-03-12",19.542424,19.842423,18.872422,18.892422,469400
"2001-03-13",19.307915,19.777916,18.557915,18.687916,633400
"2001-03-14",18.328544,18.708545,17.878543,18.478546,1214600
"2001-03-15",18.427233,19.057234,18.127234,18.527231,805500
"2001-03-16",17.859422,18.809423,17.659426,18.259424,1587700
"2001-03-19",17.867275,18.317276,17.317276,17.967278,844200
"2001-03-20",18.151986,18.651986,17.501984,17.791985,498400
"2001-03-21",17.045126,18.45513,17.045126,17.675127,666600
"2001-03-22",18.079936,18.129935,16.159938,17.309935,636600
"2001-03-23",17.546056,17.546056,16.59606,16.896059,914100
"2001-03-26",16.429049,18.109049,16.329046,17.529047,748600
