"","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume","FCX.Adjusted"
"2001-01-02",4.28125,4.5,4.15625,4.15625,775600,2.601657
"2001-01-03",4.1875,4.40625,4.15625,4.40625,808600,2.758147
"2001-01-04",4.40625,4.4375,4.15625,4.15625,1151200,2.601657
"2001-01-05",4.15625,4.34375,4.15625,4.15625,836200,2.601657
"2001-01-08",4.21875,4.34375,4.21875,4.34375,568200,2.719025
"2001-01-09",4.34375,4.375,4.28125,4.3125,1269400,2.699464
"2001-01-10",4.3125,4.4375,4.28125,4.375,1779800,2.738585
"2001-01-11",4.375,4.40625,4.21875,4.40625,773800,2.758147
"2001-01-12",4.40625,4.5,4.28125,4.46875,496400,2.79727
"2001-01-16",4.46875,4.53125,4.40625,4.5,1362200,2.816832
"2001-01-17",4.53125,4.5625,4.4375,4.53125,705000,2.836392
"2001-01-18",4.5625,5.375,4.5625,5.3125,7964800,3.325425
"2001-01-19",5.46875,5.5,5.28125,5.4375,3307000,3.403671
"2001-01-22",5.40625,5.9375,5.40625,5.9375,5267800,3.716654
"2001-01-23",5.875,5.9375,5.6875,5.9375,2168400,3.716654
"2001-01-24",5.8125,5.84375,5.65625,5.78125,1389200,3.618845
"2001-01-25",5.71875,6.0625,5.71875,5.75,1922800,3.599284
"2001-01-26",5.65625,5.6875,5.46875,5.5625,1904600,3.481915
"2001-01-29",5.56,5.665,5.555,5.61,749400,3.511649
"2001-01-30",5.61,5.735,5.575,5.72,1065400,3.580505
"2001-01-31",5.74,5.94,5.73,5.85,1120600,3.661882
"2001-02-01",5.855,6.27,5.85,6.27,1720800,3.924785
"2001-02-02",6.225,6.47,6.115,6.39,1479000,3.999901
"2001-02-05",6.35,6.44,6.25,6.415,1688800,4.015549
"2001-02-06",6.375,6.375,6.225,6.325,740200,3.959212
"2001-02-07",6.26,6.45,6.21,6.405,1107000,4.00929
"2001-02-08",6.405,6.475,6.29,6.41,987000,4.01242
"2001-02-09",6.4,6.465,6.38,6.445,482400,4.034328
"2001-02-12",6.465,6.47,6.35,6.365,709600,3.984251
"2001-02-13",6.375,6.535,6.285,6.285,1282400,3.934172
"2001-02-14",6.31,6.365,6.095,6.17,1079800,3.862189
"2001-02-15",6.125,6.34,6.115,6.305,1380000,3.946694
"2001-02-16",6.35,6.42,6.23,6.23,1148800,3.899747
"2001-02-20",6.235,6.265,6.005,6.005,1169000,3.758904
"2001-02-21",6.025,6.25,6.025,6.145,1807800,3.846539
"2001-02-22",6.16,6.81,6.16,6.68,2648000,4.181427
"2001-02-23",6.675,6.87,6.52,6.575,2615600,4.115703
"2001-02-26",6.6,7.1,6.58,7.045,2290600,4.409905
"2001-02-27",6.975,7.125,6.9,7,2134000,4.381739
"2001-02-28",6.975,7.025,6.83,7.025,1849800,4.397385
"2001-03-01",7.1,7.1,6.885,7.02,1532600,4.394257
"2001-03-02",6.975,7.045,6.94,7.02,1344600,4.394257
"2001-03-05",6.995,7.275,6.5,7.275,1225200,4.553876
"2001-03-06",7.24,7.24,7.025,7.135,1154600,4.466242
"2001-03-07",7.15,7.2,7.025,7.125,1235600,4.459984
"2001-03-08",7.125,7.275,7.125,7.225,1840200,4.522579
"2001-03-09",7.25,7.345,7.175,7.175,2249600,4.491283
"2001-03-12",7.18,7.24,6.81,6.84,1784000,4.281583
"2001-03-13",6.8,6.8,6.4,6.58,1560000,4.118832
"2001-03-14",6.54,6.54,6.325,6.405,975800,4.00929
"2001-03-15",6.405,6.405,6.15,6.375,1065600,3.990511
"2001-03-16",6.36,6.36,6.065,6.225,2467600,3.896616
"2001-03-19",6.215,6.375,6.215,6.325,934200,3.959212
"2001-03-20",6.325,6.445,6.3,6.33,864800,3.962342
"2001-03-21",6.475,6.475,6.255,6.33,1510800,3.962342
"2001-03-22",6.375,6.375,5.985,6.205,1202200,3.884099
"2001-03-23",6.225,6.285,6.15,6.265,951800,3.921655
"2001-03-26",6.26,6.31,6.21,6.305,891200,3.946694
"2001-03-27",6.3,6.57,6.25,6.505,867600,4.071884
"2001-03-28",6.475,6.48,6.1,6.215,576800,3.890357
"2001-03-29",6.2,6.5,6.2,6.38,1173000,3.99364
"2001-03-30",6.425,6.525,6.42,6.525,1526000,4.084406
"2001-04-02",6.525,6.53,6.3,6.35,1052200,3.974864
"2001-04-03",6.345,6.35,6.12,6.245,1298000,3.909135
"2001-04-04",6.24,6.825,6.24,6.745,2386800,4.222117
"2001-04-05",6.745,6.905,6.715,6.795,956800,4.253416
"2001-04-06",6.775,6.89,6.55,6.56,805600,4.106316
"2001-04-09",6.66,6.915,6.66,6.8,689000,4.256545
"2001-04-10",6.8,6.925,6.8,6.85,1008000,4.287843
"2001-04-11",6.8,6.89,6.705,6.89,1162200,4.312882
