"","Open","High","Low","Close","Volume"
"2001-01-02",35.708481,36.228481,34.458481,34.458481,936600
"2001-01-03",34.188343,37.238342,33.978344,37.038345,2203000
"2001-01-04",38.664925,40.664925,38.364926,39.924923,3410600
"2001-01-05",40.409016,40.409016,38.719013,39.519016,1485800
"2001-01-08",38.72564,39.125637,38.445637,38.90564,1120700
"2001-01-09",38.609848,38.809849,37.869846,38.129848,1134400
"2001-01-10",36.59512,39.145119,36.25512,37.805119,1895500
"2001-01-11",38.374657,39.294659,37.164658,37.164658,1561200
"2001-01-12",37.635273,38.255272,36.78527,37.435272,1044300
"2001-01-16",37.362023,39.002027,37.302026,38.202023,893300
"2001-01-17",38.2649,39.964901,38.2649,39.464901,1334100
"2001-01-18",38.435272,38.78527,37.435272,37.435272,1549500
"2001-01-19",37.191013,37.731014,35.991017,36.001015,2299800
"2001-01-22",35.951732,38.311728,35.78173,37.19173,1137300
"2001-01-23",37.28402,39.30402,37.28402,38.64402,1946300
"2001-01-24",38.382385,39.122387,37.922386,37.922386,751700
"2001-01-25",37.949184,39.599181,37.509181,39.149185,1176700
"2001-01-26",39.468819,40.16882,39.27882,39.428818,1057200
"2001-01-29",39.037448,40.287448,38.987449,39.717449,1223500
"2001-01-30",40.347313,40.797314,39.697311,40.087311,1067800
"2001-01-31",40.805248,41.505249,40.605247,40.935249,1677700
"2001-02-01",40.96602,41.086018,39.986016,40.836018,799000
"2001-02-02",40.772007,40.962005,39.942005,39.952007,744700
"2001-02-05",39.672783,40.062782,39.502785,39.852783,553400
"2001-02-06",39.489991,40.21999,39.489991,39.509991,750100
"2001-02-07",39.929539,39.929539,38.679539,38.869537,624700
"2001-02-08",39.35617,40.60617,39.186172,40.466171,1424600
"2001-02-09",40.456024,40.466022,38.756023,39.086025,1241700
"2001-02-12",39.17175,39.821747,38.94175,39.401749,966500
"2001-02-13",40.021855,40.571854,39.791851,40.321854,1371200
"2001-02-14",40.424698,40.424698,39.374699,39.374699,683500
"2001-02-15",39.430713,40.780716,39.410717,40.700714,949100
"2001-02-16",40.482612,40.642612,39.732612,40.222614,688900
"2001-02-20",40.060932,40.760933,39.040932,39.040932,1759300
"2001-02-21",39.165322,39.335324,37.885323,37.895321,871800
"2001-02-22",37.486282,38.336285,37.086285,37.886284,1004300
"2001-02-23",38.067654,38.407654,37.027653,37.597652,717000
"2001-02-26",37.200164,37.490165,36.240165,37.390167,1757700
"2001-02-27",36.915661,38.545662,36.915661,37.615662,1283900
"2001-02-28",37.691109,37.691109,36.881107,36.921108,1051200
"2001-03-01",36.452297,37.092297,36.182297,37.002296,1062800
"2001-03-02",36.741195,38.381199,36.481197,37.841198,968400
"2001-03-05",37.789272,38.579273,37.499271,38.319271,674800
"2001-03-06",38.276604,39.326603,38.086605,38.896603,571100
"2001-03-07",38.76878,39.74878,38.76878,38.968781,1097700
"2001-03-08",39.005104,39.905106,38.955105,39.555103,863500
"2001-03-09",39.048248,39.938252,38.298248,39.618248,995400
"2001-03-12",39.476108,39.546108,37.776107,37.796108,1125300
"2001-03-13",37.536286,38.186283,36.266285,37.886284,1696100
"2001-03-14",36.716614,37.466614,36.486614,37.146614,1305000
"2001-03-15",37.382911,37.75291,37.25291,37.272911,1195600
"2001-03-16",37.403847,37.843845,36.553844,36.803844,2689400
"2001-03-19",36.703175,38.193173,36.493172,37.823174,1263600
"2001-03-20",37.307693,37.677692,36.057693,36.307693,1805200
"2001-03-21",36.067544,39.007542,35.42754,38.42754,2483400
"2001-03-22",36.981296,37.181297,35.231296,37.011295,2282200
"2001-03-23",37.095539,37.465542,36.015541,36.235538,1408600
"2001-03-26",36.354763,37.254765,35.554764,36.334763,1361600
"2001-03-27",36.388248,38.238246,36.28825,37.868248,1053100
"2001-03-28",37.87825,38.03825,36.958248,37.868248,752800
"2001-03-29",36.962689,37.812687,36.722687,37.18269,659600
"2001-03-30",36.717651,37.877651,36.657654,37.597652,703800
"2001-04-02",37.542084,37.782086,36.692086,36.912083,615600
"2001-04-03",36.430149,36.430149,35.170151,35.180149,1228400
"2001-04-04",35.371369,35.971367,35.121369,35.721367,697400
"2001-04-05",35.783073,35.783073,31.683075,35.153076,3433400
"2001-04-06",34.328045,34.388046,33.118046,33.818047,1744700
"2001-04-09",33.981854,34.84185,33.951851,34.611851,975100
"2001-04-10",34.809917,35.58992,34.639919,35.08992,820200
"2001-04-11",35.392956,36.292958,35.242959,35.982956,1216800
"2001-04-12",35.701782,35.901783,34.901783,35.901783,1046000
"2001-04-16",35.827263,36.357262,35.127262,35.667263,510200
"2001-04-17",34.931225,36.181225,34.691228,36.091225,1039100
"2001-04-18",35.836247,38.296246,35.546246,37.426247,1236500
"2001-04-19",37.244069,39.104065,37.034066,39.104065,1143000
"2001-04-20",39.089393,39.489395,38.739395,39.239395,1074300
"2001-04-23",39.100082,39.11008,38.11008,38.220081,652900
"2001-04-24",37.904904,38.354905,37.604905,37.714905,761000
"2001-04-25",37.680332,38.290332,36.28033,37.020332,1545700
"2001-04-26",36.804851,37.934853,36.454853,37.254852,747300
"2001-04-27",37.38927,38.679271,37.38927,38.319271,825100
"2001-04-30",38.029461,38.18946,37.779461,37.949459,544200
"2001-05-01",37.722969,37.802971,37.21297,37.732971,627200
"2001-05-02",37.412841,38.562843,37.012844,38.562843,1097800
"2001-05-03",38.249954,38.349957,36.859955,37.299953,713900
"2001-05-04",36.306815,37.276817,36.306815,37.236816,820800
"2001-05-07",36.054764,36.924763,35.414765,36.334763,1644300
"2001-05-08",36.034008,36.18401,34.314011,34.68401,2480400
"2001-05-09",34.631329,35.371331,34.181328,35.26133,1356600
"2001-05-10",35.160557,35.420555,34.660557,35.360558,889200
"2001-05-11",35.587936,35.647938,34.63794,34.647938,1260800
"2001-05-14",34.50848,34.958481,34.368481,34.458481,794200
"2001-05-15",34.403588,34.813587,34.283585,34.503586,1027600
"2001-05-16",34.354664,35.694664,34.254661,35.414661,1150700
"2001-05-17",35.317691,36.557693,35.157691,36.307693,1337600
"2001-05-18",36.632236,36.632236,36.102238,36.542236,659100
"2001-05-21",36.522438,36.772438,36.152439,36.632439,798900
"2001-05-22",36.641267,36.781266,36.151265,36.551266,939500
"2001-05-23",35.981229,36.351227,35.701226,36.091225,1866700
"2001-05-24",36.056926,36.496929,35.94693,36.406929,1121700
"2001-05-25",35.909622,36.359623,35.709621,35.829624,574800
"2001-05-29",35.617455,36.217453,35.617455,35.757454,539800
"2001-05-30",35.991783,36.201782,35.731785,35.901783,906500
"2001-05-31",35.682182,36.382183,35.562184,36.082184,1122700
"2001-06-01",35.998921,37.248921,35.728921,36.848919,1174200
"2001-06-04",36.675334,36.675334,35.975338,36.145336,978200
"2001-06-05",35.992959,36.492959,35.812958,35.982956,1170400
"2001-06-06",36.376278,36.376278,35.626278,35.676277,1175000
"2001-06-07",35.661571,35.911571,35.501571,35.811573,782600
"2001-06-08",35.761368,35.761368,35.41137,35.721367,485000
"2001-06-11",35.549717,35.549717,34.749718,34.999718,761300
"2001-06-12",34.817287,34.817287,33.607288,34.377289,1390000
"2001-06-13",34.375099,34.435101,33.8251,33.8451,1136800
"2001-06-14",34.382938,34.432937,33.652939,33.772938,955500
"2001-06-15",33.532002,34.402001,33.482003,34.242001,1364600
"2001-06-18",34.222172,34.57217,33.762169,33.872169,747100
"2001-06-19",33.872105,34.062104,33.372105,33.412106,838700
"2001-06-20",33.37603,33.676029,33.12603,33.37603,1024700
"2001-06-21",33.394416,34.864418,33.314414,34.864418,1063000
"2001-06-22",34.229019,34.469016,33.809017,33.809017,783300
"2001-06-25",33.642258,33.772259,32.782257,33.042259,1467900
"2001-06-26",32.43969,33.179692,32.429692,32.789688,1927200
"2001-06-27",32.745636,33.275639,32.395638,33.195637,1495000
"2001-06-28",33.208553,35.708553,33.208553,34.918552,2771100
"2001-06-29",34.7826,36.2626,34.772598,36.2626,1644400
"2001-07-02",36.035186,36.735187,35.535186,36.515186,1617500
"2001-07-03",36.442689,37.18269,36.312687,37.18269,958200
"2001-07-05",36.873421,37.133424,36.323422,36.623421,720000
"2001-07-06",36.683162,36.683162,35.603164,36.073166,904500
"2001-07-09",35.968488,36.418484,35.638486,36.208485,747000
"2001-07-10",36.099811,36.339813,35.799812,35.919811,401500
