"","Open","High","Low","Close","Volume"
"2001-01-02",4.71875,5.78125,4.71875,5.125,5006600
"2001-01-03",5,7.125,4.875,6.5,4587400
"2001-01-04",6.25,7.375,6.125,7.375,2925800
"2001-01-05",7.0625,7.125,5.78125,5.84375,2136600
"2001-01-08",5.625,5.78125,5.28125,5.40625,1051200
"2001-01-09",5.59375,5.90625,5.4375,5.625,1892200
"2001-01-10",5.53125,5.625,5.28125,5.53125,1608800
"2001-01-11",5.34375,6.375,5.3125,5.96875,3142800
"2001-01-12",6.125,6.34375,5.625,6,1830800
"2001-01-16",5.96875,6.40625,5.75,6.03125,1027600
"2001-01-17",6.625,7.1875,6.3125,6.4375,2763400
"2001-01-18",6.625,6.625,6.3125,6.5,1330000
"2001-01-19",6.8125,6.84375,6.03125,6.0625,1450200
"2001-01-22",6.125,6.4375,5.8125,6.125,790000
"2001-01-23",6.125,6.5625,6.03125,6.28125,1224000
"2001-01-24",6.4375,7,6.40625,6.78125,2385400
"2001-01-25",6.875,8.5,6.5625,8.34375,6345400
"2001-01-26",7.875,8.25,7.53125,7.75,2143400
"2001-01-29",7.84375,8.03125,7.53125,7.78125,1333400
"2001-01-30",8.21875,8.3125,7.8125,7.8125,2132800
"2001-01-31",7.8125,8.90625,7.78125,8.5,2803800
"2001-02-01",8.125,8.4375,7.75,7.8125,766000
"2001-02-02",7.78125,8.125,7,7.03125,925400
"2001-02-05",6.9375,6.96875,6.3125,6.8125,840200
"2001-02-06",6.75,7.335938,6.53125,6.9375,564800
"2001-02-07",6.71875,6.84375,6.1875,6.53125,808600
"2001-02-08",6.59375,6.9375,6.25,6.40625,409200
"2001-02-09",6.34375,6.5,5.75,6.21875,657400
"2001-02-12",6.0625,6.125,5.6875,6,706800
"2001-02-13",6,6.3125,5.40625,5.5625,714200
"2001-02-14",5.6875,5.8125,5.125,5.4375,983400
"2001-02-15",5.75,5.875,5.53125,5.65625,672600
"2001-02-16",5.5,5.5,4.9375,5.21875,1013200
"2001-02-20",5.3125,5.3125,4.6875,4.8125,642600
"2001-02-21",4.71875,4.84375,4.1875,4.4375,1203600
"2001-02-22",4.25,4.4375,4,4.09375,1263600
"2001-02-23",4.09375,4.25,3.828125,4.125,1044400
"2001-02-26",4.21875,4.3125,4,4.1875,729600
"2001-02-27",4.1875,4.25,3.875,3.890625,874600
"2001-02-28",3.828125,4.046875,3.34375,3.484375,946800
"2001-03-01",3.3125,3.90625,3.125,3.875,835800
"2001-03-02",3.8125,4.09375,3.5,3.8125,1259800
"2001-03-05",3.6875,3.75,3.3125,3.40625,765600
"2001-03-06",3.59375,3.875,3.53125,3.859375,1093000
"2001-03-07",3.90625,4,3.65625,3.78125,330400
"2001-03-08",3.84375,3.921875,3.5,3.515625,349000
"2001-03-09",3.375,3.421875,3.25,3.25,455200
"2001-03-12",3.0625,3.1875,2.84375,2.84375,673600
"2001-03-13",2.929688,3.0625,2.75,3,730000
"2001-03-14",2.96875,3.15625,2.78125,2.9375,648400
