"","Open","High","Low","Close","Volume"
"2001-01-02",7.976563,7.979167,7.270833,7.395833,6212800
"2001-01-03",7.3125,8.302083,7.291667,7.8125,9235600
"2001-01-04",7.625,8.0625,7.5625,7.75,5676400
"2001-01-05",7.708333,7.822917,7.583333,7.666667,6560400
"2001-01-08",7.729167,8.1875,7.666667,8.140625,5033200
"2001-01-09",8.15625,8.489583,8.125,8.322917,5962800
"2001-01-10",8.1875,8.4375,7.75,8.385417,5514000
"2001-01-11",8.354167,8.458333,8.083333,8.166667,3718800
"2001-01-12",8.125,8.239583,7.791667,7.958333,6964000
"2001-01-16",7.833333,7.916667,7.635417,7.697917,4066800
"2001-01-17",7.776042,8.041667,7.75,8,7786800
"2001-01-18",7.958333,8.208333,7.708333,8.15625,4960000
"2001-01-19",8.208333,8.229167,7.645833,7.770833,6442800
"2001-01-22",7.729167,7.875,7.5,7.770833,7940400
"2001-01-23",7.677083,8.729167,7.645833,8.697917,11670000
"2001-01-24",8.541667,8.739583,8.291667,8.666667,9187600
"2001-01-25",8.625,8.8125,8.375,8.427083,3477600
"2001-01-26",8.395833,8.802083,8.375,8.625,2233600
"2001-01-29",8.520833,9.0625,8.458333,9.052083,3318400
"2001-01-30",8.927083,8.927083,8.583333,8.802083,2507200
"2001-01-31",8.770833,8.90625,8.364583,8.635417,3450000
"2001-02-01",8.458333,8.872396,8.375,8.708333,3496000
"2001-02-02",8.708333,8.822917,8.46875,8.46875,2445600
"2001-02-05",8.458333,8.78125,8.458333,8.708333,2166000
"2001-02-06",8.677083,9.114583,8.666667,8.958333,3991200
"2001-02-07",8.96875,9.104167,8.802083,8.989583,4212000
"2001-02-08",9.052083,9.145833,8.833333,8.875,4352400
"2001-02-09",8.854167,9.072917,8.84375,8.916667,3704800
"2001-02-12",8.979167,9.333333,8.96875,9.072917,3311200
"2001-02-13",8.958333,9.375,8.854167,8.854167,3108400
"2001-02-14",8.84375,9.270833,8.770833,9.260417,7428400
"2001-02-15",9.25,9.395833,9.104167,9.28125,9211600
"2001-02-16",9.052083,9.333333,9.010417,9.291667,4354000
"2001-02-20",9.333333,9.552083,9.291667,9.5,5470000
"2001-02-21",9.53125,9.677083,9.072917,9.145833,7959600
"2001-02-22",9.21875,9.25,8.770833,8.833333,10908000
"2001-02-23",8.90625,9,8.541667,9,7939200
"2001-02-26",8.989583,9.166667,8.666667,8.75,8024400
"2001-02-27",8.739583,8.875,8.458333,8.520833,7442400
"2001-02-28",8.572917,8.572917,8.104167,8.25,11071200
"2001-03-01",8.25,8.25,8.083333,8.166667,8526000
"2001-03-02",8.1875,8.25,7.916667,7.916667,6320400
"2001-03-05",7.9375,8.25,7.916667,8.1875,7332000
"2001-03-06",8.270833,8.375,7.947917,8.083333,4717200
"2001-03-07",8.166667,8.291667,8.020833,8.197917,4885600
"2001-03-08",8.21875,8.229167,8.104167,8.114583,2911200
"2001-03-09",8.166667,8.166667,7.833333,7.979167,2540800
"2001-03-12",7.916667,8.03125,7.5,7.520833,3748000
"2001-03-13",7.65625,7.989583,7.5625,7.760417,7538800
"2001-03-14",7.708333,8.041667,7.541667,7.8125,3608400
"2001-03-15",7.864583,8.020833,7.84375,7.916667,3614400
"2001-03-16",7.833333,7.864583,7.302083,7.541667,8564800
"2001-03-19",7.572917,8.03125,7.489583,8,5328400
"2001-03-20",8.03125,8.302083,7.708333,7.770833,5856400
"2001-03-21",7.729167,8,7.520833,7.697917,5567200
"2001-03-22",7.666667,8.083333,7.666667,7.895833,6474000
"2001-03-23",7.96875,8.104167,7.708333,7.927083,6327600
"2001-03-26",8,8.166667,7.770833,7.90625,4331200
"2001-03-27",7.901042,8.229167,7.791667,8.145833,4915600
"2001-03-28",8.291667,8.40625,8.09375,8.145833,24305200
"2001-03-29",8.114583,8.239583,8.03125,8.197917,15920800
"2001-03-30",8.291667,8.291667,7.375,7.455729,134508000
"2001-04-02",7.705729,7.9375,7.625,7.875,23044800
"2001-04-03",7.770833,7.78125,7.53125,7.572917,11226000
"2001-04-04",7.59375,8.041667,7.541667,7.635417,27642000
"2001-04-05",7.822917,8.125,7.71875,8.0625,12878800
"2001-04-06",7.942708,8.020833,7.708333,7.989583,7825600
"2001-04-09",8.015,8.175,7.966667,8.171667,4268400
"2001-04-10",8.208333,8.345,8.203333,8.333333,7099200
"2001-04-11",8.375,8.38,7.8,7.948333,9591600
"2001-04-12",7.878334,8.08,7.775,8.026667,6151600
"2001-04-16",8.041667,8.116667,7.76,7.878334,5538400
"2001-04-17",7.83,8.156667,7.83,8.095,6949600
"2001-04-18",8.19,8.821667,8.166667,8.506667,8162400
"2001-04-19",8.536667,8.56,8.25,8.38,7516800
"2001-04-20",8.298333,8.438334,8.1,8.43,5612800
"2001-04-23",8.448334,8.571667,8.405,8.445,4958400
"2001-04-24",8.508333,8.791667,8.391666,8.396667,5363200
"2001-04-25",8.416667,9.14,8.416667,9.05,9114000
"2001-04-26",9.063334,9.083333,8.75,8.87,5155200
"2001-04-27",8.898334,9.015,8.808333,8.883333,3448000
"2001-04-30",8.991667,9.448334,8.928333,9.223333,7267200
"2001-05-01",9.1,9.1,8.808333,9.065,7691200
"2001-05-02",9.121667,9.213333,8.586667,8.666667,8196400
"2001-05-03",8.625,8.765,8.555,8.643333,4546800
"2001-05-04",8.558333,8.921667,8.416667,8.833333,4123600
"2001-05-07",8.751667,8.916667,8.666667,8.805,6810400
"2001-05-08",8.875,8.891666,8.64,8.801666,4781200
"2001-05-09",8.768333,8.875,8.65,8.683333,3856000
"2001-05-10",8.668333,8.85,8.536667,8.673333,4618800
"2001-05-11",8.608334,8.766666,8.6,8.7,4158400
"2001-05-14",8.658334,8.848333,8.63,8.701667,3024400
"2001-05-15",8.705,8.9,8.696667,8.736667,3227200
"2001-05-16",8.786667,9.181666,8.638333,9.165,5580400
"2001-05-17",9.125,9.203333,9.033334,9.093333,7786000
"2001-05-18",9.081667,9.125,8.975,9.011666,3896800
"2001-05-21",9.185,9.581667,9.183333,9.568334,9142000
"2001-05-22",9.566667,9.58,9.36,9.548333,4360800
"2001-05-23",9.506667,9.541667,9.13,9.303333,4722000
"2001-05-24",9.093333,9.476666,9.063334,9.206667,8455200
"2001-05-25",9.24,9.291667,8.958333,8.961667,4088800
"2001-05-29",9.001667,9.133333,8.925,8.96,7703200
"2001-05-30",8.925,9.123333,8.9,9.113334,6292000
