"","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"2001-01-02",59.1875,59.3125,56.890625,57.234375,1906500,35.537563
"2001-01-03",57.25,60.25,56.625,59.703125,3815600,37.070457
"2001-01-04",59.8125,61.3125,59.25,59.8125,4692800,37.138344
"2001-01-05",59.8125,59.8125,57.125,59.1875,4087600,36.750278
"2001-01-08",58.59375,58.75,57.625,57.9375,2053600,35.974136
"2001-01-09",57.875,58.6875,56.625,57.125,1777800,35.469654
"2001-01-10",56.8125,57.875,55.5,56.9375,1958100,35.353218
"2001-01-11",56.75,56.9375,54.625,56.3125,2997200,34.96516
"2001-01-12",56.375,56.375,54,55.125,1322000,34.227821
"2001-01-16",55,57.625,54.375,56.421875,2951900,35.033062
"2001-01-17",56.75,58.25,56.625,57.5625,2872300,35.741306
"2001-01-18",57.875,58,56.4375,56.5625,1874200,35.120377
"2001-01-19",57.125,57.25,54.625,54.875,1979100,34.07259
"2001-01-22",54.875,56.3125,54.1875,56,1814400,34.771118
"2001-01-23",56.1875,57.75,56.125,57.125,1947300,35.469654
"2001-01-24",57.125,57.4375,56.625,57.125,1149900,35.469654
"2001-01-25",57.375,58.4375,56.125,56.375,1883500,35.003948
"2001-01-26",56.3125,57.375,56,57.25,2480900,35.547256
"2001-01-29",57.5,58.75,56.75,57.6875,1902100,35.818909
"2001-01-30",57.625,58.8125,57.4375,58.75,2874200,36.47863
"2001-01-31",58.6875,59.375,58.25,59.25,2109100,36.78907
"2001-02-01",58.625,58.875,58.25,58.4375,2173900,36.284588
"2001-02-02",58.5,58.9375,58.125,58.3125,1254500,36.206978
"2001-02-05",58.125,58.375,57.0625,57.9375,1075200,35.974136
"2001-02-06",57.9375,58.1875,57.0625,57.25,900500,35.547256
"2001-02-07",57.3125,58.625,57,58.5,1430200,36.323387
"2001-02-08",58.8125,59,57.75,58.0625,1051200,36.051743
"2001-02-09",58.125,58.1875,57.0625,57.6875,1103800,35.818909
"2001-02-12",57.6875,59,57.3125,59,1749300,36.633854
"2001-02-13",58.875,59.5,58.625,59.125,1903800,36.711475
"2001-02-14",59.0625,59.375,58.3125,58.375,1595300,36.245785
"2001-02-15",58.5,58.5625,57.125,57.75,1483200,35.857708
"2001-02-16",56.75,58.6875,56.75,58.6875,1861700,36.439808
"2001-02-20",58.3125,58.4375,56.6875,57.6875,1759800,35.818909
"2001-02-21",57.125,57.1875,55.625,55.875,1479200,34.693508
"2001-02-22",56.25,56.4375,53.6875,54.3125,2694000,33.723347
"2001-02-23",53.9375,54.5,53.4375,54.1875,1775500,33.645718
"2001-02-26",54.46875,54.875,53.875,54.5625,2033000,33.878555
"2001-02-27",54.75,55.5,54.375,55.125,2249600,34.227821
"2001-02-28",55.375,55.625,53.625,53.8125,1481000,33.41288
"2001-03-01",53.6875,54.75,53,54.625,1980700,33.917362
"2001-03-02",53.96875,55.6875,53.875,55.125,1708100,34.227821
"2001-03-05",55.25,55.6875,53.625,54.625,1074600,33.917362
"2001-03-06",55.25,55.625,54.125,54.3125,1402100,33.723347
"2001-03-07",54.375,55.5,54.125,55.375,889900,34.383053
"2001-03-08",55.4375,56,54.625,55.875,994900,34.693508
"2001-03-09",55.625,55.625,54.125,54.6875,1359800,33.956169
"2001-03-12",54.1875,54.25,51.625,51.9375,2311700,32.248665
"2001-03-13",52.125,54,51.375,53.875,1844300,33.451672
"2001-03-14",52.5,52.875,51,51.75,1695200,32.132229
"2001-03-15",52.125,53.125,51.9375,53.0625,1439100,32.947174
"2001-03-16",50.875,53.25,50.75,52.9375,2920900,32.869568
"2001-03-19",52.4375,52.6875,51,52.3125,1599700,32.48151
"2001-03-20",52.25,52.4375,49.875,50.125,1660600,31.123259
"2001-03-21",48.9375,48.9375,47.375,47.875,4459500,29.726204
"2001-03-22",47.8125,47.9375,45.6875,47.1875,3730000,29.299334
"2001-03-23",47.25,50,47.1875,49.5625,3015500,30.773998
"2001-03-26",50.25,50.875,49.6875,50.25,1317500,31.200874
"2001-03-27",50.25,52.625,49.375,52.3125,2335100,32.48151
"2001-03-28",50.46875,53.25,50.4375,52.625,1959500,32.800949
"2001-03-29",52.34375,52.375,51.375,51.9375,1453300,32.372425
"2001-03-30",52.25,53.6875,51.75,53.4375,2429600,33.307377
"2001-04-02",53.125,54.6875,52.5625,53.625,1628000,33.424225
"2001-04-03",52.875,53.375,51.5,52.0625,1318800,32.450329
"2001-04-04",51.8125,51.875,49.6875,50.5625,1711700,31.515396
"2001-04-05",51.375,51.4375,50.3125,50.8125,2297700,31.671223
"2001-04-06",50.25,51.6875,48.875,50.0625,2941500,31.203739
"2001-04-09",50.279999,51.049999,50.049999,50.599998,1244100,31.538761
"2001-04-10",51.23,51.810001,50.900002,51.560001,1557600,32.137131
"2001-04-11",51.59,52.490002,51.349998,51.380001,2566200,32.024933
"2001-04-12",51.34,51.740002,50.990002,51.540001,1166500,32.124668
"2001-04-16",51.110001,52.220001,49.900002,51.029999,2046700,31.806789
"2001-04-17",50.349998,51,49.73,51,2634000,31.78809
"2001-04-18",51.139999,53,50.75,52.549999,2888300,32.754192
"2001-04-19",52.5,53.490002,51.799999,53.330002,1842100,33.240368
"2001-04-20",52.759998,53.400002,52.700001,52.990002,2410200,33.028435
"2001-04-23",52.709999,53,51.720001,51.759998,1305400,32.26178
"2001-04-24",51.849998,52.32,51.75,52.200001,1394100,32.536057
"2001-04-25",52.189999,52.310001,51,52.169998,1241300,32.517338
"2001-04-26",52.169998,52.720001,51.860001,52.48,1592400,32.710564
"2001-04-27",52.540001,53.959999,52.5,53.919998,1603900,33.608101
"2001-04-30",53.939999,54.41,53.299999,53.759998,1866300,33.508381
"2001-05-01",53.25,54,53.060001,53.900002,1302000,33.595642
"2001-05-02",53.84,54.110001,53.299999,53.950001,1054900,33.626816
"2001-05-03",53.889999,53.889999,52.779999,53.669998,1166300,33.45229
"2001-05-04",53.18,54.200001,52.759998,54.119999,1411000,33.732758
"2001-05-07",54,54.209999,53.400002,53.540001,754100,33.371269
"2001-05-08",53.619999,53.82,53.139999,53.650002,803400,33.439808
"2001-05-09",53.48,53.900002,53.25,53.810001,1591000,33.539547
"2001-05-10",54.099998,54.790001,54.099998,54.740002,1547200,34.119209
"2001-05-11",54.580002,55.049999,54.360001,54.639999,2098800,34.056889
"2001-05-14",54.740002,56.049999,54.57,56.009998,2150200,34.910797
"2001-05-15",56,56.610001,55.580002,56.48,2660200,35.203754
"2001-05-16",56.259998,58.34,56.07,58.240002,2042700,36.300751
"2001-05-17",58.290001,58.599998,57.540001,57.630001,2202800,35.92054
"2001-05-18",57.369999,58.150002,57.369999,57.790001,1612100,36.02026
"2001-05-21",57.639999,57.950001,57.07,57.919998,1209000,36.101299
"2001-05-22",57.700001,59.23,57.650002,58.630001,1503400,36.543835
"2001-05-23",58.560001,58.939999,58.049999,58.84,1109400,36.674725
"2001-05-24",58.869999,59.18,58.580002,58.75,944600,36.618633
"2001-05-25",58.740002,58.919998,58.48,58.599998,946700,36.525124
"2001-05-29",58.599998,58.950001,58.419998,58.779999,1328200,36.637318
"2001-05-30",58.689999,59.150002,58.419998,58.599998,1752300,36.525124
"2001-05-31",58.790001,58.970001,58.360001,58.869999,1630800,36.693432
"2001-06-01",58.860001,59.549999,58.25,59.459999,2099300,37.06118
"2001-06-04",59.57,60.599998,59.57,60.580002,3170400,37.759258
"2001-06-05",60.369999,61.110001,60,60.98,2507500,38.008575
"2001-06-06",60.919998,60.919998,59.509998,60.290001,1470000,37.578499
"2001-06-07",60.240002,60.259998,59.549999,60.220001,866900,37.534878
"2001-06-08",60.009998,60.049999,59.509998,59.93,837800,37.354103
"2001-06-11",59.91,60.299999,59.5,59.599998,1327800,37.14843
"2001-06-12",59.34,59.700001,58.700001,59.59,1490700,37.142189
"2001-06-13",59.650002,60.209999,59.310001,59.779999,999900,37.260612
"2001-06-14",59.349998,59.849998,58.950001,59.400002,1183200,37.023762
