"","Open","High","Low","Close","Volume"
"2001-01-02",6.603149,6.887733,6.074637,6.074637,1206900
"2001-01-03",5.933933,6.272723,5.730659,6.272723,1146500
"2001-01-04",6.07149,6.464486,6.044387,6.410281,1301900
"2001-01-05",6.519104,6.600413,6.342933,6.437794,1685600
"2001-01-08",6.319603,6.739703,6.197639,6.509326,1013200
"2001-01-09",6.44289,6.551303,6.307374,6.415787,1057900
"2001-01-10",6.039609,6.690087,5.755025,6.63588,1625200
"2001-01-11",6.957851,6.957851,6.415787,6.415787,1417700
"2001-01-12",6.254802,6.607144,5.848254,6.525834,1251200
"2001-01-16",6.157394,6.618149,5.967672,6.536839,909900
"2001-01-17",6.671536,6.712191,6.156575,6.481813,938500
"2001-01-18",6.640252,6.640252,6.165946,6.382771,926500
"2001-01-19",6.431067,6.431067,6.160035,6.349758,1726200
"2001-01-22",6.561173,6.601828,5.829386,6.168177,2006200
"2001-01-23",6.074135,6.345167,6.074135,6.223202,904800
"2001-01-24",6.407926,6.435029,6.014929,6.069136,1253500
"2001-01-25",6.106835,6.350763,6.039076,6.052628,1015500
"2001-01-26",6.130982,6.185188,5.805743,6.03612,886800
"2001-01-29",6.042113,6.215573,5.979233,6.074637,542800
"2001-01-30",5.941121,6.439821,5.789343,6.136264,758600
"2001-01-31",6.051264,6.36783,6.051264,6.19437,1092500
"2001-02-01",6.312437,6.381822,6.128136,6.260399,777100
"2001-02-02",6.172806,6.45468,6.172806,6.348436,937600
"2001-02-05",6.222225,6.523612,6.187532,6.434714,927900
"2001-02-06",6.416275,6.550706,6.266665,6.448799,1229500
"2001-02-07",6.542816,6.542816,6.315149,6.384532,577800
"2001-02-08",6.527745,6.527745,6.135291,6.304415,1040400
"2001-02-09",6.295518,6.445127,6.239143,6.347556,721300
"2001-02-12",6.31709,6.477541,6.046058,6.427671,794600
"2001-02-13",6.170095,6.603746,6.167927,6.603746,1206400
"2001-02-14",6.476248,7.111548,6.476248,6.690905,3365800
"2001-02-15",6.635641,6.96088,6.635641,6.765738,1464300
"2001-02-16",6.899349,7.061968,6.57411,6.652168,1381200
"2001-02-20",6.543201,6.803392,6.543201,6.673298,633600
"2001-02-21",6.840722,6.894927,6.558848,6.558848,902500
"2001-02-22",6.596427,6.834935,6.422967,6.607268,1613200
"2001-02-23",6.792629,6.966089,6.489072,6.532438,1356800
"2001-02-26",6.194263,6.833898,6.194263,6.771019,887800
"2001-02-27",6.820482,6.896371,6.744594,6.772781,705600
"2001-02-28",6.794674,7.018003,6.593025,6.757814,1122500
"2001-03-01",6.829478,6.84032,6.51508,6.677701,1559700
"2001-03-02",6.53636,6.833413,6.482155,6.796551,1370200
"2001-03-05",6.566788,7.217265,6.566788,7.035132,1843400
"2001-03-06",7.077198,7.08804,6.817007,7.064188,985100
"2001-03-07",6.713818,7.427176,6.694304,7.299248,2016800
"2001-03-08",7.224748,7.441573,7.040446,7.363517,1723500
"2001-03-09",7.321127,7.505429,7.212714,7.312455,2043500
"2001-03-12",7.42414,7.543393,7.142266,7.153107,1477200
"2001-03-13",7.331712,7.331712,6.809161,7.032491,897900
"2001-03-14",7.087229,7.217325,6.696943,6.805355,1642700
"2001-03-15",6.972779,7.026986,6.638867,6.690905,733300
"2001-03-16",6.619609,6.929669,6.480842,6.591422,2081800
"2001-03-19",6.433827,6.856638,6.412146,6.696186,1040000
"2001-03-20",6.610615,7.087632,6.426314,6.686503,2021900
"2001-03-21",6.908017,6.908017,6.398477,6.535077,1002100
"2001-03-22",6.759176,6.759176,5.78346,6.236626,1776000
"2001-03-23",6.115719,6.516846,5.859864,6.417106,1040900
"2001-03-26",6.142804,6.641502,6.142804,6.576455,797800
"2001-03-27",6.41011,6.778713,6.128236,6.704992,1493300
"2001-03-28",6.941844,6.941844,6.419295,6.506025,1763100
"2001-03-29",6.521036,6.80291,6.336734,6.436474,1088800
"2001-03-30",6.409413,6.593714,6.203428,6.483134,751700
"2001-04-02",6.623009,6.926566,6.254407,6.440877,2027800
"2001-04-03",6.708755,6.708755,6.171026,6.257757,1070400
"2001-04-04",6.247029,6.71754,6.164635,6.294731,2640300
"2001-04-05",6.260192,6.433653,6.021684,6.392456,2694300
"2001-04-06",6.707984,6.707984,5.925244,6.176761,2570700
"2001-04-09",6.126636,6.553782,6.126636,6.276245,1327300
"2001-04-10",6.085443,6.490906,6.085443,6.393335,1524200
"2001-04-11",6.652168,6.652168,6.155637,6.272723,933400
"2001-04-12",6.301173,6.46596,6.040982,6.290331,930700
"2001-04-16",6.488779,6.824859,6.081146,6.191728,1060700
"2001-04-17",5.781254,6.479432,5.564428,6.438236,2540200
"2001-04-18",6.450224,6.862192,6.059939,6.573814,1531600
"2001-04-19",6.835741,6.835741,6.250311,6.369565,1746100
"2001-04-20",6.541063,6.816432,6.226665,6.237507,1610000
"2001-04-23",6.216691,6.661184,6.195009,6.266561,1205500
"2001-04-24",6.15272,6.618895,6.15272,6.280648,1369700
"2001-04-25",6.378578,6.385082,6.127059,6.246313,1089300
"2001-04-26",6.044655,6.586719,6.044655,6.391576,1366500
"2001-04-27",6.508887,6.606458,6.21834,6.348436,1305100
"2001-04-30",6.595502,6.74728,6.291946,6.31146,1545000
"2001-05-01",6.376262,6.37843,6.142091,6.265681,2032500
"2001-05-02",6.303634,6.357841,6.086808,6.251596,1782900
"2001-05-03",6.057743,6.458871,5.927648,6.367804,1812000
"2001-05-04",6.289697,6.365586,6.155265,6.335231,1288500
"2001-05-07",6.242095,6.508791,6.216076,6.400379,1259900
"2001-05-08",6.489473,6.619568,6.272648,6.413585,919600
"2001-05-09",6.32601,6.627396,6.271803,6.473451,1046000
"2001-05-10",6.450434,6.613055,6.407069,6.558848,934300
"2001-05-11",6.551004,6.564014,6.43175,6.527153,1273800
"2001-05-14",6.413835,6.637166,6.381311,6.576455,484700
"2001-05-15",6.500895,6.644,6.440184,6.598465,945400
"2001-05-16",6.285511,6.838417,6.263829,6.812399,1375700
"2001-05-17",6.832593,6.910651,6.72635,6.800071,965200
"2001-05-18",6.836473,6.879839,6.669517,6.769258,615700
"2001-05-21",6.69652,6.859138,6.69652,6.835287,1265000
"2001-05-22",6.855159,6.855159,6.660017,6.800953,863300
"2001-05-23",6.886378,7.059838,6.712916,6.712916,924700
"2001-05-24",6.809507,6.833358,6.646888,6.646888,1505800
"2001-05-25",6.559312,6.754455,6.559312,6.706754,781700
"2001-05-29",6.68512,6.79787,6.620072,6.739327,608300
"2001-05-30",6.934546,6.934546,6.522578,6.598465,679300
"2001-05-31",6.44371,6.85568,6.44371,6.71908,559400
"2001-06-01",6.726659,6.772193,6.347214,6.733163,708800
"2001-06-04",6.427936,6.991683,6.427936,6.941813,2887500
"2001-06-05",7.145706,7.145706,6.660017,6.800953,2217400
"2001-06-06",6.795803,6.915058,6.628847,6.804475,1664900
"2001-06-07",6.873759,6.945311,6.721982,6.739327,1212900
"2001-06-08",6.667087,6.808025,6.667087,6.75165,689000
"2001-06-11",6.821446,6.934195,6.704359,6.749891,1141000
"2001-06-12",6.557812,6.798489,6.557812,6.722599,856900
"2001-06-13",6.728827,6.954325,6.56404,6.733163,2486700
"2001-06-14",6.990625,6.990625,6.409531,6.520112,2554500
"2001-06-15",6.601459,6.601459,6.317417,6.44968,2719200
"2001-06-18",6.432857,6.52826,6.224704,6.484895,831500
"2001-06-19",6.523765,6.593149,6.39367,6.532438,1169100
"2001-06-20",6.564209,6.672621,6.390748,6.540358,1089300
"2001-06-21",6.746093,6.746093,6.21487,6.37749,1107300
"2001-06-22",6.625168,6.802966,6.167666,6.206695,1941600
"2001-06-25",6.321854,6.365219,6.044317,6.135384,1410800
"2001-06-26",6.106935,6.228357,5.890109,6.117776,1919500
"2001-06-27",6.1651,6.27785,5.993808,6.063192,1283900
"2001-06-28",6.241035,6.254044,5.952656,5.978675,2621900
"2001-06-29",5.840758,6.176838,5.795224,6.035901,1550500
"2001-07-02",5.904173,6.164364,5.724208,6.042943,1272900
"2001-07-03",5.961691,6.145992,5.606097,6.061431,1168200
"2001-07-05",5.817792,6.457427,5.752744,6.153872,1518700
"2001-07-06",6.286406,6.286406,5.950326,6.026216,1172300
"2001-07-09",6.080422,6.227863,5.865764,6.026216,1071300
"2001-07-10",6.019893,6.193354,5.900639,6.067594,1446700
"2001-07-11",6.075206,6.229152,5.695761,6.025336,1499800
"2001-07-12",6.015266,6.180053,5.854815,6.106332,1885300
"2001-07-13",6.131856,6.173053,5.915031,6.014771,2843700
"2001-07-16",6.177371,6.216399,5.897666,5.925853,1660700
"2001-07-17",5.84514,6.087985,5.84514,5.951384,1423200
"2001-07-18",5.99721,6.023229,5.695822,5.912648,1492900
"2001-07-19",5.84322,6.120756,5.84322,5.997165,1235500
"2001-07-20",6.090004,6.111687,5.923048,5.97075,983200
"2001-07-23",6.179781,6.179781,5.843702,5.854543,1119700
"2001-07-24",6.138006,6.179203,5.59811,5.669662,1984000
"2001-07-25",5.444397,5.888891,5.346826,5.860703,2247400
"2001-07-26",5.836562,5.921124,5.645756,5.899442,1200500
"2001-07-27",5.994955,6.064339,5.756447,5.819326,1576300
"2001-07-30",5.809139,5.921889,5.765775,5.863346,1049600
"2001-07-31",5.655535,6.089186,5.655535,5.857183,2199900
"2001-08-01",5.910198,5.983919,5.715056,5.806122,1216100
"2001-08-02",5.803428,5.879318,5.705857,5.770905,1152500
"2001-08-03",5.762918,5.782432,5.632822,5.758582,1160300
"2001-08-06",5.857923,5.866596,5.532685,5.615079,1877500
"2001-08-07",5.652753,5.674436,5.474956,5.611556,1110500
"2001-08-08",5.78597,5.78597,5.43905,5.471574,2010800
"2001-08-09",5.704914,5.704914,5.279936,5.38618,2543900
"2001-08-10",5.293029,5.57707,5.260505,5.479499,1632600
"2001-08-13",5.422424,5.561193,5.368218,5.519996,1162200
"2001-08-14",5.50521,5.60495,5.48136,5.546407,914000
"2001-08-15",5.456257,5.608035,5.436743,5.608035,1927300
"2001-08-16",5.642807,5.642807,5.406468,5.584264,1441700
"2001-08-17",5.582862,5.641405,5.457103,5.54817,1007700
"2001-08-20",5.590406,5.594743,5.449469,5.501508,871600
"2001-08-21",5.425116,5.685307,5.425116,5.555212,1596600
"2001-08-22",5.56809,5.709027,5.531229,5.546407,2045400
"2001-08-23",5.55671,5.608748,5.528523,5.539365,1698100
"2001-08-24",5.520652,5.639906,5.503307,5.564017,2462300
"2001-08-27",5.433939,5.802543,5.433939,5.652934,1323600
"2001-08-28",5.681269,5.696446,5.570687,5.633567,1326400
"2001-08-29",5.690117,5.789857,5.529666,5.557854,799700
"2001-08-30",5.682661,5.697839,5.340076,5.43548,2412000
"2001-08-31",5.338888,5.538368,5.319374,5.501508,995200
"2001-09-04",5.405471,5.698185,5.390292,5.546407,1967400
"2001-09-05",5.569934,5.665338,5.42683,5.524401,1265500
"2001-09-06",5.531685,5.609741,5.457964,5.460132,954600
"2001-09-07",5.501714,5.562424,5.317411,5.369449,1827700
"2001-09-10",5.496836,5.570557,5.245318,5.245318,1677300
"2001-09-17",5.781293,5.781293,4.627781,4.718848,2143100
"2001-09-18",4.766944,4.983769,4.669371,4.745261,2166200
"2001-09-19",4.988472,5.159764,4.361845,4.565661,2631100
"2001-09-20",4.87721,4.87721,4.257089,4.315633,2235400
"2001-09-21",4.354623,4.582291,4.087928,4.137797,3456200
"2001-09-24",4.321273,4.455705,4.245385,4.286581,2308300
"2001-09-25",4.263728,4.47188,4.105445,4.324439,1567600
"2001-09-26",4.366514,4.366514,4.175708,4.325317,1408500
"2001-09-27",4.411118,4.454483,4.129244,4.291863,2278300
"2001-09-28",3.610476,4.321664,3.588794,4.312992,2656500
"2001-10-01",4.420752,4.420752,3.913379,4.268974,939900
"2001-10-02",4.208181,4.344781,4.132292,4.292743,1327300
"2001-10-03",4.180293,4.45783,3.974309,4.371099,1226300
"2001-10-04",4.404372,4.580001,4.224407,4.363175,1616500
"2001-10-05",4.42659,4.623901,4.231447,4.370216,1081900
"2001-10-08",4.398435,4.420117,4.214133,4.313873,677500
"2001-10-09",4.339092,4.46485,4.200323,4.289221,923700
"2001-10-10",4.081467,4.473921,3.936194,4.432724,966600
"2001-10-11",4.173958,4.616282,4.173958,4.557739,916400
"2001-10-12",4.588859,4.606206,4.263621,4.521644,988300
"2001-10-15",4.527851,4.543029,4.135397,4.443289,898800
"2001-10-16",4.452499,4.52622,4.294216,4.450331,1191700
"2001-10-17",4.647915,4.734645,4.300994,4.322676,890500
"2001-10-18",4.398661,4.697881,4.25122,4.270734,1172300
"2001-10-19",4.255032,4.304902,4.09675,4.235518,663200
"2001-10-22",3.966319,4.39997,3.966319,4.358773,942200
"2001-10-23",4.402347,4.51076,4.32429,4.343804,2511200
"2001-10-24",4.42869,4.517589,4.224874,4.248725,1104500
"2001-10-25",4.107233,4.3349,4.081214,4.269853,868900
