"","Open","High","Low","Close","Volume"
"2001-01-02",6.444445,6.444445,6.166667,6.222222,248100
"2001-01-03",6.111111,7.166667,6.111111,7.027778,404100
"2001-01-04",7.388889,7.638889,7.111111,7.111111,290800
"2001-01-05",7.111111,7.111111,6.75,6.944445,251200
"2001-01-08",7,7.305555,6.888889,7.166667,231700
"2001-01-09",7.277778,7.277778,7.138889,7.222222,112200
"2001-01-10",7.229167,7.416667,7.111111,7.416667,115600
"2001-01-11",7.4375,7.555555,7.166667,7.472222,236400
"2001-01-12",7.472222,7.916667,7.444445,7.666667,128200
"2001-01-16",7.555555,7.694445,7.444445,7.694445,488200
"2001-01-17",7.729167,8.222222,7.722222,8,438000
"2001-01-18",8.055555,8.055555,7.555555,7.972222,409900
"2001-01-19",7.888889,8,7.694445,7.833333,182700
"2001-01-22",7.847222,7.861111,7.555555,7.583333,195900
"2001-01-23",7.611111,8,7.527778,8,267900
"2001-01-24",8,8.138889,7.555555,7.916667,162000
"2001-01-25",7.805555,7.888889,7.611111,7.638889,54600
"2001-01-26",7.715278,7.722222,7.555555,7.722222,58200
"2001-01-29",7.611111,8.361111,7.555555,8.361111,280300
"2001-01-30",8.166667,8.444445,8,8.395833,238500
"2001-01-31",8.444445,8.777778,8.361111,8.583333,324000
"2001-02-01",8.555555,8.888889,8.527778,8.777778,185800
"2001-02-02",8.611111,8.777778,8.611111,8.777778,114300
"2001-02-05",8.75,8.777778,8.638889,8.666667,240400
"2001-02-06",8.777778,8.888889,8.694445,8.722222,212500
"2001-02-07",8.666667,8.944445,8.638889,8.722222,139600
"2001-02-08",8.666667,8.888889,8.666667,8.833333,75100
"2001-02-09",8.75,8.888889,8.472222,8.583333,139900
"2001-02-12",8.555555,8.833333,8.444445,8.833333,79600
"2001-02-13",8.694445,8.888889,8.583333,8.777778,183300
"2001-02-14",8.638889,8.888889,8.527778,8.888889,115300
"2001-02-15",8.861111,8.972222,8.75,8.972222,177700
"2001-02-16",8.694445,9,8.638889,8.944445,94900
"2001-02-20",8.881945,8.916667,8.166667,8.194445,608400
"2001-02-21",8.194445,8.5,7.805555,8.090278,562000
"2001-02-22",8.020833,8.083333,7.777778,7.944445,331800
"2001-02-23",7.861111,8.222222,7.805555,8.222222,141700
"2001-02-26",8.222222,8.222222,7.944445,7.972222,90900
"2001-02-27",8.222222,8.222222,7.861111,7.958333,98200
"2001-02-28",7.916667,7.944445,7.722222,7.777778,89200
"2001-03-01",7.722222,7.833333,7.555555,7.805555,141700
"2001-03-02",7.777778,7.805555,7.472222,7.777778,167500
"2001-03-05",7.798611,8,7.777778,7.944445,91300
"2001-03-06",7.944445,8.222222,7.833333,8.166667,56400
"2001-03-07",8.166667,8.243055,8,8.083333,62200
"2001-03-08",8,8.75,8,8.75,399600
"2001-03-09",8.722222,8.888889,8.611111,8.888889,288100
"2001-03-12",8.583333,8.722222,8.388889,8.388889,107700
"2001-03-13",8.388889,8.416667,8.111111,8.194445,152700
"2001-03-14",8.111111,8.444445,7.777778,8.222222,149400
"2001-03-15",8.222222,8.361111,8.083333,8.083333,115800
"2001-03-16",8.111111,8.111111,7.805555,7.972222,303300
"2001-03-19",7.888889,7.972222,7.583333,7.916667,74200
"2001-03-20",7.993055,8.055555,7.666667,7.666667,55500
"2001-03-21",7.944445,7.944445,7.555555,7.694445,47800
"2001-03-22",7.555555,7.777778,7.388889,7.777778,150000
"2001-03-23",7.451389,7.777778,7.444445,7.666667,170100
"2001-03-26",7.666667,7.666667,7.444445,7.527778,171400
"2001-03-27",7.666667,7.666667,7.444445,7.5,192100
"2001-03-28",7.444445,7.75,7.444445,7.583333,334000
"2001-03-29",7.555555,7.75,7.555555,7.555555,178300
"2001-03-30",7.638889,7.722222,7.5,7.722222,614700
"2001-04-02",7.666667,7.722222,7.361111,7.555555,104800
"2001-04-03",7.527778,7.555555,7.388889,7.472222,125500
"2001-04-04",7.527778,7.555555,7.388889,7.416667,395700
"2001-04-05",7.416667,7.666667,7.416667,7.611111,188700
"2001-04-06",7.611111,7.611111,7.444445,7.444445,191200
"2001-04-09",7.462222,7.591111,7.4,7.555555,59800
"2001-04-10",7.577778,7.586667,7.337778,7.382222,181500
"2001-04-11",7.533333,7.586667,7.377778,7.444445,163900
"2001-04-12",7.466667,7.497778,7.337778,7.466667,55800
"2001-04-16",7.488889,7.493333,7.377778,7.44,67600
"2001-04-17",7.444445,7.511111,7.4,7.466667,255600
"2001-04-18",7.466667,7.755556,7.466667,7.666667,335700
"2001-04-19",7.662222,7.688889,7.466667,7.56,240400
"2001-04-20",7.666667,7.733333,7.462222,7.546667,510300
"2001-04-23",7.551111,7.586667,7.497778,7.555555,275500
"2001-04-24",7.56,7.604445,7.515555,7.52,413200
"2001-04-25",7.6,7.6,7.551111,7.577778,179700
"2001-04-26",7.6,7.6,7.56,7.582222,304300
"2001-04-27",7.631111,7.968889,7.577778,7.955555,445600
"2001-04-30",7.955555,8.524445,7.933333,8.337778,256000
"2001-05-01",8.444445,8.462222,8.266666,8.368889,121000
"2001-05-02",8.266666,8.546667,8.266666,8.511111,139900
"2001-05-03",8.226666,8.542222,8.226666,8.506667,56400
"2001-05-04",8.413333,8.497778,8.355556,8.404445,386200
"2001-05-07",8.502222,8.506667,8.36,8.36,109300
"2001-05-08",8.355556,8.577778,8.355556,8.577778,80700
