"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2001-01-02",22,22.40625,21.90625,22,1526600,12.581492
"2001-01-03",22.125,22.1875,21.375,21.59375,3075200,12.349158
"2001-01-04",21.40625,21.4375,20.5625,20.9375,4826200,11.973861
"2001-01-05",20.84375,21.46875,20.71875,21.40625,2169800,12.241934
"2001-01-08",21.09375,21.59375,21.09375,21.53125,1483400,12.393028
"2001-01-09",21.5625,21.59375,21.125,21.53125,1705200,12.393028
"2001-01-10",21.5625,21.5625,21.15625,21.34375,1269000,12.285104
"2001-01-11",21.34375,21.34375,20.75,20.75,2589800,11.943349
"2001-01-12",20.65625,20.71875,20.1875,20.5,2136200,11.799456
"2001-01-16",20.5,21.0625,20.5,21,2326200,12.087248
"2001-01-17",20.75,20.84375,20.5625,20.625,2105600,11.871402
"2001-01-18",20.5625,20.71875,20.4375,20.5625,1421400,11.835427
"2001-01-19",20.25,20.28125,20.0625,20.28125,2370400,11.673542
"2001-01-22",20.1875,20.375,20.125,20.34375,1182000,11.709521
"2001-01-23",20.40625,20.5625,20.15625,20.375,2030400,11.727509
"2001-01-24",20.375,20.5625,20.0625,20.1875,3001200,11.619586
"2001-01-25",20.1875,20.4375,20.03125,20.25,2590400,11.655555
"2001-01-26",20.375,20.59375,20.09375,20.28125,1883600,11.673542
"2001-01-29",20.155001,20.379999,19.969999,20.155001,1329400,11.600879
"2001-01-30",20.155001,20.465,19.995001,20.370001,2027200,11.72463
"2001-01-31",20.375,21.184999,20.285,20.950001,2748000,12.058468
"2001-02-01",21.075001,21.075001,20.75,20.98,1290000,12.075727
"2001-02-02",20.995001,20.995001,20.68,20.754999,862400,11.946231
"2001-02-05",20.924999,21.209999,20.780001,21.065001,1167800,12.124655
"2001-02-06",21.190001,21.975,21.004999,21.674999,2846200,12.47576
"2001-02-07",21.549999,22.4,21.51,22.125,2913800,12.734772
"2001-02-08",22.125,22.495001,22,22.105,2703000,12.723266
"2001-02-09",21.875,22.225,21.575001,21.6,2066800,12.432597
"2001-02-12",21.6,21.799999,21.450001,21.735001,1415800,12.510296
"2001-02-13",21.860001,22.395,21.605,22.155001,2688400,12.75204
"2001-02-14",21.959999,22.040001,21.65,21.870001,2403800,12.587996
"2001-02-15",21.805,22.084999,21.58,21.975,1832000,12.648433
"2001-02-16",21.99,22.200001,21.865,22.115,1137600,12.729026
"2001-02-20",22,22.700001,21.950001,22.305,2429000,12.838386
"2001-02-21",22.485001,22.49,22.025,22.145,1679400,12.746287
"2001-02-22",22,22.145,21.51,21.700001,1713200,12.490153
"2001-02-23",21.575001,21.879999,21.41,21.735001,1948600,12.510296
"2001-02-26",21.75,22.1,21.65,21.969999,1668600,12.645563
"2001-02-27",22,22.094999,21.6,22.040001,2358800,12.68585
"2001-02-28",22.040001,22.450001,22.040001,22.424999,2425600,12.907452
"2001-03-01",22.424999,22.549999,22.309999,22.525,2396200,12.965006
"2001-03-02",22.65,22.91,22.485001,22.815001,1926400,13.131927
"2001-03-05",22.75,23.174999,22.450001,23.065001,2130600,13.275822
"2001-03-06",22.915001,22.915001,22.434999,22.605,1770000,13.011055
"2001-03-07",22.334999,22.6,22.105,22.549999,1779600,12.979397
"2001-03-08",22.25,22.549999,22.129999,22.4,1774800,12.893059
"2001-03-09",22.450001,22.5,22.26,22.295,1262400,12.83262
"2001-03-12",22.125,22.42,21.975,22.24,2045200,12.800965
"2001-03-13",22.115,22.125,21.85,22.07,1350200,12.70312
"2001-03-14",21.92,21.950001,21.34,21.65,1902600,12.461371
"2001-03-15",21.65,21.65,21.125,21.59,2179200,12.426843
"2001-03-16",21.125,21.625,21.125,21.5,3246400,12.375036
"2001-03-19",21.375,21.615,21.26,21.33,1290600,12.277193
"2001-03-20",21.440001,21.690001,21.195,21.375,1778800,12.303092
"2001-03-21",21.525,21.66,21.174999,21.5,2130200,12.375036
"2001-03-22",21.5,21.504999,20.715,20.969999,2170200,12.069976
"2001-03-23",20.82,21.200001,20.375,20.905001,1485200,12.032563
"2001-03-26",21.1,21.1,20.51,20.879999,1778600,12.018174
"2001-03-27",21.030001,21.450001,21.030001,21.344999,1920800,12.285819
"2001-03-28",21.344999,21.725,21.174999,21.424999,1692800,12.331868
"2001-03-29",21.475,21.665001,21.035,21.43,1682000,12.334745
"2001-03-30",21.58,21.75,21.43,21.504999,2863200,12.377913
"2001-04-02",21.65,21.715,21.245001,21.4,1699000,12.317474
"2001-04-03",21.325001,21.34,20.975,21.245001,1418800,12.228263
"2001-04-04",21.32,21.5,21,21.25,2863600,12.231137
"2001-04-05",21.25,21.25,20.655001,20.785,2792200,11.963491
"2001-04-06",20.6,20.9,20.25,20.35,2740800,11.79112
"2001-04-09",20.549999,20.625,20.27,20.424999,2149800,11.834579
"2001-04-10",20.299999,20.5,20.115,20.254999,1880200,11.736072
"2001-04-11",20.379999,20.379999,19.975,20.075001,1614000,11.631783
"2001-04-12",20.125,20.325001,20.030001,20.25,1444000,11.733173
"2001-04-16",20.1,20.465,20.055,20.155001,1156600,11.678133
"2001-04-17",20.1,20.4,20.040001,20.200001,1845800,11.704206
"2001-04-18",20.325001,20.325001,19.635,19.940001,2089000,11.553558
"2001-04-19",19.825001,19.99,19.639999,19.855,1565800,11.504305
"2001-04-20",19.5,19.549999,18.950001,19.065001,4783200,11.046568
"2001-04-23",18.950001,19.18,18.934999,18.99,3267800,11.00311
"2001-04-24",18.799999,18.99,18.629999,18.77,4171400,10.875636
"2001-04-25",18.799999,19.24,18.75,18.825001,5468400,10.907511
"2001-04-26",18.915001,19.625,18.9,19.4,4134800,11.24067
"2001-04-27",19.275,19.700001,19.200001,19.495001,2321200,11.29572
"2001-04-30",20,20.01,19.549999,19.705,4400400,11.417396
"2001-05-01",19.875,19.9,19.665001,19.895,3165200,11.527481
"2001-05-02",20.25,20.405001,20,20.195,4155000,11.701304
"2001-05-03",20.125,20.125,19.825001,19.99,1491000,11.582527
"2001-05-04",19.995001,20.34,19.950001,20.34,2282600,11.78532
"2001-05-07",20.215,20.385,20.040001,20.27,1591800,11.744762
"2001-05-08",20.285,20.549999,20.25,20.48,1705800,11.866438
"2001-05-09",20.424999,20.5,20,20.299999,2971400,11.762142
"2001-05-10",20.174999,20.235001,19.940001,20,3197000,11.588323
"2001-05-11",20.075001,20.15,19.834999,19.915001,1229400,11.539074
"2001-05-14",20,20.09,19.940001,20.030001,2519000,11.6057
"2001-05-15",20.125,20.125,19.93,19.99,1483200,11.582527
"2001-05-16",19.975,20.344999,19.950001,20.299999,2084600,11.762142
"2001-05-17",20.325001,20.325001,19.875,19.975,1802200,11.573837
"2001-05-18",19.985001,20.1,19.92,20.07,1587600,11.62888
"2001-05-21",20.025,20.450001,19.975,20.445,3068200,11.846166
"2001-05-22",20.32,20.924999,20.135,20.735001,3527400,12.014197
"2001-05-23",20.775,21.049999,20.725,20.879999,2773200,12.098208
"2001-05-24",21,21.549999,20.975,21.219999,2667600,12.295206
"2001-05-25",21.094999,21.275,21.065001,21.1,2158400,12.225679
"2001-05-29",21.025,21.275,21.025,21.275,1576400,12.327079
"2001-05-30",21.200001,21.525,21.174999,21.200001,1631600,12.283621
"2001-05-31",21.084999,21.33,21.084999,21.18,1778400,12.272032
"2001-06-01",21.245001,21.385,21.200001,21.325001,1089400,12.356046
"2001-06-04",21.375,21.445,21.275,21.4,1006000,12.399501
"2001-06-05",21.475,21.59,21.34,21.475,1137000,12.442966
"2001-06-06",21.6,21.610001,21.35,21.455,1734600,12.431371
"2001-06-07",21.475,21.610001,21.41,21.555,1898600,12.489316
"2001-06-08",21.5,21.65,21.370001,21.459999,725200,12.434269
"2001-06-11",21.360001,21.545,21.275,21.4,1814800,12.399501
"2001-06-12",21.525,21.525,21.285,21.42,1468000,12.411097
"2001-06-13",21.625,21.625,21.355,21.355,1593600,12.373431
