"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2004-08-19",49.813286,51.835709,47.800831,49.982655,44871300,49.982655
"2004-08-20",50.316402,54.336334,50.062355,53.95277,22942800,53.95277
"2004-08-23",55.168217,56.528118,54.321388,54.495735,18342800,54.495735
"2004-08-24",55.4123,55.591629,51.591621,52.239193,15319700,52.239193
"2004-08-25",52.284027,53.798351,51.746044,52.802086,9232100,52.802086
"2004-08-26",52.279045,53.773445,52.134586,53.753517,7128600,53.753517
"2004-08-27",53.848164,54.107193,52.647663,52.876804,6241200,52.876804
"2004-08-30",52.443428,52.548038,50.814533,50.814533,5221400,50.814533
"2004-08-31",50.958992,51.661362,50.889256,50.993862,4941200,50.993862
"2004-09-01",51.158245,51.292744,49.648903,49.93782,9181600,49.93782
"2004-09-02",49.409801,50.993862,49.285267,50.565468,15190400,50.565468
"2004-09-03",50.286514,50.680038,49.474556,49.818268,5176800,49.818268
"2004-09-07",50.316402,50.809555,49.619015,50.600338,5875200,50.600338
"2004-09-08",50.181908,51.322632,50.062355,50.958992,5009200,50.958992
"2004-09-09",51.073563,51.163227,50.31142,50.963974,4080900,50.963974
"2004-09-10",50.610302,53.081039,50.460861,52.468334,8740200,52.468334
"2004-09-13",53.11591,54.002586,53.031227,53.549286,7881300,53.549286
"2004-09-14",53.524376,55.790882,53.19561,55.536835,10880300,55.536835
"2004-09-15",55.07357,56.901718,54.894241,55.790882,10763900,55.790882
"2004-09-16",55.960247,57.683788,55.616535,56.772205,9310200,56.772205
"2004-09-17",56.996365,58.525631,56.562988,58.525631,9517400,58.525631
"2004-09-20",58.256641,60.572956,58.166977,59.457142,10679200,59.457142
"2004-09-21",59.681301,59.985161,58.535595,58.699978,7263000,58.699978
"2004-09-22",58.480801,59.611561,58.186901,58.968971,7617100,58.968971
"2004-09-23",59.198112,61.086033,58.291508,60.184414,8576100,60.184414
"2004-09-24",60.24419,61.818291,59.656395,59.691261,9166700,59.691261
"2004-09-27",59.556767,60.214302,58.680054,58.909195,7099600,58.909195
"2004-09-28",60.423519,63.462128,59.880554,63.193138,17009400,63.193138
"2004-09-29",63.113434,67.257904,62.879314,65.295258,30661400,65.295258
"2004-09-30",64.707458,65.902977,64.25914,64.558022,13823300,64.558022
"2004-10-01",65.155777,66.869354,64.209328,66.042458,15196700,66.042458
"2004-10-04",67.372475,68.179443,66.764748,67.277824,13084600,67.277824
"2004-10-05",67.078575,69.006348,65.873093,68.926643,15044200,68.926643
"2004-10-06",68.518181,68.966499,67.746071,68.284058,13444900,68.284058
"2004-10-07",68.204353,69.678825,68.020042,69.165749,14182100,69.165749
"2004-10-08",69.10099,69.579201,68.254166,68.607841,11122000,68.607841
"2004-10-11",68.244202,69.170731,66.675087,67.377449,10521800,67.377449
"2004-10-12",66.968987,68.548065,66.450928,68.443459,11720800,68.443459
"2004-10-13",71.392403,71.506973,69.77845,70.18692,19860000,70.18692
"2004-10-14",70.241714,70.924156,69.021294,70.734871,10491700,70.734871
"2004-10-15",72.194397,72.478333,70.709961,71.785927,13257400,71.785927
"2004-10-18",71.332626,74.321426,70.341347,74.301498,14103000,74.301498
"2004-10-19",74.968994,75.915451,73.399879,73.693779,18195900,73.693779
"2004-10-20",73.738609,74.21682,69.539352,69.982689,22830600,69.982689
"2004-10-21",71.930389,74.784691,70.545578,74.411087,29288200,74.411087
"2004-10-22",84.951584,89.748604,81.733643,85.893051,74060200,85.893051
"2004-10-25",87.870636,96.851974,85.952827,93.350098,65773900,93.350098
"2004-10-26",92.822083,95.96032,89.663918,90.560555,44781400,90.560555
"2004-10-27",91.018837,94.406143,90.545616,92.637772,26813100,92.637772
"2004-10-28",92.991447,96.832047,92.453461,96.289085,29804800,96.289085
"2004-10-29",99.073647,99.601669,94.944122,94.96405,42483600,94.96405
"2004-11-01",96.41362,98.465927,95.277878,97.648987,24541300,97.648987
"2004-11-02",99.018852,99.252975,96.309013,97.071152,22777500,97.071152
"2004-11-03",98.719971,100.423584,95.018845,95.477127,27881400,95.477127
"2004-11-04",93.868156,94.844498,91.332664,92.005142,28927200,92.005142
"2004-11-05",90.650223,90.809624,83.960297,84.358803,39814800,84.358803
"2004-11-08",85.145851,87.392433,84.383713,85.952827,22467400,85.952827
"2004-11-09",86.724937,87.272881,82.326424,84.035019,22211300,84.035019
"2004-11-10",85.016335,85.937881,82.854439,83.616585,21367700,83.616585
"2004-11-11",84.249214,91.531914,83.472122,91.168282,30083200,91.168282
"2004-11-12",92.26915,94.545616,88.368774,90.660187,33617600,90.660187
"2004-11-15",89.888077,93.80838,89.041252,92.089828,23892200,92.089828
"2004-11-16",88.418587,89.39991,85.096039,85.947845,41991500,85.947845
"2004-11-17",84.19442,88.418587,84.184456,85.927917,36401600,85.927917
