"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2001-01-02",24.395834,25.145834,24.395834,24.645834,3312300,19.171312
"2001-01-03",24.25,24.479166,23.333334,23.333334,3657000,18.150349
"2001-01-04",23.333334,23.4375,23,23.416666,2277900,18.215174
"2001-01-05",23.375,24.291666,23.375,23.958334,1924800,18.63652
"2001-01-08",24,24.208334,23.6875,23.708334,1866300,18.442059
"2001-01-09",23.625,23.8125,22.958334,23.208334,1894800,18.053122
"2001-01-10",23.354166,23.5,22.791666,23.104166,2142900,17.972088
"2001-01-11",23.4375,23.75,23.270834,23.5625,1815900,18.328615
"2001-01-12",23.291666,23.416666,23.125,23.291666,1122000,18.117949
"2001-01-16",23.291666,23.541666,23.083334,23.4375,1846800,18.231382
"2001-01-17",23.4375,23.5,22.583334,22.645834,3662400,17.615568
"2001-01-18",22.645834,22.8125,22.1875,22.458334,2064900,17.469717
"2001-01-19",22.375,22.458334,22.083334,22.3125,3426300,17.35627
"2001-01-22",22.479166,22.583334,22.25,22.479166,1353600,17.485924
"2001-01-23",22.479166,22.8125,22.145834,22.770834,3408900,17.712811
"2001-01-24",22.791666,23.0625,22.75,22.770834,2627100,17.712811
"2001-01-25",22.791666,23.916666,22.791666,23.916666,3273000,18.604111
"2001-01-26",23.916666,24.166666,23.1875,23.5,2237400,18.279999
"2001-01-29",23.666666,23.733334,23.136667,23.203333,1550100,18.049231
"2001-01-30",23.203333,23.203333,22.5,22.983334,2658600,17.878094
"2001-01-31",23.166666,23.413334,23.066668,23.133333,1944300,17.99478
"2001-02-01",23.316668,23.316668,22.866667,22.959999,1816500,17.859949
"2001-02-02",23.043333,23.383333,23.043333,23.163334,2056800,18.018108
"2001-02-05",23.366667,23.799999,23.366667,23.653334,1731600,18.399269
"2001-02-06",23.620001,23.766666,23.376667,23.713333,2229600,18.445944
"2001-02-07",23.643333,23.916666,23.253334,23.846666,1571400,18.549665
"2001-02-08",23.846666,24.333334,23.700001,23.879999,1864800,18.575594
"2001-02-09",23.963333,24.646667,23.963333,24.263334,1573800,18.873774
"2001-02-12",24.266666,24.293333,23.969999,24.129999,1409100,18.770056
"2001-02-13",23.9,23.91,23.413334,23.91,2013600,18.598925
"2001-02-14",23.833334,24.493334,23.733334,23.923334,1426500,18.609297
"2001-02-15",23.703333,23.790001,23.383333,23.703333,1613100,18.438164
"2001-02-16",23.703333,24.156666,23.450001,23.67,2835000,18.412239
"2001-02-20",23.703333,24.266666,23.703333,24.253334,2427600,18.865993
"2001-02-21",24.333334,24.473333,23.643333,23.77,1344600,18.490026
"2001-02-22",23.966667,24.116667,23.606667,23.686666,1719300,18.425198
"2001-02-23",23.833334,24.093334,23.35,23.563334,2025900,18.329262
"2001-02-26",23.336666,24.346666,23.336666,24.136667,2525400,18.775242
"2001-02-27",24.299999,24.576666,24.016666,24.136667,1813200,18.775242
"2001-02-28",24.136667,24.166666,23.870001,24,1847400,18.668936
"2001-03-01",24,24.433332,23.956667,24.136667,2711400,18.775242
"2001-03-02",24.483334,24.683332,24.416666,24.67,2222100,19.190104
"2001-03-05",24.879999,25.233334,24.673334,25.163334,2513100,19.573858
"2001-03-06",25.163334,25.65,25,25.553333,2063100,19.877235
"2001-03-07",25.666666,25.916666,25.666666,25.879999,1778700,20.13133
"2001-03-08",26,26.323334,25.533333,26.163334,3046800,20.351736
"2001-03-09",26.166666,26.483334,26.016666,26.186666,2129400,20.369879
"2001-03-12",26.186666,26.216667,25.6,25.860001,2861400,20.115776
"2001-03-13",25.833334,25.836666,25.133333,25.333334,2550900,19.706099
"2001-03-14",25.4,25.416666,24.883333,25.139999,2285400,19.555706
"2001-03-15",25.266666,25.283333,24.656666,24.700001,2209500,19.290173
"2001-03-16",25.1,25.253334,25,25.129999,3381300,19.625994
"2001-03-19",25.683332,26.063334,25.6,25.826666,3703500,20.170076
"2001-03-20",25.903334,26.283333,25.683332,26.003334,2634000,20.308048
"2001-03-21",26.006666,26.006666,25.41,25.703333,2358000,20.073751
"2001-03-22",25.703333,25.703333,24.373333,24.98,3029700,19.508852
"2001-03-23",24.98,25.146667,24.65,24.926666,1923900,19.467199
"2001-03-26",25.093334,25.546667,24.966667,25.053333,1613700,19.566116
"2001-03-27",25.466667,25.833334,25.173334,25.629999,2274000,20.016481
"2001-03-28",25.433332,25.716667,25.296667,25.476667,2020800,19.896732
"2001-03-29",25.4,25.576666,25.183332,25.456667,2279400,19.881111
"2001-03-30",25.75,26.129999,25.75,26.040001,1832400,20.336685
"2001-04-02",25.633333,25.733334,24.766666,24.889999,2695500,19.43856
"2001-04-03",24.833334,25.133333,24.466667,24.496666,1818600,19.131367
"2001-04-04",24.73,25.583334,24.73,25.236666,2286300,19.709309
"2001-04-05",25.366667,26.033333,25.203333,25.893333,3130800,20.222143
"2001-04-06",25.843334,26.333334,25.5,26.313334,3778800,20.550159
"2001-04-09",26.416666,27.1,26.416666,27.036667,3553500,21.115059
"2001-04-10",27.200001,27.4,26.896667,27.346666,4648500,21.357168
"2001-04-11",27.066668,27.07,26.5,26.723333,2413500,20.870359
"2001-04-12",26.790001,27.33,26.646667,26.969999,2046900,21.06299
"2001-04-16",27.203333,28.246666,27.203333,28.23,3844800,22.047029
"2001-04-17",27.833334,28.666666,27.833334,28.666666,3501000,22.388052
"2001-04-18",28.333334,28.413334,27.916666,28.153334,3270600,21.987154
"2001-04-19",28.086666,28.09,27.566668,27.700001,2457000,21.633106
"2001-04-20",27.866667,28.4,27.796667,27.846666,2411400,21.747646
"2001-04-23",27.986666,28.553333,27.986666,28.469999,2627700,22.234457
"2001-04-24",28.5,28.733334,28.073334,28.25,3043200,22.062647
"2001-04-25",28.166666,28.996666,28.166666,28.696667,2705100,22.411488
"2001-04-26",29,29.299999,28.66,29,3307800,22.648384
"2001-04-27",29,29.450001,28.663334,29.323334,2635200,22.9009
"2001-04-30",29.323334,29.566668,28.9,29.166666,2573700,22.77854
"2001-05-01",29.116667,29.196667,28.666666,28.986666,1716600,22.63797
"2001-05-02",28.583334,28.583334,27.366667,27.43,4857300,21.422241
"2001-05-03",27.43,27.663334,26.799999,27.33,3393300,21.344149
"2001-05-04",27.676666,27.933332,27.450001,27.549999,2686500,21.515972
"2001-05-07",27.616667,27.776667,27.440001,27.736666,2837100,21.661749
"2001-05-08",27.736666,28.083334,27.296667,28.040001,2100000,21.898649
"2001-05-09",28.266666,28.466667,28.1,28.373333,1935000,22.158972
"2001-05-10",28.376667,28.833334,28.200001,28.413334,1603800,22.190205
"2001-05-11",28.299999,28.406666,28.066668,28.35,1608600,22.140749
"2001-05-14",28.75,28.93,28.583334,28.893333,1868700,22.565081
"2001-05-15",29.073334,29.16,28.950001,29.103333,1729500,22.72908
"2001-05-16",28.966667,29.416666,28.883333,29.276667,2077500,22.864456
"2001-05-17",29.276667,29.666666,28.92,29.42,1765800,22.976395
"2001-05-18",29.566668,29.966667,29.566668,29.966667,1974900,23.403328
"2001-05-21",30.040001,30.133333,29.466667,29.596666,2096100,23.114372
"2001-05-22",29.126667,29.35,29.07,29.193333,1554000,22.799374
"2001-05-23",29.126667,29.16,28.540001,28.603333,1710300,22.338591
"2001-05-24",28.603333,28.616667,28.34,28.513334,1806600,22.268311
"2001-05-25",28.516666,28.533333,28.266666,28.459999,1234200,22.226656
"2001-05-29",28.633333,28.77,28.523333,28.546667,1328700,22.294331
"2001-05-30",28.629999,28.716667,28.166666,28.296667,1605900,22.099092
"2001-05-31",28.296667,28.576666,28.036667,28.546667,1329300,22.294331
"2001-06-01",28.549999,28.586666,28.106667,28.426666,780600,22.200624
"2001-06-04",28.68,28.996666,28.633333,28.886667,1475400,22.559874
"2001-06-05",28.889999,28.950001,28.696667,28.866667,1299300,22.544254
"2001-06-06",28.436666,28.496666,28.103333,28.203333,2068500,22.026199
"2001-06-07",28,28.266666,27.9,27.923334,1236000,21.807522
"2001-06-08",28.083334,28.25,27.666666,28.096666,1201500,21.942898
"2001-06-11",28.326666,28.536667,28.219999,28.233334,1001700,22.049639
"2001-06-12",28.483334,28.626667,28.280001,28.549999,1289100,22.296942
"2001-06-13",29,29.043333,28.186666,28.293333,1636800,22.096483
"2001-06-14",28.26,28.26,27.85,27.91,1368900,21.874428
"2001-06-15",28.573334,28.573334,28.006666,28.066668,1894500,21.997217
"2001-06-18",28.066668,28.193333,27.803333,27.866667,1481100,21.840464
"2001-06-19",27.866667,28.09,27.746666,27.893333,1573500,21.861368
"2001-06-20",27.816668,28.200001,27.466667,27.469999,2553900,21.529581
"2001-06-21",27.533333,27.546667,26.833334,27.126667,2720100,21.260494
"2001-06-22",27.316668,27.866667,26.870001,27.866667,3070200,21.840464
"2001-06-25",27.91,27.993334,27.403334,27.860001,2759100,21.835241
"2001-06-26",27.860001,27.92,27.456667,27.91,1928400,21.874428
"2001-06-27",27.553333,27.583334,27.07,27.163334,3381300,21.289236
"2001-06-28",26.783333,26.993334,26.373333,26.42,3348300,20.706635
"2001-06-29",26.596666,27.25,26.48,26.933332,2238300,21.108967
"2001-07-02",27.066668,27.106667,26.566668,26.83,1595400,21.027975
"2001-07-03",26.58,26.85,26.58,26.676666,1020300,20.907806
"2001-07-05",26.793333,27.253334,26.786667,27.093334,1306800,21.234369
"2001-07-06",27.110001,27.463333,26.933332,27.309999,2093100,21.404175
"2001-07-09",27.226667,27.226667,26.433332,26.453333,2189400,20.732769
"2001-07-10",25.84,26.133333,25.666666,25.783333,6627600,20.207659
"2001-07-11",25.266666,25.33,25.063334,25.223333,4429800,19.768761
"2001-07-12",24.966667,25.216667,24.666666,24.933332,3525000,19.541468
"2001-07-13",24.993334,25.393333,24.666666,25.263334,2158200,19.800116
"2001-07-16",25.333334,25.333334,24.620001,24.766666,1912500,19.410847
"2001-07-17",24.766666,24.933332,24.15,24.450001,1852800,19.162653
"2001-07-18",24,24.066668,23.530001,23.786667,3989400,18.642771
"2001-07-19",23.9,24.33,23.9,24.203333,1884600,18.969336
"2001-07-20",24.433332,24.613333,24.299999,24.496666,1749000,19.199224
"2001-07-23",24.666666,24.746666,24.226667,24.26,2156400,19.013746
"2001-07-24",24.266666,24.266666,23.360001,23.6,2395500,18.496479
"2001-07-25",23.799999,24.846666,23.736666,24.799999,1859400,19.436974
"2001-07-26",24.816668,25.333334,24.783333,25.243334,2157600,19.784431
"2001-07-27",25.629999,25.996666,24.896667,25.973333,2692200,20.356565
"2001-07-30",26.063334,26.246666,25.65,25.870001,2115300,20.275589
"2001-07-31",25.913334,26.203333,25.666666,25.76,1293900,20.189375
"2001-08-01",26.166666,26.366667,25.566668,25.576666,1758000,20.045677
"2001-08-02",25.75,25.826666,25.43,25.746666,1743900,20.178913
"2001-08-03",25.75,25.826666,25.303333,25.5,910800,19.985592
"2001-08-06",25.5,25.799999,25.436666,25.469999,887700,19.962078
"2001-08-07",25.733334,25.766666,25.450001,25.556667,755100,20.030005
"2001-08-08",25.75,25.783333,25,25.033333,1248000,19.619844
"2001-08-09",25.033333,25.33,24.809999,25.219999,855900,19.76614
"2001-08-10",25.219999,25.790001,25.219999,25.576666,817800,20.045677
"2001-08-13",25.583334,25.99,25.5,25.556667,1512000,20.030005
"2001-08-14",25.583334,25.690001,25.433332,25.690001,1011900,20.134506
"2001-08-15",25.68,26.376667,25.583334,26.299999,1762800,20.612595
"2001-08-16",26.32,26.383333,25.586666,26.043333,1248600,20.411434
"2001-08-17",25.959999,26.033333,25.733334,25.733334,747900,20.168463
"2001-08-20",25.65,25.73,25.506666,25.573334,1323900,20.04307
"2001-08-21",25.65,25.799999,25.566668,25.616667,939000,20.077026
"2001-08-22",25.833334,26.316668,25.563334,25.563334,2264400,20.035231
"2001-08-23",25.633333,25.933332,25.503334,25.873333,1546800,20.278194
"2001-08-24",25.873333,26.23,25.75,26.103333,1034700,20.458462
"2001-08-27",26.15,26.333334,26,26,881100,20.37747
