"","Open","High","Low","Close","Volume"
"2001-01-02",48.929901,48.992401,44.492401,45.304901,1339900
"2001-01-03",46.323811,46.823811,44.073811,45.136311,1301200
"2001-01-04",46.173038,46.673038,41.360538,42.860538,2523600
"2001-01-05",42.96088,44.14838,41.96088,42.52338,1297500
"2001-01-08",42.847652,43.035152,40.972652,41.722652,1361300
"2001-01-09",42.533722,42.846222,41.596222,41.596222,1207400
"2001-01-10",41.328724,42.828724,40.953724,41.891224,997000
"2001-01-11",42.418751,43.356251,41.606251,42.481251,1913500
"2001-01-12",43.81583,43.81583,40.06583,40.75333,1882600
"2001-01-16",40.560112,42.060112,40.247612,40.247612,2301400
"2001-01-17",41.069004,41.819004,39.069004,39.194004,1781500
"2001-01-18",39.676525,40.364025,38.864025,39.489025,1326800
"2001-01-19",38.659023,40.034023,38.409023,39.784023,1033200
"2001-01-22",38.806942,42.181942,38.806942,41.806942,1232800
"2001-01-23",39.333035,42.583035,38.083035,42.270535,1786300
"2001-01-24",40.886616,43.949116,40.886616,43.324116,1036500
"2001-01-25",43.527687,44.402687,42.715187,42.902687,1180500
"2001-01-26",41.891224,43.141224,41.078724,41.891224,1414500
"2001-01-29",41.905018,43.23502,41.855019,42.225018,1268500
"2001-01-30",42.182651,43.882652,40.832653,41.132652,1852600
"2001-01-31",40.369797,41.639793,40.099796,41.469795,1704600
"2001-02-01",41.090286,41.890285,40.570286,41.220287,1032700
"2001-02-02",40.236977,43.236977,40.136979,42.986977,1163200
"2001-02-05",42.589851,43.829853,42.589851,43.829853,1129100
"2001-02-06",45.029922,45.079926,41.879925,42.069923,966200
"2001-02-07",41.380726,44.650726,41.380726,44.200729,1308600
"2001-02-08",44.082333,45.072331,44.03233,44.342335,1267800
"2001-02-09",43.754944,44.354942,42.764946,43.984947,1313000
"2001-02-12",43.939365,44.69936,42.959362,44.079365,1783600
"2001-02-13",43.655552,44.155552,43.105553,43.155552,7346500
"2001-02-14",43.399826,43.499824,42.319824,42.649826,1529000
"2001-02-15",42.600955,42.950953,42.100955,42.750957,1378700
