"","HON.Open","HON.High","HON.Low","HON.Close","HON.Volume","HON.Adjusted"
"2001-01-02",44.331684,44.331684,40.458618,42.1866,10435500,26.71315
"2001-01-03",42.1866,45.880909,41.471573,45.880909,9301600,29.052443
"2001-01-04",45.285053,46.53635,45.165882,45.821323,3830000,29.014711
"2001-01-05",45.225468,45.404224,43.914585,44.748783,4413900,28.335558
"2001-01-08",43.855,44.450855,42.484528,43.557072,3736500,27.580959
"2001-01-09",43.557072,44.272099,42.067429,42.603699,5803600,26.977253
"2001-01-10",42.007843,43.378315,41.411987,43.080387,6665000,27.279112
"2001-01-11",43.735828,45.46381,43.735828,45.165882,5187300,28.599682
"2001-01-12",45.165882,45.404224,43.378315,44.331684,4243900,28.071449
"2001-01-16",44.093342,45.940495,44.093342,45.642567,4636000,28.901518
"2001-01-17",46.417179,46.983242,45.404224,45.761738,10116400,28.976982
"2001-01-18",46.238422,47.132206,45.404224,46.595936,4684700,29.505209
"2001-01-19",46.834278,47.07262,45.46381,46.119251,4411300,29.203358
"2001-01-22",45.880909,46.342697,44.510441,44.867954,3967100,28.411011
"2001-01-23",45.404224,46.00008,45.121193,45.642567,4516500,28.901518
"2001-01-24",45.642567,46.119251,44.748783,45.165882,2658700,28.599682
"2001-01-25",45.046711,46.238422,44.92754,45.106297,5387300,28.561947
"2001-01-26",45.225468,45.880909,43.855,44.272099,6076400,28.033714
"2001-01-29",44.188679,44.522358,43.149506,43.664326,3267100,27.648872
"2001-01-30",43.664326,45.285053,43.664326,45.161114,4731600,28.596649
"2001-01-31",45.161114,45.942879,44.713032,45.046711,4752500,28.524212
"2001-02-01",45.428059,45.952412,45.008575,45.513863,2730200,28.820015
"2001-02-02",45.332722,46.00008,45.07531,45.475727,3649500,28.795877
"2001-02-05",45.475727,47.306194,45.428059,47.11552,3692800,29.834208
"2001-02-06",46.953449,47.382465,46.495831,46.953449,2963300,29.731588
"2001-02-07",46.715107,47.048786,45.857075,46.286091,2319200,29.309006
"2001-02-08",46.705574,47.382465,46.238422,46.505367,2699000,29.44787
