"","Open","High","Low","Close","Volume"
"2001-01-02",10.323599,10.919648,9.500484,9.727551,15019800
"2001-01-03",9.222166,11.265762,9.137016,10.953546,31391900
"2001-01-04",10.964128,11.957543,10.964128,11.134427,21579100
"2001-01-05",11.66467,11.778203,9.84814,9.84814,21077700
"2001-01-08",9.748723,10.231238,9.72034,10.089322,14371100
"2001-01-09",10.064465,10.575365,9.950932,10.149615,13921000
"2001-01-10",10.124756,10.32344,9.642241,10.209907,23808000
"2001-01-11",10.12706,10.666342,9.928376,10.410892,37069300
"2001-01-12",10.350757,10.350757,9.527641,9.86824,47123600
"2001-01-16",9.909665,9.994815,9.569066,9.767749,23767200
"2001-01-17",9.914265,10.425164,9.914265,10.169714,21899500
"2001-01-18",10.047579,11.296443,10.047579,11.154527,25856500
"2001-01-19",11.070449,11.808415,11.070449,11.496199,28663200
"2001-01-22",11.605131,11.605131,10.753633,11.094232,13150100
"2001-01-23",11.119087,11.175853,10.352738,11.033937,13559000
"2001-01-24",11.084719,11.425319,11.084719,11.255019,14271300
"2001-01-25",11.329584,11.471501,10.932218,11.074135,13563600
"2001-01-26",11.074135,11.187668,10.449702,11.074135,11741700
"2001-01-29",10.592665,12.163963,10.288396,12.068595,17416400
"2001-01-30",12.032802,12.205373,11.565046,12.155418,16588700
"2001-01-31",12.281354,12.349475,11.631946,11.849929,11318200
"2001-02-01",11.8486,11.907636,11.353595,11.853141,9290000
"2001-02-02",12.000286,12.172856,11.496199,11.496199,10117000
"2001-02-05",11.533143,11.533143,10.938229,11.351491,9971900
"2001-02-06",11.152651,12.106329,11.129944,11.833849,11696500
"2001-02-07",11.935354,11.935354,11.385854,11.576589,10703900
"2001-02-08",11.730362,11.775776,11.13999,11.203568,12714700
"2001-02-09",11.372119,11.372119,10.495642,10.772663,13497500
"2001-02-12",10.891958,11.00095,10.27888,10.483239,13683000
"2001-02-13",10.608067,11.130319,10.608067,10.676187,14829100
"2001-02-14",10.518445,11.108817,10.245965,11.058862,14340300
"2001-02-15",10.799043,11.984329,10.758172,11.689144,22183800
"2001-02-16",10.821706,10.821706,9.822615,10.653677,27078800
"2001-02-20",10.747997,10.747997,9.580877,9.807943,24648900
"2001-02-21",9.872899,10.549556,9.645833,9.650373,18650900
