"","HRB.Open","HRB.High","HRB.Low","HRB.Close","HRB.Volume","HRB.Adjusted"
"2001-01-02",10.28125,10.3125,10,10.0625,1778400,5.309465
"2001-01-03",10.0625,10.15625,9.96875,10.046875,1872000,5.301222
"2001-01-04",10.140625,10.375,10.109375,10.109375,2094800,5.334197
"2001-01-05",10.15625,10.296875,10.09375,10.140625,3181200,5.350687
"2001-01-08",9.6875,9.6875,9.234375,9.375,6743200,4.946707
"2001-01-09",9.28125,9.65625,9.15625,9.453125,3927600,4.98793
"2001-01-10",9.40625,9.71875,9.40625,9.609375,2392800,5.070375
"2001-01-11",9.546875,9.734375,9.515625,9.53125,1526000,5.029153
"2001-01-12",9.546875,9.65625,9.4375,9.53125,1732400,5.029153
"2001-01-16",9.515625,9.84375,9.515625,9.796875,1466800,5.169308
"2001-01-17",9.859375,9.96875,9.71875,9.734375,1814000,5.136332
"2001-01-18",9.75,10.078125,9.75,10.015625,3009600,5.284731
"2001-01-19",9.984375,10.078125,9.9375,10.046875,1904400,5.301222
"2001-01-22",10.046875,10.140625,10.015625,10.0625,1581200,5.309465
"2001-01-23",10.078125,10.625,10.078125,10.5625,1968400,5.57329
"2001-01-24",10.5,10.5,10.265625,10.296875,1523600,5.433132
"2001-01-25",10.296875,10.484375,10.28125,10.34375,1664400,5.457867
"2001-01-26",10.359375,10.375,10.296875,10.3125,1251600,5.441379
"2001-01-29",10.275,10.8625,10.275,10.8275,1297200,5.713117
"2001-01-30",10.85,11.0125,10.8125,10.9,1987200,5.75137
"2001-01-31",10.925,10.925,10.8,10.8375,914000,5.718392
"2001-02-01",10.825,10.8375,10.7475,10.8,1564000,5.698607
"2001-02-02",10.7625,10.825,10.65,10.75,1224000,5.672225
"2001-02-05",10.8,10.825,10.6875,10.725,1089200,5.659033
"2001-02-06",10.75,10.765,10.6125,10.67,1379200,5.630013
"2001-02-07",10.6625,10.74,10.45,10.47,3045200,5.524481
"2001-02-08",10.47,10.675,10.47,10.545,1082000,5.564054
"2001-02-09",10.5475,10.8675,10.53,10.705,1474000,5.648479
"2001-02-12",10.775,10.9375,10.765,10.855,1412800,5.727623
"2001-02-13",10.9125,10.975,10.7975,10.8125,848800,5.705202
"2001-02-14",10.7625,10.8625,10.725,10.725,1914000,5.659033
"2001-02-15",10.975,11.37,10.975,11.0825,3867600,5.847669
"2001-02-16",11.125,11.4,11.0875,11.3,2024000,5.962431
"2001-02-20",11.4,11.4325,11.19,11.2,1791200,5.909664
"2001-02-21",11.225,11.2325,11,11,2062800,5.804137
"2001-02-22",11.025,11.0325,10.7375,10.9525,1614800,5.779072
"2001-02-23",10.95,10.985,10.775,10.98,937200,5.793581
"2001-02-26",11.1,11.175,10.93,11.1725,1710800,5.895156
"2001-02-27",11.175,11.425,11.1,11.3625,1891600,5.99541
"2001-02-28",11.725,12.375,11.6875,12.325,5765600,6.503271
"2001-03-01",12.2875,12.675,12,12.475,5290800,6.582417
"2001-03-02",12.4625,12.72,12.3675,12.65,4108800,6.674755
"2001-03-05",12.625,12.9125,12.625,12.725,2057200,6.71433
"2001-03-06",12.7875,12.975,12.675,12.7625,2713600,6.734118
"2001-03-07",12.7625,13.0675,12.75,13.055,2915600,6.888452
"2001-03-08",13.0625,13.0975,12.8,13.0625,3130800,7.054521
"2001-03-09",13.075,13.085,12.6875,12.745,2521600,6.883053
"2001-03-12",12.6875,12.7,12.1125,12.1325,2332400,6.552265
"2001-03-13",12.1325,12.625,12.0625,12.575,2102800,6.791241
"2001-03-14",12.35,12.5625,12.3,12.5,2401200,6.750739
"2001-03-15",12.5,12.6125,12.1725,12.5,3881200,6.750739
"2001-03-16",12.5,12.6125,12.375,12.4925,1940000,6.746687
"2001-03-19",12.4925,12.525,12.2875,12.4875,1632400,6.743986
"2001-03-20",12.4875,12.4875,12.1875,12.1875,1413200,6.581971
"2001-03-21",12.19,12.225,11.9875,12.0025,2163200,6.48206
"2001-03-22",12.0025,12.025,11.6,11.875,2914400,6.413205
"2001-03-23",11.925,12.4225,11.8875,12.1375,2528000,6.554965
"2001-03-26",12.2,12.675,12.1825,12.625,2206800,6.818245
"2001-03-27",12.65,12.7125,12.5675,12.625,2494000,6.818245
"2001-03-28",12.625,12.625,12.41,12.4875,1623200,6.743986
"2001-03-29",12.49,12.5,12.375,12.425,1991600,6.710233
"2001-03-30",12.475,12.625,12.4375,12.515,2043600,6.758837
"2001-04-02",12.5775,12.7175,12.3125,12.3875,2276400,6.689981
"2001-04-03",12.325,12.35,11.995,12.035,1268400,6.499612
"2001-04-04",12.0375,12.3,11.975,12.3,1875600,6.642726
"2001-04-05",12.3,12.7125,12.3,12.625,2588000,6.818245
