"","Open","High","Low","Close","Volume"
"2001-01-02",3.323049,3.479299,3.260549,3.276174,845600
"2001-01-03",3.338674,3.448049,3.213674,3.276174,1107200
"2001-01-04",3.306859,3.338109,3.166234,3.166234,1206400
"2001-01-05",3.139616,3.186491,3.108366,3.155241,519200
"2001-01-08",3.138448,3.232198,3.107198,3.232198,397200
"2001-01-09",3.192854,3.270979,3.114729,3.177229,637200
"2001-01-10",3.228734,3.275609,3.103734,3.166234,575600
"2001-01-11",3.229903,3.261153,3.058028,3.089278,532000
"2001-01-12",3.132689,3.148314,2.976439,3.023314,765600
"2001-01-16",3.030241,3.155241,2.983366,3.155241,494000
"2001-01-17",3.219325,3.219325,3.0787,3.094325,726000
"2001-01-18",3.11643,3.163305,3.069555,3.11643,344000
"2001-01-19",3.08518,3.14768,3.007055,3.11643,844000
"2001-01-22",3.102707,3.196457,3.087082,3.149582,734400
"2001-01-23",3.153391,3.403391,3.137766,3.215891,730000
"2001-01-24",3.391571,3.516571,3.250946,3.282196,1385200
"2001-01-25",3.301628,3.395378,3.239128,3.348503,1036400
"2001-01-26",3.265804,3.375179,3.234554,3.359554,638800
"2001-01-29",3.395414,3.420414,3.252914,3.272914,1196800
"2001-01-30",3.223576,3.448576,3.211076,3.386076,786000
"2001-01-31",3.375831,3.475831,3.313331,3.410831,766000
"2001-02-01",3.371313,3.511313,3.336313,3.506313,689200
"2001-02-02",3.488326,3.550826,3.448326,3.483326,558400
"2001-02-05",3.415765,3.535765,3.403265,3.525765,319200
"2001-02-06",3.542655,3.632655,3.470155,3.515155,1025600
"2001-02-07",3.459297,3.676797,3.459297,3.601797,962000
"2001-02-08",3.530876,3.755876,3.530876,3.730876,1450000
"2001-02-09",3.690563,3.865563,3.685563,3.798063,887200
"2001-02-12",3.803797,3.851297,3.773797,3.796297,1385200
"2001-02-13",3.808186,3.808186,3.743186,3.785686,907600
"2001-02-14",3.750572,3.808072,3.683072,3.725572,1987600
"2001-02-15",3.663132,3.723132,3.603132,3.683132,1124400
"2001-02-16",3.678797,3.803797,3.666297,3.796297,880000
"2001-02-20",3.741601,3.826601,3.741601,3.801601,2440800
"2001-02-21",3.841851,3.841851,3.676851,3.704351,932000
"2001-02-22",3.61331,3.78081,3.57581,3.77331,856000
"2001-02-23",3.744898,3.794898,3.694898,3.757398,897200
"2001-02-26",3.730934,3.805934,3.718434,3.760934,999600
"2001-02-27",3.757519,3.812519,3.745019,3.745019,270800
"2001-02-28",3.689101,3.811601,3.676601,3.801601,821200
"2001-03-01",3.769107,3.769107,3.691607,3.729107,808000
"2001-03-02",3.733918,3.788918,3.658918,3.783918,1226800
"2001-03-05",3.785384,3.805384,3.727884,3.780384,569200
"2001-03-06",3.798616,3.811116,3.753616,3.778616,584800
"2001-03-07",3.737579,3.795079,3.675079,3.775079,618000
"2001-03-08",3.761725,3.804225,3.736725,3.789225,584000
"2001-03-09",3.796418,3.818918,3.746418,3.783918,712800
"2001-03-12",3.803739,3.831239,3.753739,3.766239,590400
"2001-03-13",3.800751,3.800751,3.728251,3.743251,549200
"2001-03-14",3.743555,3.798555,3.698555,3.748555,648400
"2001-03-15",3.737341,3.762341,3.587341,3.654841,478400
"2001-03-16",3.623261,3.773261,3.510761,3.598261,1153200
"2001-03-19",3.651245,3.676245,3.513745,3.621245,694800
"2001-03-20",3.660761,3.710761,3.573261,3.598261,674800
"2001-03-21",3.623872,3.656372,3.536372,3.536372,542000
"2001-03-22",3.569919,3.589919,3.344919,3.394919,972000
"2001-03-23",3.356131,3.558631,3.356131,3.488631,408800
"2001-03-26",3.54601,3.60851,3.49601,3.50101,552400
"2001-03-27",3.432041,3.582041,3.429541,3.577041,1027600
"2001-03-28",3.587661,3.650161,3.362661,3.442661,1069600
"2001-03-29",3.500099,3.527599,3.375099,3.412599,644400
"2001-03-30",3.461928,3.634428,3.436928,3.444428,1750400
"2001-04-02",3.534554,3.672054,3.359554,3.359554,697200
"2001-04-03",3.381073,3.463573,3.346073,3.458573,956800
"2001-04-04",3.39656,3.64656,3.39656,3.48156,998800
"2001-04-05",3.519481,3.576981,3.456981,3.546981,679200
"2001-04-06",3.522536,3.607536,3.425036,3.455036,615200
"2001-04-09",3.399428,3.624428,3.399428,3.444428,424400
"2001-04-10",3.376682,3.601682,3.376682,3.469182,336400
"2001-04-11",3.472963,3.495463,3.360463,3.447963,790800
"2001-04-12",3.378878,3.483878,3.378878,3.463878,481200
"2001-04-16",3.441378,3.528878,3.423878,3.463878,451200
"2001-04-17",3.469,3.5715,3.419,3.4515,734400
"2001-04-18",3.444468,3.551968,3.439468,3.464468,600800
"2001-04-19",3.502376,3.527376,3.452376,3.524876,465200
"2001-04-20",3.50796,3.53296,3.45796,3.48046,696400
"2001-04-23",3.524799,3.549799,3.462299,3.469799,274000
"2001-04-24",3.436258,3.621258,3.436258,3.533758,574800
"2001-04-25",3.472706,3.602706,3.472706,3.530206,254400
"2001-04-26",3.492986,3.677986,3.492986,3.615486,405600
"2001-04-27",3.638581,3.743581,3.583581,3.638581,690400
"2001-04-30",3.645955,3.695955,3.598455,3.663455,572400
"2001-05-01",3.697452,3.699952,3.529952,3.579952,1069600
"2001-05-02",3.57107,3.60857,3.54607,3.57107,495200
"2001-05-03",3.638023,3.638023,3.468023,3.468023,473600
"2001-05-04",3.454432,3.614432,3.411932,3.611932,826800
"2001-05-07",3.577262,3.702262,3.559762,3.617262,479600
"2001-05-08",3.567134,3.642134,3.567134,3.642134,294000
"2001-05-09",3.661869,3.661869,3.599369,3.624369,190800
"2001-05-10",3.570751,3.638251,3.548251,3.633251,179600
"2001-05-11",3.611146,3.648646,3.548646,3.626146,247600
"2001-05-14",3.669622,3.669622,3.554622,3.574622,406000
"2001-05-15",3.604699,3.629699,3.537199,3.629699,330400
"2001-05-16",3.602668,3.677668,3.590168,3.677668,472800
"2001-05-17",3.688606,3.773606,3.563606,3.773606,1070400
"2001-05-18",3.747235,3.839735,3.727235,3.832235,758800
"2001-05-21",3.801134,3.908634,3.801134,3.908634,1405200
"2001-05-22",3.891996,3.979496,3.849496,3.949496,1344000
"2001-05-23",3.946209,4.008709,3.898709,3.963709,692400
"2001-05-24",3.981615,4.036615,3.909115,4.024115,983200
"2001-05-25",4.018848,4.026348,3.943848,4.006348,581600
"2001-05-29",4.008848,4.016348,3.948848,4.006348,443200
"2001-05-30",3.938265,4.075765,3.938265,4.050765,492400
"2001-05-31",4.00612,4.20612,3.99362,4.19112,2246800
"2001-06-01",4.187503,4.290003,4.152503,4.200003,1540000
"2001-06-04",4.232846,4.285346,4.172846,4.272846,708800
"2001-06-05",4.272121,4.322121,4.237121,4.274621,758400
"2001-06-06",4.305081,4.325081,4.205081,4.255081,1085200
"2001-06-07",4.054154,4.279154,4.054154,4.226654,940400
"2001-06-08",4.153303,4.258303,4.145803,4.253303,302000
"2001-06-11",4.266323,4.276323,4.176323,4.221323,574400
"2001-06-12",4.21593,4.22843,4.15843,4.22843,839600
"2001-06-13",4.164687,4.279687,4.164687,4.262187,507200
"2001-06-14",4.221194,4.286194,4.176194,4.246194,452000
"2001-06-15",4.171715,4.284215,4.171715,4.214215,631200
"2001-06-18",4.25343,4.27843,4.21343,4.22843,352800
"2001-06-19",4.164687,4.262187,4.152187,4.262187,489200
"2001-06-20",4.202581,4.267581,4.150081,4.255081,1218000
"2001-06-21",4.178405,4.443405,4.103405,4.443405,2166800
"2001-06-22",4.388644,4.388644,4.288644,4.326144,612800
"2001-06-25",4.332453,4.407453,4.219953,4.279953,420000
"2001-06-26",4.186996,4.326996,4.174496,4.299496,417600
"2001-06-27",4.22253,4.36003,4.18503,4.33503,398400
"2001-06-28",4.302795,4.415295,4.277795,4.352795,600800
"2001-06-29",4.376868,4.411868,4.304368,4.324368,878800
"2001-07-02",4.261882,4.429382,4.261882,4.391882,916800
"2001-07-03",4.395966,4.430966,4.315966,4.430966,228800
"2001-07-05",4.41518,4.44768,4.39768,4.44518,443200
"2001-07-06",4.405778,4.480778,4.348278,4.468278,1133600
"2001-07-09",4.474786,4.477286,4.397286,4.452286,594800
"2001-07-10",4.448543,4.573543,4.426043,4.486043,598800
"2001-07-11",4.471894,4.496894,4.409394,4.459394,568000
"2001-07-12",4.479127,4.504127,4.391627,4.441627,541200
"2001-07-13",4.421627,4.451627,4.396627,4.441627,544400
"2001-07-16",4.409713,4.457213,4.384713,4.397213,537200
"2001-07-17",4.343392,4.443392,4.293392,4.375892,947200
"2001-07-18",4.342142,4.439642,4.342142,4.374642,8e+05
"2001-07-19",4.290628,4.465628,4.290628,4.440628,914000
"2001-07-20",4.403128,4.500628,4.365628,4.440628,1262800
"2001-07-23",4.422478,4.447478,4.234978,4.392478,1116400
"2001-07-24",4.369546,4.449546,4.262046,4.449546,666800
"2001-07-25",4.41698,4.50448,4.34948,4.49948,1541200
"2001-07-26",4.543813,4.543813,4.363813,4.463813,960400
"2001-07-27",4.488797,4.491297,4.428797,4.476297,360800
