"","HST.Open","HST.High","HST.Low","HST.Close","HST.Volume","HST.Adjusted"
"2001-01-02",12.604013,12.726383,12.481645,12.54283,652600,7.310474
"2001-01-03",12.54283,13.032306,12.54283,12.848752,443400,7.48878
"2001-01-04",12.909936,13.032306,12.787567,13.032306,362600,7.595763
"2001-01-05",13.032306,13.09349,12.726383,12.787567,558800,7.453117
"2001-01-08",12.787567,12.909936,12.665198,12.726383,368600,7.417455
"2001-01-09",12.726383,13.09349,12.69579,12.971121,368600,7.560099
"2001-01-10",12.909936,13.032306,12.54283,12.665198,384600,7.381793
"2001-01-11",12.665198,12.726383,12.359276,12.665198,568100,7.381793
"2001-01-12",12.726383,12.726383,12.42046,12.481645,239100,7.274813
"2001-01-16",12.604013,13.032306,12.604013,12.971121,505100,7.560099
"2001-01-17",12.971121,13.032306,12.726383,13.032306,419000,7.595763
"2001-01-18",12.971121,12.971121,12.665198,12.726383,371400,7.417455
"2001-01-19",12.787567,12.909936,12.54283,12.909936,530400,7.524441
"2001-01-22",12.909936,13.032306,12.848752,13.032306,230400,7.595763
"2001-01-23",13.032306,13.338228,12.971121,13.277043,654800,7.738404
"2001-01-24",13.277043,13.338228,13.09349,13.154675,508400,7.66708
"2001-01-25",13.277043,13.338228,13.154675,13.338228,297600,7.774065
"2001-01-26",13.338228,13.460597,13.215859,13.460597,293400,7.845385
"2001-01-29",13.362702,13.480176,13.20607,13.333333,345200,7.771211
"2001-01-30",13.431229,13.578072,13.313754,13.362702,380200,7.78833
"2001-01-31",13.313754,13.323544,12.922174,13.137543,624600,7.657097
"2001-02-01",13.137543,13.20607,12.98091,13.049438,272000,7.605748
"2001-02-02",12.481645,12.58933,12.383749,12.550171,2844900,7.314755
"2001-02-05",12.58933,12.775331,12.58933,12.736173,696800,7.423162
"2001-02-06",12.745962,12.824278,12.618698,12.638277,683300,7.366104
"2001-02-07",12.716593,12.726383,12.550171,12.618698,795900,7.354696
"2001-02-08",12.618698,12.697014,12.530592,12.618698,289200,7.354696
"2001-02-09",12.716593,12.716593,12.491434,12.520802,368000,7.297634
"2001-02-12",12.618698,12.736173,12.471855,12.667645,436500,7.383219
"2001-02-13",12.716593,12.814488,12.638277,12.706803,435000,7.406044
"2001-02-14",12.648067,12.716593,12.628488,12.716593,560200,7.41175
"2001-02-15",12.648067,12.814488,12.648067,12.814488,508400,7.468808
"2001-02-16",12.853646,12.853646,12.628488,12.697014,287300,7.400342
"2001-02-20",12.716593,12.775331,12.687224,12.745962,715100,7.428868
"2001-02-21",12.824278,12.853646,12.677435,12.697014,588900,7.400342
"2001-02-22",12.716593,12.716593,12.530592,12.618698,715500,7.354696
"2001-02-23",12.618698,12.716593,12.481645,12.55996,395100,7.32046
