"","Open","High","Low","Close","Volume"
"2001-01-02",13.429074,14.179074,13.241574,13.866574,933100
"2001-01-03",13.652423,14.589923,13.214923,13.402423,1077200
"2001-01-04",13.429538,13.492038,11.304538,12.242038,1217600
"2001-01-05",12.023172,13.273172,11.773172,12.648172,1606100
"2001-01-08",12.652655,13.527655,12.340155,12.590155,873700
"2001-01-09",12.558789,13.183789,12.058789,12.996289,1285400
"2001-01-10",12.844402,13.719402,12.719402,13.344402,837000
"2001-01-11",13.799825,13.799825,12.987325,13.112325,519700
"2001-01-12",13.085672,13.085672,12.523172,12.648172,503300
"2001-01-16",12.362556,12.487556,11.862556,12.300056,768200
"2001-01-17",12.224346,12.286846,11.349346,11.661846,871400
"2001-01-18",11.876234,11.876234,11.063734,11.313734,800900
"2001-01-19",11.023868,11.211368,10.086368,10.211368,2032700
"2001-01-22",10.559249,11.434249,10.246749,11.371749,1466400
"2001-01-23",11.152884,12.027884,11.152884,11.777884,841100
"2001-01-24",11.791327,12.041327,11.478827,11.603827,660900
"2001-01-25",11.844865,11.969865,11.344865,11.719865,483500
"2001-01-26",11.603827,11.916327,11.416327,11.603827,573000
"2001-01-29",11.982318,11.982318,11.532318,11.882318,330700
"2001-01-30",11.503111,11.783111,11.453111,11.613111,667600
"2001-01-31",11.653262,11.953262,11.033262,11.093262,784400
"2001-02-01",11.090393,11.590393,11.090393,11.130393,698200
"2001-02-02",11.108169,11.738169,11.108169,11.418169,841900
"2001-02-05",11.683037,12.203037,11.393037,11.873037,786200
"2001-02-06",11.421749,11.861749,11.171749,11.371749,1080400
"2001-02-07",11.848093,12.348093,11.448093,11.678093,2915600
"2001-02-08",12.082318,12.212318,11.792318,11.882318,1302500
"2001-02-09",11.913866,12.063866,11.383866,11.473866,560400
"2001-02-12",11.395719,12.525719,11.395719,12.485719,1362700
"2001-02-13",12.241531,12.561531,12.061531,12.151531,770900
"2001-02-14",12.485719,13.025719,12.145719,12.485719,1472800
"2001-02-15",12.764961,12.774961,12.444961,12.624961,657300
"2001-02-16",12.744322,12.784322,12.344322,12.374322,556200
"2001-02-20",12.35436,12.65436,12.15436,12.24436,724800
"2001-02-21",12.309379,12.609379,12.059379,12.179379,773500
"2001-02-22",12.560814,12.560814,11.860814,12.160814,739500
"2001-02-23",11.903827,12.103827,11.603827,11.603827,1737900
"2001-02-26",11.728735,12.178735,11.578735,11.928735,938700
"2001-02-27",11.600056,12.650056,11.550056,12.300056,860500
"2001-02-28",12.682132,12.832132,12.182132,12.532132,757800
"2001-03-01",12.514208,12.964208,11.934208,12.764208,889700
"2001-03-02",12.522815,12.992815,12.432815,12.652815,795700
"2001-03-05",12.660624,13.000624,12.410624,12.810624,538000
"2001-03-06",12.424247,13.024247,12.424247,12.634247,358600
