"","IPG.Open","IPG.High","IPG.Low","IPG.Close","IPG.Volume","IPG.Adjusted"
"2001-01-02",42.5,42.9375,38,38.625,1844500,29.584465
"2001-01-03",38.375,42.4375,38.375,42.4375,1754500,32.50462
"2001-01-04",42.375,46.375,42.125,44.8125,3652900,34.323723
"2001-01-05",44.8125,44.9375,43.3125,43.6875,1133100,33.462032
"2001-01-08",43.75,43.75,42.25,43.4375,926300,33.270542
"2001-01-09",43.5,43.5,42.4375,42.75,530600,32.743969
"2001-01-10",42.625,43.9375,42.5625,43.875,863900,33.605656
"2001-01-11",43,45.1875,42.8125,45.0625,1659000,34.515217
"2001-01-12",44.625,45.5,44.0625,45.375,1497800,34.754555
"2001-01-16",45.4375,46,45.25,45.875,1736500,35.137527
"2001-01-17",46,47.3125,45.875,47.1875,1394300,36.142826
"2001-01-18",47.4375,47.4375,44.5,44.9375,1203900,34.41946
"2001-01-19",45,45.9375,44.25,44.5,1368500,34.084358
"2001-01-22",44.25,44.75,43.6875,44.375,543600,33.988621
"2001-01-23",39.5,43.8125,39.5,43.25,4259200,33.126938
"2001-01-24",43.25,44.1875,42.8125,44,1253300,33.701385
"2001-01-25",43.125,43.75,42.875,42.9375,1231900,32.887577
"2001-01-26",43.0625,43.0625,40.9375,41.625,1666700,31.882282
"2001-01-29",41.619999,42.950001,41,42.66,603700,32.675026
"2001-01-30",42.459999,42.459999,41,41.5,1366100,31.786539
"2001-01-31",41.5,41.599998,40.299999,41.200001,1194400,31.556742
"2001-02-01",41.200001,42.290001,41.200001,42.27,1447900,32.376308
"2001-02-02",42.27,42.400002,41.5,42.310001,1268100,32.40696
"2001-02-05",41.5,41.990002,41.5,41.619999,803500,31.878454
"2001-02-06",41.75,42.310001,41.009998,41.119999,792000,31.495485
"2001-02-07",41.150002,41.400002,40.099998,40.66,737100,31.143156
"2001-02-08",40.849998,42.599998,40.310001,41.869999,1220200,32.069935
"2001-02-09",41.869999,41.869999,40.880001,40.889999,865200,31.319315
"2001-02-12",41,41.099998,40.25,40.68,796800,31.158474
"2001-02-13",40.900002,41.439999,40.5,40.650002,909900,31.135489
"2001-02-14",40.889999,41.09,40.169998,40.540001,808300,31.051231
"2001-02-15",40.689999,41.84,40.689999,41.84,756600,32.04697
"2001-02-16",41.84,41.970001,40.799999,41.43,687900,31.732916
"2001-02-20",41.650002,42.450001,41.25,41.720001,1286000,31.955053
"2001-02-21",41.799999,42.450001,41.77,42.25,980900,32.361
"2001-02-22",42.25,42.459999,41.400002,42.099998,904000,32.246109
"2001-02-23",41.400002,41.75,39.759998,41.599998,1504700,31.935196
"2001-02-26",41.5,41.5,38.990002,39,2379300,29.939251
"2001-02-27",38.990002,40.150002,38.669998,40.060001,1414400,30.752985
"2001-02-28",39,39.209999,36.700001,37.599998,3138500,28.864494
"2001-03-01",37.799999,38.130001,36.400002,36.990002,2455400,28.396219
"2001-03-02",36.25,36.630001,35.799999,36.220001,3040100,27.805109
"2001-03-05",36.5,37.110001,35.84,35.970001,1268700,27.613203
"2001-03-06",36.099998,37.310001,36.049999,37,1752900,28.403894
"2001-03-07",37.150002,37.900002,36.880001,37.799999,1447800,29.018034
"2001-03-08",37.549999,38.150002,37.549999,38,1426000,29.171576
"2001-03-09",37.5,38,37.099998,37.610001,996800,28.872175
"2001-03-12",37.700001,37.700001,35.77,35.77,1534700,27.45966
"2001-03-13",36.599998,36.599998,35.599998,36.119999,2190700,27.72835
"2001-03-14",35.869999,35.900002,35.200001,35.830002,1521700,27.50573
"2001-03-15",35.93,36,35.740002,36,1645000,27.63623
"2001-03-16",35.75,36,35.049999,35.299999,2594900,27.09885
"2001-03-19",34.799999,34.799999,33,34.169998,6877000,26.231382
"2001-03-20",34.189999,34.549999,33.5,34.209999,2882000,26.262091
"2001-03-21",34,34.299999,33.799999,34.150002,1579400,26.21603
"2001-03-22",33.75,34,32.049999,33.130001,1571400,25.433006
"2001-03-23",33.369999,33.41,32.5,32.869999,1378200,25.233412
"2001-03-26",32.900002,33.380001,32.169998,32.5,1591200,24.949373
"2001-03-27",32.740002,35,32.650002,35,2002800,26.868549
"2001-03-28",34.700001,34.700001,33.900002,34.259998,1416800,26.300476
"2001-03-29",34.25,34.700001,33.82,34.080002,1354000,26.162296
"2001-03-30",34,34.599998,34,34.349998,1415600,26.36957
"2001-04-02",34.400002,34.400002,33.919998,34.009998,1184200,26.108551
"2001-04-03",34.02,34.59,33.700001,34.049999,1833800,26.139265
"2001-04-04",34.049999,34.450001,33.27,34.16,1699600,26.223707
"2001-04-05",34.400002,35.68,34.400002,35.419998,1844800,27.190977
"2001-04-06",35.450001,35.450001,34,34.18,927500,26.239054
"2001-04-09",34.75,35.299999,34.549999,35.299999,1564700,27.09885
"2001-04-10",35.799999,35.799999,34.810001,35.25,1112500,27.060474
"2001-04-11",34.799999,35.48,34.700001,35.18,939000,27.006737
"2001-04-12",35,35.5,34.900002,35.48,798100,27.237032
"2001-04-16",35.25,35.810001,34.900002,35.810001,761000,27.490376
"2001-04-17",35.400002,36.32,35.049999,36.32,1852900,27.881876
"2001-04-18",36.52,38.849998,36.5,37.779999,1761900,29.002674
"2001-04-19",37.779999,38.5,37.779999,38.369999,1179600,29.45561
"2001-04-20",38.380001,38.380001,37.509998,38.220001,1087300,29.340462
"2001-04-23",37.98,38,36.549999,36.939999,878700,28.35784
"2001-04-24",37.200001,38,35.900002,36.049999,1473900,27.674614
"2001-04-25",36.25,36.599998,35.849998,36.5,1696500,28.020063
"2001-04-26",36.599998,36.93,36.150002,36.310001,1235700,27.874203
"2001-04-27",33.5,34.09,32.299999,33.959999,8755900,26.070169
"2001-04-30",33.959999,35.400002,33.650002,33.950001,2209900,26.062502
"2001-05-01",33.950001,34.16,33.450001,33.57,2554300,25.770782
"2001-05-02",33.599998,34.029999,33.27,33.919998,3480900,26.039471
"2001-05-03",33.919998,34,33.400002,34,2224400,26.100874
"2001-05-04",33.799999,34.5,33.779999,34.5,2485700,26.484718
"2001-05-07",34.5,35.200001,34.310001,35,2978900,26.868549
"2001-05-08",35.049999,35.5,35,35.400002,2342600,27.175617
"2001-05-09",35.200001,35.75,35.099998,35.669998,1289000,27.382885
"2001-05-10",35.5,35.849998,35.290001,35.849998,1594600,27.52108
"2001-05-11",35.849998,36,35.75,35.849998,1770800,27.52108
"2001-05-14",35.900002,35.900002,35.68,35.849998,1448300,27.52108
"2001-05-15",35.799999,36,35.450001,35.700001,1801500,27.405922
"2001-05-16",35.700001,36.900002,35.540001,36.849998,1859200,28.288754
"2001-05-17",37,37.150002,36.25,37.049999,2653100,28.442282
"2001-05-18",37,37.59,36.75,37.59,1319400,28.856823
"2001-05-21",37.59,38.5,37.509998,38.5,1652400,29.555408
"2001-05-22",38.5,38.900002,38.400002,38.849998,1245100,29.824085
"2001-05-23",38.700001,38.75,38.200001,38.599998,1452400,29.632181
"2001-05-24",38.599998,39,38.200001,38.599998,1189200,29.632181
"2001-05-25",38.700001,38.91,38.299999,38.619999,1083100,29.720676
"2001-05-29",39.119999,39.150002,38.299999,38.5,2314500,29.628328
"2001-05-30",38.400002,38.41,37.349998,37.799999,1168000,29.089626
"2001-05-31",37.799999,37.799999,36.630001,36.740002,1961400,28.273893
"2001-06-01",36.639999,36.869999,36.57,36.689999,1187600,28.235409
"2001-06-04",36.950001,37.41,36.830002,37.23,1197000,28.650978
"2001-06-05",37.5,38.25,37.299999,38.009998,1125500,29.251244
"2001-06-06",38.009998,38.259998,37.349998,37.75,771300,29.051155
"2001-06-07",38.400002,38.400002,36.849998,36.98,885800,28.458574
"2001-06-08",36.549999,36.98,36.549999,36.880001,685200,28.381626
"2001-06-11",36.470001,36.470001,36.049999,36.349998,1018600,27.973759
"2001-06-12",36.299999,36.650002,35.959999,36.57,1392500,28.143061
"2001-06-13",36.450001,37.450001,36.310001,37,1316900,28.473974
"2001-06-14",37,37,35.900002,36,1788100,27.704416
"2001-06-15",32,32.5,30,30.74,13668300,23.656487
"2001-06-18",31.4,31.450001,29.469999,29.65,3644400,22.817657
"2001-06-19",29.65,29.889999,28.870001,29,4264800,22.317446
"2001-06-20",28.6,28.74,28.190001,28.299999,4018600,21.778749
"2001-06-21",28.25,28.6,27.799999,28.049999,6975200,21.586349
"2001-06-22",28,28.280001,27.75,28,1831900,21.547874
"2001-06-25",27.799999,28.1,26.98,27.790001,2029700,21.386265
"2001-06-26",28,28.02,27.16,27.92,2100000,21.486315
