"","Open","High","Low","Close","Volume"
"2001-01-02",33.459465,33.896965,28.959465,29.584465,1844500
"2001-01-03",28.44212,32.50462,28.44212,32.50462,1754500
"2001-01-04",31.886223,35.886223,31.636223,34.323723,3652900
"2001-01-05",34.587032,34.712032,33.087032,33.462032,1133100
"2001-01-08",33.583042,33.583042,32.083042,33.270542,926300
"2001-01-09",33.493969,33.493969,32.431469,32.743969,530600
"2001-01-10",32.355656,33.668156,32.293156,33.605656,863900
"2001-01-11",32.452717,34.640217,32.265217,34.515217,1659000
"2001-01-12",34.004555,34.879555,33.442055,34.754555,1497800
"2001-01-16",34.700027,35.262527,34.512527,35.137527,1736500
"2001-01-17",34.955326,36.267826,34.830326,36.142826,1394300
"2001-01-18",36.91946,36.91946,33.98196,34.41946,1203900
"2001-01-19",34.584358,35.521858,33.834358,34.084358,1368500
"2001-01-22",33.863621,34.363621,33.301121,33.988621,543600
"2001-01-23",29.376938,33.689438,29.376938,33.126938,4259200
"2001-01-24",32.951385,33.888885,32.513885,33.701385,1253300
"2001-01-25",33.075077,33.700077,32.825077,32.887577,1231900
"2001-01-26",33.319782,33.319782,31.194782,31.882282,1666700
"2001-01-29",31.635025,32.965027,31.015026,32.675026,603700
"2001-01-30",32.746538,32.746538,31.286539,31.786539,1366100
"2001-01-31",31.856741,31.956739,30.65674,31.556742,1194400
"2001-02-01",31.306309,32.396309,31.306309,32.376308,1447900
"2001-02-02",32.366959,32.496961,31.596959,32.40696,1268100
"2001-02-05",31.758455,32.248457,31.758455,31.878454,803500
"2001-02-06",32.125486,32.685487,31.385484,31.495485,792000
"2001-02-07",31.633158,31.883158,30.583154,31.143156,737100
"2001-02-08",31.049934,32.799934,30.509937,32.069935,1220200
"2001-02-09",32.299315,32.299315,31.309317,31.319315,865200
"2001-02-12",31.478474,31.578472,30.728474,31.158474,796800
"2001-02-13",31.385489,31.925486,30.985487,31.135489,909900
"2001-02-14",31.401229,31.60123,30.681228,31.051231,808300
"2001-02-15",30.896969,32.04697,30.896969,32.04697,756600
"2001-02-16",32.142916,32.272917,31.102915,31.732916,687900
"2001-02-20",31.885054,32.685053,31.485052,31.955053,1286000
"2001-02-21",31.910999,32.561001,31.881,32.361,980900
"2001-02-22",32.396111,32.60611,31.546113,32.246109,904000
"2001-02-23",31.7352,32.085198,30.095196,31.935196,1504700
"2001-02-26",32.439251,32.439251,29.929253,29.939251,2379300
"2001-02-27",29.682986,30.842986,29.362982,30.752985,1414400
"2001-02-28",30.264496,30.474495,27.964497,28.864494,3138500
"2001-03-01",29.206216,29.536218,27.806219,28.396219,2455400
"2001-03-02",27.835108,28.215109,27.385107,27.805109,3040100
"2001-03-05",28.143202,28.753203,27.483202,27.613203,1268700
"2001-03-06",27.503892,28.713895,27.453893,28.403894,1752900
"2001-03-07",28.368037,29.118037,28.098036,29.018034,1447800
"2001-03-08",28.721575,29.321578,28.721575,29.171576,1426000
"2001-03-09",28.762174,29.262174,28.362172,28.872175,996800
"2001-03-12",29.389661,29.389661,27.45966,27.45966,1534700
"2001-03-13",28.208349,28.208349,27.208349,27.72835,2190700
"2001-03-14",27.545727,27.57573,26.875729,27.50573,1521700
"2001-03-15",27.56623,27.63623,27.376232,27.63623,1645000
