"","Open","High","Low","Close","Volume"
"2001-01-02",12.152235,12.177195,11.553193,11.902634,2373500
"2001-01-03",11.704702,12.378624,11.380221,12.104063,2856800
"2001-01-04",12.086099,13.009622,11.961299,12.909782,3233900
"2001-01-05",13.157514,13.157514,12.283912,12.433674,3052100
"2001-01-08",12.506805,12.531764,12.057523,12.232244,1808300
"2001-01-09",12.355411,12.50517,12.230609,12.30549,1318100
"2001-01-10",12.451873,12.476833,11.62819,12.177312,2439600
"2001-01-11",12.361947,12.361947,11.762904,12.012505,2307900
"2001-01-12",12.351681,12.351681,11.078718,11.353279,5340000
"2001-01-16",11.320156,11.844317,11.120476,11.719517,2810900
"2001-01-17",11.882575,11.882575,11.558095,11.682894,1249700
"2001-01-18",11.749375,11.749375,11.225214,11.499775,1815600
"2001-01-19",11.639504,11.639504,11.240144,11.389904,1966300
"2001-01-22",11.240144,11.564625,11.140303,11.389904,2472100
"2001-01-23",11.320041,11.719401,11.14532,11.44484,3072100
"2001-01-24",11.712866,11.962466,11.588066,11.737826,4582300
"2001-01-25",11.982759,12.581802,11.882919,12.506922,3273400
"2001-01-26",12.571771,12.571771,11.97273,12.397051,1721200
"2001-01-29",12.262942,12.606392,12.227,12.422686,1223900
"2001-01-30",12.486452,12.793961,12.09508,12.742045,1829600
"2001-01-31",12.858491,13.217918,12.698747,12.982293,2682500
"2001-02-01",12.982014,13.257573,12.794314,12.950064,1912300
"2001-02-02",13.007599,13.235234,12.911751,13.011591,1551400
"2001-02-05",12.895964,13.003792,12.792132,12.82408,1887200
"2001-02-06",12.747638,12.879426,12.559938,12.759618,1459300
"2001-02-07",12.754155,13.117574,12.734187,13.049683,1066200
"2001-02-08",12.966096,13.113861,12.878238,13.081912,872600
"2001-02-09",13.184606,13.184606,12.825179,12.909045,1102500
"2001-02-12",12.828202,13.423251,12.828202,13.131717,1332100
"2001-02-13",13.152991,13.396601,13.073119,13.073119,1641600
"2001-02-14",13.145192,13.36484,12.793753,12.885607,2453100
"2001-02-15",12.581855,13.388564,12.549907,13.388564,2703500
"2001-02-16",13.379222,13.423152,12.872033,13.135612,1668900
"2001-02-20",12.895238,13.174792,12.803386,12.959136,1327600
"2001-02-21",12.958924,13.026816,12.851096,12.970904,2426100
"2001-02-22",12.942513,13.002417,12.866635,12.994431,1776800
"2001-02-23",13.005252,13.093112,12.605891,12.785604,1830600
"2001-02-26",12.665418,13.272447,12.625482,13.13267,2855800
"2001-02-27",12.861591,13.021335,12.781719,12.997375,2338700
"2001-02-28",13.185613,13.209575,12.410852,12.750309,1535900
"2001-03-01",12.655729,12.843429,12.432086,12.735601,1901000
"2001-03-02",12.731288,13.026816,12.731288,12.970904,2599600
"2001-03-05",12.828697,13.683329,12.828697,13.647387,3128700
"2001-03-06",14.028943,14.060891,13.429902,13.529742,3426400
"2001-03-07",13.387591,14.126409,13.387591,14.094461,3091600
"2001-03-08",14.055495,14.406931,13.85182,14.259169,3949800
"2001-03-09",14.188443,14.248347,13.92087,14.032692,2440300
"2001-03-12",14.216856,14.216856,13.513981,13.517975,2307900
"2001-03-13",13.806186,13.806186,13.207145,13.426793,2653700
"2001-03-14",13.218755,13.514281,13.218755,13.338563,2931400
"2001-03-15",13.324875,13.672318,13.205067,13.376791,2891100
"2001-03-16",13.186369,13.537806,12.918797,12.926783,2215700
"2001-03-19",12.921519,13.332862,12.701871,12.941487,3575900
"2001-03-20",13.051933,13.363436,12.744427,12.744427,3875400
"2001-03-21",12.903978,12.903978,12.085288,12.265001,2327900
"2001-03-22",12.162248,12.202184,11.311609,11.770875,3126700
"2001-03-23",11.970956,11.970956,11.391882,11.803224,2443900
"2001-03-26",12.067534,12.227278,11.803956,12.035584,2963700
"2001-03-27",12.158821,12.366489,11.72751,12.338533,1793300
"2001-03-28",12.247139,12.307043,11.907682,12.259119,1702700
"2001-03-29",10.847488,11.925764,10.847488,11.817936,5801200
"2001-03-30",11.555892,11.799503,11.468033,11.679694,2227000
"2001-04-02",11.729318,12.208552,11.234111,11.641459,1958100
"2001-04-03",11.659078,11.659078,11.219781,11.279685,2585800
"2001-04-04",11.344665,11.903771,11.244825,11.656166,2612600
"2001-04-05",11.72422,12.311281,11.656328,12.191472,1950100
"2001-04-06",12.097028,12.156932,11.605813,11.897348,1889200
"2001-04-09",12.344826,12.64834,11.989395,12.376774,3001700
"2001-04-10",12.229059,12.899986,12.049347,12.700306,3059600
"2001-04-11",12.689624,12.689624,12.010711,12.194417,2614600
"2001-04-12",12.11249,12.571754,11.936771,12.523832,1511100
"2001-04-16",12.482414,12.674108,12.12299,12.550306,1065900
