"","Open","High","Low","Close","Volume"
"2001-01-02",18.938162,19.063162,18.281912,18.656912,1526600
"2001-01-03",18.337982,19.400482,17.900482,19.150482,1271800
"2001-01-04",18.400698,20.338198,18.369448,19.900698,2350800
"2001-01-05",19.979673,20.042173,19.073423,19.979673,2599200
"2001-01-08",19.877687,20.346437,19.533937,19.940187,3041000
"2001-01-09",19.987797,20.519047,19.487797,19.644047,2846400
"2001-01-10",19.310108,19.497608,18.466358,19.466358,1697200
"2001-01-11",19.717945,19.811695,18.905445,19.249195,1554000
"2001-01-12",19.250772,19.375772,18.688272,19.032022,2737000
"2001-01-16",18.742764,19.742764,18.492764,19.742764,3236000
"2001-01-17",19.843163,20.280663,19.155663,19.999413,1878600
"2001-01-18",20.127565,20.127565,19.346315,19.565065,2288600
"2001-01-19",19.639084,19.732834,19.076584,19.545334,1747000
"2001-01-22",19.249304,19.905554,18.811804,19.624304,1897200
"2001-01-23",19.723139,20.254389,19.535639,20.098139,1841000
"2001-01-24",20.290487,20.290487,19.259237,19.821737,1110400
"2001-01-25",19.659061,20.502811,19.440311,20.315311,1724200
"2001-01-26",20.234753,20.578503,19.734753,20.453503,1598200
"2001-01-29",20.488483,20.608482,19.863483,20.393482,1159600
"2001-01-30",18.465609,20.560608,18.465609,20.475609,3288000
"2001-01-31",20.355417,21.015417,19.925417,20.690416,3259400
"2001-02-01",20.419239,21.174236,20.059238,21.164238,2660800
"2001-02-02",21.439837,21.589834,20.139833,20.519835,1846000
"2001-02-05",20.374329,20.714329,20.274331,20.589329,2332400
"2001-02-06",20.589545,20.589545,20.089545,20.434546,1962000
"2001-02-07",20.449284,20.674283,19.979283,20.409283,1276400
"2001-02-08",20.385347,20.580347,20.280348,20.450346,1065200
"2001-02-09",20.616049,20.616049,20.126049,20.16605,1411400
"2001-02-12",19.860096,20.735096,19.760098,20.485096,2029000
"2001-02-13",20.455917,20.95092,20.135918,20.620918,1266000
"2001-02-14",20.858717,20.858717,20.298719,20.298719,1631600
"2001-02-15",20.366189,20.866189,20.191185,20.646187,2094200
"2001-02-16",20.961323,20.961323,19.986322,20.191322,1975400
