"","JBL.Open","JBL.High","JBL.Low","JBL.Close","JBL.Volume","JBL.Adjusted"
"2001-01-02",26,26,23.125,23.375,2182300,18.62332
"2001-01-03",23.375,26.5625,21.375,25.5,4862300,20.316339
"2001-01-04",24.875,25.1875,22.5625,23.1875,4529100,18.473928
"2001-01-05",24.1875,24.1875,22.5625,23.6875,3108700,18.872299
"2001-01-08",23.5,23.5,21.5,22.625,2432900,18.025776
"2001-01-09",22.5,23.0625,21.25,22.9375,3896200,18.274752
"2001-01-10",22.25,24.0625,21.5625,23.6875,4262200,18.872299
"2001-01-11",22.25,28.75,22.25,27.75,8568600,22.108961
"2001-01-12",32.484375,34,29.9375,30.375,9620000,24.20035
"2001-01-16",31.4375,31.5625,30.5,30.9375,3712800,24.648512
"2001-01-17",33.75,34.5625,33.125,33.6875,4023900,26.839489
"2001-01-18",33.6875,38,32.8125,37.8125,4274400,30.125957
"2001-01-19",38.0625,38.4375,35.6875,37,3234500,29.478617
"2001-01-22",36.5,36.5625,34.625,35.125,2292700,27.984774
"2001-01-23",34.8125,35.875,33.75,35.5625,2218800,28.333332
"2001-01-24",34.9375,36.4375,34.375,35.875,1905600,28.582312
"2001-01-25",35.9375,36.6875,34.25,34.375,1304100,27.38723
"2001-01-26",34,37.3125,32.625,36.6875,11350500,29.229647
"2001-01-29",36.700001,40,34.5,36.25,25648300,28.88109
"2001-01-30",36,37.5,35,37.400002,4411400,29.797304
"2001-01-31",38,40.099998,37.400002,38.5,4055400,30.673695
"2001-02-01",38.5,40.990002,37.919998,38.57,3366000,30.729467
"2001-02-02",38.57,39.049999,36.360001,36.610001,2431500,29.167892
"2001-02-05",36.610001,36.610001,34,34.490002,3118300,27.478851
"2001-02-06",34.490002,34.490002,33.400002,33.650002,2629800,26.809614
"2001-02-07",31.67,31.99,29.799999,31.360001,4862700,24.985121
"2001-02-08",32.5,32.5,30.01,30.15,2576200,24.021086
"2001-02-09",29.5,30,28.6,28.9,1862000,23.02519
"2001-02-12",27.5,28.15,26.51,27.5,3173900,21.909781
"2001-02-13",27.549999,29.139999,27.01,27.01,1770700,21.519388
"2001-02-14",27.75,29.75,26.4,28.98,1706200,23.088924
"2001-02-15",30,32.119999,29.5,31.65,2330000,25.216166
"2001-02-16",27.85,28.65,27,27.950001,2787800,22.268309
"2001-02-20",27.950001,28.049999,24.83,25.25,3432200,20.117167
"2001-02-21",25,26.25,24.65,25.299999,2445500,20.157001
"2001-02-22",25.35,26.35,23,25.139999,2526600,20.029528
"2001-02-23",25.200001,25.5,22.51,25.379999,2134300,20.220736
"2001-02-26",25.379999,25.870001,23.75,24.4,2450000,19.439953
"2001-02-27",24.4,24.4,21.01,21.16,4142800,16.858583
"2001-02-28",22.1,22.75,21.299999,22.48,2677500,17.910254
"2001-03-01",22.1,22.1,19.940001,21.73,3778000,17.312708
"2001-03-02",21.65,23.42,20.52,22.549999,3860800,17.966021
"2001-03-05",22.549999,23.85,22.549999,23.66,2199700,18.85038
"2001-03-06",24.190001,25.790001,24.190001,24.780001,2023300,19.74271
"2001-03-07",25.700001,25.92,24.559999,25.32,1661300,20.17293
"2001-03-08",25.32,25.549999,24.9,25.1,1174600,19.997656
"2001-03-09",23.75,23.75,21.93,23.5,2761800,18.722902
"2001-03-12",22.5,22.5,20.25,20.799999,2745100,16.57176
"2001-03-13",20.85,21.5,20.209999,21.200001,2281100,16.89045
"2001-03-14",20.75,22,20.299999,21,2174800,16.731104
"2001-03-15",21.51,21.790001,20.6,20.700001,1963800,16.492088
"2001-03-16",19.75,20.15,18.84,19,2816100,15.137664
"2001-03-19",19,20.620001,18.76,20.41,2235300,16.261045
"2001-03-20",20.16,20.299999,17.76,18.120001,4048800,14.436555
"2001-03-21",19,21,18.9,19.76,4e+06,15.74318
"2001-03-22",19.76,24.200001,19.27,24.15,5102100,19.24078
"2001-03-23",24.65,25.219999,24.02,25.049999,3145300,19.957815
"2001-03-26",25.049999,25.18,22.950001,23.5,3311400,18.722902
"2001-03-27",23.5,24.26,23.040001,23.809999,2078500,18.969881
"2001-03-28",23.809999,23.809999,21.440001,21.889999,2636700,17.440187
"2001-03-29",21.790001,22.049999,20.35,20.639999,1589200,16.444284
"2001-03-30",20.65,21.950001,19.799999,21.620001,2211600,17.225077
"2001-04-02",21.629999,22.17,20.219999,20.65,1377800,16.452253
"2001-04-03",20.65,20.75,18.84,19.15,1630300,15.257174
"2001-04-04",19.15,19.6,18.58,18.940001,1803100,15.08987
"2001-04-05",19.9,23,19.549999,22.799999,1632500,18.165205
"2001-04-06",22.549999,22.559999,21.01,22.129999,2507300,17.631401
"2001-04-09",22.129999,23.440001,21.82,22.030001,1427500,17.551733
"2001-04-10",22.549999,24.950001,22.51,24.379999,2085200,19.424019
