"","Open","High","Low","Close","Volume"
"2001-01-02",32.089619,32.433369,30.870869,31.089619,8855200
"2001-01-03",32.223993,32.567743,29.661493,30.098993,11326000
"2001-01-04",30.170052,30.201302,28.701302,29.451302,12941200
"2001-01-05",29.61355,30.8323,28.7698,29.8323,9277200
"2001-01-08",29.512957,30.669207,29.419207,29.794207,5520200
"2001-01-09",29.785011,30.285011,29.503761,30.003761,6376600
"2001-01-10",30.753967,30.785217,28.972717,29.222717,7524200
"2001-01-11",29.9562,30.17495,28.04995,28.17495,8410400
"2001-01-12",28.041414,28.947664,28.041414,28.822664,6772800
"2001-01-16",28.708351,29.083351,28.395851,28.708351,6100600
"2001-01-17",29.13386,29.16511,27.72761,27.94636,7827200
"2001-01-18",27.963717,29.119967,27.932467,28.651217,9340000
"2001-01-19",28.064301,28.970551,28.001801,28.689301,7885600
"2001-01-22",29.215208,29.558958,28.496458,28.746458,7377000
"2001-01-23",29.063652,29.344902,28.157402,28.251152,8487200
"2001-01-24",28.165947,28.197197,27.509697,27.603447,11063000
"2001-01-25",27.402903,28.246653,27.340403,27.965403,7904400
"2001-01-26",28.428808,28.803808,27.928808,28.022558,6638000
"2001-01-29",28.369694,28.619694,27.874695,27.919693,5201200
"2001-01-30",28.119694,28.619694,27.874695,27.919693,5023400
"2001-01-31",28.316019,28.506021,27.17602,28.386019,8595200
"2001-02-01",28.241578,28.846577,28.241578,28.61158,6213200
"2001-02-02",28.686482,29.241482,28.681481,28.986481,6524600
"2001-02-05",29.339857,29.539858,28.519858,28.629858,5671400
"2001-02-06",28.729433,28.964434,28.364431,28.474432,5153800
"2001-02-07",28.575525,29.150526,28.295527,28.925528,5433600
"2001-02-08",28.878224,29.178228,28.653226,28.843225,4703000
"2001-02-09",29.259908,29.454908,28.934907,28.949911,5800400
"2001-02-12",29.100886,29.975886,29.100886,29.900885,8946600
"2001-02-13",29.835121,30.060119,29.335121,29.535122,8246000
"2001-02-14",29.779129,29.804126,28.829128,29.154129,5760200
"2001-02-15",29.530575,29.655575,28.630578,28.905575,8077200
"2001-02-16",28.491839,29.126837,28.361838,29.006838,7885800
"2001-02-20",28.752113,29.477116,28.752113,29.467113,5354000
"2001-02-21",29.697145,30.207143,29.462144,29.737146,5606800
"2001-02-22",29.817478,30.177479,28.907478,29.617477,5585800
"2001-02-23",29.156413,29.456417,28.861415,29.301414,5547200
"2001-02-26",29.2612,29.496201,28.656201,29.381199,5122800
