"","JWN.Open","JWN.High","JWN.Low","JWN.Close","JWN.Volume","JWN.Adjusted"
"2001-01-02",9.09375,9.53125,9.0625,9.15625,1002600,5.291194
"2001-01-03",9.1875,9.875,9.0625,9.875,1621400,5.706542
"2001-01-04",9.6875,10.4375,9.4375,10.1875,1472200,5.887128
"2001-01-05",9.75,9.75,9.28125,9.4375,1822000,5.453719
"2001-01-08",9.375,9.375,9,9.28125,1469600,5.363429
"2001-01-09",9.40625,9.40625,9.25,9.3125,492800,5.381486
"2001-01-10",9.3125,9.40625,9.0625,9.25,381400,5.345367
"2001-01-11",9.25,9.4375,9.09375,9.1875,692600,5.309252
"2001-01-12",9.3125,9.4375,9.09375,9.4375,393200,5.453719
"2001-01-16",9.34375,9.4375,9.09375,9.375,961800,5.417603
"2001-01-17",9.40625,9.4375,9.21875,9.40625,427200,5.435661
"2001-01-18",9.21875,9.3125,9.03125,9.03125,646200,5.218957
"2001-01-19",8.90625,8.96875,8.59375,8.75,691200,5.056431
"2001-01-22",8.625,9.28125,8.5625,9.21875,832400,5.327311
"2001-01-23",9.21875,9.25,9.125,9.21875,536200,5.327311
"2001-01-24",9.09375,9.3125,9.0625,9.25,614400,5.345367
"2001-01-25",9.25,9.84375,9.125,9.5,1191800,5.489839
"2001-01-26",9.5,9.6875,9.4375,9.53125,474800,5.507897
"2001-01-29",9.47,9.825,9.275,9.8,491000,5.663201
"2001-01-30",9.8,10,9.575,9.77,613600,5.645867
"2001-01-31",9.67,10.5,9.65,10.195,1534200,5.891463
"2001-02-01",10.195,10.25,10.01,10.175,2246800,5.879906
"2001-02-02",10.175,10.19,9.95,9.98,1640600,5.767219
"2001-02-05",10,10.125,9.655,9.66,1019200,5.582298
"2001-02-06",9.95,10.02,9.69,9.745,656400,5.631417
"2001-02-07",9.745,10.22,9.745,10.09,531000,5.830785
"2001-02-08",10.05,10.115,9.3,9.495,1329400,5.486948
"2001-02-09",9.495,9.735,9.13,9.17,727000,5.299139
"2001-02-12",9.31,9.7,9.255,9.6,1387400,5.547626
"2001-02-13",9.625,9.75,9.505,9.685,485600,5.596746
"2001-02-14",9.625,9.805,9.53,9.75,917200,5.634308
"2001-02-15",9.7,10.09,9.6,10.09,982800,5.830785
"2001-02-16",10.05,10.375,10,10.255,1299000,5.926136
"2001-02-20",10.26,10.585,10.1,10.53,1340400,6.085051
"2001-02-21",10.425,10.425,9.72,9.735,1797400,5.625641
"2001-02-22",9.73,9.735,9.025,9.455,2312200,5.463836
"2001-02-23",9.25,9.65,9.05,9.45,1196200,5.460946
"2001-02-26",9.575,9.675,9.45,9.58,1150200,5.5893
"2001-02-27",9.585,9.59,9.375,9.5,992600,5.542624
"2001-02-28",9.5,9.55,8.995,9.225,1849400,5.382182
"2001-03-01",9.23,9.23,8.875,8.965,1723200,5.230487
"2001-03-02",8.875,8.875,8.63,8.875,779800,5.177979
"2001-03-05",8.875,9.05,8.8,8.87,1004400,5.175063
"2001-03-06",8.85,9,8.825,8.965,1433400,5.230487
"2001-03-07",8.97,9.125,8.915,9.105,1375800,5.312171
"2001-03-08",9.09,9.195,9.065,9.18,1018200,5.355926
"2001-03-09",9.155,9.185,9.05,9.145,668800,5.335505
"2001-03-12",9.15,9.15,8.825,8.83,625200,5.151724
"2001-03-13",8.75,8.775,8.515,8.655,897000,5.049625
"2001-03-14",8.58,8.625,8.375,8.575,727400,5.002949
"2001-03-15",8.375,9,8.375,8.875,1238600,5.177979
"2001-03-16",8.75,8.875,8.475,8.495,2055400,4.956273
"2001-03-19",8.65,8.78,8.625,8.705,830600,5.078795
"2001-03-20",8.825,9.02,8.77,8.86,1128600,5.169229
"2001-03-21",8.855,8.86,8.625,8.625,797400,5.03212
"2001-03-22",8.525,8.525,8.05,8.15,1693000,4.754987
"2001-03-23",8.15,8.4,8.055,8.2,1265000,4.784161
"2001-03-26",8.32,8.37,8.075,8.21,1083600,4.789996
"2001-03-27",8.215,8.215,7.9,8.125,2147000,4.740403
"2001-03-28",8.13,8.13,7.8,8.03,830800,4.684976
"2001-03-29",8.005,8.225,7.88,8.175,728800,4.769574
"2001-03-30",8.15,8.215,8,8.14,1046800,4.749154
"2001-04-02",8.26,8.345,8.125,8.23,842000,4.801663
"2001-04-03",8.15,8.375,7.885,7.93,834800,4.626632
"2001-04-04",7.98,8.15,7.95,8.01,622200,4.673308
"2001-04-05",8.13,8.425,8,8.405,1022200,4.903764
"2001-04-06",8.3,8.425,8.06,8.31,884600,4.84834
"2001-04-09",8.475,8.55,8.39,8.44,1123400,4.924185
"2001-04-10",8.405,8.725,8.405,8.625,699200,5.03212
"2001-04-11",8.63,8.675,8.35,8.45,1219200,4.93002
"2001-04-12",8.445,8.445,8.125,8.295,843200,4.839586
"2001-04-16",8.295,8.36,8.07,8.2,618800,4.784161
"2001-04-17",8.2,8.395,8.195,8.275,560000,4.827919
"2001-04-18",8.375,8.995,8.375,8.85,1140600,5.163393
"2001-04-19",8.875,8.965,8.73,8.96,687400,5.227571
"2001-04-20",8.86,8.925,8.6,8.73,1109000,5.093381
"2001-04-23",8.63,9.02,8.625,8.91,875800,5.1984
"2001-04-24",8.9,8.9,8.29,8.585,2184800,5.008783
"2001-04-25",8.6,8.6,8.45,8.515,744800,4.967943
"2001-04-26",8.515,8.79,8.45,8.775,1069000,5.119636
"2001-04-27",8.875,9.14,8.85,9.09,1124200,5.303418
"2001-04-30",9.05,9.225,8.95,9.195,698200,5.364678
"2001-05-01",9.145,9.23,9.115,9.23,392400,5.385098
"2001-05-02",9.25,9.325,9.175,9.3,609600,5.425939
"2001-05-03",9.275,9.325,9.175,9.225,701400,5.382182
