"","Open","High","Low","Close","Volume"
"2001-01-02",15.53159,15.53159,14.90659,15.09409,1781900
"2001-01-03",14.622831,15.685331,13.810331,15.685331,1938800
"2001-01-04",15.57445,16.63695,15.38695,15.82445,1788100
"2001-01-05",16.240265,16.240265,14.927765,15.302765,1432000
"2001-01-08",15.420195,15.482695,14.732695,14.920195,826800
"2001-01-09",15.079971,15.142471,14.517471,14.954971,1043000
"2001-01-10",14.997321,15.872321,14.872321,15.372321,1184300
"2001-01-11",15.393497,16.018497,15.268497,15.580997,1647000
"2001-01-12",15.580481,15.767981,14.892981,15.267981,1067000
"2001-01-16",14.907617,16.157617,14.720117,15.720117,2223100
"2001-01-17",15.907617,15.907617,15.532617,15.720117,1269000
"2001-01-18",16.21909,16.34409,15.09409,15.09409,1784000
"2001-01-19",14.927253,15.177253,14.614753,14.989753,1774100
"2001-01-22",14.90659,15.34409,14.78159,15.09409,1670300
"2001-01-23",15.024532,15.274532,14.837032,15.024532,1339000
"2001-01-24",14.927253,15.052253,14.739753,14.989753,1109900
"2001-01-25",14.989753,15.114753,14.552253,14.989753,1201900
"2001-01-26",14.830481,15.392981,14.705481,15.267981,1824000
"2001-01-29",15.833806,15.983806,15.033807,15.263806,1191800
"2001-01-30",14.8826,15.332601,14.762599,15.2026,971900
"2001-01-31",15.495335,15.495335,14.835335,14.835335,1612700
"2001-02-01",14.804375,15.094374,14.654373,14.924374,1423100
"2001-02-02",14.894533,15.324531,14.814533,15.024532,936000
"2001-02-05",15.011226,15.101226,14.911226,15.041227,1040700
"2001-02-06",15.332827,15.332827,14.412827,14.662827,953800
"2001-02-07",14.573067,15.193068,14.483069,14.813069,1645100
"2001-02-08",14.493067,15.033068,14.493067,14.813069,1129000
"2001-02-09",14.730984,14.920985,14.630984,14.890984,687300
"2001-02-12",14.831063,15.091063,14.801062,14.941063,1104800
"2001-02-13",15.064441,15.134441,14.86444,14.974441,1305000
"2001-02-14",14.974441,15.354442,14.904441,14.974441,1268800
"2001-02-15",14.962348,15.152349,14.762349,15.052348,1436900
"2001-02-16",14.889454,15.719454,14.889454,15.319455,1497900
"2001-02-20",15.918641,15.918641,14.688641,14.81864,1634500
"2001-02-21",14.666051,15.216052,14.586051,14.596052,678700
"2001-02-22",14.736612,14.826613,13.386612,14.256613,1828700
"2001-02-23",14.378831,14.428832,13.548831,14.298831,1558000
"2001-02-26",14.392895,14.692896,13.652895,14.692896,1165700
"2001-02-27",14.429786,14.999786,14.339786,14.709785,1062600
"2001-02-28",15.136596,15.136596,14.216596,14.636596,1832400
"2001-03-01",14.580656,15.030657,14.180656,15.030657,1670500
"2001-03-02",14.855841,15.595841,14.80584,15.25584,1379800
"2001-03-05",15.393247,15.483247,14.753247,15.143247,949100
"2001-03-06",15.683982,15.683982,15.083984,15.283983,1007200
"2001-03-07",15.021019,15.481018,14.901018,15.481018,864400
"2001-03-08",15.307237,15.587238,15.007238,15.447239,1318300
"2001-03-09",15.473844,15.523843,14.943843,15.103843,814600
"2001-03-12",15.575858,15.575858,14.355859,14.495858,1551600
"2001-03-13",14.004957,14.984957,13.854958,14.934958,1203600
"2001-03-14",14.367357,14.667356,13.517357,14.017357,1902800
"2001-03-15",13.896596,14.666597,13.676597,14.636596,1471100
"2001-03-16",14.092016,14.612016,14.092016,14.372017,1642600
"2001-03-19",14.564389,14.764388,13.714389,14.214389,1601600
"2001-03-20",14.569288,14.669288,13.979288,14.079288,1547100
"2001-03-21",14.142707,14.492707,13.572707,13.662707,1509700
"2001-03-22",13.598114,13.698114,12.248114,13.398113,1740800
"2001-03-23",13.244099,13.9441,12.914099,13.8541,1311600
"2001-03-26",13.904244,14.304246,13.714246,14.034245,887800
"2001-03-27",13.812612,14.392611,13.42261,14.33261,1041400
"2001-03-28",13.694459,14.364459,13.65446,14.30446,1029300
"2001-03-29",14.102536,14.672536,13.942536,14.242535,955500
"2001-03-30",14.074015,14.624015,14.044015,14.524014,1178500
"2001-04-02",14.310903,15.140903,14.160904,14.540903,908300
"2001-04-03",14.63624,14.96624,13.786239,14.186241,949400
"2001-04-04",14.248474,14.448475,13.368475,13.848474,980600
"2001-04-05",13.944979,14.334978,13.704977,14.174978,1043700
"2001-04-06",14.154772,14.58477,13.474771,13.904772,1172800
"2001-04-09",14.068759,14.32876,13.898759,14.208759,911300
"2001-04-10",14.289568,14.709568,14.149569,14.439568,961100
"2001-04-11",14.842536,14.902535,14.232537,14.242535,1397000
"2001-04-12",14.342016,14.692016,14.172016,14.372017,644900
"2001-04-16",14.651276,14.901276,13.931275,14.231276,852000
"2001-04-17",14.321203,14.321203,13.871204,14.141205,835500
"2001-04-18",12.501081,14.851081,11.851081,13.201082,5474800
"2001-04-19",13.558876,13.578876,12.748876,12.778877,2462100
"2001-04-20",12.59776,12.95776,12.497759,12.94776,2010900
"2001-04-23",13.008948,13.008948,12.568947,12.868949,1196100
"2001-04-24",12.7565,13.0865,12.716501,12.936501,970600
"2001-04-25",12.839018,13.029018,12.629019,12.959018,1055000
"2001-04-26",12.957547,13.157548,12.657548,12.677548,1363400
"2001-04-27",12.838495,13.088495,12.538496,13.088495,1457000
"2001-04-30",13.61909,13.61909,12.829089,13.04909,1101100
"2001-05-01",12.996644,13.196643,12.716644,13.116643,1006300
"2001-05-02",12.9642,13.274199,12.824198,13.184199,1295700
"2001-05-03",12.987973,13.227973,12.737973,13.217973,1011800
"2001-05-04",12.746997,13.566996,12.466996,13.566996,1220900
"2001-05-07",13.64619,13.65619,13.04619,13.336191,911900
"2001-05-08",13.163675,13.313675,13.123674,13.313675,872100
"2001-05-09",13.207381,13.26738,12.707381,13.25738,1147900
"2001-05-10",13.503006,13.503006,13.073008,13.263006,712000
"2001-05-11",13.378496,13.578495,12.998495,13.088495,365600
"2001-05-14",13.010421,13.290422,13.010421,13.150423,738000
"2001-05-15",13.089901,13.479902,13.039901,13.279901,941300
"2001-05-16",12.870259,14.190258,12.770258,13.730257,900600
"2001-05-17",13.685889,13.735889,12.235889,13.735889,2649900
"2001-05-18",13.729001,14.249002,13.599002,13.719003,1949600
"2001-05-21",13.82522,13.875219,13.32522,13.685218,1388000
"2001-05-22",13.337287,14.107287,13.247286,13.927287,1228200
"2001-05-23",13.78292,14.02292,13.69292,13.93292,850600
"2001-05-24",13.996237,14.326237,13.716238,13.776237,1328200
"2001-05-25",13.802763,14.002764,13.302763,13.502764,1153900
"2001-05-29",13.4552,13.6952,13.245199,13.645201,730400
"2001-05-30",13.476946,13.806946,13.386946,13.536945,777500
"2001-05-31",13.428343,13.648342,13.178343,13.548344,1060700
"2001-06-01",13.546712,13.686711,13.336713,13.616712,576600
"2001-06-04",13.47903,13.879029,13.459029,13.799029,645000
"2001-06-05",13.537038,14.087038,13.537038,13.987037,993500
"2001-06-06",13.731697,14.131696,13.641697,13.861696,1534500
"2001-06-07",14.339713,14.379712,13.889712,14.049712,2367000
"2001-06-08",14.051224,14.211224,13.911225,14.021226,755900
"2001-06-11",13.927393,14.457393,13.777393,13.867393,1254400
"2001-06-12",13.906476,13.906476,13.546475,13.696477,1048900
"2001-06-13",13.623686,14.033686,13.583685,13.673685,581300
"2001-06-14",13.759738,13.759738,13.439738,13.559737,689200
"2001-06-15",13.525313,13.825314,13.425315,13.605313,1449400
"2001-06-18",13.729617,13.829617,13.279616,13.599618,580600
"2001-06-19",13.66193,13.93193,13.60193,13.781931,815800
"2001-06-20",13.758783,14.058784,13.758783,13.878784,894100
"2001-06-21",13.509003,14.339003,13.489005,14.289004,1687200
"2001-06-22",14.339125,14.419125,14.039124,14.249125,1566200
"2001-06-25",14.243541,14.363542,14.063543,14.203542,1467700
"2001-06-26",13.614342,14.594342,13.614342,14.414341,2239200
"2001-06-27",14.204907,15.084909,14.204907,14.704907,3322900
"2001-06-28",14.563159,15.01316,14.563159,14.813159,1663000
"2001-06-29",14.691651,14.881651,14.231652,14.84165,1685100
"2001-07-02",14.802921,14.902922,14.522922,14.892921,943900
"2001-07-03",14.948852,14.968853,14.708853,14.818853,384600
"2001-07-05",14.902116,15.152116,14.632115,14.682116,807100
"2001-07-06",14.663751,14.86375,14.513749,14.61375,1236600
"2001-07-09",14.462115,14.822116,14.302115,14.682116,1181300
"2001-07-10",14.571317,14.721317,14.271318,14.471317,1877100
"2001-07-11",14.322357,14.822357,14.282356,14.602356,905400
"2001-07-12",14.681289,15.121289,14.471289,14.961289,1861400
"2001-07-13",14.653725,15.243726,14.653725,15.103726,1054000
"2001-07-16",15.321767,15.541766,14.771768,14.801767,870800
"2001-07-17",14.514205,15.104205,14.464206,14.944206,1197800
"2001-07-18",14.833964,15.233964,14.753964,15.023965,1035900
"2001-07-19",15.091052,15.241051,14.751052,15.041051,801200
"2001-07-20",14.987344,15.137343,14.757342,14.847342,969500
"2001-07-23",14.833037,15.113038,14.683038,14.853038,590500
"2001-07-24",14.937944,15.237943,14.607944,14.647943,900600
"2001-07-25",14.510248,14.83025,14.350248,14.83025,670500
"2001-07-26",14.471051,15.081052,14.391051,15.041051,912500
"2001-07-27",14.932449,15.23245,14.90245,15.05245,562900
"2001-07-30",15.049543,15.279543,14.939543,15.069544,573700
"2001-07-31",14.930462,15.360462,14.88046,15.240461,726100
"2001-08-01",15.016723,15.606723,14.916723,15.536723,1452500
"2001-08-02",15.822668,16.072668,15.182669,15.462667,2613700
"2001-08-03",15.432533,15.712534,15.282534,15.502533,578900
"2001-08-06",15.466724,15.766723,15.376724,15.536723,595200
"2001-08-07",15.168095,16.038094,15.118094,16.038094,1549000
"2001-08-08",16.203822,16.203822,15.493821,15.55382,880900
"2001-08-09",15.342984,15.892985,15.132985,15.832986,807700
"2001-08-10",15.771026,15.821025,15.521026,15.531026,1142200
"2001-08-13",15.584052,15.714052,15.354053,15.474052,996400
"2001-08-14",15.566964,15.706963,15.276965,15.456963,787800
"2001-08-15",15.63883,15.658828,15.238828,15.30883,1307700
"2001-08-16",15.145332,15.625331,15.145332,15.525331,1342100
"2001-08-17",15.737199,15.867199,15.227199,15.377199,834000
"2001-08-20",15.05382,15.603821,15.05382,15.55382,621000
"2001-08-21",15.68394,16.13394,15.38394,15.51394,804300
"2001-08-22",15.433694,16.013696,15.253696,15.593696,944000
"2001-08-23",15.546254,15.786253,15.466254,15.696253,674500
"2001-08-24",16.13689,16.13689,15.18689,15.226891,1086800
"2001-08-27",14.858984,15.458984,14.788984,15.128984,1199500
"2001-08-28",15.449831,15.449831,14.799831,14.869831,736400
"2001-08-29",15.040357,15.100357,14.470358,14.570356,887900
"2001-08-30",14.613665,14.893666,14.243664,14.443665,1425000
"2001-08-31",14.435179,14.655178,14.405178,14.455179,1260500
"2001-09-04",14.362764,14.712765,14.062765,14.512766,1066100
"2001-09-05",14.392462,14.542464,13.992463,14.472462,779300
"2001-09-06",14.374864,14.744865,14.284864,14.414865,1831600
"2001-09-07",14.609958,14.609958,13.909957,14.149957,1370200
"2001-09-10",14.09781,14.217809,13.867808,14.057809,1480700
"2001-09-17",12.881062,14.281062,12.831063,13.741063,2068100
"2001-09-18",13.702927,14.322928,13.602927,13.982928,1519100
"2001-09-19",14.134095,14.364095,13.244094,13.764095,982400
"2001-09-20",13.643996,13.693995,13.243996,13.383996,1427500
"2001-09-21",12.627245,13.777245,12.577246,13.067246,1555000
"2001-09-24",13.160963,13.600964,13.160963,13.360964,1783700
"2001-09-25",13.393996,13.633996,13.153996,13.383996,1396300
"2001-09-26",13.56253,13.742531,13.262531,13.56253,1170700
"2001-09-27",13.421686,13.981686,13.361687,13.821686,1012600
"2001-09-28",13.962315,14.382315,13.622315,13.902313,1555700
"2001-10-01",13.814985,13.944986,13.594985,13.694986,1174100
"2001-10-02",13.665301,13.8853,13.3853,13.7353,1151300
"2001-10-03",13.726816,13.826817,13.526816,13.746817,1254200
"2001-10-04",13.82253,13.912531,13.462532,13.56253,1071600
"2001-10-05",13.831496,13.931494,12.631495,13.061495,1297400
"2001-10-08",12.903131,13.003131,12.303131,12.353132,1486500
"2001-10-09",12.185853,12.665853,12.165853,12.335853,2081200
"2001-10-10",12.417949,12.477949,12.137949,12.237949,3151600
"2001-10-11",12.403131,12.62313,12.223131,12.353132,2464600
"2001-10-12",12.180005,12.220005,11.830004,11.950005,2851600
"2001-10-15",11.930363,12.360363,11.520363,12.180363,2096800
"2001-10-16",12.387949,13.02795,12.237949,12.237949,2166000
"2001-10-17",13.000679,13.100679,12.220678,12.220678,1829600
"2001-10-18",12.342767,12.662767,12.072767,12.122766,1582300
"2001-10-19",12.086382,12.126381,11.836382,12.036381,1002900
"2001-10-22",11.868265,12.358265,11.858265,12.278265,898100
"2001-10-23",12.264021,12.554022,12.134022,12.284022,1062200
"2001-10-24",12.287732,12.687734,12.067733,12.577733,1021700
"2001-10-25",12.261397,12.811397,11.981397,12.681397,961600
"2001-10-26",12.433901,13.193901,12.343901,13.003901,1606700
"2001-10-29",13.305009,13.305009,12.59501,12.59501,1229500
"2001-10-30",12.723445,12.733446,12.143445,12.393445,882400
"2001-10-31",12.583707,12.763708,12.243707,12.243707,1197600
"2001-11-01",11.974115,12.684116,11.774116,12.664116,1146500
"2001-11-02",12.554115,12.964117,12.214117,12.664116,753200
"2001-11-05",12.706046,13.216047,12.706046,13.096046,1045100
"2001-11-06",12.875516,13.395516,12.785516,13.395516,1479500
"2001-11-07",13.543996,14.043996,13.243996,13.383996,1241600
"2001-11-08",13.423689,14.073689,13.323689,13.343689,1022500
"2001-11-09",13.361853,13.461853,13.011852,13.291853,702800
"2001-11-12",13.335779,13.345779,12.715778,13.245779,444400
"2001-11-13",13.244625,13.534626,13.234625,13.464624,745700
"2001-11-14",13.593997,13.693995,13.233996,13.383996,633200
"2001-11-15",13.177925,13.817924,13.167925,13.337925,689400
"2001-11-16",13.470022,13.550022,13.050022,13.240023,665700
"2001-11-19",13.230389,13.62039,13.230389,13.470388,481600
"2001-11-20",13.553371,13.75337,13.273371,13.303371,1042100
"2001-11-21",13.350023,13.470022,13.170023,13.240023,634800
"2001-11-23",13.201296,13.571295,13.201296,13.511296,403300
"2001-11-26",13.588818,13.688819,13.388818,13.668818,776700
"2001-11-27",13.770476,13.820477,13.380476,13.610476,898400
"2001-11-28",13.812952,13.83295,13.342951,13.382952,663300
"2001-11-29",13.384631,13.594632,13.204633,13.534633,609900
"2001-11-30",13.759612,13.759612,13.359613,13.359613,991400
"2001-12-03",13.355446,13.505446,13.065445,13.295447,1771900
"2001-12-04",13.381311,13.651311,13.241312,13.581312,1066400
"2001-12-05",13.555484,13.825485,13.435484,13.715484,970700
"2001-12-06",13.718002,13.938002,13.638002,13.838001,787900
"2001-12-07",13.758002,13.928002,13.608002,13.908001,566600
"2001-12-10",13.782996,13.842998,13.562997,13.802997,840400
"2001-12-11",13.969665,14.109664,13.729665,13.849664,780900
"2001-12-12",13.947153,13.947153,13.547153,13.727154,859500
"2001-12-13",13.875467,13.875467,13.355467,13.505467,1614800
