"","Open","High","Low","Close","Volume"
"2001-01-02",18.757544,21.632544,18.757544,19.382544,5316400
"2001-01-03",15.620924,24.308424,15.620924,24.245924,9756800
"2001-01-04",23.17547,25.05047,21.17547,22.61297,7727000
"2001-01-05",24.184502,24.809502,20.434502,21.122002,7406400
"2001-01-08",19.557457,23.307457,18.057457,22.932457,7545200
"2001-01-09",23.008947,24.446447,21.821447,23.571447,7927400
"2001-01-10",22.310467,25.560467,21.372967,22.435467,10060300
"2001-01-11",20.316927,25.129427,20.004427,24.316927,7736500
"2001-01-12",25.246462,25.496462,22.246462,22.683962,7793000
"2001-01-16",23.559502,23.684502,20.184502,21.122002,6512200
"2001-01-17",24.369957,26.494957,22.619957,22.932457,20394800
"2001-01-18",22.35038,26.60038,21.47538,26.16288,11141800
"2001-01-19",25.77389,27.52389,24.71139,25.52389,7941100
"2001-01-22",25.897926,26.210426,24.085426,24.210426,4440700
"2001-01-23",23.339407,25.589407,22.464407,25.026907,4562500
"2001-01-24",24.506897,26.694397,24.381897,25.381897,6507500
"2001-01-25",25.661913,26.099413,23.911913,24.849413,10189500
"2001-01-26",23.896423,25.021423,23.021423,24.458923,7605400
"2001-01-29",23.849413,25.474413,21.911913,24.849413,4312300
"2001-01-30",24.154385,27.404385,23.529385,26.091885,7811500
"2001-01-31",25.681385,28.868885,25.181385,26.056385,7094000
"2001-02-01",25.360388,27.672888,24.360388,25.985388,5171300
"2001-02-02",27.453421,28.390921,23.828421,23.890921,4484600
"2001-02-05",24.351452,24.413952,20.288952,23.038952,7127100
"2001-02-06",23.14422,24.80047,21.92547,22.61297,4980700
"2001-02-07",22.92149,23.35899,21.04649,21.79649,8022300
"2001-02-08",22.606506,23.919006,20.606506,20.731506,7182400
"2001-02-09",21.376516,22.939016,20.314016,20.376516,6094200
"2001-02-12",19.392967,22.767967,19.330467,22.080467,6336300
"2001-02-13",23.336502,25.524002,21.024002,21.086502,7811400
"2001-02-14",19.93191,25.86941,19.86941,24.49441,13504200
"2001-02-15",24.606411,27.481411,24.418911,25.168911,8999000
"2001-02-16",24.552944,25.927944,23.115444,23.677944,7875500
"2001-02-20",25.08445,25.45945,22.64695,22.89695,5208700
"2001-02-21",22.183962,27.121462,22.121462,22.683962,10785400
"2001-02-22",22.787447,26.287447,20.974947,23.287447,11015700
"2001-02-23",22.433287,24.761412,20.011412,24.636412,10375300
"2001-02-26",25.157928,25.220428,22.095428,24.032928,7125700
"2001-02-27",24.219458,25.094458,21.781958,22.719458,6356000
"2001-02-28",24.680523,24.680523,19.368023,20.305523,11517400
"2001-03-01",16.149967,22.524967,14.837467,22.399967,12164400
"2001-03-02",21.148468,25.898468,19.898468,22.648468,9652200
"2001-03-05",23.150942,24.963442,22.338442,23.713442,5209900
"2001-03-06",24.121891,26.496891,24.059391,25.559391,9040400
"2001-03-07",25.164383,26.539383,23.914383,25.914383,7782500
"2001-03-08",25.459892,26.397392,23.647392,25.772392,9100400
"2001-03-09",26.052944,26.990444,23.177944,23.677944,8240700
"2001-03-12",22.616947,26.554447,22.304447,23.429447,10233700
"2001-03-13",23.322409,24.884909,22.759909,24.884909,8412200
"2001-03-14",23.02389,26.08639,22.83639,25.52389,11885400
"2001-03-15",28.58145,28.76895,23.26895,23.39395,11233400
"2001-03-16",22.777979,23.590479,21.215479,21.902979,9927500
"2001-03-19",21.025942,24.025942,19.838442,23.713442,7711600
"2001-03-20",24.54649,26.23399,21.67149,21.79649,12651800
"2001-03-21",21.558962,24.496462,21.012087,22.683962,9466300
"2001-03-22",21.289383,26.164383,21.226883,25.914383,15445000
