"","KR.Open","KR.High","KR.Low","KR.Close","KR.Volume","KR.Adjusted"
"2001-01-02",13.375,13.40625,13.1875,13.34375,6300200,10.738204
"2001-01-03",13.34375,13.375,12.0625,12.375,12605200,9.958616
"2001-01-04",12.3125,12.34375,11.1875,11.5625,15112600,9.304768
"2001-01-05",11.53125,12.0625,11.5,11.59375,11879000,9.329914
"2001-01-08",11.6875,12.21875,11.65625,12,6178400,9.656842
"2001-01-09",12,12.1875,11.90625,11.9375,6271600,9.606542
"2001-01-10",11.90625,12,11.46875,11.59375,9e+06,9.329914
"2001-01-11",11.71875,11.875,11.5625,11.625,9040400,9.355064
"2001-01-12",11.625,11.625,11.09375,11.21875,7898800,9.02814
"2001-01-16",11.15625,11.78125,11.15625,11.71875,6229000,9.430505
"2001-01-17",12.125,12.125,11.75,12.0625,6656200,9.707136
"2001-01-18",12,12.3125,12,12.125,3612600,9.757434
"2001-01-19",12.0625,12.15625,11.75,12.0625,4504400,9.707136
"2001-01-22",12.375,12.5,12.25,12.5,4489600,10.059211
"2001-01-23",12.375,12.5,11.90625,12,7988400,9.656842
"2001-01-24",11.90625,12.15625,11.90625,12,3300200,9.656842
"2001-01-25",11.96875,11.96875,11.03125,11.8125,14649200,9.505952
"2001-01-26",11.875,12,11.8125,11.96875,3131600,9.631693
"2001-01-29",11.875,12.185,11.84,12.07,4858600,9.713173
"2001-01-30",12.275,12.275,11.93,11.975,3781000,9.636722
"2001-01-31",12.05,12.39,12.005,12.275,3599600,9.878141
"2001-02-01",12.3,12.595,12.26,12.45,5476000,10.018971
"2001-02-02",12.525,12.62,12.25,12.305,2647400,9.902287
"2001-02-05",12.26,12.37,12,12,4935200,9.656842
"2001-02-06",12.01,12.3,11.99,12.175,4876400,9.797671
"2001-02-07",12.275,12.58,12.225,12.555,4173200,10.103467
"2001-02-08",12.555,12.67,12.495,12.575,3108000,10.119562
"2001-02-09",12.5,12.6,12.4,12.55,3206000,10.099446
"2001-02-12",12.555,12.6,12.305,12.42,2862800,9.994828
"2001-02-13",12.325,12.35,11.875,11.995,6395400,9.652814
"2001-02-14",11.995,12.02,11.75,11.78,4603800,9.479797
"2001-02-15",12,12.35,11.955,12.26,7160600,9.866068
"2001-02-16",12.25,12.29,12.15,12.175,5285200,9.797671
"2001-02-20",12.25,12.505,12.2,12.33,6243000,9.922402
"2001-02-21",12.35,12.415,12,12.115,6270000,9.749385
"2001-02-22",12.115,12.385,11.91,12.28,4744400,9.882163
"2001-02-23",12.45,12.45,11.945,12,3492200,9.656842
"2001-02-26",12.115,12.195,12.055,12.105,2593600,9.741336
"2001-02-27",12.125,12.46,12.115,12.445,4805000,10.014948
"2001-02-28",12.475,12.49,12.04,12.12,5137400,9.753406
"2001-03-01",12.05,12.275,12,12.19,5867000,9.809739
"2001-03-02",12.06,12.3,12.045,12.16,3798400,9.785598
"2001-03-05",12.2,12.215,11.645,11.85,8715600,9.536126
"2001-03-06",11.875,11.89,11.375,11.5,11095200,9.25447
"2001-03-07",11.725,12,11.43,11.95,9772800,9.616602
"2001-03-08",11.875,12.5,11.875,12.475,8396000,10.039088
"2001-03-09",12.45,12.625,12.395,12.475,7914200,10.039088
"2001-03-12",12.5,12.805,12.275,12.365,6497400,9.950569
"2001-03-13",12.175,12.5,11.825,12.01,4660400,9.664888
"2001-03-14",12.01,12.025,11.45,11.52,5608000,9.270565
"2001-03-15",11.54,11.54,11.2,11.295,7799600,9.089501
"2001-03-16",11.51,11.92,11.51,11.76,8279200,9.463701
"2001-03-19",11.8,11.9,11.685,11.785,3905600,9.483819
"2001-03-20",11.9,12.12,11.86,11.96,5830000,9.62465
"2001-03-21",12,12.1,11.685,11.69,5588200,9.407368
"2001-03-22",11.625,11.625,11.385,11.52,11057000,9.270565
"2001-03-23",11.485,11.78,11.38,11.775,8390800,9.475777
"2001-03-26",11.575,11.99,11.575,11.985,4946200,9.64477
"2001-03-27",11.975,12.6,11.975,12.475,8427200,10.039088
"2001-03-28",12.375,12.655,12.275,12.495,8313600,10.055182
"2001-03-29",12.515,12.875,12.5,12.79,10747000,10.292582
"2001-03-30",12.785,12.925,12.76,12.895,7337000,10.37708
"2001-04-02",12.895,12.925,12.53,12.62,5459200,10.155772
"2001-04-03",12.7,12.705,12.385,12.44,6478000,10.010924
"2001-04-04",12.35,12.475,12.145,12.275,5591800,9.878141
"2001-04-05",12.175,12.175,10.71,11.495,42323800,9.250448
"2001-04-06",11.495,11.575,10.875,11.06,13532000,8.900386
"2001-04-09",11.225,11.45,11.105,11.375,6675000,9.153878
"2001-04-10",11.25,11.36,11.025,11.245,10467800,9.04926
"2001-04-11",11.225,11.245,10.84,11.06,8889000,8.900386
"2001-04-12",10.95,11.125,10.915,10.94,5241400,8.803822
"2001-04-16",10.89,10.975,10.58,10.72,6249600,8.626776
"2001-04-17",10.645,11.175,10.645,11.17,12069400,8.988905
"2001-04-18",11.25,11.45,10.95,11.09,9758200,8.924526
"2001-04-19",11.09,11.5,11.075,11.22,5698400,9.029144
"2001-04-20",11.275,11.39,11,11.1,7693600,8.932576
"2001-04-23",11.15,11.15,10.94,11.025,4861800,8.872222
"2001-04-24",11,11.1,10.965,11.045,5100800,8.888313
"2001-04-25",11,11.175,11,11.125,4944600,8.952693
"2001-04-26",11.135,11.22,11.09,11.15,7581800,8.972815
"2001-04-27",11.19,11.295,11.105,11.155,6226800,8.976834
"2001-04-30",11.2,11.46,11.175,11.295,7168000,9.089501
"2001-05-01",11.55,11.9,11.475,11.87,10494400,9.552222
"2001-05-02",12,12.525,11.96,12.525,15163200,10.079324
"2001-05-03",12.45,12.6,12.375,12.505,9443000,10.063231
"2001-05-04",12.45,12.65,12.385,12.65,10327600,10.179916
"2001-05-07",12.5,12.54,12.3,12.365,2538800,9.950569
"2001-05-08",12.38,12.44,11.875,12,4115200,9.656842
"2001-05-09",12,12.25,11.89,12.175,4756600,9.797671
"2001-05-10",12.25,12.44,11.99,12.375,3912400,9.958616
"2001-05-11",12.375,12.38,11.985,12.095,2848200,9.733292
"2001-05-14",12.095,12.19,11.905,12.03,3723600,9.680982
"2001-05-15",12,12.05,11.685,11.8,4963600,9.495894
"2001-05-16",11.765,12.075,11.765,12,4951000,9.656842
"2001-05-17",12.025,12.1,11.725,11.885,5829200,9.564293
"2001-05-18",12,12.035,11.855,11.95,5055200,9.616602
"2001-05-21",11.995,12.025,11.76,12,7504000,9.656842
"2001-05-22",11.95,12.25,11.85,12.005,6981600,9.660864
"2001-05-23",12.005,12.01,11.8,11.955,5004800,9.620625
"2001-05-24",11.955,12.255,11.95,12.25,4006200,9.858024
"2001-05-25",12.25,12.255,12.025,12.055,2894000,9.701097
"2001-05-29",12.025,12.395,12.025,12.39,3188600,9.970689
"2001-05-30",12.275,12.485,12.24,12.38,4627800,9.962637
"2001-05-31",12.375,12.6,12.325,12.47,4628200,10.035066
"2001-06-01",12.375,12.62,12.28,12.5,4475200,10.059211
"2001-06-04",12.225,12.625,12.18,12.5,3967600,10.059211
"2001-06-05",12.275,12.47,12.275,12.39,3620000,9.970689
"2001-06-06",12.225,12.45,12.2,12.37,3174200,9.954594
"2001-06-07",12.25,12.6,12.25,12.515,2979400,10.071278
"2001-06-08",12.5,12.595,12.455,12.55,1929000,10.099446
"2001-06-11",12.5,12.62,12.48,12.53,2902200,10.083348
"2001-06-12",12.415,12.825,12.385,12.725,3905400,10.240274
"2001-06-13",12.73,12.85,12.64,12.76,2942000,10.26844
"2001-06-14",12.725,12.75,12.4,12.425,3016000,9.99885
"2001-06-15",12.425,12.82,12.38,12.655,8941800,10.18394
"2001-06-18",12.725,12.735,12.47,12.555,4297200,10.103467
"2001-06-19",12.7,12.7,12.425,12.5,4616600,10.059211
"2001-06-20",12.25,12.38,12,12.175,6303200,9.797671
"2001-06-21",12.05,12.5,12.05,12.45,5671200,10.018971
"2001-06-22",12.45,12.495,12.255,12.44,4501200,10.010924
"2001-06-25",12.2,12.575,12.085,12.455,6063800,10.022995
"2001-06-26",12.25,12.725,12.25,12.375,7247600,9.958616
"2001-06-27",12.3,12.75,12.3,12.75,7373400,10.260392
"2001-06-28",12.845,13.06,12.775,12.905,4648000,10.385127
"2001-06-29",12.75,13,12.155,12.5,8412600,10.059211
"2001-07-02",12.65,12.83,12.575,12.71,6473600,10.2282
"2001-07-03",12.96,12.965,12.62,12.685,4933800,10.208085
"2001-07-05",12.775,12.95,12.7,12.785,5444800,10.288556
"2001-07-06",12.83,12.9,12.725,12.735,3536600,10.248324
"2001-07-09",12.75,12.75,12.275,12.48,6232600,10.043112
"2001-07-10",12.6,12.6,12.175,12.175,5203200,9.797671
"2001-07-11",12.25,12.275,11.95,11.995,5733800,9.652814
"2001-07-12",11.995,11.995,11.625,11.7,7322800,9.41542
"2001-07-13",11.725,11.93,11.55,11.89,6301000,9.56832
"2001-07-16",11.965,12.025,11.855,11.9,4467000,9.576365
"2001-07-17",11.925,12.26,11.925,12.245,7976200,9.853997
"2001-07-18",12.25,12.51,12.21,12.495,7136200,10.055182
"2001-07-19",12.6,12.63,12.48,12.57,5789800,10.115541
"2001-07-20",12.68,12.875,12.635,12.83,5037800,10.32477
"2001-07-23",12.705,12.805,12.505,12.515,4521000,10.071278
"2001-07-24",12.52,12.75,12.41,12.625,6165600,10.1598
"2001-07-25",12.755,12.775,12.6,12.74,5309400,10.252344
"2001-07-26",12.62,12.725,12.56,12.695,4230800,10.216133
"2001-07-27",12.8,12.95,12.63,12.82,4264600,10.316721
"2001-07-30",12.75,13.035,12.675,13.02,4206800,10.47767
"2001-07-31",13,13.35,12.98,13.18,5841800,10.60643
"2001-08-01",13.1,13.2,12.9,13.085,3875400,10.529979
"2001-08-02",13.065,13.41,13.055,13.4,7205200,10.78347
"2001-08-03",13.4,13.45,13.135,13.25,5469000,10.662759
"2001-08-06",13.135,13.25,12.995,13.09,4941800,10.534004
"2001-08-07",13.09,13.095,12.9,12.94,6541000,10.413291
"2001-08-08",12.875,12.89,12.625,12.74,6449400,10.252344
"2001-08-09",12.74,12.74,12.44,12.61,5856600,10.147731
"2001-08-10",12.725,13.14,12.715,13.025,4934400,10.481691
"2001-08-13",13.05,13.1,12.895,13.045,2991400,10.497787
"2001-08-14",13.125,13.515,12.625,13.435,6497600,10.811634
"2001-08-15",13.315,13.5,12.96,13,6120400,10.461574
"2001-08-16",13,13.185,12.775,12.85,5798800,10.340866
"2001-08-17",12.8,12.86,12.64,12.76,4905000,10.26844
"2001-08-20",12.675,12.845,12.675,12.785,4226400,10.288556
"2001-08-21",12.9,13.175,12.8,12.91,3405200,10.389146
"2001-08-22",13.09,13.225,12.875,13.15,4429400,10.582287
"2001-08-23",13.065,13.375,13.05,13.24,4412400,10.654713
"2001-08-24",13.12,13.5,13.095,13.5,4628600,10.863942
"2001-08-27",13.25,13.575,13.155,13.235,4788200,10.650688
"2001-08-28",13.11,13.49,13.1,13.35,4039200,10.743236
"2001-08-29",13.28,13.315,13.05,13.175,3015000,10.602406
"2001-08-30",13.025,13.32,13.025,13.23,5812000,10.646665
"2001-08-31",13.25,13.45,13.15,13.31,4223200,10.711043
"2001-09-04",13.435,13.83,13.43,13.68,8825400,11.008798
"2001-09-05",13.45,13.5,13.15,13.3,6484200,10.702995
"2001-09-06",13.1,13.385,13.1,13.295,4815200,10.698973
"2001-09-07",13.42,13.43,13.215,13.32,7295200,10.719089
"2001-09-10",13.32,13.55,13.21,13.525,6918200,10.884061
"2001-09-17",13.525,13.55,13.165,13.205,7645000,10.626545
"2001-09-18",13.65,13.665,12.72,13.02,11114800,10.47767
"2001-09-19",13.02,13.45,11.99,12.265,21877200,9.870095
"2001-09-20",12.35,12.385,11.865,11.885,14425200,9.564293
"2001-09-21",11.625,11.7,11.35,11.645,10850000,9.371157
"2001-09-24",11.875,12.2,11.675,12,6195000,9.656842
"2001-09-25",12.05,12.66,12.025,12.65,9089200,10.179916
"2001-09-26",12.65,12.685,11.935,12.045,16126600,9.693051
"2001-09-27",12.025,12.25,11.905,12.2,7811000,9.817787
"2001-09-28",12.375,12.455,12.16,12.32,9815800,9.914354
"2001-10-01",12.48,12.495,11.9,11.995,9526000,9.652814
"2001-10-02",12.12,12.245,11.96,12.115,11053800,9.749385
"2001-10-03",12.175,12.59,12.05,12.43,9458000,10.002873
"2001-10-04",12.3,12.5,12.275,12.31,7425000,9.906306
"2001-10-05",12.275,12.38,12.175,12.38,5992400,9.962637
"2001-10-08",12.355,12.43,12.015,12.205,3918200,9.821811
"2001-10-09",12.25,12.375,12.11,12.37,5471400,9.954594
"2001-10-10",12.49,12.625,12.365,12.39,4980200,9.970689
"2001-10-11",12.375,12.625,12.375,12.5,5257200,10.059211
"2001-10-12",12.49,12.62,12.34,12.52,5006200,10.0753
"2001-10-15",12.475,12.62,12.41,12.5,4551600,10.059211
"2001-10-16",12.525,12.525,12.25,12.325,4451000,9.918377
"2001-10-17",12.475,12.58,12.325,12.42,5255200,9.994828
"2001-10-18",12.5,12.595,12.24,12.39,3222600,9.970689
"2001-10-19",12.335,12.55,12.28,12.5,4274000,10.059211
"2001-10-22",12.38,12.58,12.36,12.55,2460800,10.099446
"2001-10-23",12.64,12.955,12.47,12.505,3611200,10.063231
"2001-10-24",12.65,12.745,12.165,12.18,3688200,9.80169
"2001-10-25",11.9,12.005,11.675,12.005,9782600,9.660864
"2001-10-26",12.05,12.2,12,12.08,6997600,9.721218
"2001-10-29",12.175,12.57,12.01,12.26,5227800,9.866068
"2001-10-30",12.175,12.25,12,12.135,4013000,9.765479
"2001-10-31",12.15,12.335,12.145,12.23,4328000,9.841926
"2001-11-01",12.3,12.425,12.185,12.3,6099800,9.898261
"2001-11-02",12.35,12.35,12.205,12.24,5701000,9.849977
"2001-11-05",12.3,12.305,12.11,12.135,4481600,9.765479
"2001-11-06",12.225,12.23,12,12.05,7252600,9.697072
"2001-11-07",12.125,12.26,12.075,12.125,6406800,9.757434
"2001-11-08",12.225,12.375,12.07,12.17,4310200,9.793649
"2001-11-09",12.22,12.245,12,12.12,4024800,9.753406
"2001-11-12",12.165,12.195,11.75,11.91,17946400,9.584414
"2001-11-13",12.1,12.12,11.975,12.115,6996800,9.749385
"2001-11-14",12.15,12.375,12.125,12.225,4050600,9.837905
"2001-11-15",12.325,12.635,12.275,12.375,4979000,9.958616
"2001-11-16",12.375,12.565,12.28,12.34,4097600,9.930449
"2001-11-19",12.325,12.44,12.175,12.19,4257000,9.809739
"2001-11-20",12.2,12.505,12.175,12.495,4614200,10.055182
"2001-11-21",12.425,12.49,12.205,12.26,2154200,9.866068
"2001-11-23",12.285,12.45,12.215,12.445,1358400,10.014948
"2001-11-26",12.375,12.7,12.325,12.615,5874600,10.151753
"2001-11-27",12.6,12.75,12.405,12.57,4345000,10.115541
"2001-11-28",12.675,12.89,12.45,12.525,5219000,10.079324
"2001-11-29",12.5,12.79,12.45,12.75,4781600,10.260392
"2001-11-30",12.725,12.805,12.615,12.66,4229600,10.187964
"2001-12-03",12.53,12.75,12.52,12.685,3482000,10.208085
"2001-12-04",12.725,12.86,12.625,12.85,3668600,10.340866
"2001-12-05",12.855,12.97,12.75,12.925,5896600,10.40122
"2001-12-06",12.85,12.865,12.7,12.725,4272600,10.240274
"2001-12-07",12.68,12.71,12.245,12.3,13008400,9.898261
"2001-12-10",12.25,12.255,11.65,11.65,12889600,9.37518
"2001-12-11",10.55,10.765,9.8,9.96,82216600,8.015175
"2001-12-12",10.475,10.475,9.945,9.97,34194000,8.023224
"2001-12-13",10.025,10.045,9.975,9.985,16595200,8.035296
"2001-12-14",10.025,10.34,10,10.255,16290800,8.252573
"2001-12-17",10.295,10.295,9.995,10.075,9067200,8.107723
"2001-12-18",10.145,10.225,10.05,10.05,19264400,8.087604
"2001-12-19",9.975,10.175,9.96,9.985,16628600,8.035296
"2001-12-20",10.015,10.135,10.01,10.065,14441800,8.099673
"2001-12-21",10,10.25,10,10.25,17810600,8.248552
"2001-12-24",10.175,10.33,10.13,10.25,6282200,8.248552
"2001-12-26",10.35,10.35,10.225,10.245,7180200,8.244526
"2001-12-27",10.29,10.525,10.2,10.46,12627600,8.417544
"2001-12-28",10.5,10.575,10.425,10.5,8416200,8.449737
"2001-12-31",10.5,10.525,10.325,10.435,7223800,8.397426
"2002-01-02",10.4,10.405,10.125,10.26,13281400,8.256598
"2002-01-03",10.275,10.325,10.12,10.31,10899600,8.296833
"2002-01-04",10.31,10.5,10.165,10.215,13667400,8.220387
"2002-01-07",10.315,10.4,10.22,10.26,11897800,8.256598
"2002-01-08",10.275,10.3,9.995,10.175,16990400,8.188196
"2002-01-09",10.125,10.25,10.125,10.225,9489000,8.228431
"2002-01-10",10.22,10.4,10.215,10.25,9241200,8.248552
"2002-01-11",10.325,10.4,10.26,10.28,11119000,8.272695
"2002-01-14",10.3,10.375,10.185,10.19,8444600,8.200264
"2002-01-15",10.175,10.26,10.135,10.26,8893800,8.256598
"2002-01-16",10.25,10.295,10.24,10.26,9635200,8.256598
"2002-01-17",10.225,10.465,10.225,10.305,9582000,8.292814
"2002-01-18",10.25,10.37,10.21,10.265,10958000,8.260621
"2002-01-22",10.3,10.34,10.135,10.205,8163400,8.212336
"2002-01-23",10.24,10.24,10.075,10.24,7530200,8.2405
"2002-01-24",10.195,10.375,10.075,10.36,12894200,8.337072
"2002-01-25",10.175,10.375,10.15,10.355,8873600,8.33305
"2002-01-28",10.475,10.55,10.4,10.525,9916600,8.469854
"2002-01-29",10.55,10.565,10.215,10.345,10184800,8.325001
"2002-01-30",10.45,10.455,10.21,10.38,9369600,8.353165
"2002-01-31",10.42,10.455,10.15,10.3,11143800,8.288787
"2002-02-01",10.25,10.285,10.075,10.165,7847000,8.180146
"2002-02-04",10.175,10.295,10.125,10.21,7590000,8.216359
"2002-02-05",10.3,10.44,10.25,10.395,7067600,8.365236
"2002-02-06",10.325,10.39,10.19,10.19,9564800,8.200264
"2002-02-07",10.29,10.515,10.245,10.465,8176000,8.421569
"2002-02-08",10.425,10.43,10.25,10.285,4816600,8.276713
"2002-02-11",10.275,10.375,10.25,10.29,4345600,8.280737
"2002-02-12",10.275,10.44,10.27,10.425,5406800,8.389378
"2002-02-13",10.425,10.425,10.25,10.275,5840600,8.268669
"2002-02-14",10.265,10.5,10.265,10.415,8133000,8.381332
"2002-02-15",10.445,10.47,10.27,10.285,5895000,8.276713
"2002-02-19",10.25,10.335,10.22,10.29,5455400,8.280737
"2002-02-20",10.375,10.675,10.3,10.645,8535400,8.566422
"2002-02-21",10.5,10.725,10.35,10.38,6240200,8.353165
"2002-02-22",10.29,10.595,10.285,10.58,5481800,8.514112
"2002-02-25",10.65,10.795,10.6,10.75,6744800,8.650919
"2002-02-26",10.825,11.15,10.75,11.015,8387800,8.864173
"2002-02-27",11,11.07,10.955,11.015,5367600,8.864173
"2002-02-28",11.125,11.25,10.98,11.075,7986800,8.912459
"2002-03-01",11.025,11.295,11.025,11.175,5820000,8.992933
"2002-03-04",11.375,11.46,11.165,11.39,6223800,9.165949
"2002-03-05",10.95,11.5,10.925,11.305,10302800,9.097548
"2002-03-06",11.3,11.325,11.1,11.155,6649400,8.976834
"2002-03-07",11.16,11.175,10.95,11.125,6917600,8.952693
"2002-03-08",11.25,11.25,11.105,11.15,6272800,8.972815
"2002-03-11",11.27,11.35,11.155,11.275,5766200,9.073405
"2002-03-12",11.125,11.225,10.805,10.99,8249400,8.844056
"2002-03-13",11.16,11.3,11.05,11.105,8349000,8.936598
"2002-03-14",11.075,11.19,11.05,11.12,7453400,8.94867
"2002-03-15",11.24,11.25,11.125,11.17,7108000,8.988905
"2002-03-18",11.1,11.185,11.1,11.11,4507600,8.940623
"2002-03-19",11.125,11.32,11.125,11.185,5169200,9.000978
"2002-03-20",11.125,11.29,11.09,11.225,6504600,9.033167
"2002-03-21",11.25,11.25,11.1,11.15,4794000,8.972815
"2002-03-22",11.175,11.28,11.145,11.245,6235600,9.04926
"2002-03-25",11.15,11.355,11.05,11.085,6140200,8.920507
"2002-03-26",11.1,11.25,11,11.1,9317600,8.932576
"2002-03-27",11.12,11.155,11.01,11.15,6309600,8.972815
"2002-03-28",11.1,11.18,11.055,11.08,6954200,8.916485
"2002-04-01",11.1,11.1,10.9,10.9,5525400,8.771628
"2002-04-02",10.9,11.02,10.85,11,4653800,8.852106
"2002-04-03",10.95,11.09,10.905,11.005,5310200,8.856125
"2002-04-04",11.15,11.245,11,11.15,6305400,8.972815
"2002-04-05",11.04,11.12,10.975,11,6408200,8.852106
"2002-04-08",10.95,11.05,10.915,11.035,4682600,8.880267
"2002-04-09",11.125,11.55,11.08,11.43,8423800,9.198138
"2002-04-10",11.5,11.6,11.385,11.53,6366600,9.278611
"2002-04-11",11.53,11.615,11.1,11.24,8513200,9.045239
"2002-04-12",11.25,11.265,11,11.075,7470800,8.912459
"2002-04-15",11.075,11.3,11.035,11.25,4447800,9.053285
"2002-04-16",11.26,11.37,11.125,11.18,4594600,8.996954
"2002-04-17",11.18,11.255,11.025,11.085,5853000,8.920507
"2002-04-18",11.125,11.27,11.11,11.195,4231800,9.009027
"2002-04-19",11.25,11.27,11.145,11.25,4224200,9.053285
"2002-04-22",11.25,11.35,11.16,11.35,4758000,9.133759
"2002-04-23",11.475,11.53,11.35,11.39,7852400,9.165949
"2002-04-24",11.475,11.495,11.25,11.39,5383400,9.165949
"2002-04-25",11.265,11.45,11.145,11.27,4345000,9.069381
"2002-04-26",11.27,11.415,11.135,11.195,3863400,9.009027
"2002-04-29",11.12,11.335,11.075,11.08,4297800,8.916485
"2002-04-30",11.2,11.48,11.175,11.385,5774200,9.161924
"2002-05-01",11.335,11.6,11.2,11.485,8848000,9.2424
"2002-05-02",11.36,11.64,11.315,11.45,6784000,9.214234
"2002-05-03",11.35,11.425,11.21,11.35,3599200,9.133759
"2002-05-06",11.4,11.815,11.4,11.55,5280000,9.294709
"2002-05-07",11.7,11.905,11.62,11.695,7160800,9.411393
"2002-05-08",11.775,11.85,11.625,11.74,5498800,9.447604
"2002-05-09",11.525,11.635,11.36,11.415,5980600,9.186064
"2002-05-10",11.425,11.46,11.15,11.375,7375600,9.153878
"2002-05-13",11.275,11.5,11.275,11.425,4866000,9.194115
"2002-05-14",11.425,11.595,11.115,11.295,8047200,9.089501
"2002-05-15",11.225,11.365,11.05,11.21,7066400,9.021099
"2002-05-16",11.175,11.18,10.955,10.99,6885600,8.844056
"2002-05-17",10.965,11.23,10.965,11.2,4769200,9.01305
"2002-05-20",11.175,11.225,11.025,11.075,4664400,8.912459
"2002-05-21",11.15,11.27,10.96,10.99,5470000,8.844056
"2002-05-22",11.025,11.4,11.005,11.29,5655800,9.085476
"2002-05-23",11.275,11.33,11.17,11.275,4596000,9.073405
"2002-05-24",11.15,11.31,11.15,11.2,4231800,9.01305
"2002-05-28",11.225,11.4,11.155,11.26,3722600,9.061336
"2002-05-29",11.26,11.525,11.255,11.445,5276200,9.210208
"2002-05-30",11.4,11.45,11.02,11.135,8372400,8.960746
"2002-05-31",11.15,11.3,11.115,11.175,7810000,8.992933
"2002-06-03",11.225,11.335,11.075,11.14,4307400,8.964766
"2002-06-04",11.19,11.225,10.9,11.085,7185800,8.920507
"2002-06-05",11.125,11.225,11.025,11.16,5550200,8.98086
"2002-06-06",11.15,11.155,10.75,10.8,5104600,8.691158
"2002-06-07",10.8,11,10.7,10.9,5584800,8.771628
"2002-06-10",10.975,11.125,10.94,10.99,3762200,8.844056
"2002-06-11",11.045,11.05,10.53,10.6,5942200,8.53021
"2002-06-12",10.19,10.2,9.8,9.95,20388200,8.007132
"2002-06-13",10.3,10.3,9.635,9.91,23004600,7.974942
