"","Open","High","Low","Close","Volume"
"2001-01-02",45.275658,46.525658,43.463158,43.775658,1990100
"2001-01-03",43.771564,47.334064,40.959064,47.146564,2476300
"2001-01-04",51.218075,51.843075,48.280575,51.718075,5955300
"2001-01-05",51.589214,51.776714,47.651714,47.839214,3639000
"2001-01-08",46.969799,49.157299,46.594799,47.469799,1838800
"2001-01-09",48.301418,48.301418,46.113918,47.238918,1549700
"2001-01-10",45.94746,49.19746,45.57246,48.94746,1702100
"2001-01-11",48.332764,51.395264,47.207764,50.332764,2547400
"2001-01-12",50.280994,51.280994,49.030994,50.655994,1290700
"2001-01-16",50.454975,51.454975,49.454975,50.517475,1252000
"2001-01-17",50.664375,51.101875,49.789375,50.101875,1258300
"2001-01-18",50.099522,50.287022,48.349522,49.224522,1058000
"2001-01-19",49.154072,49.154072,47.154072,48.716572,1960400
"2001-01-22",48.859825,50.859825,48.859825,50.609825,1342000
"2001-01-23",50.724094,51.349094,50.036594,50.286594,1139900
"2001-01-24",49.930264,51.680264,48.992764,51.117764,1511300
"2001-01-25",50.870117,52.370117,49.807617,51.995117,2645700
"2001-01-26",51.843075,52.468075,49.718075,51.718075,1318300
"2001-01-29",51.524799,52.974796,51.274799,52.264797,881900
"2001-01-30",52.110992,52.570991,50.610992,52.020996,1391300
"2001-01-31",51.616894,53.656887,51.616894,52.45689,1671200
"2001-02-01",52.690093,52.740097,50.950096,52.080093,1131100
"2001-02-02",52.842449,52.852444,50.212444,50.602444,986500
"2001-02-05",50.362446,51.312443,49.892445,50.602444,949100
"2001-02-06",50.995876,52.075878,50.375881,50.705875,1568300
"2001-02-07",50.182507,52.162503,49.292508,50.432507,2046000
"2001-02-08",51.504188,51.504188,49.354186,49.494186,2543200
"2001-02-09",49.828045,50.678043,48.228047,48.578045,1580800
"2001-02-12",48.09866,51.34866,47.628659,51.34866,1706700
"2001-02-13",51.189342,52.419345,50.439342,51.799343,1893400
"2001-02-14",51.935155,51.935155,50.825154,51.41515,2003800
"2001-02-15",51.907964,52.207959,50.517964,50.897961,1858300
"2001-02-16",50.719929,52.289928,50.519924,51.429928,1764900
"2001-02-20",52.142735,53.482731,51.242733,53.062733,2065100
"2001-02-21",52.913948,53.153946,50.663948,51.163948,2590000
"2001-02-22",49.87175,51.271752,48.271752,50.151749,2350000
"2001-02-23",49.119827,50.809822,47.409828,50.609825,2034400
"2001-02-26",50.296425,52.296425,50.196427,51.496422,1640000
"2001-02-27",51.937794,52.5378,49.587795,50.247799,2226500
"2001-02-28",49.786255,50.586258,47.596253,48.696259,3151200
"2001-03-01",49.467434,49.477428,45.80743,45.80743,3323200
"2001-03-02",45.47908,47.22908,44.22908,46.029079,2697500
"2001-03-05",46.415676,47.115677,44.675674,46.915676,2520400
"2001-03-06",46.520581,48.970578,46.520581,48.740582,2861300
"2001-03-07",48.5891,49.219097,48.079098,49.169102,1492900
"2001-03-08",49.236634,49.736634,48.286637,48.836632,1298300
"2001-03-09",48.39183,48.691825,47.191825,47.831825,1508500
"2001-03-12",48.439526,48.439526,45.989529,45.999527,1629000
"2001-03-13",46.169288,46.879291,44.13929,45.519291,2006400
"2001-03-14",45.330521,47.47052,44.47052,46.760521,2659700
"2001-03-15",47.290313,48.130309,46.550311,47.270313,1643000
"2001-03-16",47.30743,47.80743,45.607429,45.80743,1739400
"2001-03-19",46.05743,46.407428,44.80743,45.80743,1837900
"2001-03-20",45.876098,47.7761,45.826099,45.896099,1757400
"2001-03-21",45.966751,46.416752,44.466751,45.35675,1692600
"2001-03-22",46.441066,46.441066,39.671066,42.261066,4389100
"2001-03-23",42.362594,43.892597,40.462597,43.812595,2212500
"2001-03-26",44.512252,44.852252,42.742252,44.662254,1568100
"2001-03-27",44.522736,45.812733,43.072735,45.622734,1685400
"2001-03-28",45.567428,46.30743,43.657428,45.80743,1823500
"2001-03-29",45.265545,46.235546,44.185547,45.105545,1575200
"2001-03-30",45.738399,46.048401,43.338402,45.5784,1549900
"2001-04-02",45.575798,46.0858,44.5158,45.5858,1126200
"2001-04-03",47.205044,47.205044,40.505043,41.005043,4514400
"2001-04-04",40.97631,42.926311,40.56631,41.086311,4556400
"2001-04-05",42.151013,43.421013,41.401013,43.421013,1682000
"2001-04-06",42.380848,43.580849,41.390846,42.770847,2216200
"2001-04-09",42.835998,43.285999,40.416,40.775997,2768000
"2001-04-10",41.65913,42.099129,40.169128,40.56913,2899700
"2001-04-11",42.810203,42.910206,39.010204,39.010204,5061100
"2001-04-12",35.94904,39.749039,34.649041,39.749039,11592100
"2001-04-16",38.659855,40.309857,37.669853,39.859856,2898700
"2001-04-17",39.484212,41.054211,38.544213,40.894211,2076200
"2001-04-18",40.131283,45.681282,39.891281,44.891281,4182000
"2001-04-19",44.411937,45.021938,43.571937,44.351936,2359100
"2001-04-20",44.337612,44.367611,42.987614,44.307613,1724400
"2001-04-23",44.169285,45.519283,43.359284,43.369286,1504500
"2001-04-24",42.880435,42.980438,40.830436,41.640438,2234300
"2001-04-25",41.382358,43.682357,41.102355,43.332359,1356300
"2001-04-26",42.721183,45.071186,42.561183,44.071186,1744100
"2001-04-27",43.694371,46.694371,43.694371,45.844368,1319700
"2001-04-30",46.152916,46.552918,45.112919,45.112919,1346200
"2001-05-01",45.41122,47.361225,44.561222,47.211224,3006600
"2001-05-02",47.01603,47.616033,45.716031,46.066029,1418000
"2001-05-03",44.977543,46.067543,43.837543,44.477543,2987300
"2001-05-04",43.373417,44.433414,43.093414,43.923416,2482500
"2001-05-07",44.868236,44.868236,42.478232,42.778236,2275900
"2001-05-08",43.689049,44.089051,42.099049,42.88905,2400300
