"","Open","High","Low","Close","Volume"
"2001-01-02",9.291055,9.353555,8.478555,8.666055,517700
"2001-01-03",8.491677,9.241677,8.116677,9.179177,440700
"2001-01-04",9.181329,9.931329,9.181329,9.806329,438400
"2001-01-05",9.850218,9.850218,9.225218,9.350218,631900
"2001-01-08",9.265776,9.703276,9.265776,9.578276,212700
"2001-01-09",9.708761,9.771261,9.333761,9.521261,184700
"2001-01-10",9.08925,9.58925,8.96425,9.46425,368000
"2001-01-11",9.453276,9.640776,9.328276,9.578276,348500
"2001-01-12",9.622166,9.622166,9.122166,9.122166,429200
"2001-01-16",9.192299,9.692299,9.129799,9.692299,354400
"2001-01-17",9.792018,10.729518,9.729518,10.604518,703100
"2001-01-18",10.55299,10.61549,10.24049,10.49049,460200
"2001-01-19",10.920355,10.982855,9.920355,9.920355,734000
"2001-01-22",9.92799,10.74049,9.86549,10.49049,476500
"2001-01-23",10.775559,11.025559,10.650559,10.775559,471100
"2001-01-24",10.797503,10.797503,10.360003,10.547503,403100
"2001-01-25",10.36549,10.49049,10.05299,10.49049,488000
"2001-01-26",10.479518,10.854518,10.479518,10.604518,207600
"2001-01-29",10.699194,11.569194,10.659194,11.439194,469500
"2001-01-30",11.742516,11.992516,11.442516,11.612516,556800
"2001-01-31",11.871296,11.871296,11.391296,11.521296,659000
"2001-02-01",11.52076,11.73076,11.40076,11.63076,535500
"2001-02-02",11.600036,12.030036,11.560036,11.950036,507700
"2001-02-05",11.798279,12.328279,11.778279,11.968279,885400
"2001-02-06",12.209084,13.349084,12.149084,12.999084,902500
"2001-02-07",12.793854,12.843854,12.423854,12.533854,374600
"2001-02-08",12.575916,13.195916,12.485916,13.135916,392100
"2001-02-09",13.514849,13.634849,13.274849,13.354849,585100
"2001-02-12",13.411032,13.411032,12.771032,12.771032,379000
"2001-02-13",12.348361,13.338361,12.108361,13.318361,1516300
"2001-02-14",13.5079,13.5279,12.1979,12.3879,646300
"2001-02-15",12.294924,12.404924,11.814924,12.314924,563600
"2001-02-16",11.801756,12.601756,11.771756,12.451756,222800
"2001-02-20",12.731566,12.881566,12.581566,12.661566,248800
"2001-02-21",12.687022,12.747022,12.257022,12.397022,237300
"2001-02-22",11.999123,13.049123,11.899123,12.479123,1865300
"2001-02-23",12.5842,12.8542,12.5042,12.6342,738900
"2001-02-26",12.69645,13.04645,12.69645,13.02645,316900
"2001-02-27",12.911526,13.231526,12.911526,13.181526,513900
"2001-02-28",13.185005,14.185005,13.135005,13.665005,927800
"2001-03-01",13.561493,13.931493,13.181493,13.701493,786200
"2001-03-02",13.700805,13.700805,13.150805,13.500805,740600
"2001-03-05",13.492029,13.592029,13.372029,13.592029,216700
"2001-03-06",13.647293,13.757293,13.317293,13.537293,367300
"2001-03-07",13.539046,13.669046,13.369046,13.519046,284100
"2001-03-08",13.493591,13.923591,13.393591,13.783591,569600
"2001-03-09",13.717637,13.727637,13.437637,13.637637,186800
"2001-03-12",13.519275,13.569275,12.639275,12.789275,528600
"2001-03-13",12.628624,12.708624,11.598624,12.068624,710400
"2001-03-14",11.774653,11.874653,10.994653,11.174653,652300
"2001-03-15",11.029885,11.729885,10.629885,11.639885,440400
"2001-03-16",11.347476,11.447476,10.807476,10.937476,319700
"2001-03-19",10.519194,11.499194,10.499194,11.439194,349100
"2001-03-20",11.253052,11.633052,11.253052,11.503052,152300
"2001-03-21",11.432899,11.662899,10.982899,11.192899,150800
"2001-03-22",11.045718,11.245718,10.655718,10.955718,377200
"2001-03-23",11.018853,11.388853,10.958853,11.338853,297300
"2001-03-26",11.691257,12.041257,11.441257,12.041257,313600
"2001-03-27",11.981566,12.691566,11.781566,12.661566,481200
"2001-03-28",12.059658,12.529658,12.059658,12.369658,421900
