"","Open","High","Low","Close","Volume"
"2001-01-02",14.90344,15.77844,14.90344,15.15344,383700
"2001-01-03",15.21594,15.90344,14.90344,15.15344,1269000
"2001-01-04",15.397573,15.397573,13.647573,14.397573,2100200
"2001-01-05",14.212028,14.837028,13.962028,14.649528,803300
"2001-01-08",14.731004,14.793504,14.293504,14.793504,805900
"2001-01-09",14.287932,15.412932,14.225432,15.225432,667800
"2001-01-10",15.13642,15.63642,14.88642,15.26142,860900
"2001-01-11",15.329495,15.329495,14.704495,14.829495,914300
"2001-01-12",14.882502,14.882502,14.570002,14.757502,688400
"2001-01-16",14.64395,15.45645,14.58145,15.08145,665400
"2001-01-17",15.787932,15.787932,15.037932,15.225432,654200
"2001-01-18",15.314433,15.501933,14.814433,15.189433,1070200
"2001-01-19",15.560523,15.560523,14.560523,14.685523,1263700
"2001-01-22",14.729046,15.104046,14.229046,14.541546,1481900
"2001-01-23",14.784019,14.784019,14.596519,14.721519,643500
"2001-01-24",15.10796,15.17046,14.79546,15.04546,773000
"2001-01-25",15.062481,15.062481,13.937481,14.937481,1926400
"2001-01-26",15.155396,15.592896,15.030396,15.405396,774300
"2001-01-29",15.52593,15.53593,14.88593,15.10593,569500
"2001-01-30",14.895661,15.365662,14.705663,15.255662,1090500
"2001-01-31",15.388655,15.388655,14.988655,15.088656,784900
"2001-02-01",14.767853,15.537854,14.767853,15.537854,629800
"2001-02-02",15.528167,15.998166,15.428167,15.578166,1068000
"2001-02-05",15.353401,16.053402,15.353401,15.883402,1023200
"2001-02-06",16.010621,16.010621,15.580621,15.710622,654800
"2001-02-07",15.894917,16.044917,15.764916,15.894917,793900
"2001-02-08",16.039776,16.209776,15.869776,15.969777,555400
"2001-02-09",15.913446,16.163446,15.773447,16.073446,631200
"2001-02-12",16.084075,16.204075,15.964076,16.154074,744600
"2001-02-13",16.082869,16.312869,15.592869,16.182869,727000
"2001-02-14",16.549381,16.559381,15.449381,15.549381,846400
"2001-02-15",15.69848,15.69848,15.298478,15.61848,732600
"2001-02-16",15.436437,15.986438,15.436437,15.906438,749300
"2001-02-20",15.520938,16.390937,15.520938,15.750937,587700
"2001-02-21",15.85696,16.00696,15.376961,15.60696,483300
"2001-02-22",15.632406,16.012406,15.522406,15.572407,798900
"2001-02-23",15.578166,15.738166,15.248166,15.578166,913800
"2001-02-26",15.295884,15.835883,15.135885,15.695884,425400
"2001-02-27",15.713834,15.943834,15.243835,15.323835,896200
"2001-02-28",15.317539,15.567539,15.037538,15.457538,1054700
"2001-03-01",14.660711,16.310711,14.510712,16.230711,1049100
"2001-03-02",16.162393,16.172393,15.512393,15.742393,783100
"2001-03-05",15.699591,15.999591,15.509591,15.829591,387300
"2001-03-06",15.624476,16.024478,15.544476,15.864478,617800
"2001-03-07",15.924958,16.024958,15.504958,15.724957,375500
"2001-03-08",15.596105,15.906104,15.516105,15.876103,335300
"2001-03-09",15.778429,16.048429,15.578428,15.928429,353800
"2001-03-12",15.995883,16.005883,15.685884,15.695884,354900
