"","L.Open","L.High","L.Low","L.Close","L.Volume","L.Adjusted"
"2001-01-02",17.0625,17.145834,16.614584,16.822916,4036200,12.886808
"2001-01-03",16.864584,17.083334,16.239584,16.364584,5388600,12.535718
"2001-01-04",16.114584,16.239584,15.59375,15.916667,4794000,12.192602
"2001-01-05",15.895833,15.96875,15.645833,15.71875,2115600,12.040987
"2001-01-08",15.958333,16.4375,15.9375,16.375,1836600,12.543695
"2001-01-09",16.1875,16.1875,15.885417,15.979167,1093200,12.240473
"2001-01-10",15.8125,16.177084,15.8125,16.0625,1528800,12.304312
"2001-01-11",16.09375,16.104166,15.203125,15.354167,2998800,11.76171
"2001-01-12",15.333333,15.552083,15.125,15.416667,2879400,11.809582
"2001-01-16",15.104167,15.65625,15.104167,15.479167,2481600,11.857462
"2001-01-17",15.645833,15.6875,14.84375,15.229167,2097000,11.665955
"2001-01-18",15.239583,15.291667,14.96875,15.114583,1099200,11.57818
"2001-01-19",15.104167,15.104167,14.666667,14.96875,1618200,11.466469
"2001-01-22",14.833333,15.6875,14.770833,15.6875,1373400,12.017051
"2001-01-23",15.645833,15.802083,15.333333,15.729167,1106400,12.048974
"2001-01-24",15.739583,15.875,15.5625,15.666667,1617000,12.001091
"2001-01-25",15.875,16.166666,15.833333,16.145834,2159400,12.368148
"2001-01-26",16.145834,16.28125,15.791667,16.145834,1965600,12.368148
"2001-01-29",16.145,16.606667,16.145,16.391666,1750800,12.556459
"2001-01-30",16.35,16.541666,16.166666,16.541666,1873800,12.867779
"2001-01-31",16.625,16.625,16.003334,16.200001,2221800,12.601997
"2001-02-01",16.200001,16.75,16.200001,16.549999,3483600,12.87426
"2001-02-02",16.591667,16.891666,16.583334,16.891666,2441400,13.140043
"2001-02-05",16.889999,17.541666,16.889999,17.483334,3087000,13.600296
"2001-02-06",17.483334,17.491667,16.166666,16.416666,5463600,12.770544
"2001-02-07",16.666666,17.033333,16.666666,16.866667,1610400,13.120598
"2001-02-08",16.866667,17.416666,16.799999,17,2269200,13.224317
"2001-02-09",16.858334,17.25,16.858334,17.241667,1539600,13.412311
"2001-02-12",17.283333,17.348333,17.083334,17.306667,1740000,13.462873
"2001-02-13",17,17.158333,16.75,17.059999,1652400,13.270992
