"","Open","High","Low","Close","Volume"
"2001-01-02",7.650219,7.712719,6.712719,6.712719,1428500
"2001-01-03",5.887788,7.450288,5.887788,7.325288,2001600
"2001-01-04",7.071029,7.821029,6.383529,6.508529,5724200
"2001-01-05",7.005907,7.068407,6.380907,6.380907,5437200
"2001-01-08",6.420504,6.858004,6.045504,6.483004,2621300
"2001-01-09",6.039289,7.039289,6.039289,6.789289,2887500
"2001-01-10",6.201265,6.951265,6.201265,6.763765,1788400
"2001-01-11",6.05336,7.17836,6.05336,6.86586,2073000
"2001-01-12",6.274239,7.711739,6.149239,7.274239,2989700
"2001-01-16",7.308595,7.746095,7.058595,7.121095,3009400
"2001-01-17",7.183595,7.683595,6.996095,7.121095,3493400
"2001-01-18",7.192431,7.317431,6.942431,6.942431,2997500
"2001-01-19",7.238241,7.300741,6.738241,6.738241,2738100
"2001-01-22",6.447666,7.322666,6.447666,7.197666,1689600
"2001-01-23",6.728428,7.853428,6.728428,7.478428,4082000
"2001-01-24",7.991516,8.366516,7.679016,8.116516,6296400
"2001-01-25",8.201926,8.514426,7.701926,8.014426,2474500
"2001-01-26",8.014426,8.139426,7.826926,8.014426,2299700
"2001-01-29",7.562649,8.232649,7.562649,8.122648,3092000
"2001-01-30",7.586833,8.636834,7.356833,8.326832,2057000
"2001-01-31",7.377095,9.067096,7.287095,8.437095,2420700
"2001-02-01",8.389764,8.689763,7.729764,8.469764,1338800
"2001-02-02",8.699973,8.959973,8.079972,8.089972,1735100
"2001-02-05",8.142537,8.272536,7.732535,7.922536,1883400
"2001-02-06",8.37521,8.40521,7.82521,7.95521,1584300
"2001-02-07",7.523639,8.20364,7.523639,8.07364,983600
"2001-02-08",8.872171,8.962171,7.572171,7.61217,2243500
"2001-02-09",7.919811,8.159811,7.359812,7.399813,1601900
"2001-02-12",7.497983,7.717984,7.217984,7.407982,2211500
"2001-02-13",7.397407,7.827407,7.397407,7.477406,3004600
"2001-02-14",7.62374,7.79374,7.41374,7.49374,2012300
